Company,Year_term,Lighting_Fixed rate lighting,Lighting_Meter rate lighting A/B,Lighting_Meter rate lighting C,Lighting_Temporary lighting,Lighting_Agricultural lighting,Lighting_Public street lighting,Lighting_Total Lighting - optional contracs,Lighting_Total Lighting - optional contracs2,Lighting_Total Lighting,Power_Commercial use power - optional contracts,Power_Commercial use power,Power_Small use power_Low voltage power - optipnal contracts,Power_Small use power_Low voltage power,Power_Small use power_High voltage power A - optinal contracts,Power_Small use power_High voltage power A,Power_Small use power_Total Small use power - optional contracts,Power_Small use power_Total Small use power,Power_High voltage power B - optional contracts,Power_High voltage power B,Power_Other power services_Temporary power,Power_Other power services_Agricultural power,Power_Other power services_Construction power,Power_Other power services_Business use power,Power_Other power services_High voltage power B - optional contracts,Power_Other power services_High voltage power B,Power_Other power services_Commercial use power,Power_Other power services_High voltage power A/B,Power_Other power services_Other power services - optional contracts,Power_Other power services_Total Other power services,Power_Total Power - optional contracts,Power_Total Power,Total of Lighting and Power
会社名,年期,電灯需要_定額電灯,電灯需要_従量電灯AB,電灯需要_従量電灯C,電灯需要_臨時電灯,電灯需要_農事用電灯,電灯需要_公衆街路灯,電灯需要_電灯計_選択約款,電灯需要_電灯計_選択約款2,電灯需要_電灯合計,電力需要_業務用電力_選択約款,電力需要_業務用電力,電力需要_小口電力_低圧電力_選択約款,電力需要_小口電力_低圧電力,電力需要_小口電力_高圧電力Ａ_選択約款,電力需要_小口電力_高圧電力A,電力需要_小口電力_小口計_選択約款,電力需要_小口電力_計,電力需要_高圧電力Ｂ_選択約款,電力需要_高圧電力Ｂ,電力需要_その他電力_臨時電力,電力需要_その他電力_農事用電力,電力需要_その他電力_建設工事用電力,電力需要_その他電力_事業用電力,電力需要_その他電力_高圧電力Ｂ_選択約款,電力需要_その他電力_高圧電力Ｂ,電力需要_その他電力_業務用電力,電力需要_その他電力_高圧電力AB,電力需要_その他電力_その他電力_選択約款,電力需要_その他電力_その他電力計,電力需要_電力計_選択約款,電力需要_電力計,電灯電力計
Kansai,201402,186404,9023853,321630,30400,,1846827,1216206,1216206,12625320,,,156,812484,,,,,,,2531,7484,0,25745,,,,,184558,220318,184714,1032802,13658122
Chugoku,201402,97826,3160734,58682,12333,46,683938,769417,769417,4782976,,,78,311783,,,,,,,405,2240,33,1792,,,,,147133,151603,147211,463386,5246362
Shikoku,201402,37512,1732459,41186,8746,,354297,339097,339097,2513297,,,3947,202634,,,,,,,653,11492,43,1781,,,,,120542,134511,124489,337145,2850442
Kyushu,201402,157534,5398093,224630,28389,5,915669,1069662,1069662,7793982,,,12758,654042,,,,,,,2287,23615,81,2611,,,,,165856,194450,178614,848492,8642474
Okinawa,201402,4550,684558,,3406,,76504,42521,42521,811539,1086,4313,,48687,,,,,,,83,76,2,409,,,4313,1499,5607,11989,6796,60676,872215
Hokkaido,201401,71196,2501240,87675,14717,,660641,267868,267868,3603337,,,953,157638,,,,,,,268,60,7,1634,,,,,240937,242906,241890,400544,4003881
Tohoku,201401,150565,4660910,239155,29546,,1311229,487988,487988,6879393,,,3144,635841,,,,,,,949,2739,9,4967,,,,,199905,208569,203049,844410,7723803
Tokyo,201401,394636,20036084,1208835,79406,,3828897,1447097,1447097,26994955,,,324,1611434,,,,,,,6014,9792,198,63781,,,,,332646,412431,332970,2023865,29018820
Chubu,201401,203804,6405715,513994,33123,527,1529126,798077,798077,9484366,,,6620,717551,,,,,,,1424,3474,2,3849,,,,,359982,368731,366602,1086282,10570648
Hokuriku,201401,38894,1004514,93932,7375,,429773,302402,302402,1876890,,,3301,171230,,,,,,,395,1003,0,716,,,,,60004,62118,63305,233348,2110238
Kansai,201401,185668,9033580,321698,30698,,1845888,1213103,1213103,12630635,,,155,813704,,,,,,,2557,7509,0,25741,,,,,185646,221453,185801,1035157,13665792
Chugoku,201401,97832,3162434,58691,12319,47,683244,765873,765873,4780440,,,75,312209,,,,,,,433,2040,33,1797,,,,,147881,152184,147956,464393,5244833
Shikoku,201401,37356,1734072,41190,8724,,354332,337036,337036,2512710,,,3939,202960,,,,,,,656,11495,45,1781,,,,,121188,135165,125127,338125,2850835
Kyushu,201401,156872,5401591,224480,28319,3,913653,1064194,1064194,7789112,,,12777,654886,,,,,,,2586,25002,79,2612,,,,,166412,196691,179189,851577,8640689
Okinawa,201401,4530,683788,,3371,,76426,42243,42243,810358,1082,4308,,48815,,,,,,,81,76,2,403,,,4308,1499,5643,12012,6827,60827,871185
Hokkaido,201312,71106,2505758,87783,15928,,660463,267049,267049,3608087,,,944,157867,,,,,,,424,251,7,1591,,,,,188414,190687,189358,348554,3956641
Tohoku,201312,150159,4656937,238704,34643,,1309814,483048,483048,6873305,,,3140,636418,,,,,,,1021,2598,9,4951,,,,,185365,193944,188505,830362,7703667
Tokyo,201312,392895,20034979,1209215,80221,,3827882,1438145,1438145,26983337,,,308,1614052,,,,,,,5999,9842,194,63774,,,,,333480,413289,333788,2027341,29010678
Chubu,201312,202202,6405803,513893,32784,522,1528083,792636,792636,9475923,,,6573,718692,,,,,,,1342,3052,3,3844,,,,,359887,368128,366460,1086820,10562743
Hokuriku,201312,38876,1006029,93897,7789,,429330,300286,300286,1876207,,,3276,171455,,,,,,,362,968,0,699,,,,,57404,59433,60680,230888,2107095
Kansai,201312,184883,9035357,321706,29409,,1844476,1208567,1208567,12624398,,,154,814897,,,,,,,2526,7637,0,25739,,,,,186488,222390,186642,1037287,13661685
Chugoku,201312,97807,3165766,58722,11928,48,682653,762306,762306,4779230,,,68,312665,,,,,,,435,2229,32,1798,,,,,148563,153057,148631,465722,5244952
Shikoku,201312,37182,1736042,41206,8487,,354188,335010,335010,2512115,,,3905,203141,,,,,,,648,11657,45,1783,,,,,121673,135806,125578,338947,2851062
Kyushu,201312,156267,5404938,224251,27621,13,910360,1057758,1057758,7781208,,,12768,655612,,,,,,,2288,30399,79,2614,,,,,167012,202392,179780,858004,8639212
Okinawa,201312,4491,682821,,3338,,76403,42072,42072,809125,1080,4303,,49010,,,,,,,78,76,2,400,,,4303,1492,5676,12027,6858,61037,870162
Hokkaido,201311,71090,2511808,87800,17515,,660286,266263,266263,3614762,,,942,158111,,,,,,,1958,706,9,1581,,,,,157957,162211,158899,320322,3935084
Tohoku,201311,149777,4654853,238386,32899,,1307904,478447,478447,6862266,,,3132,637216,,,,,,,1206,3360,9,4964,,,,,136524,146063,139656,783279,7645545
Tokyo,201311,391303,20039626,1209589,77335,,3824434,1427847,1427847,26970134,,,279,1616426,,,,,,,5708,10095,184,63769,,,,,334579,414335,334858,2030761,29000895
Chubu,201311,200935,6401184,513715,30806,434,1527618,787040,787040,9461732,,,6428,719614,,,,,,,1170,3306,2,3851,,,,,360442,368771,366870,1088385,10550117
