Company,Year_term,Total_Number of  locations,Total Contract Power_allocation (kW)
会社名,年期,合計_地点数,合計_契約電力_配分
Kansai,1975,22,1921200
Chugoku,1975,113,1989368
Shikoku,1975,25,405910
Kyushu,1975,46,1153470
Okinawa,1975,,
Hokkaido,1974,29,987741
Tohoku,1974,58,2657736
Tokyo,1974,89,7220959
Chubu,1974,49,2617906
Hokuriku,1974,50,1370750
Kansai,1974,22,1921200
Chugoku,1974,113,1989368
Shikoku,1974,25,405910
Kyushu,1974,46,1153470
Okinawa,1974,,
Hokkaido,1973,27,741796
Tohoku,1973,58,2661736
Tokyo,1973,87,6546209
Chubu,1973,40,2667896
Hokuriku,1973,54,1372750
Kansai,1973,23,1921200
Chugoku,1973,112,1630318
Shikoku,1973,26,383910
Kyushu,1973,47,1167320
Okinawa,1973,,
Hokkaido,1972,29,745386
Tohoku,1972,57,2659036
Tokyo,1972,69,4846939
Chubu,1972,38,2445896
Hokuriku,1972,54,1372750
Kansai,1972,23,1921200
Chugoku,1972,113,1630378
Shikoku,1972,26,372410
Kyushu,1972,47,971820
Okinawa,1972,,
Hokkaido,1971,28,503850
Tohoku,1971,57,1174236
Tokyo,1971,68,3343783
Chubu,1971,35,1452896
Hokuriku,1971,53,742700
Kansai,1971,23,1473200
Chugoku,1971,113,991578
Shikoku,1971,27,386310
Kyushu,1971,46,934820
Okinawa,1971,,
Hokkaido,1970,30,257817
Tohoku,1970,61,1167301
Tokyo,1970,74,3177583
Chubu,1970,35,1409996
Hokuriku,1970,56,623000
Kansai,1970,23,1693200
Chugoku,1970,115,914708
Shikoku,1970,26,407610
Kyushu,1970,47,820820
Okinawa,1970,,
Hokkaido,1969,30,247797
Tohoku,1969,59,1035801
Tokyo,1969,74,3022533
Chubu,1969,34,1407996
Hokuriku,1969,52,499735
Kansai,1969,23,1455700
Chugoku,1969,116,1114368
Shikoku,1969,26,395110
Kyushu,1969,42,673120
Okinawa,1969,,
Hokkaido,1968,31,245122
Tohoku,1968,56,1789251
Tokyo,1968,73,3105504
Chubu,1968,32,1796596
Hokuriku,1968,51,601635
Kansai,1968,22,1529700
Chugoku,1968,116,966144
Shikoku,1968,26,425110
Kyushu,1968,41,605000
Okinawa,1968,,
Hokkaido,1967,31,244962
Tohoku,1967,53,1955101
Tokyo,1967,71,2717155
Chubu,1967,27,1234763
Hokuriku,1967,45,236535
Kansai,1967,20,1291700
Chugoku,1967,113,743552
Shikoku,1967,26,427110
Kyushu,1967,42,595800
Okinawa,1967,,
Hokkaido,1966,31,224055
Tohoku,1966,48,1613951
Tokyo,1966,67,2476705
Chubu,1966,26,1223563
Hokuriku,1966,44,228335
Kansai,1966,20,1291700
Chugoku,1966,106,321112
Shikoku,1966,27,377110
Kyushu,1966,42,579640
Okinawa,1966,,
Hokkaido,1965,30,243155
Tohoku,1965,46,1510911
Tokyo,1965,59,2160645
Chubu,1965,25,1007553
Hokuriku,1965,40,189035
Kansai,1965,17,1039700
Chugoku,1965,105,300811
Shikoku,1965,27,377110
Kyushu,1965,42,578240
Okinawa,1965,,
Hokkaido,1964,30,243155
Tohoku,1964,45,1486301
Tokyo,1964,57,1874645
Chubu,1964,27,910490
Hokuriku,1964,38,176628
Kansai,1964,16,851300
Chugoku,1964,97,299661
Shikoku,1964,26,276730
Kyushu,1964,42,554450
Okinawa,1964,,
Hokkaido,1963,30,228355
Tohoku,1963,42,1443301
Tokyo,1963,50,1828282
Chubu,1963,27,756490
Hokuriku,1963,33,162528
Kansai,1963,15,635300
Chugoku,1963,93,298742
Shikoku,1963,17,274330
Kyushu,1963,43,443790
Okinawa,1963,,
