Company,Year_term,Hydroelectric_Number_of_sites,Hydroelectric_Capacity_in_total (kW),Conventional_thermal_power_Number_of_sites,Conventional_thermal_power_Capacity_in_total (kW),Gas_turbine_Number_of_sites,Gas_turbine_Capacity_in_total (kW),Internal_combustion_engine_Number_of_sites,Internal_combustion_engine_Capacity_in_total (kW),Total_Thermal_Power_Number_of_sites,Total_Thermal_Power_Capacity_in_total (kW),Nuclear_power_Number_of_sites,Nuclear_power_Capacity_in_total (kW),Renewable_energy_Number_of_sites,Renewable_energy_Capacity_in_total (kW),Other_power_sources_Number_of_sites,Other_power_sources_Capacity_in_total (kW),Number_of_sites,Capacity_in_total (kW)
Hokuriku,2015,131,1920510,5,4400000,,,1,288,6,4400288,1,1746000,6,7600,,,144,8074398
Kansai,2015,152,8225245,11,19303000,1,105400,,,12,19408400,3,8928000,3,11000,,,170,36572645
Chugoku,2015,99,2909155,9,7765000,,,3,35600,12,7800600,1,820000,2,6000,,,114,11535755
Shikoku,2015,58,1145896,4,3447000,,,,,4,3447000,1,2022000,1,2042,,,64,6616938
Kyushu,2015,143,3583681,9,9807000,3,3300,31,395740,43,10206040,2,4699000,8,212210,,,196,18700931
Okinawa,2015,0,0,5,1629000,5,326000,13,197570,23,2152570,,,5,2315,,,28,2154885
Hokkaido,2014,56,1441355,6,3900000,1,148000,5,165750,12,4213750,1,2070000,2,26000,,,71,7751105
Tohoku,2014,211,2440011,8,11109000,0,672000,4,82210,12,11863210,2,3274000,7,228300,,,232,17805521
Tokyo,2014,164,9856650,15,43331000,0,174000,10,49920,25,43554920,2,12612000,4,33300,,,195,66056870
Chubu,2014,189,5320340,10,25081720,,,1,400,11,25082120,1,3617000,4,38500,,,205,34057960
Hokuriku,2014,130,1913910,5,4400000,,,1,288,6,4400288,1,1746000,6,7600,,,143,8067798
Kansai,2014,151,8221681,11,19336000,1,105400,,,12,19441400,3,9768000,3,11000,,,169,37442081
Chugoku,2014,98,2908725,9,7765000,,,3,35600,12,7800600,1,1280000,2,6000,,,113,11995325
Shikoku,2014,58,1145796,4,3797000,,,,,4,3797000,1,2022000,1,2042,,,64,6966838
Kyushu,2014,143,3583681,10,10682000,3,3300,31,395650,44,11080950,2,5258000,8,212210,,,197,20134841
Okinawa,2014,,,5,1629000,5,326000,13,180250,23,2135250,,,2,735,,,25,2135985
Hokkaido,2013,54,1239345,6,3900000,1,148000,5,165750,12,4213750,1,2070000,2,26000,,,69,7549095
Tohoku,2013,210,2439781,8,10715000,0,1033800,4,82150,12,11830950,2,3274000,6,227300,,,230,17772031
Tokyo,2013,164,9455950,15,40571000,,2317000,10,56520,25,42944520,2,12612000,4,33300,,,195,65045770
Chubu,2013,185,5232000,10,24506040,,,1,400,11,24506440,1,3617000,3,30500,,,200,33385940
Hokuriku,2013,129,1913180,5,4400000,,,1,288,6,4400288,1,1746000,7,9400,,,143,8068868
Kansai,2013,151,8207681,11,17876500,1,105400,,,12,17981900,3,9768000,2,10500,,,168,35968081
Chugoku,2013,98,2906225,9,7765000,,,3,35600,12,7800600,1,1280000,1,3000,,,112,11989825
Shikoku,2013,58,1142296,4,3797000,,,,,4,3797000,1,2022000,2,2342,,,65,6963638
Kyushu,2013,143,3582546,10,10682000,3,3300,31,395550,44,11080850,2,5258000,8,216250,,,197,20137646
Okinawa,2013,0,0,5,1969000,4,291000,13,174250,22,2434250,,,1,490,,,23,2434740
Hokkaido,2012,54,1239105,6,3900000,1,148000,5,166000,12,4214000,1,2070000,2,26000,,,69,7549105
Tohoku,2012,210,2433881,8,10715000,0,1033800,4,82150,12,11830950,2,3274000,6,227300,,,230,17766131
Tokyo,2012,164,9453390,15,38971000,0,2570700,10,56520,25,41598220,3,14496000,5,33800,,,197,65581410
Chubu,2012,183,5225180,11,25159000,,,1,400,12,25159400,1,3617000,3,30500,,,199,34032080
