Company,Year_term,Hydroelectric_Number_of_sites,Hydroelectric_Capacity_in_total (kW),Conventional_thermal_power_Number_of_sites,Conventional_thermal_power_Capacity_in_total (kW),Gas_turbine_Number_of_sites,Gas_turbine_Capacity_in_total (kW),Internal_combustion_engine_Number_of_sites,Internal_combustion_engine_Capacity_in_total (kW),Total_Thermal_Power_Number_of_sites,Total_Thermal_Power_Capacity_in_total (kW),Nuclear_power_Number_of_sites,Nuclear_power_Capacity_in_total (kW),Renewable_energy_Number_of_sites,Renewable_energy_Capacity_in_total (kW),Other_power_sources_Number_of_sites,Other_power_sources_Capacity_in_total (kW),Number_of_sites,Capacity_in_total (kW)
Chugoku,1997,95,2892645,7,6731000,,,3,29900,10,6760900,1,1280000,,,,,106,10933545
Shikoku,1997,57,1121316,4,3137000,,34000,,,4,3171000,1,2022000,,,,,62,6314316
Kyushu,1997,137,2346556,12,10011750,3,3300,37,344444,52,10359494,2,5258000,5,207500,,,196,18171550
Okinawa,1997,,,3,1027000,2,266000,14,151700,19,1444700,,,,,,,19,1444700
Hokkaido,1996,64,1210972,6,2850000,1,148000,4,14510,11,3012510,1,1158000,1,50000,,,77,5431482
Tohoku,1996,212,2433795,7,8315000,,,5,85740,12,8400740,1,1349000,4,223800,,,229,12407335
Tokyo,1996,155,7643330,13,29812400,5,526400,11,41220,25,30380020,3,15952000,,,,,183,53975350
Chubu,1996,180,5208840,12,20648000,,,1,540,13,20648540,1,3617000,,,,,194,29474380
Hokuriku,1996,117,1806430,5,3162000,,,1,288,6,3162288,1,540000,,,,,124,5508718
Kansai,1996,143,7361959,17,19521000,4,400000,,,21,19921000,3,9768000,,,,,167,37050959
Chugoku,1996,95,2895045,7,6731000,,,3,29900,10,6760900,1,1280000,0,0,,,106,10935945
Shikoku,1996,57,1121316,4,3171000,,,,,4,3171000,1,2022000,0,0,,,62,6314316
Kyushu,1996,138,2350216,12,10011750,3,3300,37,331744,52,10346794,2,4078000,5,207500,,,197,16982510
Okinawa,1996,,,3,1027000,2,266000,14,140650,19,1433650,,,,,,,19,1433650
Hokkaido,1995,64,1210872,6,2850000,1,148000,4,13610,11,3011610,1,1158000,1,50000,,,77,5430482
Tohoku,1995,213,2436625,7,8315000,,,5,85270,12,8400270,1,1349000,4,222500,,,230,12408395
Tokyo,1995,155,7634180,13,28412400,5,526400,11,37960,25,28976760,3,14596000,,,,,183,51206940
Chubu,1995,179,5200740,12,18690000,,,1,540,13,18690540,1,3617000,,,,,193,27508280
Hokuriku,1995,117,1806130,5,3162000,,,1,288,6,3162288,1,540000,,,,,124,5508418
Kansai,1995,142,7352263,17,18851000,4,400000,,,21,19251000,3,9768000,,,,,166,36371263
Chugoku,1995,95,2593645,7,6731000,,,3,25900,10,6756900,1,1280000,,,,,106,10630545
Shikoku,1995,57,1121316,4,3171000,,,,,4,3171000,1,2022000,,,,,62,6314316
Kyushu,1995,136,2320616,12,10011750,3,3300,37,327244,52,10342294,2,4078000,4,182500,,,194,16923410
Okinawa,1995,,,3,1027000,3,295000,14,139400,20,1461400,,,,,,,20,1461400
Hokkaido,1994,64,1210755,6,2850000,1,148000,4,13610,11,3011610,1,1158000,1,50000,,,77,5430365
Tohoku,1994,213,2436235,7,8315000,,,5,85370,12,8400370,1,524000,3,127500,,,229,11488105
Tokyo,1994,156,7339780,14,28787400,6,556400,11,38560,31,29382360,3,14596000,,,,,190,51318140
Chubu,1994,177,4654880,12,18382000,,,1,540,13,18382540,1,3617000,,,,,191,26654420
Hokuriku,1994,117,1806130,5,3162000,,,1,288,6,3162288,1,540000,,,,,124,5508418
Kansai,1994,141,7006403,17,18181000,4,400000,,,21,18581000,3,9768000,,,,,165,35355403
Chugoku,1994,94,2270345,7,6381000,,,3,24950,10,6405950,1,1280000,,,,,105,9956295
Shikoku,1994,57,1120496,4,3171000,,,,,4,3171000,1,2022000,,,,,62,6313496
Kyushu,1994,137,2322896,11,9311750,3,3300,37,326844,51,9641894,2,4078000,3,152500,,,193,16195290
Okinawa,1994,,,3,1027000,3,295000,14,130200,20,1452200,,,,,,,20,1452200
Hokkaido,1993,63,1195755,6,2850000,1,148000,4,12360,11,3010360,1,1158000,1,50000,,,76,5414115
Tohoku,1993,213,2435955,7,7715000,,,5,75370,12,7790370,1,524000,2,77500,,,228,10827825
Tokyo,1993,156,6741940,14,28661400,6,556400,11,35880,31,29253680,3,13496000,,,,,190,49491620
Chubu,1993,176,3654650,12,18074000,,,1,540,13,18074540,1,3617000,,,,,190,25346190
Hokuriku,1993,117,1805930,4,2662000,,,1,288,5,2662288,1,540000,,,,,123,5008218
Kansai,1993,141,6685703,17,18181000,4,400000,,,21,18581000,3,9768000,,,,,165,35034703
Chugoku,1993,94,2270345,7,6381000,,,3,24950,10,6405950,1,1280000,,,,,105,9956295
Shikoku,1993,57,1120496,4,3171000,,,,,4,3171000,1,1132000,,,,,62,5423496
Kyushu,1993,137,2322708,11,8876750,3,3300,37,318294,51,9198344,2,4078000,2,122500,,,192,15721552
Okinawa,1993,,,3,871000,3,295000,14,123950,20,1289950,,,,,,,20,1289950
Hokkaido,1992,63,1095625,6,2850000,1,148000,4,11260,11,3009260,1,1158000,1,50000,,,76,5312885
Tohoku,1992,216,2436205,6,7115000,,,5,75370,11,7190370,1,524000,1,50000,,,229,10200575
Tokyo,1992,156,6737940,14,28661400,6,556400,11,35040,31,29252840,3,12396000,,,,,190,48386780
Chubu,1992,176,3653850,12,17374000,,,1,540,13,17374540,1,2480000,,,,,190,23508390
Hokuriku,1992,115,1788730,4,2662000,,,1,288,5,2662288,,,,,,,120,4451018
Kansai,1992,139,6350010,17,18181000,3,360000,,,20,18541000,3,9768000,,,,,162,34659010
Chugoku,1992,94,2270345,8,6187000,,,3,24950,11,6211950,1,1280000,,,,,106,9762295
Shikoku,1992,57,1120196,4,3171000,,,,,4,3171000,1,1132000,,,,,62,5423196
Kyushu,1992,138,2334558,11,8441750,3,3300,37,292294,51,8737344,2,2898000,2,122500,,,193,14092402
Okinawa,1992,,,2,715000,3,295000,14,119520,19,1129520,,,,,,,19,1129520
Hokkaido,1991,64,1097825,6,2850000,1,148000,4,11260,11,3009260,1,1158000,1,50000,,,77,5315085
Tohoku,1991,213,2395405,6,7115000,,,4,65370,10,7180370,1,524000,1,50000,,,225,10149775
Tokyo,1991,156,6736540,14,27661400,3,75000,11,35840,28,27772240,3,12396000,,,,,187,46904780
Chubu,1991,179,3644290,12,16674000,,,1,540,13,16674540,1,2480000,,,,,193,22798830
Hokuriku,1991,116,1791230,4,2662000,,,1,240,5,2662240,,,,,,,121,4453470
Kansai,1991,138,6029060,17,18181000,3,360000,,,20,18541000,3,8588000,,,,,161,33158060
Chugoku,1991,94,2270345,8,5862000,,,3,20410,11,5882410,1,1280000,,,,,106,9432755
Shikoku,1991,57,1120196,4,3171000,,,,,4,3171000,1,1132000,,,,,62,5423196
Kyushu,1991,138,2321123,11,8441750,3,3300,37,276264,51,8721314,2,2898000,2,122500,,,193,14062937
Okinawa,1991,,,2,715000,2,192000,14,109520,18,1016520,,,,,,,18,1016520
Hokkaido,1990,63,1093425,6,2850000,2,168000,4,11260,12,3029260,1,579000,1,50000,,,77,4751685
Tohoku,1990,212,2383735,6,7115000,,,4,65370,10,7180370,1,524000,1,50000,,,224,10138105
Tokyo,1990,156,6032440,15,28010600,3,75000,11,35840,29,28121440,3,12396000,,,,,188,46549880
Chubu,1990,176,3624780,11,15974000,,,1,540,12,15974540,1,2480000,,,,,189,22079320
Hokuriku,1990,118,1793780,3,2162000,,,1,240,4,2162240,,,,,,,122,3956020
Kansai,1990,139,6029300,17,17581000,3,360000,,,20,17941000,3,7408000,,,,,162,31378300
Chugoku,1990,95,2281545,8,5862000,,,3,20410,11,5882410,1,1280000,,,,,107,9443955
Shikoku,1990,57,1120196,4,3171000,,,,,4,3171000,1,1132000,,,,,62,5423196
Kyushu,1990,139,2320273,11,8326750,3,3300,37,263544,51,8593594,2,2898000,2,122500,,,194,13934367
Okinawa,1990,,,2,715000,2,192000,14,108230,18,1015230,,,,,,,18,1015230
Hokkaido,1989,63,1093425,7,2975000,2,168000,4,10510,13,3153510,1,579000,1,50000,,,78,4875935
Tohoku,1989,211,2303245,7,7115000,,,4,65370,11,7180370,1,524000,1,50000,,,224,10057615
Tokyo,1989,156,6028220,15,27002600,3,75000,11,35840,29,27113440,3,10196000,,,,,188,43337660
Chubu,1989,177,3620570,11,15274000,,,1,540,12,15274540,1,2480000,,,,,190,21375110
Hokuriku,1989,118,1792080,3,2162000,,,1,240,4,2162240,,,,,,,122,3954320
Kansai,1989,138,6024177,16,16381000,3,360000,,,19,16741000,3,7408000,,,,,160,30173177
Chugoku,1989,95,2281545,7,5637000,,,3,20410,10,5657410,1,1280000,,,,,106,9218955
Shikoku,1989,57,1119896,4,3171000,,,,,4,3171000,1,1132000,,,,,62,5422896
Kyushu,1989,139,2330123,10,7751750,3,3300,37,249044,50,8004094,2,2898000,2,67500,,,193,13299717
Okinawa,1989,,,2,715000,2,89000,14,98330,18,902330,,,,,,,18,902330
Hokkaido,1988,62,1086425,7,3100000,2,168000,4,10510,13,3278510,,,1,50000,,,76,4414935
Tohoku,1988,211,2302975,7,7115000,,,4,65370,11,7180370,1,524000,1,50000,,,224,10057345
Tokyo,1988,156,6025460,15,26002600,3,75000,11,35600,29,26113200,3,10196000,,,,,188,42334660
Chubu,1988,175,3580670,10,14908000,,,1,540,11,14908540,1,2480000,,,,,187,20969210
Hokuriku,1988,117,1777640,3,2162000,,,1,240,4,2162240,,,,,,,121,3939880
Kansai,1988,139,6026587,15,15631000,3,360000,,,18,15991000,3,7408000,,,,,160,29425587
Chugoku,1988,94,2274545,7,5637000,,,3,20410,10,5657410,1,1280000,,,,,105,9211955
Shikoku,1988,57,1098096,4,3171000,,,,,4,3171000,1,1132000,,,,,62,5401096
Kyushu,1988,139,2326013,9,7363750,3,3300,37,249014,49,7616064,2,2898000,2,67500,,,192,12907577
Okinawa,1988,,,2,715000,2,89000,13,90830,17,894830,,,,,,,17,894830
Hokkaido,1987,62,1085125,8,3375000,2,168000,4,10510,14,3553510,,,1,50000,,,77,4688635
Tohoku,1987,211,2296645,7,7115000,,,4,55370,11,7170370,1,524000,1,50000,,,224,10041015
Tokyo,1987,155,5671460,15,25332600,3,75000,11,35600,29,25443200,3,10196000,,,,,187,41310660
Chubu,1987,176,3579525,10,14465000,,,1,540,11,14465540,1,2480000,,,,,188,20525065
Hokuriku,1987,117,1776940,3,2162000,,,1,240,4,2162240,,,,,,,121,3939180
Kansai,1987,139,6019187,15,15631000,3,360000,,,18,15991000,3,7408000,,,,,160,29418187
Chugoku,1987,93,2269845,7,6013000,1,134000,3,20410,11,6167410,1,460000,,,,,105,8897255
Shikoku,1987,57,1098096,4,3171000,,,,,4,3171000,1,1132000,,,,,62,5401096
Kyushu,1987,139,2325818,12,7363750,3,3300,37,243014,49,7610064,2,2898000,2,67500,,,192,12901382
Okinawa,1987,,,2,715000,2,84000,13,88680,17,887680,,,,,,,17,887680
Hokkaido,1986,62,1085125,8,3450000,2,168000,4,10510,14,3628510,,,1,50000,,,77,4763635
Tohoku,1986,212,2299355,7,7115000,,,4,55370,11,7170370,1,524000,1,50000,,,225,10043725
Tokyo,1986,155,5669512,14,23993800,3,75000,11,33600,28,24102400,3,9096000,,,,,186,38867912
Chubu,1986,175,3516650,10,13848000,1,73800,1,540,12,13922340,1,1380000,,,,,188,18818990
Hokuriku,1986,117,1773750,3,2162000,,,1,192,4,2162192,,,,,,,121,3935942
Kansai,1986,139,6015587,14,14431000,3,360000,,,17,14791000,3,7408000,,,,,159,28214587
Chugoku,1986,93,1969845,7,6013000,2,268000,4,18410,13,6299410,1,460000,,,,,107,8729255
Shikoku,1986,57,1098096,4,3171000,,,,,4,3171000,1,1132000,,,,,62,5401096
Kyushu,1986,139,2020998,12,7583750,3,3300,37,233014,49,7820064,2,2898000,2,67500,,,192,12806562
Okinawa,1986,,,2,715000,2,84000,13,88730,17,887730,,,,,,,17,887730
Hokkaido,1985,61,1065125,8,3450000,2,168000,4,10510,14,3628510,,,1,50000,,,76,4743635
Tohoku,1985,211,2278355,7,7115000,,,4,55370,11,7170370,1,524000,1,50000,,,224,10022725
Tokyo,1985,155,5067242,14,23320000,3,75000,11,33600,28,23428600,3,9096000,,,,,186,37591842
Chubu,1985,175,3515450,10,13848000,1,73800,1,540,12,13922340,1,1380000,,,,,188,18817790
Hokuriku,1985,116,1727250,3,2162000,,,1,192,4,2162192,,,,,,,120,3889442
Kansai,1985,138,5985087,14,14431000,3,360000,,,17,14791000,3,7408000,,,,,158,28184087
Chugoku,1985,94,1672825,6,5013000,2,268000,4,18410,12,5299410,1,460000,,,,,107,7432235
Shikoku,1985,57,1097296,4,3171000,,,,,4,3171000,1,1132000,,,,,62,5400296
Kyushu,1985,138,1717198,12,7583750,3,3300,37,228514,49,7815564,2,2898000,2,67500,,,191,12498262
Okinawa,1985,,,3,803000,2,84000,13,88730,18,975730,,,,,,,18,975730
Hokkaido,1984,60,1025125,8,2850000,2,168000,5,10610,15,3028610,,,1,50000,,,76,4103735
Tohoku,1984,210,2270995,7,6570000,,,4,55370,11,6625370,1,524000,1,50000,,,223,9470365
Tokyo,1984,157,5059992,13,22990000,3,75000,11,33600,27,23098600,2,6896000,,,,,186,35054592
Chubu,1984,173,3484780,10,13848000,2,103800,1,540,13,13952340,1,1380000,,,,,187,18817120
Hokuriku,1984,116,1727110,3,2162000,,,1,192,4,2162192,,,,,,,120,3889302
Kansai,1984,136,5858587,14,14431000,3,360000,,,17,14791000,3,6538000,,,,,156,27187587
Chugoku,1984,92,1651325,7,5145000,2,268000,4,18410,13,5431410,1,460000,,,,,106,7542735
Shikoku,1984,60,1095736,4,3137000,1,34000,,,5,3171000,1,1132000,,,,,66,5398736
Kyushu,1984,137,1639392,12,7083750,3,3300,37,226414,49,7313464,2,2008000,2,67500,,,190,11028356
Okinawa,1984,,,3,803000,2,84000,13,88550,18,975550,,,,,,,18,975550
Hokkaido,1983,61,1026025,8,2850000,2,168000,5,10610,15,3028610,,,1,50000,,,77,4104635
Tohoku,1983,210,2242695,7,6150000,,,4,55120,11,6205120,,,1,50000,,,222,8497815
Tokyo,1983,157,5058427,14,23567000,3,75000,11,33600,28,23675600,2,6896000,,,,,187,35630027
Chubu,1983,173,3483360,10,13848000,2,103800,1,540,13,13952340,1,1380000,,,,,187,18815700
Hokuriku,1983,114,1693010,3,1912000,,,1,192,4,1912192,,,,,,,118,3605202
Kansai,1983,137,5859227,13,12631000,3,360000,,,16,12991000,3,5668000,,,,,156,24518227
Chugoku,1983,91,1649625,8,5275000,2,268000,4,18410,14,5561410,1,460000,,,,,106,7671035
Shikoku,1983,59,773736,4,3137000,1,34000,,,5,3171000,1,1132000,,,,,65,5076736
Kyushu,1983,136,1625592,12,7083750,3,3300,37,221984,49,7309034,1,1118000,2,67500,,,188,10120126
Okinawa,1983,,,3,803000,2,84000,13,88550,18,975550,,,,,,,18,975550
Hokkaido,1982,60,925975,7,2500000,4,248000,5,10610,16,2758610,,,1,50000,,,77,3734585
Tohoku,1982,208,2236695,7,5675000,,,4,55120,11,5730120,,,1,50000,,,220,8016815
Tokyo,1982,157,5053137,14,23567000,3,180000,11,33600,28,23780600,2,5796000,,,,,187,34629737
Chubu,1982,172,3461960,9,12448000,2,103800,1,540,12,12552340,1,1380000,,,,,185,17394300
Hokuriku,1982,114,1693010,3,1912000,,,1,192,4,1912192,,,,,,,118,3605202
Kansai,1982,136,5827227,13,12631000,3,360000,,,16,12991000,3,5668000,,,,,155,24486227
Chugoku,1982,92,1652495,9,5376900,2,268000,4,18410,15,5663310,1,460000,,,,,108,7775805
Shikoku,1982,59,773336,4,3137000,1,34000,1,940,6,3171940,1,1132000,,,,,66,5077276
Kyushu,1982,136,1616992,12,6936550,3,3300,36,217334,48,7157184,1,1118000,2,67500,,,187,9959676
Okinawa,1982,,,4,836000,2,84000,13,90350,21,1013650,,,,,,,21,1013650
Hokkaido,1981,60,925975,7,2445000,4,248000,5,10610,16,2703610,,,,,,,76,3629585
Tohoku,1981,209,2008055,7,5825000,,,4,55120,11,5880120,,,1,50000,,,221,7938175
Tokyo,1981,162,4459922,14,23567000,3,180000,11,32480,28,23779480,1,4696000,,,,,191,32935402
Chubu,1981,171,3441360,10,12733000,2,103800,1,540,13,12837340,1,1380000,,,,,185,17658700
Hokuriku,1981,114,1693010,3,1912000,,,1,192,4,1912192,,,,,,,118,3605202
Kansai,1981,136,5826577,12,11506000,3,360000,,,15,11866000,3,5668000,,,,,154,23360577
Chugoku,1981,92,1652495,9,5376900,2,268000,4,18410,15,5663310,1,460000,,,,,108,7775805
Shikoku,1981,58,466336,4,3137000,1,34000,1,752,6,3171752,1,1132000,,,,,65,4770088
Kyushu,1981,136,1616542,11,6935150,3,3300,35,186024,47,7124474,1,1118000,2,67500,,,186,9926516
Okinawa,1981,,,4,836000,2,84000,13,87850,21,1011150,,,,,,,21,1011150
Hokkaido,1980,61,926175,7,2445000,4,248000,5,10610,16,2703610,,,,,,,77,3629785
Tohoku,1980,212,1781740,7,5825000,,,4,47620,11,5872620,,,1,50000,,,224,7704360
Tokyo,1980,166,3362562,14,23567000,3,180000,11,29640,28,23776640,1,4696000,,,,,195,31835202
Chubu,1980,171,3440560,10,11333000,2,103800,1,540,13,11437340,1,1380000,,,,,185,16257900
Hokuriku,1980,111,1292010,3,1412000,,,1,192,4,1412192,,,,,,,115,2704202
Kansai,1980,136,5826577,12,11506000,3,360000,,,15,11866000,3,5668000,,,,,154,23360577
Chugoku,1980,91,1642495,9,4876900,2,268000,4,16410,15,5161310,1,460000,,,,,107,7263805
Shikoku,1980,57,447336,4,3137000,1,34000,1,564,6,3171564,1,566000,,,,,64,4184900
Kyushu,1980,135,1578742,11,6935000,3,3300,34,172194,46,7110494,1,1118000,2,67500,,,184,9874736
Okinawa,1980,,,4,711000,2,84000,13,77450,20,875450,,,,,,,20,875450
Hokkaido,1979,60,901175,6,2095000,4,248000,5,9860,15,2352860,,,,,,,75,3254035
Tohoku,1979,211,1759475,6,4525000,,,4,47420,10,4572420,,,1,50000,,,222,6381895
Tokyo,1979,165,3319462,13,22367000,3,180000,11,29840,27,22576840,1,4696000,,,,,193,30592302
Chubu,1979,168,2335160,10,11333000,2,103800,1,380,13,11437180,1,1380000,,,,,182,15152340
Hokuriku,1979,111,1292010,3,1412000,,,1,192,4,1412192,,,,,,,115,2704202
Kansai,1979,135,5580577,12,11506000,3,360000,,,15,11866000,3,5668000,,,,,153,23114577
Chugoku,1979,93,1644035,9,4876900,2,268000,4,16910,15,5161810,1,460000,,,,,109,7265845
Shikoku,1979,57,447336,4,3137000,1,34000,1,564,6,3171564,1,566000,,,,,64,4184900
Kyushu,1979,135,1576842,9,6434000,3,3300,32,148224,44,6585524,1,559000,2,62500,,,182,8783866
Okinawa,1979,,,4,711000,2,84000,13,71740,20,869740,,,,,,,20,869740
Hokkaido,1978,59,872675,6,1745000,4,248000,5,9860,15,2002860,,,,,,,74,2875535
Tohoku,1978,209,1758775,6,4525000,,,4,47420,10,4572420,,,1,50000,,,220,6381195
Tokyo,1978,169,3150442,13,20767000,3,180000,11,27560,27,20974560,1,3596000,,,,,197,27721002
Chubu,1978,168,2334760,10,11333000,2,103800,1,380,13,11437180,1,1380000,,,,,182,15151940
Hokuriku,1978,110,1212510,3,1412000,,,1,192,4,1412192,,,,,,,114,2624702
Kansai,1978,134,5159677,12,11506000,3,360000,,,15,11866000,3,4493000,,,,,152,21518677
Chugoku,1978,92,1630235,9,4176900,2,268000,4,16410,15,4461310,1,460000,,,,,108,6551545
Shikoku,1978,60,466156,4,3137000,1,34000,1,564,6,3171564,1,566000,,,,,67,4203720
Kyushu,1978,135,1576837,9,5834000,3,3300,29,140884,41,5978184,1,559000,2,46000,,,179,8160021
Okinawa,1978,,,4,711000,2,84000,13,63040,20,859040,,,,,,,20,859040
Hokkaido,1977,58,832675,5,1395000,3,100000,5,9860,13,1504860,,,,,,,71,2337535
Tohoku,1977,210,1761955,6,4525000,,,4,39770,10,4564770,,,,,,,220,6326725
Tokyo,1977,171,3178402,13,20767000,3,180000,11,26520,27,20973520,1,2028000,,,,,199,26179922
Chubu,1977,167,2321460,10,10633000,2,103800,1,380,13,10737180,1,540000,,,,,181,13598640
Hokuriku,1977,110,1195240,3,1412000,,,1,96,4,1412096,,,,,,,114,2607336
Kansai,1977,132,4525377,12,11506000,3,360000,,,15,11866000,2,3318000,,,,,149,19709377
Chugoku,1977,92,1630195,9,4176900,2,268000,4,16410,15,4461310,1,460000,,,,,108,6551505
Shikoku,1977,59,454356,4,3137000,1,34000,1,376,6,3171376,1,566000,,,,,66,4191732
Kyushu,1977,133,1566764,9,5234000,3,3300,22,136904,34,5374204,1,559000,2,34000,,,170,7533968
Okinawa,1977,,,4,586000,2,84000,13,53460,20,724460,,,,,,,20,724460
Hokkaido,1976,58,832675,5,1270000,4,102000,5,7860,14,1379860,,,,,,,72,2212535
Tohoku,1976,210,1750315,5,3925000,,,4,39770,9,3964770,,,,,,,219,5715085
Tokyo,1976,171,3176228,13,20167000,3,180000,11,24832,27,20371832,1,2028000,,,,,199,25576060
Chubu,1976,168,2321392,10,9933000,2,103800,1,380,13,10037180,1,540000,,,,,182,12898572
Hokuriku,1976,110,1195040,3,1412000,,,1,96,4,1412096,,,,,,,114,2607136
Kansai,1976,132,4485227,11,10306000,3,360000,,,14,10666000,2,3318000,,,,,148,18469227
Chugoku,1976,93,1631195,9,3776900,2,268000,4,16410,15,4061310,1,460000,,,,,109,6152505
Shikoku,1976,59,454156,4,3137000,1,34000,1,376,6,3171376,,,,,,,65,3625532
Kyushu,1976,133,1566414,9,4989000,2,2200,22,130154,33,5121354,1,559000,1,11000,,,168,7257768
Okinawa,1976,,,4,632000,1,29000,14,47995,20,709995,,,,,,,20,709995
Hokkaido,1975,58,832675,5,1270000,4,102000,5,7980,14,1379980,,,,,,,72,2212655
Tohoku,1975,211,1722345,5,3925000,,,4,39770,9,3964770,,,,,,,220,5687115
Tokyo,1975,185,3194602,13,19167000,3,180000,10,24152,26,19371152,1,2028000,,,,,212,24593754
Chubu,1975,166,1966992,10,9933000,2,103800,1,380,13,10037180,1,540000,,,,,180,12544172
Hokuriku,1975,109,1145140,3,1412000,,,1,96,4,1412096,,,,,,,113,2557236
Kansai,1975,133,4483877,11,10306000,3,360000,,,14,10666000,2,2492000,,,,,149,17641877
Chugoku,1975,92,1011195,9,3776900,2,134000,3,8895,14,3919795,1,460000,,,,,107,5390990
Shikoku,1975,61,456774,4,2687000,1,34000,1,376,6,2721376,,,,,,,67,3178150
Kyushu,1975,133,1566418,9,4489000,,,21,125554,30,4614554,1,559000,1,11000,,,165,6750972
Okinawa,1975,,,,,,,,,21,704585,,,,,,,21,704585
Hokkaido,1974,58,812915,5,1270000,4,102000,5,6820,14,1378820,,,,,,,72,2191735
Tohoku,1974,214,1666395,5,3925000,,,4,32270,9,3957270,,,,,,,223,5623665
Tokyo,1974,185,3194602,13,17167000,3,180000,10,19184,26,17366184,1,1244000,,,,,212,21804786
Chubu,1974,168,1941242,10,9433000,2,103800,1,380,13,9537180,,,,,,,181,11478422
Hokuriku,1974,110,1146440,3,1412000,,,1,96,4,1412096,,,,,,,114,2558536
Kansai,1974,133,3861577,12,10672000,3,360000,,,15,11032000,2,1666000,,,,,150,16559577
Chugoku,1974,92,973235,9,3777700,,,3,8895,12,3786595,1,460000,,,,,105,5219830
Shikoku,1974,61,449814,4,2237000,1,34000,1,376,6,2271376,,,,,,,67,2721190
Kyushu,1974,133,1066009,9,4489000,,,21,114754,30,4603754,,,1,11000,,,164,5680763
Okinawa,1974,,,,,,,,,24,697305,,,,,,,24,697305
Hokkaido,1973,57,612915,5,1270000,4,102000,5,6320,14,1378320,,,,,,,71,1991235
Tohoku,1973,214,1666395,5,3575000,,,4,24470,9,3599470,,,,,,,223,5265865
Tokyo,1973,191,3199462,12,15567000,3,180000,9,14264,24,15761264,1,460000,,,,,216,19420726
Chubu,1973,168,1941242,10,8933000,2,103800,1,380,13,9037180,,,,,,,181,10978422
Hokuriku,1973,110,1146440,2,912000,,,1,96,3,912096,,,,,,,113,2058536
Kansai,1973,131,3152477,13,10390000,2,240000,,,15,10630000,1,840000,,,,,147,14622477
Chugoku,1973,92,973235,9,3277700,,,3,8895,12,3286595,1,460000,,,,,105,4719830
Shikoku,1973,61,449814,5,1949000,1,34000,1,276,7,1983276,,,,,,,68,2433090
Kyushu,1973,132,1066004,8,3989000,,,22,106004,30,4095004,,,1,11000,,,163,5172008
Okinawa,1973,,,,,,,,,27,480600,,,,,,,27,480600
Hokkaido,1972,56,612715,4,1020000,3,82000,5,6320,12,1108320,,,,,,,68,1721035
Tohoku,1972,218,1613085,5,2975000,,,4,24470,9,2999470,,,,,,,227,4612555
Tokyo,1972,197,3207872,12,14767000,3,180000,9,13864,24,14960864,1,460000,,,,,222,18628736
Chubu,1972,168,1941242,9,8077000,2,103800,1,240,12,8181040,,,,,,,180,10122282
Hokuriku,1972,113,1147940,2,912000,,,1,96,3,912096,,,,,,,116,2060036
Kansai,1972,127,2806977,13,8590000,1,120000,,,14,8710000,1,840000,,,,,142,12356977
Chugoku,1972,92,973235,9,2902700,,,3,8895,12,2911595,,,,,,,104,3884830
Shikoku,1972,67,450387,5,1499000,1,34000,1,276,7,1533276,,,,,,,74,1983663
Kyushu,1972,131,1004064,8,3174000,,,22,102904,30,3276904,,,1,11000,,,162,4291968
Okinawa,1972,,,,,,,,,31,434135,,,,,,,31,434135
Hokkaido,1971,51,552300,4,1020000,4,102000,3,2390,11,1124390,,,,,,,62,1676690
Tohoku,1971,220,1617715,5,2725000,,,4,19470,9,2744470,,,,,,,229,4362185
Tokyo,1971,209,3144578,13,13622000,3,180000,9,11244,25,13813244,1,460000,,,,,235,17417822
Chubu,1971,168,1941475,9,6202000,2,103800,1,240,12,6306040,,,,,,,180,8247515
Hokuriku,1971,115,1148340,1,562000,,,1,96,2,562096,,,,,,,117,1710436
Kansai,1971,127,2806977,13,8590000,,,,,13,8590000,1,340000,,,,,141,11736977
Chugoku,1971,95,978705,10,1912700,,,3,5875,13,1918575,,,,,,,108,2897280
Shikoku,1971,68,450967,5,1149000,1,34000,1,276,7,1183276,,,,,,,75,1634243
Kyushu,1971,131,1004184,8,2687000,,,11,72810,19,2759810,,,1,11000,,,151,3774994
Okinawa,1971,,,,,,,,,,,,,,,,,,
Hokkaido,1970,52,528230,4,1119000,4,102000,3,1924,11,1222924,,,,,,,63,1751154
Tohoku,1970,221,1618240,4,2025000,,,4,19470,8,2044470,,,,,,,229,3662710
Tokyo,1970,222,3128334,12,11122000,2,60000,9,10224,23,11192224,1,460000,,,,,246,14780558
Chubu,1970,169,1943755,8,5202000,1,30000,1,240,10,5232240,,,,,,,179,7175995
Hokuriku,1970,118,1148952,1,562000,,,1,96,2,562096,,,,,,,120,1711048
Kansai,1970,126,2743977,12,7690000,,,1,960,12,7690000,1,340000,,,,,139,10773977
Chugoku,1970,98,978776,10,1912700,,,3,6375,13,1919075,,,,,,,111,2897851
Shikoku,1970,68,450967,4,954000,1,34000,1,244,6,988244,,,,,,,74,1439211
Kyushu,1970,132,953624,8,2312000,,,11,63110,19,2375110,,,1,11000,,,152,3339734
Okinawa,1970,,,,,,,,,,,,,,,,,,
Hokkaido,1969,53,533330,4,1119000,3,62000,3,1924,10,1182924,,,,,,,63,1716254
Tohoku,1969,222,1598800,3,1675000,,,2,14150,5,1689150,,,,,,,227,3287950
Tokyo,1969,222,2799354,10,9822000,2,60000,9,9924,21,9891924,,,,,,,243,12691278
Chubu,1969,167,1852555,7,4762000,1,30000,1,240,9,4792240,,,,,,,176,6644795
