Company,Year_term,Lighting_Fixed rate lighting (MWh),Lighting_Meter rate lighting A/B (MWh),Lighting_Meter rate lighting C (MWh),Lighting_Temporary power (MWh),Lighting_Agricultural power (MWh),Lighting_Public street lighting (MWh),Lighting_Total Lighting - optional contracs (MWh),Lighting_Total Lighting - optional contracs2 (MWh),Lighting_Total Lighting (MWh),Power_Commercial use power - optional contracts (MWh),Power_Commercial use power (MWh),Power_Small use power_Low voltage power - optipnal contracts (MWh),Power_Small use power_Low voltage power (MWh),Power_Small use power_High voltage power A - optinal contracts (MWh),Power_Small use power_High voltage power A (MWh),Power_Small use power_Total Small use power - optional contracts (MWh),Power_Small use power_Total Small use power (MWh),Power_High voltage power B - optional contracts (MWh),Power_High voltage power B (MWh),Power_Other power services_Temporary power (MWh),Power_Other power services_Agricultural power (MWh),Power_Other power services_Construction power (MWh),Power_Other power services_Business use power (MWh),Power_Other power services_High voltage power B - optional contracts (MWh),Power_Other power services_High voltage power B (MWh),Power_Other power services_Commercial use power (MWh),Power_Other power services_High voltage power A/B (MWh),Power_Other power services_Other power services - optional contracts (MWh),Power_Other power services_Total Other power services (MWh),Power_Total Power - optional contracts (MWh),Power_Total Power (MWh),Total of Lighting and Power (MWh),Specific scale demands (MWh),Total Electricity sales (MWh)
会社名,年期,電灯需要_定額電灯,電灯需要_従量電灯AB,電灯需要_従量電灯C,電灯需要_臨時電灯,電灯需要_農事用電灯,電灯需要_公衆街路灯,電灯需要_電灯計_選択約款,電灯需要_電灯計_選択約款2,電灯需要_電灯合計,電力需要_業務用電力_選択約款,電力需要_業務用電力,電力需要_小口電力_低圧電力_選択約款,電力需要_小口電力_低圧電力,電力需要_小口電力_高圧Ａ_選択約款,電力需要_小口電力_高圧電力A,電力需要_小口電力_小口計_選択約款,電力需要_小口電力_小口電力計,電力需要_高圧電力Ｂ_選択約款,電力需要_高圧電力Ｂ,電力需要_その他電力_臨時電力,電力需要_その他電力_農事用電力,電力需要_その他電力_建設工事用電力,電力需要_その他電力_事業用電力,電力需要_その他電力_高圧電力Ｂ_選択約款,電力需要_その他電力_高圧電力Ｂ,電力需要_その他電力_業務用電力,電力需要_その他電力_高圧電力AB,電力需要_その他電力_その他電力_選択約款,電力需要_その他電力_その他電力計,電力需要_電力計_選択約款,電力需要_電力計,電灯電力計,特定規模需要,販売電力合計
Kansai,201002,9992,3115792,464315,7629,,110000,1015772,1015772,4723500,,,754,448365,,,,,,,2516,1044,8,935,,,,,80875,85378,81629,533743,5257243,7103798,12361041
Chugoku,201002,4362,1094291,104455,2709,14,39644,649896,649896,1895371,,,289,174892,,,,,,,638,849,84,587,,,,,63174,65332,63463,240224,2135595,3130433,5266028
Shikoku,201002,1443,596414,72463,1537,,21862,246956,246956,940675,,,13363,106173,,,,,,,556,699,11,411,,,,,59302,60979,72665,167152,1107827,1263340,2371167
Kyushu,201002,7185,1709379,295795,5775,2,61777,748467,748467,2828380,,,46035,390665,,,,,,,2533,6497,19,757,,,,,66197,76003,112232,466668,3295048,3922898,7217946
Okinawa,201002,165,183949,,724,,5765,25230,25230,215833,85879,146521,,22057,,,,,,,77,254,155,509,,,146521,52636,2630,202782,99759,224839,440672,78518,519190
Hokkaido,201001,3909,838238,153535,4752,,63315,296385,296385,1360134,,,5056,113658,,,,,,,606,13,63,1908,,,,,276998,279588,282054,393246,1753380,1508246,3261626
Tohoku,201001,7757,1851058,346208,7576,,77303,605473,605473,2895375,,,15485,306122,,,,,,,1463,1104,105,876,,,,,162748,166296,178233,472418,3367793,4357369,7725162
Tokyo,201001,22387,7761062,1515873,21715,,261658,1264843,1264843,10847538,,,1414,923598,,,,,,,7189,3341,214,3367,,,,,178846,192958,180261,1116555,11964093,14022760,25986854
Chubu,201001,9174,2683116,675911,7196,220,98224,696397,696397,4170238,,,35862,481273,,,,,,,4070,2137,15,933,,,,,192402,199557,228264,680830,4851068,6709271,11560339
Hokuriku,201001,1643,459115,132124,2333,,26087,349002,349002,970304,,,10797,108172,,,,,,,925,384,0,255,,,,,48282,49846,59079,158018,1128322,1557962,2686284
Kansai,201001,10010,3860006,549310,7677,,117379,1235935,1235935,5780317,,,895,508838,,,,,,,2519,1251,10,1008,,,,,98165,102953,99060,611791,6392108,7110498,13502606
Chugoku,201001,4375,1260656,112418,2601,17,41863,738580,738580,2160510,,,332,187863,,,,,,,550,357,81,622,,,,,70579,72189,70911,260052,2420562,3159072,5579634
Shikoku,201001,1446,703099,79830,1456,,23420,284648,284648,1093899,,,15715,117917,,,,,,,472,796,11,404,,,,,67679,69362,83394,187279,1281178,1336946,2618124
Kyushu,201001,7204,2075142,336922,5819,0,63735,892183,892183,3381005,,,53125,444006,,,,,,,2664,8170,13,824,,,,,78009,89680,131134,533686,3914691,4014227,7928918
Okinawa,201001,164,223820,,752,,6054,31842,31842,262632,89125,151127,,26306,,,,,,,58,354,187,526,,,151127,56787,3263,212302,104431,238608,501240,80399,581639
Hokkaido,200912,3718,625208,120304,4432,,56962,208559,208559,1019183,,,2481,89594,,,,,,,406,67,52,944,,,,,111063,112532,113544,202126,1221309,1401399,2622708
Tohoku,200912,7416,1444284,292304,7658,,70681,429816,429816,2252159,,,14309,231793,,,,,,,1166,740,68,659,,,,,72006,74639,86315,306432,2558591,4237053,6795644
Tokyo,200912,21192,5725617,1221979,21708,,238583,925942,925942,8155021,,,992,704634,,,,,,,6134,1881,159,2484,,,,,135904,146562,136896,851196,9006217,14076209,23082426
Chubu,200912,8745,1757509,491326,6400,138,89617,449015,449015,2802750,,,28204,321549,,,,,,,3387,1358,11,718,,,,,132858,138332,161062,459881,3262631,6696895,9959526
Hokuriku,200912,1568,343910,107315,2345,,23869,243998,243998,723005,,,9377,80484,,,,,,,804,237,0,183,,,,,25245,26469,34622,106953,829958,1528802,2358760
Kansai,200912,9585,2542917,422351,6806,,104573,804939,804939,3891171,,,552,347057,,,,,,,1847,956,9,957,,,,,68272,72041,68824,419098,4310269,7002897,11313166
Chugoku,200912,4196,944398,97315,2278,11,37721,537685,537685,1623604,,,234,142254,,,,,,,414,343,42,399,,,,,55306,56504,55540,198758,1822362,3087434,4909796
Shikoku,200912,1389,494089,65729,1226,,21037,192047,192047,775517,,,13372,84765,,,,,,,405,643,13,382,,,,,49511,50954,62883,135719,911236,1347113,2258349
Kyushu,200912,6841,1441888,265864,4763,3,58548,601438,601438,2379345,,,43685,316467,,,,,,,1739,6741,9,725,,,,,56275,65489,99960,381956,2761301,3878698,6639999
Okinawa,200912,156,172760,,597,,5504,23210,23210,202227,94783,162025,,28008,,,,,,,64,356,203,574,,,162025,56093,2263,221578,108756,249586,451813,89905,541718
Hokkaido,200911,3625,660990,124378,4505,,55278,186218,186218,1034994,,,1421,100584,,,,,,,1022,331,47,607,,,,,55638,57645,57059,158229,1193223,1404806,2598029
Tohoku,200911,7251,1265093,261757,6845,,68012,311937,311937,1920895,,,14520,213669,,,,,,,1231,820,67,614,,,,,52478,55210,66998,268879,2189774,4058082,6247856
Tokyo,200911,20593,4952593,1116633,19151,,230422,806426,806426,7145818,,,740,615654,,,,,,,4441,1840,176,2759,,,,,119922,129137,120662,744792,7890609,13983799,21874408
Chubu,200911,8522,1663983,493602,5795,56,87072,413679,413679,2672709,,,31143,308862,,,,,,,2454,1676,7,689,,,,,127485,132311,158628,441173,3113882,6650522,9764404
Hokuriku,200911,1525,298296,97298,2193,,22942,187242,187242,609496,,,9784,69105,,,,,,,782,383,0,169,,,,,19681,21015,29465,90120,699616,1439603,2139219
Kansai,200911,9364,2382670,432604,6039,,103520,733034,733034,3667231,,,332,335737,,,,,,,1387,1355,8,876,,,,,64448,68074,64780,403811,4071042,6914669,10985711
Chugoku,200911,4101,813460,92707,1748,3,37077,447582,447582,1396678,,,173,124071,,,,,,,379,1385,80,403,,,,,48806,51053,48979,175124,1571802,2997790,4569592
Shikoku,200911,1363,446031,65218,976,,21065,162802,162802,697455,,,14948,81057,,,,,,,233,908,13,376,,,,,44776,46306,59724,127363,824818,1272473,2097291
Kyushu,200911,6650,1315860,263326,3758,14,57417,523947,523947,2170972,,,49236,301537,,,,,,,1100,8064,9,748,,,,,51201,61122,100437,362659,2533631,3864792,6398423
Okinawa,200911,153,197101,,586,,5439,23924,23924,227203,106226,190847,,38333,,,,,,,59,402,164,637,,,190847,60953,2123,255185,120555,293518,520721,97232,617953
Hokkaido,200910,3379,577705,108923,3786,,49008,127859,127859,870660,,,1055,105067,,,,,,,3369,436,34,476,,,,,14730,19045,15785,124112,994772,1414367,2409139
Tohoku,200910,6824,1211155,255429,6000,,61636,255174,255174,1796218,,,15808,254606,,,,,,,2117,1521,90,578,,,,,46527,50833,62335,305439,2101657,4137481,6239138
Tokyo,200910,19040,4707054,1086995,17417,,208191,743823,743823,6782519,,,354,689686,,,,,,,3724,5386,177,2383,,,,,101431,113100,101785,802787,7585306,14397918,21983224
Chubu,200910,7962,1586626,473521,5052,43,78112,363841,363841,2515157,,,30656,363764,,,,,,,1645,4208,5,659,,,,,101820,108337,132476,472101,2987258,6879002,9866260
Hokuriku,200910,1423,265758,89915,2025,,20592,144922,144922,524635,,,10631,75163,,,,,,,1012,1403,0,167,,,,,16239,18821,26870,93984,618619,1481056,2099675
Kansai,200910,8832,2297630,418777,5292,,92913,639860,639860,3463304,,,116,417273,,,,,,,1480,4100,7,331,,,,,50770,56688,50886,473961,3937265,7322749,11260014
Chugoku,200910,3869,776962,89490,1553,7,33422,384607,384607,1289910,,,87,150478,,,,,,,417,5827,65,430,,,,,38995,45734,39082,196212,1486122,3167892,4654014
Shikoku,200910,1293,458876,66104,856,,19067,145857,145857,692053,,,15825,104945,,,,,,,209,2910,9,374,,,,,37185,40687,53010,145632,837685,1360128,2197813
Kyushu,200910,6183,1302803,256566,3309,45,52425,449976,449976,2071307,,,52801,376312,,,,,,,984,19661,11,765,,,,,40366,61787,93167,438099,2509406,4218033,6727439
Okinawa,200910,144,232651,,587,,4886,22712,22712,260980,116916,219022,,53424,,,,,,,314,843,101,762,,,219022,63804,1558,286404,130399,339828,600808,103368,704176
Hokkaido,200909,3276,569837,108720,3455,,46369,112748,112748,844405,,,1192,110565,,,,,,,490,1913,31,482,,,,,9065,11981,10257,122546,966951,1510242,2477193
Tohoku,200909,6684,1164151,244187,5068,,57452,223321,223321,1700863,,,15243,255699,,,,,,,767,14993,69,562,,,,,37852,54243,53095,309942,2010805,4227198,6238003
Tokyo,200909,18403,5433837,1188571,18084,,197025,763417,763417,7619336,,,222,944549,,,,,,,4534,32213,174,2394,,,,,88580,127894,88802,1072443,8691779,15342691,24034469
Chubu,200909,7725,1789226,496075,5224,41,73733,355898,355898,2727922,,,30936,485996,,,,,,,1654,10347,6,658,,,,,83355,96020,114291,582016,3309938,7385813,10695751
Hokuriku,200909,1374,295192,96493,2055,,19441,139154,139154,553709,,,11818,99570,,,,,,,766,2516,0,203,,,,,14205,17690,26023,117260,670969,1509011,2179980
Kansai,200909,8610,2739893,439560,5566,,87083,647205,647205,3927917,,,136,576892,,,,,,,1961,10722,7,1649,,,,,41861,56200,41997,633092,4561009,7783911,12344920
Chugoku,200909,3771,897029,93164,1699,7,31415,385136,385136,1412221,,,80,204995,,,,,,,436,6245,45,448,,,,,32831,40005,32911,245000,1657221,3358417,5015638
Shikoku,200909,1265,544191,70090,1066,,18476,146160,146160,781248,,,17454,144750,,,,,,,357,4918,10,410,,,,,30906,36601,48360,181351,962599,1392385,2354984
Kyushu,200909,5988,1629295,280331,3847,381,50239,467728,467728,2437809,,,57418,527567,,,,,,,1226,27597,12,822,,,,,34377,64034,91795,591601,3029410,4607243,7636653
Okinawa,200909,141,279936,,624,,4640,24172,24172,309513,126874,233726,,63973,,,,,,,268,725,89,828,,,233726,67370,1421,304427,141468,368400,677913,111638,789551
Hokkaido,200908,3161,604424,114718,3272,,43862,118912,118912,888349,,,1273,120630,,,,,,,1611,5333,29,498,,,,,9830,17301,11103,137931,1026280,1459343,2485623
Tohoku,200908,6495,1326144,273891,5273,,54994,244428,244428,1911225,,,16994,299693,,,,,,,644,19762,67,580,,,,,40876,61929,57870,361622,2272847,4296208,6569055
Tokyo,200908,17601,6036559,1270355,19472,,185741,790836,790836,8320563,,,281,1078302,,,,,,,5032,64321,170,3984,,,,,87011,160518,87292,1238820,9559383,15902175,25461558
Chubu,200908,7473,2130814,573366,5564,16,70619,412432,412432,3200284,,,35598,566430,,,,,,,1785,8903,6,691,,,,,95773,107158,131371,673588,3873872,7175324,11049196
Hokuriku,200908,1336,321178,101557,1981,0,18607,144095,144095,588754,,,12149,106310,,,,,,,463,1600,0,194,,,,,14220,16477,26369,122787,711541,1554485,2266026
Kansai,200908,8369,3294905,497970,5959,,84292,740751,740751,4632246,,,162,692585,,,,,,,2176,8580,7,1556,,,,,45773,58092,45935,750677,5382923,8060106,13443029
Chugoku,200908,3666,1015427,102745,1811,2,30988,428627,428627,1583266,,,104,230253,,,,,,,408,2213,40,470,,,,,36420,39551,36524,269804,1853070,3379489,5232559
Shikoku,200908,1232,594512,73507,1055,,17710,156421,156421,844437,,,17577,154239,,,,,,,373,4745,10,405,,,,,32141,37674,49718,191913,1036350,1491312,2527662
Kyushu,200908,5771,1784119,299913,3853,593,48311,504442,504442,2647002,,,61613,573982,,,,,,,1270,19309,12,886,,,,,36878,58355,98491,632337,3279339,4644756,7924095
Okinawa,200908,137,304961,,667,,4546,24882,24882,335193,125224,239158,,71388,,,,,,,179,686,100,871,,,239158,67878,1505,310377,140044,381765,716958,118354,835312
Hokkaido,200907,3090,566121,109002,2732,,41833,120271,120271,843049,,,1129,105207,,,,,,,329,6176,28,513,,,,,11531,18577,12660,123784,966833,1377077,2343910
Tohoku,200907,6348,1102000,233594,4323,,51425,213442,213442,1611132,,,14750,235180,,,,,,,567,25089,105,544,,,,,40019,66324,54769,301504,1912636,4253630,6166266
Tokyo,200907,17181,5254307,1177970,23182,,178816,746539,746539,7397995,,,200,888895,,,,,,,4254,62573,187,3444,,,,,99324,169782,99524,1058677,8456672,15475185,23931857
Chubu,200907,7317,1646660,478422,4719,13,67291,347397,347397,2551819,,,30448,419268,,,,,,,1466,9659,6,625,,,,,97220,108976,127668,528244,3080063,7291024,10371087
Hokuriku,200907,1301,287643,94575,1550,0,17736,136623,136623,539428,,,11373,92203,,,,,,,342,2709,0,174,,,,,15060,18285,26433,110488,649916,1595552,2245468
Kansai,200907,8215,2528365,429908,4921,,79533,629888,629888,3680830,,,110,523490,,,,,,,1626,11100,8,1369,,,,,47320,61423,47430,584913,4265743,7906319,12172062
Chugoku,200907,3598,856464,95368,1464,3,29311,390234,390234,1376442,,,75,183734,,,,,,,347,3590,62,392,,,,,38927,43318,39002,227052,1603494,3183126,4786620
Shikoku,200907,1207,500870,68899,784,,17016,143112,143112,731888,,,16049,125820,,,,,,,287,7015,11,390,,,,,35577,43280,51626,169100,900988,1494565,2395553
Kyushu,200907,5635,1488380,277550,3208,384,46618,460113,460113,2281888,,,54803,468577,,,,,,,910,25092,11,827,,,,,40062,66902,94865,535479,2817367,4349549,7166916
Okinawa,200907,135,246017,,559,,4311,21198,21198,272220,108465,203792,,56447,,,,,,,107,329,78,824,,,203792,61495,1662,268287,122797,324734,596954,118305,715259
Hokkaido,200906,3250,499314,95972,2008,,44803,116525,116525,761872,,,939,84760,,,,,,,240,6697,37,555,,,,,14451,21980,15390,106740,868612,1332919,2201531
Tohoku,200906,6634,1125131,237968,3978,,56522,233094,233094,1663327,,,14846,203809,,,,,,,592,40307,63,576,,,,,48703,90241,63549,294050,1957377,4014329,5971706
Tokyo,200906,18169,4213189,979877,15747,,188596,636778,636778,6052355,,,134,608293,,,,,,,3359,63727,404,2231,,,,,101859,171580,101993,779872,6832228,14337306,21169534
Chubu,200906,7676,1375323,416553,4183,21,72126,315460,315460,2191342,,,26646,294862,,,,,,,1303,11525,5,633,,,,,105502,118968,132148,413830,2605172,6658165,9263337
Hokuriku,200906,1365,260841,88303,1281,0,19080,141590,141590,512460,,,10134,69284,,,,,,,416,5460,0,156,,,,,17915,23947,28049,93231,605691,1454412,2060103
Kansai,200906,8540,2004533,366171,4037,,83568,567572,567572,3034421,,,84,331442,,,,,,,1290,11771,9,953,,,,,53234,67257,53318,398699,3433120,7124367,10557487
Chugoku,200906,3749,725174,85302,1154,3,31546,370030,370030,1216958,,,66,127570,,,,,,,309,4081,51,373,,,,,43676,48490,43742,176060,1393018,2816495,4209513
Shikoku,200906,1257,388172,58073,551,,18242,125718,125718,592013,,,14536,84437,,,,,,,200,7066,10,365,,,,,37495,45136,52031,129573,721586,1375679,2097265
Kyushu,200906,5926,1177439,239517,2300,19,49140,421896,421896,1896237,,,46511,319419,,,,,,,797,15574,8,740,,,,,44129,61248,90640,380667,2276904,3960908,6237812
Okinawa,200906,140,188942,,436,,4649,18545,18545,212712,99395,175808,,39571,,,,,,,257,1156,65,698,,,175808,58444,1927,238355,113399,277926,490638,102670,593308
Hokkaido,200905,3360,655710,122811,1764,,48701,174418,174418,1006764,,,2090,107912,,,,,,,425,2962,51,1088,,,,,39115,43641,41205,151553,1158317,1338022,2496339
Tohoku,200905,6793,1279793,260726,3727,,60107,296022,296022,1907168,,,15510,218835,,,,,,,1139,27564,83,683,,,,,60536,90005,76046,308840,2216008,3805599,6021607
Tokyo,200905,18819,4950358,1122699,14451,,204080,755273,755273,7065680,,,411,636457,,,,,,,3595,65978,361,2495,,,,,134521,206951,134932,843408,7909088,13090500,20999588
Chubu,200905,7921,1738816,506707,4287,34,77349,409438,409438,2744552,,,31989,323312,,,,,,,1680,10462,4,757,,,,,155993,168896,187982,492208,3236760,5982454,9219214
Hokuriku,200905,1412,300894,97203,1213,0,20428,180011,180011,601161,,,10044,69728,,,,,,,485,7710,0,166,,,,,22364,30725,32408,100453,701614,1317525,2019139
Kansai,200905,8761,2496932,438147,4339,,92473,743006,743006,3783658,,,321,346101,,,,,,,1578,6635,7,823,,,,,78122,87165,78443,433266,4216924,6523060,10739984
Chugoku,200905,3846,789282,88597,1135,3,32953,424537,424537,1340353,,,129,120258,,,,,,,364,2356,31,379,,,,,53071,56201,53200,176459,1516812,2684441,4201253
Shikoku,200905,1284,460471,65536,598,,18868,160034,160034,706791,,,14136,83441,,,,,,,305,4239,16,340,,,,,50951,55851,65087,139292,846083,1252807,2098890
Kyushu,200905,6115,1314663,258765,2290,4,51980,504605,504605,2138422,,,48830,310978,,,,,,,1079,8393,11,740,,,,,61611,71834,110441,382812,2521234,3679866,6201100
Okinawa,200905,144,180576,,389,,4825,19807,19807,205741,86274,148274,,30996,,,,,,,163,629,51,615,,,148274,54092,2421,206245,99659,237241,442982,98594,541576
Hokkaido,200904,3623,619265,120581,1402,,54024,186702,186702,985597,,,4003,97915,,,,,,,276,41,72,1275,,,,,92741,94405,96744,192320,1177917,1464457,2642374
Tohoku,200904,7208,1516588,304679,4136,,67227,415345,415345,2315183,,,15104,255340,,,,,,,2474,5397,103,750,,,,,79754,88478,94858,343818,2659001,3862987,6521988
Tokyo,200904,20497,5854322,1277200,16910,,227591,874256,874256,8270776,,,634,727689,,,,,,,4699,10977,389,2192,,,,,159412,177670,160046,905360,9176136,13521260,22697396
Chubu,200904,8481,1909290,533322,4762,38,85365,450423,450423,2991681,,,29582,353834,,,,,,,1789,5038,5,772,,,,,200412,208016,229994,561850,3553531,6009867,9563398
Hokuriku,200904,1522,342555,107905,1368,0,22643,227682,227682,703675,,,9256,79426,,,,,,,570,3864,0,224,,,,,25319,29977,34575,109403,813078,1281962,2095040
Kansai,200904,9284,2726053,445920,6150,0,99908,814912,814912,4102227,0,0,561,374613,,,,,,,1902,1735,9,945,,,0,0,86606,91197,87167,465810,4568037,6564166,11132203
Chugoku,200904,4074,936524,99902,1565,4,36336,510601,510601,1589006,,,203,141467,,,,,,,498,1489,42,415,,,,,61856,64300,62059,205767,1794773,2686193,4480966
Shikoku,200904,1356,511280,69207,792,,20504,183199,183199,786338,,,13131,87869,,,,,,,601,1948,14,349,,,,,57452,60364,70583,148233,934571,1222211,2156782
Kyushu,200904,6584,1512490,286305,3292,1,56712,596116,596116,2461500,,,47141,329244,,,,,,,1358,7012,15,755,,,,,93016,102156,140157,431400,2892900,3679785,6572685
Okinawa,200904,153,177120,,462,,5361,20216,20216,203312,88949,152469,,26660,,,,,,,127,655,49,596,,,152469,55910,2593,212399,103152,239059,442371,83728,526099
Hokkaido,200903,3574,669917,130739,2855,,53664,216023,216023,1076772,,,4808,98206,,,,,,,462,126,76,1788,,,,,189843,192295,194651,290501,1367273,1401255,2768528
Tohoku,200903,7118,1542175,303594,7103,,65646,447936,447936,2373572,,,13741,255291,,,,,,,2246,2364,105,797,,,,,98169,103681,111910,358972,2732544,3862466,6595010
Tokyo,200903,20200,6105547,1270370,23840,,220336,878969,878969,8519262,,,642,778264,,,,,,,7132,2482,343,1939,,,,,150871,162768,151514,941031,9460293,13303250,22763543
Chubu,200903,8370,1957519,531211,6470,79,83381,456406,456406,3043436,,,26969,372967,,,,,,,3399,3482,3,781,,,,,160122,167787,187091,540754,3584190,6038577,9622767
Hokuriku,200903,1504,360531,110357,1999,0,22176,243868,243868,740435,,,8705,84026,,,,,,,975,1840,0,269,,,,,28287,31371,36992,115397,855832,1329926,2185758
Kansai,200903,9201,2819420,436136,8043,,97329,832919,832919,4203048,,,553,397037,,,,,,,2764,1201,6,922,,,,,79632,84525,80185,481562,4684610,6514923,11199533
Chugoku,200903,4015,985690,99754,2412,8,35363,532211,532211,1659453,,,205,155034,,,,,,,816,1293,36,399,,,,,61680,64224,61885,219258,1878711,2903633,4782344
Shikoku,200903,1335,539804,69207,1277,,19852,193457,193457,824932,,,12302,93245,,,,,,,813,736,12,359,,,,,57508,59428,69810,152673,977605,1256075,2233680
Kyushu,200903,6415,1512065,276303,4774,1,55332,592008,592008,2446898,,,42091,335356,,,,,,,1848,5222,19,730,,,,,70630,78449,112721,413805,2860703,3585794,6446497
Okinawa,200903,150,167528,,607,,5179,19685,19685,193149,80260,138876,,24974,,,,,,,117,694,41,580,,,138876,50838,2455,193601,92954,218575,411724,85224,496948
Hokkaido,200902,3939,696983,135611,3758,,61621,228137,228137,1130049,,,4726,98600,,,,,,,806,-6,79,1800,,,,,213250,215929,217976,314529,1444578,1430393,2874971
Tohoku,200902,7720,1638437,319041,7747,,75625,476259,476259,2524829,,,13854,270705,,,,,,,1909,1449,122,927,,,,,116500,120907,130354,391612,2916441,3905264,6821705
Tokyo,200902,22412,6842683,1403442,25361,,255852,970737,970737,9520487,,,589,870551,,,,,,,8636,2976,315,2414,,,,,166087,180427,166676,1050978,10571465,13690406,24261871
Chubu,200902,9155,2206648,583692,7633,175,95890,508690,508690,3411883,,,28274,423695,,,,,,,4401,2792,2,859,,,,,169755,177809,198029,601504,4013387,6051904,10065291
Hokuriku,200902,1642,411532,123158,2422,0,25455,274911,274911,839120,,,9680,97317,,,,,,,1345,828,0,314,,,,,35551,38038,45231,135355,974475,1293508,2267983
Kansai,200902,9946,3155004,468464,7884,,111247,921178,921178,4673723,,,567,447395,,,,,,,2951,1167,7,856,,,,,86013,90994,86580,538389,5212112,6542193,11754305
Chugoku,200902,4331,1158446,111427,3016,15,40333,616369,616369,1933937,,,227,183265,,,,,,,971,884,55,439,,,,,68979,71328,69206,254593,2188530,2745581,4934111
Shikoku,200902,1441,605683,74009,1558,,22169,213625,213625,918485,,,12458,104968,,,,,,,562,673,21,384,,,,,62026,63666,74484,168634,1087119,1220381,2307500
Kyushu,200902,7149,1729098,299988,5852,1,62118,668385,668385,2772591,,,43266,387691,,,,,,,2320,6015,18,750,,,,,69993,79096,113259,466787,3239378,3703292,6942670
Okinawa,200902,163,176740,,646,,5805,21902,21902,205256,83452,144729,,22215,,,,,,,148,446,46,553,,,144729,52433,2757,201112,96911,223327,428583,74033,502616
Hokkaido,200901,3958,830849,154324,4403,,64563,265387,265387,1323484,,,4673,113680,,,,,,,864,10,89,1696,,,,,237729,240388,242402,354068,1677552,1467059,3144611
Tohoku,200901,7719,1802007,336938,7730,,77412,510938,510938,2742744,,,15310,283183,,,,,,,1779,985,128,856,,,,,128950,132698,144260,415881,3158625,4067400,7226025
Tokyo,200901,22537,7330720,1456503,23517,,261958,1031245,1031245,10126479,,,454,875409,,,,,,,7890,3130,411,2478,,,,,176768,190677,177222,1066086,11192565,13562450,24755015
Chubu,200901,9195,2680796,682773,7920,244,98427,607663,607663,4087018,,,33554,478210,,,,,,,4210,2180,2,930,,,,,201429,208751,234983,686961,4773979,6259716,11033695
Hokuriku,200901,1648,471618,135102,2445,0,26237,304626,304626,941676,,,10816,103648,,,,,,,1854,317,0,274,,,,,41562,44007,52378,147655,1089331,1441046,2530377
Kansai,200901,9975,3891454,553143,8237,,118779,1118580,1118580,5700168,,,537,507864,,,,,,,2590,1395,8,953,,,,,103694,108640,104231,616504,6316672,6719597,13036269
Chugoku,200901,4335,1260808,113903,2749,16,42270,663724,663724,2087805,,,176,183727,,,,,,,845,470,34,439,,,,,73825,75613,74001,259340,2347145,2819498,5166643
Shikoku,200901,1448,725900,83731,1599,,23995,250916,250916,1087589,,,15158,118769,,,,,,,431,833,17,371,,,,,72900,74552,88058,193321,1280910,1349332,2630242
Kyushu,200901,7171,2112461,345415,5897,1,64397,807120,807120,3342462,,,50888,444772,,,,,,,2508,7975,17,845,,,,,83370,94715,134258,539487,3881949,3854198,7736147
Okinawa,200901,163,225794,,706,,6153,29145,29145,261961,86749,150188,,27255,,,,,,,156,646,47,572,,,150188,56093,3557,211259,101664,238514,500475,76238,576713
Hokkaido,200812,3774,626935,123154,4580,,58110,189664,189664,1006217,,,2827,91476,,,,,,,651,144,72,1005,,,,,107200,109072,110027,200548,1206765,1456230,2662995
Tohoku,200812,7376,1484915,298764,8342,,70955,394717,394717,2265069,,,14121,238538,,,,,,,1481,694,73,677,,,,,72972,75897,87093,314435,2579504,4167426,6746930
Tokyo,200812,21316,5879360,1271761,25467,,241416,826478,826478,8265798,,,60,736100,,,,,,,6977,2009,344,3308,,,,,145674,158313,145734,894412,9160210,14209304,23369514
Chubu,200812,8764,1850589,514772,7373,164,89802,414115,414115,2885579,,,26174,344837,,,,,,,3858,1407,1,759,,,,,143912,149937,170086,494774,3380353,6675753,10056106
Hokuriku,200812,1571,357524,109933,2650,0,23836,217724,217724,713238,,,9293,82861,,,,,,,1236,244,0,213,,,,,25489,27182,34782,110043,823281,1482760,2306041
Kansai,200812,9562,2614824,422845,8133,,104786,740265,740265,3900415,,,75,360165,,,,,,,2221,1046,6,889,,,,,72527,76689,72602,436854,4337269,6934188,11271457
Chugoku,200812,4152,959755,98581,2549,10,37945,487238,487238,1590230,,,11,144755,,,,,,,605,360,32,397,,,,,57346,58740,57357,203495,1793725,3011230,4804955
Shikoku,200812,1391,533919,69919,1394,,21491,176906,176906,805020,,,12718,90227,,,,,,,348,661,15,358,,,,,54590,55972,67308,146199,951219,1383820,2335039
Kyushu,200812,6797,1510415,274401,5082,3,58738,557868,557868,2413304,,,40996,330620,,,,,,,1919,7267,13,724,,,,,62316,72239,103312,402859,2816163,3881220,6697383
Okinawa,200812,157,161810,,541,,5459,19924,19924,187891,92952,163659,,25176,,,,,,,85,402,48,592,,,163659,56003,2339,223128,106883,248304,436195,84652,520847
Hokkaido,200811,3688,650004,126406,4758,,56340,162440,162440,1003636,,,1470,101844,,,,,,,1051,196,52,592,,,,,45493,47384,46963,149228,1152864,1484647,2637511
Tohoku,200811,7183,1313450,274215,7969,,68636,284648,284648,1956101,,,14868,224441,,,,,,,1591,870,68,614,,,,,55438,58581,70306,283022,2239123,4280383,6519506
Tokyo,200811,20704,5050194,1166526,22823,,233529,716403,716403,7210179,,,,649047,,,,,,,5076,1760,245,2168,,,,,125956,135205,125956,784252,7994430,14540041,22534472
