Company,Year_term,Assets_Noncurrent assets (M. JPY),Assets_Electric utility plants and equipment (M. JPY),Assets_Hydroelectric power production facilities (M. JPY),Assets_Thermal power production facilities (M. JPY),Assets_Nuclear power production facilities (M. JPY),Assets_Internal-combustion power production facilities (M. JPY),Assets_Renewable energy power production facilities &c. (M. JPY),Assets_Transmission facilities (M. JPY),Assets_Transformation facilities (M. JPY),Assets_Distribution facilities (M. JPY),Assets_General facilities (M. JPY),Assets_Inactive facillites (M. JPY),Assets_Loaned faciliteis (M. JPY),Assets_Incidental business facillities (M. JPY),Assets_Non-operating facillities (M. JPY),Assets_Construction/Retirement in progress (M. JPY),Assets_Construction in progress (M. JPY),Assets_Retirement in progress (M. JPY),Assets_Nuclear power aboltion related in progress (M. JPY),Assets_Nuclear fuel (M. JPY),Assets_Loaded nuclear fuel (M. JPY),Assets_Nuclear fuel in processing (M. JPY),Assets_Investments and other assets (M. JPY),Assets_Long-term investments (M. JPY),Assets_Long-term investments to affiliates &c. (M. JPY),Assets_Fund for reprocessing of spent fuel (M. JPY),Receivable Nuclear Damage Compensation Support Organization Fund Grant (M. JPY),Receivable Nuclear Decomissioning Compensation Support Organization Fund Grant (M. JPY),Assets_Long-term prepaid expences (M. JPY),Assets_prepaid pension expences (M. JPY),Assets_Deferred tax assets (M. JPY),"Assets_Allowance for 
doubtful accounts (subtract) (M. JPY)",Assets_Current assets (M. JPY),Assets_Cash and deposits (M. JPY),Assets_Accounts recievable trade (M. JPY),Assets_Other accounts receivable (M. JPY),Assets_short-term investment (M. JPY),Assets_Inventories (M. JPY),Assets_Prepaid money (M. JPY),Assets_Prepaid expenses (M. JPY),Assets_Short-term receivables from affiliates &c. (M. JPY),Assets_Deferred tax assets2 (M. JPY),Assets_Other current assets (M. JPY),"Assets_Allowance for 
doubtful accounts (subtract)2 (M. JPY)",Assets_Total (M. JPY)
会社名,年期,1_固定資産,Ｉ電気事業固定資産,水力発電設備,汽力発電設備,原子力発電設備,内燃力発電設備,新エネルギー等発電設備,送電設備,変電設備,配電設備,業務設備,休止設備,貸付設備,II附帯事業固定資産,III事業外固定資産,IV固定資産仮勘定,建設仮勘定,除却仮勘定,原子力廃止関連仮勘定,Ｖ核燃料,装荷核燃料,加工中等核燃料,VI投資その他の資産,長期投資,関係会社長期投資,使用済燃料再処理等積立金,未収原子力損害賠償支援機構資金交付金,未収原賠廃炉等支援機構資金交付金,長期前払費用,前払年金費用,繰延税金資産,貸倒引当金貸方,2_流動資産,現金および預金,売掛金,諸未収入金,短期投資,貯蔵品,前払金,前払費用,関係会社短期債権,繰延税金資産2,雑流動資産,貸倒引当金貸方2,合計
Hokuriku,2014,1174682,833924,100288,111890,177509,39,2785,166881,87969,154356,32134,,67,2547,10303,80893,80879,13,,105023,26219,78804,141990,62892,27804,9481,,,1913,12059,27861,-23,244804,161986,41339,936,,19040,,4052,940,4910,11742,-143,1419487
Kansai,2014,6156395,3584188,303775,549312,366817,6325,1884,928726,409120,883147,117512,,17565,15103,7723,401758,372128,1533,28095,530065,74774,455290,1617556,180575,429317,551395,,,24424,,432505,-661,612538,72372,175434,24192,160000,100177,,1040,11228,43887,25985,-1778,6768934
Chugoku,2014,2491339,1375990,126353,190265,76323,2083,2277,334831,149142,387985,84016,22712,,190,4461,658752,639510,1156,18086,186577,7034,179542,265367,82891,40163,50225,,,15064,23711,53347,-36,376907,126247,78889,8861,83000,54937,5,1565,10569,8682,4568,-419,2868246
Shikoku,2014,1209393,717437,65305,68837,107502,494,550,146613,87238,211323,28409,,1162,3363,385,43649,43357,292,,141491,,141491,303066,61677,92700,104477,,,3456,9751,31062,-58,129277,29462,53073,2426,,27522,,537,11947,5518,1375,-2585,1338671
Kyushu,2014,3651325,2281270,288429,158031,199313,18465,14980,632131,220839,625075,118221,,5782,9617,3620,391725,367377,2655,21692,280616,75531,205084,684474,94780,184605,282071,,,6562,9779,107187,-512,739586,466141,149455,15829,,60005,,3392,2368,30371,12474,-452,4390912
Okinawa,2014,371133,337656,,139707,,17756,416,51007,36174,78303,13564,180,545,166,877,11331,10785,545,,,,,21102,10710,4303,,,,2467,,3665,-45,29801,4594,6800,1517,,14386,,120,8,1411,1075,-113,400934
Hokkaido,2013,1513163,1009785,100446,85690,238286,2040,2792,175782,79630,280452,44325,,338,105,3222,197429,197319,109,,129574,,129574,173045,44410,35833,60026,,,443,,32629,-299,206695,112202,37695,2112,,43408,,790,2363,2914,5768,-560,1719859
Tohoku,2013,3433591,2533456,158531,289153,292642,71180,12460,681980,250137,672699,104168,,501,1494,6542,218000,216367,1632,,153546,34729,118817,520550,83802,194249,85132,,,8601,,148934,-170,549159,84333,126510,5325,155000,66759,,210,32512,64390,14646,-528,3982750
Tokyo,2013,11979610,7220015,605601,1132511,595387,14567,12728,1875621,748914,2105967,127214,,1500,39693,1636,851162,850331,830,,785606,123541,662065,3081496,104649,651444,1016916,1101844,,114591,93400,,-1349,2390232,1444343,499044,35121,,221779,1960,1290,13665,,177419,-4391,14369843
Chubu,2013,4638205,3301093,247962,669964,196949,83,6208,832696,416621,813237,116499,,870,25587,8240,264902,264399,502,,245097,40040,205057,793283,161950,187400,204946,,,11116,2870,225263,-265,796325,66872,165935,10052,403000,108772,,188,5417,16960,20236,-1110,5434531
