Company,Year_term,Assets_Noncurrent assets (M. JPY),Assets_Electric utility plants and equipment (M. JPY),Assets_Hydroelectric power production facilities (M. JPY),Assets_Thermal power production facilities (M. JPY),Assets_Nuclear power production facilities (M. JPY),Assets_Internal-combustion power production facilities (M. JPY),Assets_Renewable energy power production facilities &c. (M. JPY),Assets_Transmission facilities (M. JPY),Assets_Transformation facilities (M. JPY),Assets_Distribution facilities (M. JPY),Assets_General facilities (M. JPY),Assets_Inactive facillites (M. JPY),Assets_Loaned faciliteis (M. JPY),Assets_Incidental business facillities (M. JPY),Assets_Non-operating facillities (M. JPY),Assets_Construction/Retirement in progress (M. JPY),Assets_Construction in progress (M. JPY),Assets_Retirement in progress (M. JPY),Assets_Nuclear power aboltion related in progress (M. JPY),Assets_Nuclear fuel (M. JPY),Assets_Loaded nuclear fuel (M. JPY),Assets_Nuclear fuel in processing (M. JPY),Assets_Investments and other assets (M. JPY),Assets_Long-term investments (M. JPY),Assets_Long-term investments to affiliates &c. (M. JPY),Assets_Fund for reprocessing of spent fuel (M. JPY),Receivable Nuclear Damage Compensation Support Organization Fund Grant (M. JPY),Receivable Nuclear Decomissioning Compensation Support Organization Fund Grant (M. JPY),Assets_Long-term prepaid expences (M. JPY),Assets_prepaid pension expences (M. JPY),Assets_Deferred tax assets (M. JPY),"Assets_Allowance for 
doubtful accounts (subtract) (M. JPY)",Assets_Current assets (M. JPY),Assets_Cash and deposits (M. JPY),Assets_Accounts recievable trade (M. JPY),Assets_Other accounts receivable (M. JPY),Assets_short-term investment (M. JPY),Assets_Inventories (M. JPY),Assets_Prepaid money (M. JPY),Assets_Prepaid expenses (M. JPY),Assets_Short-term receivables from affiliates &c. (M. JPY),Assets_Deferred tax assets2 (M. JPY),Assets_Other current assets (M. JPY),"Assets_Allowance for 
doubtful accounts (subtract)2 (M. JPY)",Assets_Total (M. JPY)
会社名,年期,1_固定資産,Ｉ電気事業固定資産,水力発電設備,汽力発電設備,原子力発電設備,内燃力発電設備,新エネルギー等発電設備,送電設備,変電設備,配電設備,業務設備,休止設備,貸付設備,II附帯事業固定資産,III事業外固定資産,IV固定資産仮勘定,建設仮勘定,除却仮勘定,原子力廃止関連仮勘定,Ｖ核燃料,装荷核燃料,加工中等核燃料,VI投資その他の資産,長期投資,関係会社長期投資,使用済燃料再処理等積立金,未収原子力損害賠償支援機構資金交付金,未収原賠廃炉等支援機構資金交付金,長期前払費用,前払年金費用,繰延税金資産,貸倒引当金貸方,2_流動資産,現金および預金,売掛金,諸未収入金,短期投資,貯蔵品,前払金,前払費用,関係会社短期債権,繰延税金資産2,雑流動資産,貸倒引当金貸方2,合計
Tokyo,2010,11530300,7673295,682087,946104,737601,9649,1038,2102345,834453,2198490,152454,,9069,60862,5536,700280,693775,6505,,870450,134186,736264,2219874,450831,695753,982696,,,91121,,,-528,2725658,2134396,336300,44829,,133254,4595,4544,14250,,56111,-2625,14255958
Chubu,2010,4742256,3307316,272181,511552,269426,100,5119,891405,403265,825657,127772,,834,19272,11460,404794,404561,233,,261283,41220,220062,738129,150888,134236,240001,,,13673,,199641,-311,291362,68632,104278,6586,,79921,,763,2869,17122,12041,-853,5033619
Hokuriku,2010,1209519,944691,110140,124593,245670,44,1649,183634,90657,156361,31865,,73,4794,2519,26807,26663,144,,89789,19027,70761,140918,55281,23580,24966,,,303,,36831,-44,142183,71877,36621,1721,,20006,,429,168,7576,3976,-193,1351703
Kansai,2010,6132596,3845133,345082,516494,378324,1201,2160,1110590,430536,921781,119271,,19690,15868,8316,344328,343760,567,,511157,96331,414825,1407790,174075,391908,534151,,,15140,,293027,-511,324997,65624,115948,15455,,74341,,1023,5731,22856,25417,-1400,6457593
Chugoku,2010,2465626,1523924,147802,236663,77567,2128,,395576,161543,406562,96079,,,974,5800,496518,495741,777,,165673,18068,147605,272735,63480,35841,76052,,,33704,,63741,-84,169564,56597,50921,4129,,36526,160,277,9541,7639,4306,-536,2635191
Shikoku,2010,1247720,805539,72117,98462,112257,532,1255,174392,94513,215555,35155,,1296,4443,379,12221,12198,22,,127822,21353,106469,297313,43139,78164,125535,,,16892,,33705,-122,69073,4920,34400,1991,,16761,,286,5557,3978,2222,-1045,1316794
Kyushu,2010,3655759,2520849,329643,222603,260536,21435,17729,651800,241856,632194,135787,1480,5782,40245,4838,245260,241737,3523,,263380,72572,190807,581184,111987,150753,197273,,,3925,,117873,-629,235131,85104,77856,9649,,39231,,599,3392,13164,6728,-595,3890891
Okinawa,2010,348974,258259,,66914,,10898,313,54819,34158,74611,15998,,545,250,883,65903,65899,4,,,,,23677,8857,9270,,,,150,,7263,-1864,19621,2609,4303,1149,,9571,,48,489,1378,579,-507,368596
Hokkaido,2009,1440294,1120608,111668,102460,328883,1139,930,184682,82373,269711,38420,,338,146,2730,90693,90487,205,,79325,19163,60161,146790,30544,18363,45552,,,603,,51842,-115,96136,30799,26698,2659,,23461,,246,234,6948,5473,-384,1536430
Tohoku,2009,3384960,2466955,147572,276711,362648,6569,13474,627863,255517,664245,111849,,501,2665,7608,301781,299269,2511,,145230,28811,116418,460718,61020,184073,106425,,,3142,,106281,-224,204292,41971,86927,3349,,38422,,558,2272,15501,15746,-457,3589252
Tokyo,2009,11855465,7871718,715652,1032462,670944,9991,1133,2177932,866362,2231586,155510,,10141,64922,4004,650936,641245,9691,,903507,148433,755073,2360376,484304,550624,824403,,,96968,,404615,-539,787568,77170,322957,44694,,129760,721,3943,11588,53918,145362,-2547,12643034
Chubu,2009,4686424,3410646,283784,565781,243811,110,1899,941481,413103,831446,128402,,825,21123,11671,313237,313172,64,,252356,33695,218661,677388,117440,94392,243216,,,44005,,178696,-362,283030,44797,98620,20868,,80389,,124,2308,18785,17915,-777,4969455
Hokuriku,2009,1186249,944884,101577,131994,235331,41,,190395,96360,157363,31736,,83,5620,2762,22086,21937,149,,82012,23511,58501,128883,46622,23575,24143,,,1138,,33458,-54,196356,111191,35130,1915,,18365,,3012,154,8110,18680,-203,1382606
Kansai,2009,5972534,3788624,356046,425287,337737,1353,,1156589,432486,933788,124716,,20619,17085,8053,414164,413581,582,,499134,83329,415804,1245472,219784,291709,447289,,,17627,,269261,-200,303035,32472,105350,22484,,73863,,655,10709,14867,43958,-1326,6275570
Chugoku,2009,2429381,1573144,152751,261914,72619,2143,,402697,158397,416440,106179,,,1212,5896,445169,444712,457,,156782,14114,142668,247175,45318,29886,83778,,,32183,,56102,-93,158098,47316,47834,4830,,35678,155,389,9807,7448,5229,-591,2587479
Shikoku,2009,1254444,818496,74829,97252,111122,547,123,183469,98601,215744,35455,,1348,4656,354,24507,24482,24,,131607,26610,104997,274822,29502,80012,125708,,,13032,,26692,-126,65791,6023,29261,1977,,14966,,760,5922,4072,2930,-121,1320236
Kyushu,2009,3576531,2514219,312694,236206,241265,22949,14678,666781,251176,629742,131099,1843,5782,41867,8152,246823,243908,2915,,269663,57433,212230,495804,88620,134056,167769,,,4183,,101792,-618,200037,41680,73199,12366,,47135,,627,2165,11440,12133,-710,3776569
Okinawa,2009,330116,264402,,73426,,11838,,57991,33065,74019,13516,,545,240,820,39231,39223,8,,,,,25420,9583,11173,,,,211,,6209,-1756,19191,4343,4305,261,,7618,,52,590,1503,1022,-505,349308
Hokkaido,2008,1454242,891675,116844,114040,79870,1304,,188848,83959,266338,40130,,338,163,2805,355972,355849,123,,76204,19700,56504,127419,26750,18419,22285,,,610,,59485,-132,110521,32817,29306,3296,,29221,,234,397,4878,10761,-392,1564763
Tohoku,2008,3407961,2555161,151515,311496,399140,6597,,646025,262362,660784,116737,,501,3098,8473,243108,241397,1711,,142309,26949,115360,455810,61824,184100,105445,,,3446,,101258,-265,273210,54560,97166,5840,,58192,,508,3004,32737,21799,-600,3681171
Tokyo,2008,11946516,8159585,751606,1127389,643821,10487,,2281311,899759,2267197,166185,,11827,68809,4695,590669,580872,9796,,917049,146989,770059,2205707,456787,533661,667487,,,135561,,412757,-549,1043543,200024,402239,46721,,130793,3011,2112,21040,115257,125470,-3128,12990060
Chubu,2008,4767606,3574775,294206,616850,274596,122,,994985,423582,839473,130133,,825,19380,13246,228094,227855,238,,247502,27791,219711,684606,117012,80228,244758,,,82917,,160109,-420,342806,73819,116495,7976,,84874,,868,1744,21027,36687,-687,5110413
Hokuriku,2008,1243212,1000868,104260,141255,266202,37,,195399,102250,158909,32553,,,4787,1211,23272,23090,181,,86113,29443,56670,126959,45386,21644,23073,,,2218,,34697,-61,178215,94819,36926,2263,,27902,,2665,150,8188,5513,-215,1421427
Kansai,2008,5903233,3840103,370238,409472,325110,1571,,1195076,442216,945409,130587,,20421,17964,8551,427988,427444,543,,507223,81961,425262,1101402,220123,232115,358297,,,19546,,271518,-200,340200,35345,122923,29183,,83567,,801,15015,19167,35703,-1508,6243434
Chugoku,2008,2430999,1634600,158384,269886,76081,2386,,423699,165013,426027,113121,,,1315,4977,391847,391146,700,,155425,18016,137408,242833,39421,29394,87241,,,36021,,50837,-82,180188,48592,55058,8989,,40364,105,1064,6852,13707,6184,-730,2611188
Shikoku,2008,1268826,822870,77467,98477,97789,559,,191313,102653,215182,37966,,1460,5156,375,35182,35051,130,,126200,15573,110627,279042,33044,75778,126132,,,21457,,22748,-118,78659,5410,35056,1423,,19156,,1163,8389,4787,3449,-176,1347486
Kyushu,2008,3582497,2582066,327227,270556,259408,24953,,678030,253785,630378,128382,3560,5782,45340,8570,211661,209373,2288,,264205,40816,223388,470653,85732,130326,136011,,,19079,,100100,-598,251627,70073,93813,10715,,51799,,579,910,12163,12352,-781,3834124
Okinawa,2008,320987,276020,,80063,,12227,,61756,34153,73911,13364,,545,244,789,22569,22005,563,,,,,21363,7168,10128,,,,165,,5458,-1557,23011,6573,5205,164,,7960,,49,567,1651,1475,-636,343999
Hokkaido,2007,1373263,896040,122304,125566,69294,1462,,195179,77739,263321,40834,,338,183,2896,282381,282118,263,,67921,6246,61675,123839,40077,18484,17630,,,759,,46993,-105,82834,9825,27587,3575,,25212,,165,615,3743,12564,-454,1456098
Tohoku,2007,3440190,2644653,156014,329106,437776,5895,,657538,272187,664298,121334,,501,3733,8764,177782,174790,2992,,140775,32043,108732,464481,68730,183800,106016,,,4589,,101427,-84,235717,55020,88106,14572,,41405,,487,2275,11091,23251,-493,3675908
Tokyo,2007,12249631,8416028,791421,1116570,679484,11551,,2381690,948429,2293329,180766,,12785,71151,4095,595048,585065,9983,,923961,154373,769588,2239347,591889,510327,517942,,,196763,,423015,-590,808099,67959,357951,44914,,146799,4714,952,13976,29126,144626,-2922,13057731
Chubu,2007,4945643,3664781,307869,599592,327860,139,,1050310,440958,803103,134123,,824,20929,13520,222524,222105,419,,259990,43880,216109,763896,165238,169848,245660,,,72431,,111163,-444,292903,25458,116677,8464,,83669,,121,1929,22157,35095,-672,5238546
Hokuriku,2007,1298804,1048432,108378,155146,288564,44,,195122,103337,160861,36953,,23,4080,1227,22903,22868,35,,85549,33226,52323,136611,53528,23270,23394,,,972,,35496,-50,182297,92270,45597,2487,,19617,,3019,156,9376,10035,-263,1481102
Kansai,2007,5802889,4005007,388470,458000,339289,1814,,1251303,453695,961181,131077,,20174,20691,5294,350309,349775,534,,484176,73909,410266,937410,235602,157497,273254,,,20450,,250794,-189,332113,37396,121386,16357,,79502,,753,12226,6680,59417,-1606,6135003
Chugoku,2007,2403244,1723858,165167,296570,79711,2331,,445419,171679,435185,125312,2481,,1548,5948,291692,290847,844,,133840,18712,115128,246356,47685,29213,91115,,,33731,,44714,-103,122068,12285,52294,4876,,32251,64,117,6598,8337,5922,-677,2525313
Shikoku,2007,1289364,865055,80577,108805,109571,582,,201115,108272,215600,38939,,1591,5578,382,24065,23856,208,,115026,17660,97365,279255,34938,69915,126918,,,27246,,20341,-103,75030,4480,35731,1778,,17316,,499,8788,4228,2392,-185,1364394
Kyushu,2007,3569906,2616667,328734,295942,243242,23923,,696615,263124,629769,125304,4228,5782,46421,8096,207352,206044,1307,,250845,40012,210833,440523,112605,115607,104739,,,10407,,97746,-583,214795,40751,93618,9283,,42882,,2238,2790,12005,12171,-946,3784701
Okinawa,2007,330244,288578,,88861,,13505,,65216,35211,72331,12905,,545,484,905,15213,15213,,,,,,25063,9072,10868,,,,141,,5113,-132,16947,1532,5313,357,,7468,,55,314,1492,599,-186,347192
Hokkaido,2006,1358918,906833,127876,130785,71186,1676,,187628,82019,261956,43365,,338,206,3643,256968,256735,233,,64453,8520,55932,126812,53648,18331,11867,,,856,,42198,-89,69861,8553,25782,4288,,16224,0,202,184,5622,9461,-460,1428780
Tohoku,2006,3506275,2723111,157385,364945,497358,4820,,660128,272172,638177,127620,,501,4317,8517,157769,154902,2867,,141511,37234,104277,471048,77730,183531,104522,,,3491,,101879,-107,203102,55003,78758,3417,,35257,,374,1408,11727,17565,-410,3709377
Tokyo,2006,12242781,8770541,835606,1202996,739452,9435,,2490847,986863,2314569,177097,,13672,64047,4364,526246,515245,11001,,896819,141768,755050,1980761,796940,485517,346505,,,85274,,267131,-608,681241,54651,354030,47422,,134331,597,840,15220,33772,43777,-3401,12924022
Chubu,2006,5041238,3869429,323720,659247,363514,158,,1110891,461507,809402,140177,,808,18974,13735,145829,145623,205,,254345,41485,212859,738924,228863,138884,244726,,,34709,,92078,-338,246042,29240,105724,9642,,72489,,172,1261,14601,13575,-664,5287281
Hokuriku,2006,1373113,1117300,112501,170732,325494,29,,203432,109549,156466,39065,,28,4239,1300,20221,20086,135,,78880,33229,45651,151170,62527,23267,26850,,,2160,,36402,-37,105767,43736,33088,836,,16996,,a,155,8811,2369,-228,1478880
Kansai,2006,5836299,4201873,406814,503907,363455,2058,,1320600,470519,976781,137124,,20610,21751,5326,280106,279673,432,,483774,93726,390048,843467,274693,132682,183371,,,19492,,233400,-172,352614,93832,115071,11788,,59716,,1178,19945,14796,38113,-1828,6188913
Chugoku,2006,2362867,1787412,171610,329137,72984,2477,,465161,178375,430718,136829,117,,1811,5218,197109,196071,1038,,133771,17046,116725,237543,56186,28675,93667,,,18990,,40121,-97,116179,10743,47747,4171,,32069,a,120,7101,10017,4785,-577,2479046
Shikoku,2006,1306541,905905,82134,119178,120783,566,,212427,114915,215695,38457,,1747,5889,394,10465,10465,a,,112055,16393,95661,271831,46307,57196,124968,,,26524,,16902,-68,73883,4696,33966,1439,,13842,,435,11798,6205,1674,-176,1380425
Kyushu,2006,3600395,2566220,184934,327318,259407,26043,,720818,275634,629785,131564,4932,5782,42635,8187,309278,307707,1570,,240662,43837,196825,433410,152567,115895,70082,,,6864,,88616,-615,189717,33972,88618,10042,,31620,1,967,1691,12922,10893,-1012,3790112
Okinawa,2006,339293,290683,,95578,,13820,,62821,33304,71281,13330,,545,616,983,20523,20523,,,,,,26487,10677,11170,,,,167,,4625,-153,14820,1593,4462,346,,5574,,71,69,1615,1271,-184,354113
Hokkaido,2005,1355436,942643,128300,144019,78017,1776,,195924,86976,259817,47473,,338,212,3307,215667,215144,523,,65651,10897,54753,127952,58707,18461,13240,,,683,,36929,-69,60408,7755,23079,5486,,11474,0,208,706,4481,7645,-429,1415844
Tohoku,2005,3558047,2785374,162691,344455,563720,5125,,664995,279289,635913,128680,,501,561,8497,187886,184098,3787,,141003,39809,101194,434723,85613,183043,61466,,,3214,,101453,-66,200990,55890,77085,11313,,28528,,350,2011,9850,16369,-408,3759173
Tokyo,2005,12429371,9154924,878850,1328077,794948,9558,,2596530,1013843,2330292,189165,,13657,120574,4447,482433,470523,11909,,920945,155622,765323,1746045,677260,457817,262235,,,72053,,277418,-740,601840,44210,331358,35047,60,111698,,3496,15534,30637,33600,-3801,13031464
Chubu,2005,5272411,4078308,340245,728976,401239,181,,1159846,480169,816895,150271,,483,14546,14151,133573,133282,290,,250199,40033,210165,781632,228241,155022,263382,,,9785,,125605,-404,215534,17389,103421,6245,,58867,,230,1253,15053,13717,-644,5488007
Hokuriku,2005,1443659,1194841,116703,185787,371611,31,,208420,115429,156514,40344,,,3996,1248,21650,21570,80,,77527,34010,43516,144394,69246,21534,16054,,,2694,,34922,-58,91700,21530,37948,7014,,14127,,32,162,7342,3831,-290,1535393
Kansai,2005,5989097,4402339,426730,553073,372632,2353,,1392712,494227,995636,143637,,21334,18209,9330,245132,244582,549,,512407,90113,422294,801676,281659,129771,136302,,,20643,,233414,-114,279787,46477,112838,10842,,44559,,716,9199,22744,34373,-1963,6268884
Chugoku,2005,2346184,1852049,168342,351529,67345,2684,,491411,194021,435117,140206,1389,,2135,5468,171075,168791,2283,,122046,14397,107648,193409,58483,28574,56958,,,12537,,36949,-94,107147,11015,45907,3668,,28292,,286,5817,9460,3308,-610,2453331
Shikoku,2005,1333390,953501,85042,132824,132753,584,,223871,122273,216116,38286,,1749,5977,466,6304,6299,4,,112907,14324,98583,254230,50083,42820,132655,,,12289,,16415,-33,71053,6141,30852,682,,13301,,604,12430,6223,995,-178,1404443
Kyushu,2005,3673257,2652141,190995,360507,286652,25707,,724536,282080,632016,138674,5188,5782,34520,13871,300424,298811,1612,,234358,39155,195202,437940,169089,120311,60134,,,6857,,88645,-7099,183899,37087,79116,10929,,31956,1,621,1770,15762,7987,-1335,3857316
Okinawa,2005,341939,301403,,105128,,15116,,64035,34148,70623,11806,,545,778,1331,11424,11424,,,,,,27000,11018,11173,,,,77,,4864,-133,14720,3223,3983,155,,5577,,52,193,1456,234,-156,356659
Hokkaido,2004,1318601,966985,133879,160155,83013,1859,,186477,91635,259118,50508,,338,185,3447,184193,184139,54,,64859,9723,55136,98930,40973,15776,,,,453,,41811,-84,60701,9887,22843,6923,,10933,,182,278,4470,5675,-492,1379303
Tohoku,2004,3594738,2592015,168730,375188,281581,5488,,683327,292312,635484,149400,,501,510,8233,490973,485999,4974,,137925,41433,96492,365079,64348,183951,,,,2544,,114326,-90,163134,37006,78277,3562,,21812,,45,1742,9747,11344,-404,3757983
Tokyo,2004,12532398,9310999,643057,1474004,858329,12771,,2713516,1056020,2349458,193217,,10625,95320,4477,738546,733022,5523,,929131,162450,766681,1453923,562831,517268,,,,61442,,313597,-1216,568504,68309,314997,39052,,80340,485,1413,17244,27796,24613,-5749,13101186
Chubu,2004,5250675,4375417,357741,809963,454860,182,,1230814,487772,872006,160692,,1382,15478,15591,180304,179441,862,,250699,48119,202579,413184,180123,87217,,,,7463,,138861,-481,184267,18224,88523,6809,,43755,,213,346,18803,8114,-523,5434999
Hokuriku,2004,1485245,897264,121550,204873,75259,35,,176087,118166,158238,43052,,,4624,1364,378499,378427,72,,81911,11924,69986,121582,56119,20977,,,,2868,,41754,-136,72676,19088,34424,859,,10493,,13,55,5739,2252,-251,1557961
Kansai,2004,6052671,4572361,449409,618241,397821,2673,,1400621,521385,1017862,153491,,10855,19447,9455,328737,328138,598,,526130,91502,434627,596539,189511,129628,,,,21008,,256760,-368,241941,38447,110769,11509,,31401,,768,5836,24482,20914,-2188,6294612
Chugoku,2004,2348883,1944200,175874,373835,75157,2843,,517161,205035,443914,148881,1496,,905,5061,137450,135781,1669,,121060,17536,103523,140204,50025,40841,,,,10496,,38938,-96,98322,13491,44645,1593,,20542,,324,6124,9689,2486,-576,2447205
Shikoku,2004,1240572,1001327,87464,148254,141073,425,,236363,130635,216807,39225,,1079,5749,496,10077,9865,211,,108780,23798,84981,114141,41901,40714,,,,9590,,21997,-61,64865,5474,32881,1181,,8027,,1807,8079,6978,679,-245,1305437
Kyushu,2004,3658317,2740395,199773,399236,303140,28747,,724943,294681,636079,142526,5484,5782,30674,13918,291218,289901,1316,,243175,37475,205699,338935,123033,112990,,,,5380,,98264,-733,148132,31284,68057,7373,,24025,1,673,827,12338,4718,-1168,3806567
Okinawa,2004,354192,318696,,117399,,15035,,66839,35804,70361,12710,,545,948,1245,6406,6406,,,,,,26895,9088,14100,,,,52,,6840,-3185,13669,1946,4070,610,,5547,,54,21,1350,236,-170,367861
Hokkaido,2003,1309561,1016786,141574,179571,88720,2028,,194025,96638,259553,54334,,338,146,4042,135475,135401,74,,63049,8115,54933,90060,36726,15483,,,,173,,37893,-215,62326,9759,22253,9114,,11992,,1687,245,4518,3348,-593,1371888
Tohoku,2003,3650648,2702302,175276,409852,319485,5873,,697658,295586,634739,163327,,501,1377,13312,444765,438052,6713,,131898,23939,107958,356991,67639,184083,,,,1903,,103492,-127,163548,36497,75720,5228,,22218,,16,1884,9235,13142,-395,3814323
Tokyo,2003,12889041,9723420,676801,1546609,932832,13709,,2833662,1128258,2363398,223901,,4245,82040,5809,805373,802238,3134,,911518,184261,727257,1360878,588722,414757,,,,45561,,313548,-1710,544970,40444,307002,36963,,78292,,28087,17632,27461,15787,-6701,13434326
Chubu,2003,5611485,4349383,377837,908125,191772,208,,1295794,521550,877664,175040,,1389,14778,35843,538858,538140,718,,246266,54294,191972,426354,209217,84531,,,,11375,,121913,-683,164856,13535,84623,3527,,39786,,354,2479,14816,6191,-457,5776440
Hokuriku,2003,1483929,919961,128223,210850,83326,40,,169702,121168,158973,46990,,684,27,1357,351633,351595,38,,78214,10789,67425,132735,54200,35667,,,,3027,,39889,-49,48646,2943,31516,775,,9488,,12,204,2884,1044,-222,1532599
Kansai,2003,6330133,4516857,467798,366759,437358,3042,,1473911,551736,1041951,163444,,10854,16901,9645,743463,743026,437,,502000,99950,402050,541265,182826,133138,,,,17031,,209051,-783,210710,26193,99315,13370,,33725,,804,5705,21748,12079,-2232,6540844
Chugoku,2003,2431498,2041339,183862,412460,83286,3113,,523985,215564,452462,164897,1705,,2853,6778,129747,129261,485,,117166,19371,97794,133613,50356,38391,,,,973,,43961,-69,87290,10065,39948,1603,,22207,,2921,2935,6822,1415,-631,2518788
Shikoku,2003,1286093,1047390,88903,164309,148985,425,,247737,137677,218111,40499,,741,3398,628,15441,15269,171,,106461,20580,85880,112773,42157,36703,,,,12364,,21595,-47,56094,5553,30924,917,,7946,,1482,5355,3638,504,-229,1342188
Kyushu,2003,3716342,2876408,208518,441826,333827,30487,,753798,310659,640003,149450,2053,5782,26552,13288,234688,234390,298,,234854,39687,195166,330550,119923,114802,,,,4233,,92740,-1150,142609,28344,68478,4462,,26172,2,54,1509,12189,2537,-1141,3859049
Okinawa,2003,366746,335683,,127486,,16334,,71033,37047,70434,12803,,545,216,1297,6631,6631,,,,,,22916,7178,12205,,,,46,,6671,-3185,12946,2077,3698,545,,5297,,55,38,1249,112,-128,379692
Hokkaido,2002,1300181,1066792,149349,200176,97325,2161,,199034,101670,259254,57480,,338,152,4458,83382,83339,42,,61903,10112,51791,83491,37997,10984,,,,898,,33852,-241,60738,9434,22144,11563,,12259,,157,311,4537,1059,-729,1360920
Tohoku,2002,3755041,2826739,183233,454819,361113,6390,,704819,302940,634702,178217,,501,1333,9192,421336,420232,1103,,125201,21113,104088,371238,55834,215978,,,,3755,,95848,-179,142866,20041,75205,5998,,24324,,95,1073,11410,5090,-372,3897981
Tokyo,2002,13254771,9833977,712704,1292764,1025970,11616,,2983344,1181728,2397784,224672,,3391,40008,10155,1212146,1204631,7515,,856008,158241,697766,1302474,538487,367264,,,,44526,,354714,-2519,557767,47908,319659,38496,,87027,,4684,28648,25297,18686,-12641,13812538
Chubu,2002,5801502,4578087,396505,1025936,213138,197,,1325889,538148,890426,186425,,1420,11135,38199,516039,515191,848,,234731,34641,200090,423308,188086,129371,,,,5617,,101201,-968,175893,14089,94926,4984,,37562,,1919,3168,12728,7090,-577,5977514
Hokuriku,2002,1474792,977270,134233,244998,95802,32,,173305,127176,160310,40725,,684,4,1946,296684,296651,32,,74164,8129,66034,124723,47573,35851,,,,3798,,37609,-110,52681,5181,32982,1294,,9570,,29,72,2689,1051,-191,1527483
Kansai,2002,6539762,4753211,488485,427463,479422,3482,,1516620,586029,1071836,169018,,10851,12517,6828,792008,791663,345,,517485,101111,416374,457711,131578,133104,,,,16044,,177885,-902,232554,30702,111851,15605,,37723,,148,3873,23616,11181,-2149,6772316
Chugoku,2002,2535383,2145778,191619,457612,87270,3420,,547574,225040,460600,170925,1715,,2000,6806,137223,136738,484,,117860,15275,102585,125714,47600,38328,,,,1403,,38496,-113,94450,10612,41802,1928,,25863,,3738,2758,6658,1728,-640,2629834
Shikoku,2002,1323231,1099167,92608,171919,162375,549,,260389,148259,220126,41874,,1065,3172,583,13196,13066,130,,98938,18652,80285,108172,39474,35236,,,,10213,,23282,-33,57128,5181,33736,879,,9329,,769,3943,3175,320,-206,1380360
Kyushu,2002,3785266,2913636,217011,394202,372208,32789,,760511,330062,647293,151613,2160,5782,21465,12905,311298,310674,624,,227988,41396,186591,297970,93994,113508,,,,3031,,88610,-1173,144637,32144,68706,7661,,26874,,57,420,8166,1761,-1156,3929942
Okinawa,2002,379591,319752,,111073,,15055,,72591,37264,69498,13723,,545,238,1135,38072,38072,,,,,,20391,5797,11375,,,,19,,6381,-3182,15669,5153,3940,131,,5393,,38,154,988,30,-161,395260
Hokkaido,2001,1332567,1026525,156810,122067,108728,2316,,206027,107612,258046,64579,,338,a,4347,162981,162904,76,,56515,12948,43567,82197,43228,10651,,,,771,,27841,-296,51987,9504,22183,1025,,11670,,203,114,3987,3819,-521,1384555
Tohoku,2001,3813619,2952931,183972,504725,412899,6913,,725133,313741,637692,167351,,501,1517,9499,373912,373443,468,,111297,31816,79480,364461,67162,203595,,,,3641,,90229,-166,157118,30026,80558,2863,,30160,,55,1163,7990,4827,-526,3970773
Tokyo,2001,13559307,10338625,750416,1376196,1146805,12322,,3121952,1264870,2424779,239679,,1603,41577,7419,1123023,1112825,10197,,766787,171386,595400,1281873,572305,351871,,,,47982,,310378,-663,615526,62238,358082,43178,,95719,,293,9226,22370,31023,-6605,14174834
Chubu,2001,5939720,4749534,418081,1044613,233707,224,,1377012,573585,904518,196374,,1417,2191,36302,560718,560508,209,,190103,39666,150436,400870,194242,119769,,,,7758,,79871,-772,189404,27912,98481,7138,,39828,,70,105,11447,5020,-600,6129232
Hokuriku,2001,1465676,1035292,139379,277239,105642,35,,177158,132578,160530,42044,,684,5,1473,235459,235363,95,,76798,12398,64399,116647,50442,36905,,,,2380,,27113,-194,57155,5389,34734,2761,,11511,,10,144,2250,547,-195,1522832
Kansai,2001,6794936,5068247,514887,492655,523273,3903,,1589980,621648,1127218,184182,,10497,10161,5731,768744,767773,971,,500168,107060,393107,441882,173072,119776,,,,12362,,136798,-127,248508,39919,114760,14911,,44133,,319,5637,19035,12202,-2410,7043444
Chugoku,2001,2617009,2231515,188624,503055,94993,3846,,567695,239193,472114,160108,1882,,2360,6784,152863,151131,1732,,110538,19648,90890,112946,52918,27959,,,,617,,31550,-98,92172,11326,44054,2688,,26009,,158,2003,5582,1062,-713,2709182
Shikoku,2001,1369288,1163106,94664,189893,182766,625,,271936,157316,220710,44013,,1179,3541,553,8858,8756,102,,94972,16433,78538,98255,42229,29757,,,,2839,,23454,-25,58337,6303,34577,625,,10378,,31,164,5999,447,-190,1427626
Kyushu,2001,3837595,2961526,224232,439303,420831,34327,,725389,305719,652752,153186,,5782,19376,7870,333276,332776,499,,218500,41148,177351,297045,125067,105381,,,,2649,,64251,-305,147128,33353,67936,11321,,27342,,95,160,6486,1560,-1129,3984739
Okinawa,2001,380747,328436,,121916,,16214,,67587,38247,69529,14395,,545,164,1028,36772,36772,,,,,,14345,3749,8031,,,,28,,5756,-3220,18247,7654,3882,331,,5271,,39,271,905,47,-156,398994
Hokkaido,2000,1339476,1060925,166241,134456,121996,2556,,210834,104218,256819,63465,,338,,4425,131222,131186,36,,50238,12993,37244,92663,59168,9957,,,,2259,,21570,291,51419,10455,22496,1335,,10644,,143,108,3693,3050,508,1390896
Tohoku,2000,3870582,2775253,182542,557963,184469,7462,,748436,324804,638310,130760,,501,1737,9334,628211,627730,480,,104565,17093,87471,351480,82838,181329,,,,3068,,84394,151,157864,32188,80502,2031,,28682,,330,1250,7056,6187,370,4028446
