Company,year,Number of sites_- 50000 kVA,Number of sites_50000 - 350000 kVA,Number of sites_350000 - 100000 kVA,Number of sites_1000000 kVA -,Number of sites_Total,Capacity (by capacity range)_- 50000 kVA,Capacity (by capacity range)_50000 - 350000 kVA,Capacity (by capacity range)_350000 - 100000 kVA,Capacity (by capacity range)_1000000 kVA -,Capacity (by capacity range)_Total,Number of sites_- 22 kV (low voltage side),Number of sites_- 22 kV,Number of sites_22 - 55 kV (low voltage side),Number of sites_22 - 55 kV,Number of sites_66 - 77 kV (low voltage side),Number of sites_66 - 77 kV,Number of sites_110 - 154 kV (low voltage side),Number of sites_110 - 154 kV,Number of sites_187 kV (low voltage side),Number of sites_187 kV,Number of sites_220 kV (low voltage side),Number of sites_220 kV,Number of sites_275 kV (low voltage side),Number of sites_275 kV,Number of sites_500 kV (low voltage side),Number of sites_500 kV,Number of sites_Total (low voltage side),Number of sites_Total,Capacity (by voltage range)_- 22 kV,Capacity (by voltage range)_22 - 55 kV,Capacity (by voltage range)_66 - 77 kV,Capacity (by voltage range)_110 - 154 kV,Capacity (by voltage range)_187 kV,Capacity (by voltage range)_220 kV,Capacity (by voltage range)_275 kV,Capacity (by voltage range)_500 kV -,Capacity (by voltage range)_Total
会社名,年期,出力別_箇所数_50000未満,出力別_箇所数_50000以上350000未満,出力別_箇所数_350000以上1000000未満,出力別_箇所数_1000000以上,出力別_箇所数_合計,出力別_変電所出力_50000未満,出力別_変電所出力_50000以上350000未満,出力別_変電所出力_350000以上1000000未満,出力別_変電所出力_1000000以上,出力別_変電所出力_合計,電圧別_箇所数_22未満_低位電圧,電圧別_箇所数_22未満,電圧別_箇所数_22以上55以下_低位電圧,電圧別_箇所数_22以上55以下,電圧別_箇所数_66以上77以下_低位電圧,電圧別_箇所数_66以上77以下,電圧別_箇所数_110以上154以下_低位電圧,電圧別_箇所数_110以上154以下,電圧別_箇所数_187_低位電圧,電圧別_箇所数_187,箇所数_220_低位電圧,電圧別_箇所数_220,電圧別_箇所数_275_低位電圧,電圧別_箇所数_275,電圧別_箇所数_500以上_低位電圧,電圧別_箇所数_500以上,電圧別_箇所数_合計_低位電圧,電圧別_箇所数_合計,電圧別_変電所出力_22未満,電圧別_変電所出力_22以上55以下,電圧別_変電所出力_66以上77以下,電圧別_変電所出力_110以上154以下,電圧別_変電所出力_187,電圧別_変電所出力_220,電圧別_変電所出力_275,電圧別_変電所出力_500以上,電圧別_変電所出力_合計
Tohoku,1991,359,100,16,4,479,8990300,12184500,8530000,4682000,34386800,1,,2,55,18,361,6,48,,,,,,15,,,27,479,1500,551500,12097800,12444000,,,9292000,,34386800
Tokyo,1991,702,526,78,34,1340,21356960,34381000,51866000,95440000,203043960,,,6,87,39,1049,2,147,,,,,5,41,,16,52,1340,,1202000,50511960,40010000,,,48030000,63290000,203043960
Chubu,1991,414,316,49,14,793,9239710,20975500,27067000,32450000,89732210,1,7,12,83,24,619,4,51,,,,,1,26,,7,42,793,61500,2703210,26428500,18089000,,,24650000,17800000,89732210
Hokuriku,1991,82,49,14,1,146,1929830,3595000,7088750,1100000,13713580,,3,1,17,7,107,,15,,,,,,4,,,8,146,12000,98500,4913080,5390000,,,3300000,,13713580
Kansai,1991,808,298,52,19,1177,15982950,22910000,33592000,46100000,118584950,1,,13,394,29,705,,40,,1,,,7,26,,11,50,1177,3000,2215950,38039000,19850000,380000,,27997000,30100000,118584950
Chugoku,1991,177,108,9,7,301,4195300,9855000,5048000,12150000,31248300,1,,4,34,14,97,4,154,,,1,10,,,,6,24,301,3000,438000,2444500,11412800,,6450000,,10500000,31248300
Shikoku,1991,142,31,10,,183,3668750,2577500,5575000,,11821250,1,3,,5,3,157,,3,,15,,,,,,,4,183,26250,27000,5086000,122000,6560000,,,,11821250
Kyushu,1991,240,155,31,6,432,6230500,13194000,17380000,10250000,47054500,1,,,35,33,318,5,36,,,1,37,,,,6,40,432,2000,263500,14820000,4159000,,17810000,,10000000,47054500
Okinawa,1991,101,14,1,,116,1321000,1841000,390000,,3552000,,,5,55,6,53,,8,,,,,,,,,11,116,,157200,1768800,1626000,,,,,3552000
Hokkaido,1990,272,27,4,1,304,4167900,4328500,1838000,1200000,10531800,,,1,77,2,192,1,15,,18,,,,2,,,4,304,,395500,4254900,463000,4621000,,1800000,,11534400
Tohoku,1990,365,89,14,4,472,8919700,11814500,7765000,4682000,33181200,1,,2,54,16,356,6,47,,,,,,15,,,25,472,1500,520900,11340800,12026000,,,9292000,,33181200
Tokyo,1990,744,460,79,29,1312,22489960,31027000,51082000,86290000,190888960,,,9,90,43,1021,2,145,,,,,5,40,,16,59,1312,,1265000,47707960,37766000,,,43860000,60290000,190888960
Chubu,1990,421,286,46,14,767,9197710,19136000,24994000,30200000,83527710,,8,13,86,24,593,4,50,,,,,1,23,,7,42,767,61500,2730210,24480000,17806000,,,22650000,15800000,83527710
Hokuriku,1990,82,47,14,,143,1924830,3760000,6953750,,12638580,,3,1,15,7,106,,15,,,,,,4,,,8,143,12000,86500,4750080,5190000,,,2600000,,12638580
Kansai,1990,791,281,51,19,1142,16136050,21346000,32692000,44600000,114774050,1,,16,368,29,697,,39,,1,,,7,26,,11,53,1142,3000,2140050,36554000,19100000,380000,,27997000,28600000,114774050
Chugoku,1990,170,103,9,7,289,3975000,9400000,5048000,12150000,30573000,1,,4,31,14,92,4,150,,,1,10,,,,6,24,289,3000,420000,2296000,10904000,,6450000,,10500000,30573000
Shikoku,1990,147,26,10,,183,3746250,2277500,5555000,,11578750,1,3,,5,3,157,,3,,15,,,,,,,4,183,26250,27000,4843500,122000,6560000,,,,11578750
Kyushu,1990,245,146,29,6,426,6232846,12945500,16300000,9250000,44728346,1,,,38,32,310,5,36,,,1,36,,,,6,39,426,2000,285846,14081500,4319000,,17040000,,9000000,44728346
Okinawa,1990,100,13,1,,114,1283225,1581000,390000,,3254225,,,5,55,4,52,,7,,,,,,,,,9,114,,173325,1654900,1426000,,,,,3254225
Hokkaido,1989,270,25,3,1,299,4053400,3998500,1238000,1200000,10501900,,,1,76,2,190,1,15,,17,,,,1,,,4,299,,378000,4107900,433000,4371000,,1200000,,10489900
Tohoku,1989,377,75,14,4,470,9088320,10521500,7790000,4682000,32081820,1,,2,54,15,355,7,46,,,,,,15,,,25,470,1500,500520,10806800,11581000,,,9192000,,32081820
Tokyo,1989,781,405,78,27,1291,23513960,27288000,49797000,83020000,183618960,,,10,93,35,1002,2,142,,,,,5,38,,16,52,1291,,1395000,45042960,36421000,,,41220000,59540000,183618960
Chubu,1989,413,267,46,13,739,9008710,18004000,24697060,28800000,80509770,,19,13,77,25,565,4,49,,,,,1,22,,7,43,739,124500,2615210,23324060,17546000,,,21100000,15800000,80509770
Hokuriku,1989,83,44,14,,141,1917562,3550000,6953750,,12421312,,3,1,14,7,106,,14,,,,,,4,,,8,141,12000,74732,4554580,5180000,,,2600000,,12421312
Kansai,1989,776,271,51,18,1116,15836050,20624000,32671000,43600000,112731050,1,,17,352,29,689,,37,,1,,,7,26,,11,54,1116,3000,2131050,35641000,18480000,380000,,27496000,28600000,112731050
Chugoku,1989,176,94,9,7,286,4137000,8837000,5048000,12150000,30172000,1,,3,31,13,89,4,150,,,1,10,,,,6,22,286,3000,411000,2215000,10593000,,6450000,,10500000,30172000
Shikoku,1989,150,22,10,,182,3751000,2010000,5355000,,11116000,1,4,,5,3,156,,3,,14,,,,,,,4,182,28500,27000,4678500,122000,6260000,,,,11116000
Kyushu,1989,253,134,29,6,422,6250846,12020500,16020000,9250000,43541346,1,,,39,31,306,5,36,,,1,35,,,,6,38,422,2000,290846,13429500,4279000,,16540000,,9000000,43541346
Okinawa,1989,101,12,,,113,1273920,1746000,,,3019920,,,4,54,4,52,,7,,,,,,,,,8,113,,163965,1554955,1301000,,,,,3019920
Hokkaido,1988,267,25,4,,296,3958700,3998500,1838000,,9789200,,,1,76,2,187,1,15,,17,,,,1,,,4,296,,366300,4024900,433000,4371000,,600000,,9795200
Tohoku,1988,377,68,15,3,463,8832520,9910500,8522000,3650000,30915020,1,,4,53,14,349,7,46,,,,,,15,,,26,463,1500,488520,10186000,11347000,,,8892000,,30915020
Tokyo,1988,796,357,78,27,1258,23950960,24237000,47809000,78520000,174516960,,,9,100,33,967,2,138,,,,,4,38,,15,48,1258,,1483000,42666960,35487000,,,39840000,55040000,174516960
Chubu,1988,402,253,45,13,713,8712710,16698000,24225060,27890000,77525770,,8,13,86,25,545,4,46,,,,,1,21,,7,43,713,43500,2560210,22378060,17054000,,,19690000,15800000,77525770
Hokuriku,1988,81,43,13,,137,1855562,3775000,6473750,,12104312,,3,,13,,103,,14,,,,,,4,,,,137,12000,68732,4393580,5030000,,,2600000,,12104312
Kansai,1988,761,263,51,18,1093,15842600,20039000,32641000,43600000,112122600,1,,19,333,28,685,,37,,1,,,7,26,,11,55,1093,3000,2088600,35075000,18480000,380000,,27496000,28600000,112122600
Chugoku,1988,173,93,7,8,281,4107000,8775000,3908000,13170000,29960000,1,,3,30,13,88,3,148,,,1,9,,,,6,21,281,3000,434000,2205000,10468000,,6350000,,10500000,29960000
Shikoku,1988,154,16,10,,180,3884500,1690500,5355000,,10930000,1,4,,5,3,154,,3,,14,,,,,,,4,180,28500,27000,4507500,107000,6260000,,,,10930000
Kyushu,1988,261,129,28,6,424,6339846,11902500,15520000,9250000,43012346,1,1,,44,31,302,5,36,,,1,35,,,,6,38,424,5000,348846,13029500,4259000,,16370000,,9000000,43012346
Okinawa,1988,,,,,109,,,,,2914620,,,,,,,,,,,,,,,,,,,,167815,1445805,1301000,,,,,2914620
Hokkaido,1987,263,24,3,,290,3894700,3970500,1398000,,9269200,,,1,76,2,183,1,15,,15,,,,1,,,4,290,,364800,3962400,433000,3903000,,600000,,9263200
Tohoku,1987,382,59,15,2,458,8803520,9301500,8972000,2550000,29627020,1,,4,56,14,345,7,42,,,,,,15,,,26,458,1500,509520,9781000,10743000,,,8592000,,29627020
Tokyo,1987,827,309,75,26,1237,24445960,22046800,46232000,74770000,167494760,,,10,101,31,951,2,133,,,,,4,37,,15,47,1237,,1512000,40192760,34720000,,,38280000,52790000,167494760
Chubu,1987,402,230,44,13,689,8788710,15072000,22983060,27890000,74733770,,8,13,86,26,523,3,47,,,,,1,18,,7,43,689,43500,2523210,21378060,16599000,,,18390000,15800000,74733770
Hokuriku,1987,81,41,12,,134,1902062,3730000,6123750,,11755812,,3,,11,7,102,,14,,,,,,4,,,7,134,12000,56732,4257080,4830000,,,2600000,,11755812
Kansai,1987,751,255,47,18,1071,15703150,19952500,30787000,43300000,109742650,1,,21,322,25,675,,36,,1,,,7,26,,11,54,1071,3000,2113150,34170500,17980000,380000,,26796000,28300000,109742650
Chugoku,1987,169,91,8,7,275,4006000,8706875,4658000,11670000,29040875,1,,2,30,13,87,3,143,,,1,9,,,,6,20,275,3000,404000,2189000,10344875,,6350000,,9750000,29040875
Shikoku,1987,154,18,8,,180,3762000,2180500,4155000,,10097500,1,4,,5,3,154,,3,,14,,,,,,,4,180,28500,27000,4375000,107000,5560000,,,,10097500
Kyushu,1987,268,119,27,6,420,6508346,11272500,14870000,9250000,41900846,1,1,1,43,31,299,5,37,,,1,34,,,,6,39,420,5000,342346,12454500,4379000,,15720000,,9000000,41900846
Okinawa,1987,,,,,106,,,,,2444220,,,,,,,,,,,,,,,,,,,,173890,1374330,896000,,,,,2444220
Hokkaido,1986,261,24,2,,287,3841200,3955500,798000,,8593200,,,1,77,2,180,1,15,,15,,,,,,,4,287,,366300,3862400,463000,3903000,,,,8594700
Tohoku,1986,383,56,13,2,454,8631920,9274000,8112000,2550000,28567920,1,,4,55,13,344,7,40,,,,,,15,,,25,454,1500,490520,9397900,10086000,,,8592000,,28567920
Tokyo,1986,838,276,71,26,1211,24780960,20195800,44155000,70040000,159171760,,,11,99,33,933,2,128,,,,,4,36,,15,50,1211,,1530000,38798760,33403000,,,37150000,48290000,159171760
Chubu,1986,408,208,42,13,671,8794710,13770000,21422060,25440000,69426770,,8,14,86,24,507,3,46,,,,,1,17,,7,42,671,43500,2493210,20069060,15781000,,,17240000,13800000,69426770
Hokuriku,1986,83,38,12,,133,1931062,3540000,6123750,,11594812,,2,,11,7,102,,14,,,,,,4,,,7,133,6000,56732,4102080,4830000,,,2600000,,11594812
Kansai,1986,722,252,46,18,1038,15339200,19666500,30053000,43200000,108258700,1,,26,301,24,664,,35,,1,,,7,26,,11,58,1038,3000,2061200,33488500,17480000,380000,,26546000,28300000,108258700
Chugoku,1986,166,89,8,6,269,3931000,8672375,4858000,9070000,26531375,1,,2,30,12,86,3,139,,,,9,,,,5,18,269,3000,428000,2164500,10235875,,5950000,,7750000,26531375
Shikoku,1986,154,17,7,,178,3659900,2255500,3755000,,9670400,1,4,,5,3,152,,3,,14,,,,,,,4,178,24900,27000,4151500,107000,5360000,,,,9670400
Kyushu,1986,280,100,26,6,412,6774346,9912500,14475000,9000000,40161846,1,,1,40,31,295,4,38,,,,33,,,,6,37,412,2000,290346,11445500,4204000,,15220000,,9000000,40161846
Okinawa,1986,,,,,104,,,,,2399195,,,,,,,,,,,,,,,,,,,,171865,1331330,896000,,,,,2399195
Hokkaido,1985,261,23,2,,286,3819350,3895500,798000,,8512850,,,1,79,2,177,1,15,,15,,,,,,,4,286,,368950,3777900,463000,3903000,,,,8512850
Tohoku,1985,382,56,11,2,451,8331080,9456000,6860000,2450000,27097080,1,,7,54,12,342,7,40,,,,,,15,,,27,451,1500,478980,8968600,9656000,,,7992000,,27097080
Tokyo,1985,830,252,72,24,1178,24560960,18701800,44420000,66900000,154582760,,,11,98,29,906,2,126,,,,,4,33,,15,46,1178,,1541000,37191760,32580000,,,35650000,47620000,154582760
Chubu,1985,419,189,40,12,660,8967210,12869000,20973560,23840000,66649770,,8,13,89,24,497,3,43,,,,,1,16,,7,41,660,43500,2411710,18965560,15539000,,,15890000,13800000,66649770
Hokuriku,1985,83,37,11,,131,1936062,3726750,5387500,,11050312,,2,,10,7,101,,14,,,,,,4,,,7,131,6000,50732,3983580,4410000,,,2600000,,11050312
Kansai,1985,710,241,44,18,1013,15151700,18853500,28219000,43200000,105424200,1,,25,284,25,659,1,33,,1,,,3,25,,11,55,1013,3000,2012700,32436500,16346000,380000,,25946000,28300000,105424200
Chugoku,1985,169,83,7,6,265,3923000,8109375,4043000,8070000,24145375,1,,2,29,13,86,2,137,,,,8,,,,5,18,265,3000,421000,2130500,9690875,,5150000,,6750000,24145375
Shikoku,1985,155,15,7,,177,3601450,2001000,3755000,,9357450,1,4,1,4,3,151,,4,,14,,,,,,,5,177,23950,23000,3945500,105000,5260000,,,,9357450
Kyushu,1985,286,93,23,6,408,6880346,10287500,12625000,9000000,38792846,1,,1,41,32,290,4,38,,,,33,,,,6,38,408,2000,324346,10792500,4354000,,14320000,,9000000,38792846
Okinawa,1985,,,,,102,,,,,2253362,,,,,,,,,,,,,,,,,,,,179765,1302597,771000,,,,,2253362
Hokkaido,1984,261,23,2,,286,3750500,3895500,798000,,8444000,,,1,82,2,174,1,15,,15,,,,,,,4,286,,375100,3702900,463000,3903000,,,,8444000
Tohoku,1984,384,56,9,2,451,8054830,9911000,5351000,2282000,25598830,1,,8,55,12,341,7,40,,,,,,15,,,28,451,1500,476980,8620350,9476000,,,7024000,,25598830
Tokyo,1984,842,225,71,24,1162,24751960,17195600,43515000,66890000,152352560,,,12,101,29,889,2,125,,,,,4,32,,15,47,1162,,1649000,36002560,32041000,,,35040000,47620000,152352560
Chubu,1984,442,161,37,11,651,9465210,11753000,19287560,19590000,60095770,,8,13,88,24,491,3,43,,,,,,17,,4,40,651,40500,2349710,17841560,15474000,,,15390000,9000000,60095770
Hokuriku,1984,84,34,12,,130,1991662,3236750,5745000,,10973412,,2,,9,7,101,,14,,,,,,4,,,7,130,6000,44732,3852680,4470000,,,2600000,,10973412
Kansai,1984,693,232,44,17,986,15033300,18134500,28012000,42200000,103379800,1,,26,267,24,650,,32,,1,,,4,25,,11,55,986,3000,2005300,31499500,15746000,180000,,25646000,28300000,103379800
Chugoku,1984,167,79,8,5,259,3911500,7789375,4793000,7020000,23513875,1,,2,28,15,85,2,133,,,,8,,,,5,20,259,3000,421000,2119000,9370875,,4850000,,6750000,23513875
Shikoku,1984,154,14,7,,175,3575569,1701000,3655000,,8931569,1,4,1,4,3,150,,4,,13,,,,,,,5,175,23569,20000,3923000,105000,4860000,,,,8931569
Kyushu,1984,288,87,22,4,401,6868846,10278500,12065000,7000000,36212346,1,,2,38,32,289,3,37,,,,33,,,,4,38,401,2000,305346,10365000,4470000,,14070000,,7000000,36212346
Okinawa,1984,,,,,104,,,,,2278687,,,,,,,,,,,,,,,,,,,,180090,1327597,771000,,,,,2278687
Hokkaido,1983,255,23,2,,280,3599423,3795500,798000,,8192923,,,1,86,2,164,1,15,,15,,,,,,,4,280,,385023,3555900,449000,3803000,,,,8192923
Tohoku,1983,380,57,9,1,447,7924930,10121000,5726000,1182000,24953930,1,,8,54,11,338,7,40,,,,,,15,,,27,447,1500,468580,8483850,9376000,,,6624000,,24953930
Tokyo,1983,847,208,69,24,1148,24691960,16049600,41940000,63896000,146577560,,,12,100,29,880,2,122,,,,,3,32,,14,46,1148,,1640000,35019560,30858000,,,34440000,44620000,146577560
Chubu,1983,446,153,36,11,646,9574210,11282000,18277560,19440000,58573770,,8,14,88,24,488,3,42,,,,,,16,,4,41,646,40500,2321710,17522560,15349000,,,14340000,9000000,58573770
Hokuriku,1983,86,32,12,,130,2050090,3121750,5745000,,10916840,,2,,10,7,100,,14,,,,,,4,,,7,130,6000,50732,3790108,4470000,,,2600000,,10916840
Kansai,1983,663,230,42,17,952,14599300,18082500,26586000,41600000,100867800,1,,29,252,23,633,,30,,1,,,7,25,,11,60,952,3000,2015300,30747500,14876000,180000,,24746000,28300000,100867800
Chugoku,1983,168,77,8,5,258,3894500,7749375,4793000,7020000,23456875,1,,2,28,15,85,2,132,,,,8,,,,5,20,258,3000,418000,2110000,9325875,,4850000,,6750000,23456875
Shikoku,1983,154,14,7,,175,3533569,1701000,3655000,,8889569,1,4,1,4,3,150,,4,,13,,,,,,,5,175,23569,20000,3881000,105000,4860000,,,,8889569
Kyushu,1983,292,80,21,4,397,6885846,9819500,11365000,7000000,35070346,1,,2,36,32,287,3,38,,,,32,,,,4,38,397,2000,290346,9923000,4465000,,13390000,,7000000,35070346
Okinawa,1983,,,,,101,,,,,2247587,,,,,,,,,,,,,,,,,,,,187990,1288597,771000,,,,,2247587
Hokkaido,1982,251,23,2,,276,3495423,3826500,798000,,8119923,,,1,85,2,161,1,15,,15,,,,,,,4,276,,370023,3461900,485000,3803000,,,,8119923
Tohoku,1982,376,57,9,1,443,7728180,9956000,5726000,1182000,24592180,1,,8,54,11,334,7,40,,,,,,15,,,27,443,1500,455580,8295100,9216000,,,6624000,,24592180
Tokyo,1982,852,201,65,21,1139,24352960,16077600,39900000,57896000,138226560,,,12,102,29,871,2,121,,,,,3,32,,13,46,1139,,1660000,34174560,29932000,,,33840000,38620000,138226560
Chubu,1982,443,153,33,10,639,9530210,11678000,16788560,16440000,54436770,,8,14,88,24,483,3,42,,,,,,15,,3,41,639,40500,2321710,17385560,15349000,,,13340000,6000000,54436770
Hokuriku,1982,85,32,12,,129,2018390,3121750,5745000,,10885140,,2,1,10,7,99,,14,,,,,,4,,,8,129,6000,72032,3737108,4470000,,,2600000,,10885140
Kansai,1982,640,222,42,16,920,14325600,17022500,27159000,40600000,99107100,1,,28,236,20,619,,29,,1,,,7,25,,10,56,920,3000,2017100,29685000,14476000,180000,,24746000,28000000,99107100
Chugoku,1982,168,76,8,4,256,3924750,7676375,4793000,6020000,22414125,2,,2,28,15,85,2,131,,,,8,,,,4,21,256,5250,418000,2138000,9252875,,4850000,,5750000,22414125
Shikoku,1982,153,13,7,,173,3504369,1501000,3655000,,8660369,1,4,1,6,3,147,,4,,12,,,,,,,5,173,23569,32800,3839000,105000,4660000,,,,8660369
Kyushu,1982,292,76,20,3,391,6921346,9330500,10955000,5000000,32206846,1,,2,33,31,287,2,38,,,,30,,,,3,36,391,2000,268346,9741500,4385000,,12810000,,5000000,32206846
Okinawa,1982,,,,,102,,,,,2233987,,,,,,,,,,,,,,,,,,,,189390,1273597,771000,,,,,2233987
Hokkaido,1981,249,22,2,,273,3351173,3626500,798000,,7775673,,1,1,84,2,159,1,15,,14,,,,,,,4,273,1500,349523,3336650,485000,3603000,,,,7775673
Tohoku,1981,373,51,9,1,434,7528680,8946000,5594000,1182000,23250680,1,,8,54,9,329,7,37,,,,,,14,,,25,434,1500,450080,7926100,8681000,,,6192000,,23250680
Tokyo,1981,826,199,65,21,1111,23566960,16208400,38587000,54446000,132808360,,,14,98,29,852,2,116,,,,,3,32,,13,48,1111,,1675800,33408560,28864000,,,32490000,36370000,132808360
Chubu,1981,431,149,33,10,623,9251210,11246000,16796560,16440000,53733770,,8,14,88,24,469,3,41,,,,,,14,,3,41,623,40500,2277710,16982560,15343000,,,13090000,6000000,53733770
Hokuriku,1981,83,31,12,,126,1940890,3066750,5785000,,10792640,,2,,8,,98,,14,,,,,,4,,,,126,6000,60032,3616608,4510000,,,2600000,,10792640
Kansai,1981,603,212,39,16,870,13817700,16527500,25399000,40350000,96094200,,,,210,,597,,28,,1,,,,24,,10,,870,3000,1985200,28404000,13776000,180000,,23746000,28000000,96094200
Chugoku,1981,171,73,7,4,255,3975120,7377375,4193000,5020000,20565495,2,,2,29,14,85,2,130,,,,7,,,,4,20,255,5250,424370,2112000,9023875,,4250000,,4750000,20565495
Shikoku,1981,153,15,6,,174,3421969,1882000,3055000,,8358969,1,4,1,7,5,146,,5,,12,,,,,,,7,174,23569,33400,3787000,155000,4360000,,,,8358969
Kyushu,1981,289,75,18,3,385,6783846,9420500,9905000,5000000,31109346,,,,31,,284,,38,,,,29,,,,3,,385,2000,256346,9506000,4385000,,11960000,,5000000,31109346
Okinawa,1981,,,,,98,,,,,2217987,,,,,,,,,,,,,,,,,,,,170990,1275997,771000,,,,,2217987
Hokkaido,1980,244,20,2,,266,3237873,3266000,798000,,7301873,,1,1,84,2,153,1,15,,13,,,,,,,4,266,1500,346223,3166150,485000,3303000,,,,7301873
Tohoku,1980,369,47,8,1,425,7226180,8200000,5135000,1014000,21575180,1,,8,56,8,323,7,35,,,,,,11,,,24,425,1500,436580,7585100,8228000,,,5324000,,21575180
Tokyo,1980,804,189,62,20,1075,22941960,14927400,36587000,50612000,125068360,,,14,97,30,830,2,108,,,,,3,30,,10,49,1075,,1678800,32504560,27945000,,,30990000,31950000,125068360
Chubu,1980,409,145,34,9,597,9012210,10348000,17236560,15290000,51886770,,8,14,89,23,444,3,41,,,,,,12,,3,40,597,40500,2257710,16355560,15343000,,,11890000,6000000,51886770
Hokuriku,1980,81,32,10,,123,1883890,3216750,5035000,,10135640,,2,,7,,97,,14,,,,,,3,,,,123,6000,54032,3565608,4310000,,,2200000,,10135640
Kansai,1980,581,195,41,12,829,13454350,15283000,33249000,28010000,89996350,,,,196,,572,,27,,1,,,,24,,9,,829,3000,1930850,26790500,12586000,180000,,23256000,25250000,89996350
Chugoku,1980,166,71,6,4,247,3651620,7222375,3443000,5020000,19336995,1,,2,32,12,87,2,118,,,,7,,,,3,17,247,2250,457370,2103500,8523875,,4250000,,4000000,19336995
Shikoku,1980,151,16,4,,171,3203469,2032000,2105000,,7340469,1,4,1,9,5,142,,5,,11,,,,,,,7,171,16069,40900,3568500,155000,3560000,,,,7340469
Kyushu,1980,290,68,16,3,377,6722846,9014500,8665000,5000000,29402346,,,,30,,280,,37,,,,27,,,,3,,377,2000,245846,8989500,4255000,,10910000,,5000000,29402346
Okinawa,1980,,,,,96,,,,,2169562,,,,,,,,,,,,,,,,,,,,197565,1200997,771000,,,,,2169562
Hokkaido,1979,238,20,1,,259,3028023,3406000,398000,,6832023,,,,83,,148,,15,,13,,,,,,,,259,,,,,3103000,,,,6832023
Tohoku,1979,362,44,9,,415,6773180,7490000,5649000,,19912180,,,,54,,318,,32,,,,,,11,,,,415,,,,,,,4924000,,19912180
Tokyo,1979,798,174,76,,1048,22445960,14569400,79774000,,116789360,1,,15,96,29,811,2,103,,,,,2,29,,9,49,1048,,,,,,,28270000,28950000,116789360
Chubu,1979,407,126,39,,572,8784580,9868000,28789500,,47442080,,8,13,92,23,419,2,42,,,,,,9,,2,38,572,,,,,,,10690000,4000000,47442080
Hokuriku,1979,83,29,9,,121,1969390,3111750,4590000,,9671140,,2,,7,,95,,14,,,,,,3,,,,121,,,,,,,2200000,,9671140
Kansai,1979,545,184,49,,778,12580000,14271900,56362000,,83213900,1,,17,177,18,544,,23,,1,1,,5,24,,9,42,778,,,,,180000,240000,21454000,23750000,83213900
Chugoku,1979,170,65,8,,243,3623620,6545375,6863000,,17031995,1,,3,33,12,90,2,112,,,,6,,,,2,18,243,,,,,,3650000,,3000000,17031995
Shikoku,1979,149,15,4,,168,3008094,1949500,2095000,,7052594,2,4,1,8,5,138,,7,,11,,,,,,,8,168,,,,,3560000,,,,7052594
Kyushu,1979,278,62,16,,356,6317546,7856820,8225000,,22399366,,,,28,,269,,35,,,,24,,,,,,356,,,,,,9560000,,,22399366
Okinawa,1979,,,,,97,,,,,2174857,,,,,,,,,,,,,,,,,,,,,,,,,,,2174857
Hokkaido,1978,239,16,1,,256,3006523,2856000,398000,,6260523,,,2,82,1,146,1,17,,11,,,,,,,4,256,,,,,2703000,,,,6260523
Tohoku,1978,358,43,8,,409,6327680,6731500,5249000,,18308180,,,,57,,309,,33,,,,,,10,,,,409,,,,,,,4424000,,18308180
Tokyo,1978,775,160,70,,1005,21743360,14084400,70977000,,106804760,1,,17,93,28,783,2,96,,,,,2,25,,8,50,1005,,,,,,,24590000,24950000,106804760
Chubu,1978,396,121,36,,553,8377980,9742500,24640500,,42760980,,9,10,97,26,397,2,40,,,,,,10,,,38,553,,,,,,,11440000,,42760980
Hokuriku,1978,84,27,9,,120,1963490,2952750,4570000,,9486240,,2,,9,,92,,14,,,,,,3,,,,120,,,,,,,2200000,,9486240
Kansai,1978,523,169,47,,739,12260000,13575200,50062500,,75897700,,,,168,,516,,23,,1,,,,23,,8,,739,,,,,180000,,20694000,19250000,75897700
Chugoku,1978,174,60,5,,239,3569920,6277875,3023000,,12870795,1,,4,35,13,93,3,104,,,,7,,,,,21,239,,,,,,3050000,,,12870795
Shikoku,1978,150,12,4,,166,2927819,1538500,1795000,,6261319,2,4,1,11,5,135,,6,,10,,,,,,,8,166,,,,,2960000,,,,6261319
Kyushu,1978,276,54,16,,346,6066546,6835820,7975000,,20877366,1,,3,28,30,264,1,32,,,,22,,,,,35,346,,,,,,8610000,,,20877366
Okinawa,1978,,,,,94,,,,,2137905,,,,,,,,,,,,,,,,,,,,,,,,,,,2137905
Hokkaido,1977,239,15,1,,255,2829523,2506000,398000,,5733523,,,2,84,1,144,,17,,10,,,,,,,4,255,,,,,2383000,,,,5733523
Tohoku,1977,354,38,8,,400,5937680,6164000,4399000,,16500680,,,,58,,301,,31,,,,,,10,,,,400,,,,,,,3574000,,16500680
Tokyo,1977,765,125,67,,957,21405560,12015600,65692000,,99113160,,,18,88,28,749,2,89,,,,,2,23,,8,50,957,,,,,,,22240000,22970000,99113160
Chubu,1977,393,106,33,,532,8055570,9280000,21698500,,39034070,,9,,98,,375,,40,,,,,,10,,,,532,,,,,,,10290000,,39034070
Hokuriku,1977,84,26,8,,118,1956732,2937750,4264800,,9159282,,2,1,10,4,90,,13,,,,,,3,,,6,118,,,,,,,2200000,,9159282
Kansai,1977,500,154,43,,697,11672200,12817000,44727500,,69216700,1,,24,152,16,492,,23,,1,,,3,22,,7,44,697,,,,,180000,,19494000,16000000,69216700
