Company,year,Number of sites_- 50000 kVA,Number of sites_50000 - 350000 kVA,Number of sites_350000 - 100000 kVA,Number of sites_1000000 kVA -,Number of sites_Total,Capacity (by capacity range)_- 50000 kVA,Capacity (by capacity range)_50000 - 350000 kVA,Capacity (by capacity range)_350000 - 100000 kVA,Capacity (by capacity range)_1000000 kVA -,Capacity (by capacity range)_Total,Number of sites_- 22 kV (low voltage side),Number of sites_- 22 kV,Number of sites_22 - 55 kV (low voltage side),Number of sites_22 - 55 kV,Number of sites_66 - 77 kV (low voltage side),Number of sites_66 - 77 kV,Number of sites_110 - 154 kV (low voltage side),Number of sites_110 - 154 kV,Number of sites_187 kV (low voltage side),Number of sites_187 kV,Number of sites_220 kV (low voltage side),Number of sites_220 kV,Number of sites_275 kV (low voltage side),Number of sites_275 kV,Number of sites_500 kV (low voltage side),Number of sites_500 kV,Number of sites_Total (low voltage side),Number of sites_Total,Capacity (by voltage range)_- 22 kV,Capacity (by voltage range)_22 - 55 kV,Capacity (by voltage range)_66 - 77 kV,Capacity (by voltage range)_110 - 154 kV,Capacity (by voltage range)_187 kV,Capacity (by voltage range)_220 kV,Capacity (by voltage range)_275 kV,Capacity (by voltage range)_500 kV -,Capacity (by voltage range)_Total
会社名,年期,出力別_箇所数_50000未満,出力別_箇所数_50000以上350000未満,出力別_箇所数_350000以上1000000未満,出力別_箇所数_1000000以上,出力別_箇所数_合計,出力別_変電所出力_50000未満,出力別_変電所出力_50000以上350000未満,出力別_変電所出力_350000以上1000000未満,出力別_変電所出力_1000000以上,出力別_変電所出力_合計,電圧別_箇所数_22未満_低位電圧,電圧別_箇所数_22未満,電圧別_箇所数_22以上55以下_低位電圧,電圧別_箇所数_22以上55以下,電圧別_箇所数_66以上77以下_低位電圧,電圧別_箇所数_66以上77以下,電圧別_箇所数_110以上154以下_低位電圧,電圧別_箇所数_110以上154以下,電圧別_箇所数_187_低位電圧,電圧別_箇所数_187,箇所数_220_低位電圧,電圧別_箇所数_220,電圧別_箇所数_275_低位電圧,電圧別_箇所数_275,電圧別_箇所数_500以上_低位電圧,電圧別_箇所数_500以上,電圧別_箇所数_合計_低位電圧,電圧別_箇所数_合計,電圧別_変電所出力_22未満,電圧別_変電所出力_22以上55以下,電圧別_変電所出力_66以上77以下,電圧別_変電所出力_110以上154以下,電圧別_変電所出力_187,電圧別_変電所出力_220,電圧別_変電所出力_275,電圧別_変電所出力_500以上,電圧別_変電所出力_合計
Hokuriku,1993,80,56,15,2,153,1864500,3716000,7348750,2200000,15129250,1,3,,17,8,114,,15,,,,,,4,,,9,153,16000,98500,5524750,5790000,,,3700000,,15129250
Kansai,1993,856,344,51,20,1271,15758700,27220000,33676000,50750000,127404700,,,12,469,29,723,,40,,1,,,7,26,,12,48,1271,,2443700,41554000,20580000,380000,,29297000,33150000,127404700
Chugoku,1993,186,127,10,7,330,4491800,11586500,6223000,13300000,35601300,1,,3,39,26,101,5,173,,,1,11,,,,6,36,330,3000,501000,2866000,12981300,,7750000,,11500000,35601300
Shikoku,1993,132,41,13,,186,3489250,2922000,7690000,,14101250,,3,,5,4,158,,3,,15,,,,,,2,4,186,23250,27000,5569000,122000,6860000,,,1500000,14101250
Kyushu,1993,230,176,31,7,444,6150500,14307000,17755000,12290000,50502500,1,,,32,33,334,4,35,,,1,37,,,,6,39,444,2000,220500,16397000,3943000,,18940000,,11000000,50502500
Okinawa,1993,100,16,1,,117,1383200,1935000,390000,,3708200,,,5,50,6,59,,8,,,,,,,,,11,117,,161400,1920800,1626000,,,,,3708200
Hokkaido,1992,279,29,5,1,314,4513050,4200500,2328000,1200000,12278550,,,1,72,2,206,1,16,,18,,,,2,,,4,314,,397650,4769900,463000,4811000,,1800000,,12241550
Tohoku,1992,353,116,20,4,493,9113700,13147500,10479000,4682000,37422200,1,,2,55,19,369,6,54,,,,,,15,,,28,493,1500,552500,13054200,14222000,,,9592000,,37422200
Tokyo,1992,682,567,78,36,1363,20734960,36919000,52566000,100210000,210429960,,,8,89,39,1069,2,146,,,,,5,42,,17,54,1363,,1191000,52426960,40392000,,,49380000,67040000,210429960
Chubu,1992,405,348,49,15,817,9393710,22887500,27834000,35550000,95665210,1,6,12,78,23,647,3,53,,,,,1,26,,7,40,817,55500,2658210,28470500,19381000,,,26300000,18800000,95665210
Hokuriku,1992,81,53,14,1,149,1883830,3910000,7298750,1100000,14192580,,3,1,17,7,110,,15,,,,,,4,,,8,149,12000,98500,5192080,5590000,,,3300000,,14192580
Kansai,1992,839,312,52,19,1222,16115950,24378000,34176000,47950000,122619950,1,,12,431,29,713,,40,,1,,,7,26,,11,49,1222,3000,2339950,39390000,20560000,380000,,28097000,31850000,122619950
Chugoku,1992,177,120,9,7,313,4310800,10865500,5073000,12150000,32399300,1,,4,35,16,100,5,162,,,1,10,,,,6,27,313,3000,453000,2730000,12263300,,6450000,,10500000,32399300
Shikoku,1992,137,36,11,,184,3626750,2617000,6190000,,12433750,,3,,5,4,158,,3,,15,,,,,,,4,184,23250,27000,5401500,122000,6860000,,,,12433750
Kyushu,1992,234,166,31,7,438,6136500,13737000,17205000,11290000,48368500,1,,,32,33,328,4,35,,,1,37,,,,6,39,438,2000,220500,15763000,3993000,,18390000,,10000000,48368500
Okinawa,1992,100,16,1,,117,1335050,1951000,390000,,3676050,,,5,54,6,55,,8,,,,,,,,,11,117,,166250,1883800,1626000,,,,,3676050
Hokkaido,1991,275,29,4,1,309,4298550,4448500,1838000,1200000,11789550,,,1,75,2,198,1,16,,18,,,,2,,,4,309,,395150,4496900,472000,4621000,,1800000,,11785050
