Company,Year_term,Peak demand (MW),Time and date of occurrence (Y/M/D/H)
会社名,年期,総合計,最大発生日時
Chubu,201010,20013,2010.10.13.15
Hokuriku,201010,4299,2010.10.28.18
Kansai,201010,21497,2010.10.12.15
Chugoku,201010,8272,2010.10.12.19
Shikoku,201010,4045,2010.10.01.15
Kyushu,201010,12005,2010.10.01.15
Okinawa,201010,1347,2010.10.01.15
Hokkaido,201009,5051,2010.09.02.19
Tohoku,201009,15043,2010.09.02.15
Tokyo,201009,58276,2010.09.01.15
Chubu,201009,26644,2010.09.03.15
Hokuriku,201009,5630,2010.09.01.15
Kansai,201009,30073,2010.09.01.15
Chugoku,201009,11628,2010.09.03.15
Shikoku,201009,5748,2010.09.03.15
Kyushu,201009,16967,2010.09.03.17
Okinawa,201009,1444,2010.09.13.20
Hokkaido,201008,5061,2010.08.31.19
Tohoku,201008,15572,2010.08.05.15
Tokyo,201008,58879,2010.08.23.15
Chubu,201008,27093,2010.08.24.15
Hokuriku,201008,5732,2010.08.05.15
Kansai,201008,30950,2010.08.19.15
Chugoku,201008,12009,2010.08.20.15
Shikoku,201008,5966,2010.08.20.15
Kyushu,201008,17498,2010.08.20.17
Okinawa,201008,1473,2010.08.03.15
Hokkaido,201007,4702,2010.07.28.20
Tohoku,201007,14569,2010.07.22.15
Tokyo,201007,59988,2010.07.23.15
Chubu,201007,26617,2010.07.23.15
Hokuriku,201007,5468,2010.07.27.15
Kansai,201007,29843,2010.07.23.15
Chugoku,201007,11059,2010.07.23.15
Shikoku,201007,5499,2010.07.23.15
Kyushu,201007,16219,2010.07.23.15
Okinawa,201007,1480,2010.07.06.16
Hokkaido,201006,4705,2010.06.28.15
Tohoku,201006,12385,2010.06.22.15
Tokyo,201006,51316,2010.06.28.15
Chubu,201006,23625,2010.06.28.15
Hokuriku,201006,4630,2010.06.28.15
Kansai,201006,25873,2010.06.28.15
Chugoku,201006,9575,2010.06.28.15
Shikoku,201006,4948,2010.06.28.15
Kyushu,201006,13543,2010.06.28.12
Okinawa,201006,1446,2010.06.29.16
Hokkaido,201005,4515,2010.05.07.20
Tohoku,201005,10956,2010.05.20.12
Tokyo,201005,42050,2010.05.21.15
Chubu,201005,19483,2010.05.21.15
Hokuriku,201005,3945,2010.05.14.11
Kansai,201005,21075,2010.05.21.15
Chugoku,201005,8088,2010.05.19.11
Shikoku,201005,3942,2010.05.20.14
Kyushu,201005,11395,2010.05.19.15
Okinawa,201005,1249,2010.05.20.16
Hokkaido,201004,4759,2010.04.01.19
Tohoku,201004,11921,2010.04.22.19
Tokyo,201004,47335,2010.04.16.19
Chubu,201004,19749,2010.04.16.11
Hokuriku,201004,4276,2010.04.22.12
Kansai,201004,21938,2010.04.16.12
Chugoku,201004,8629,2010.04.15.10
Shikoku,201004,4319,2010.04.16.12
Kyushu,201004,12055,2010.04.15.20
Okinawa,201004,1156,2010.04.22.20
Hokkaido,201003,5252,2010.03.15.19
Tohoku,201003,13358,2010.03.09.18
Tokyo,201003,51705,2010.03.09.19
Chubu,201003,21867,2010.03.09.11
Hokuriku,201003,5036,2010.03.09.17
Kansai,201003,23999,2010.03.09.12
Chugoku,201003,10215,2010.03.09.12
Shikoku,201003,4745,2010.03.09.12
Kyushu,201003,14252,2010.03.10.19
Okinawa,201003,1091,2010.03.06.20
Hokkaido,201002,5686,2010.02.05.18
Tohoku,201002,14165,2010.02.05.18
Tokyo,201002,51990,2010.02.18.11
Chubu,201002,22654,2010.02.04.10
Hokuriku,201002,5078,2010.02.05.11
Kansai,201002,24994,2010.02.01.18
Chugoku,201002,9960,2010.02.05.10
Shikoku,201002,4778,2010.02.04.19
Kyushu,201002,14037,2010.02.04.19
Okinawa,201002,1091,2010.02.18.20
Hokkaido,201001,5568,2010.01.21.18
Tohoku,201001,14516,2010.01.14.18
Tokyo,201001,52401,2010.01.12.18
Chubu,201001,23151,2010.01.14.18
Hokuriku,201001,5159,2010.01.14.11
Kansai,201001,25814,2010.01.13.18
Chugoku,201001,10418,2010.01.14.10
Shikoku,201001,5103,2010.01.13.19
Kyushu,201001,15369,2010.01.13.19
Okinawa,201001,1118,2010.01.13.20
Hokkaido,200912,5656,2009.12.21.18
Tohoku,200912,14284,2009.12.18.18
Tokyo,200912,49550,2009.12.21.18
Chubu,200912,22218,2009.12.21.18
Hokuriku,200912,5070,2009.12.18.17
Kansai,200912,24845,2009.12.21.18
Chugoku,200912,9825,2009.12.21.19
Shikoku,200912,4829,2009.12.18.18
Kyushu,200912,14477,2009.12.18.19
Okinawa,200912,1062,2009.12.28.19
Hokkaido,200911,5126,2009.11.20.18
Tohoku,200911,12515,2009.11.17.17
Tokyo,200911,47305,2009.11.19.18
Chubu,200911,20229,2009.11.17.17
Hokuriku,200911,4284,2009.11.19.11
Kansai,200911,22331,2009.11.24.18
Chugoku,200911,9257,2009.11.24.18
Shikoku,200911,4380,2009.11.17.18
Kyushu,200911,13052,2009.11.24.18
Okinawa,200911,1169,2009.11.10.19
Hokkaido,200910,4842,2009.10.26.18
Tohoku,200910,11618,2009.10.26.17
Tokyo,200910,41439,2009.10.26.18
Chubu,200910,19651,2009.10.01.15
Hokuriku,200910,4114,2009.10.01.15
Kansai,200910,22129,2009.10.01.15
Chugoku,200910,8742,2009.10.01.15
Shikoku,200910,4351,2009.10.01.15
Kyushu,200910,12958,2009.10.01.19
Okinawa,200910,1415,2009.10.02.15
Hokkaido,200909,4679,2009.09.28.18
Tohoku,200909,12005,2009.09.07.15
Tokyo,200909,47175,2009.09.08.15
Chubu,200909,23434,2009.09.08.15
Hokuriku,200909,4565,2009.09.03.15
Kansai,200909,25586,2009.09.07.15
Chugoku,200909,9824,2009.09.04.14
Shikoku,200909,4914,2009.09.04.15
Kyushu,200909,15295,2009.09.04.15
Okinawa,200909,1513,2009.09.15.20
Hokkaido,200908,4697,2009.08.11.15
Tohoku,200908,13240,2009.08.06.15
Tokyo,200908,52919,2009.08.07.12
Chubu,200908,24327,2009.08.04.15
Hokuriku,200908,5081,2009.08.20.15
Kansai,200908,27949,2009.08.04.15
Chugoku,200908,10714,2009.08.07.14
Shikoku,200908,5422,2009.08.21.15
Kyushu,200908,16653,2009.08.07.15
Okinawa,200908,1543,2009.08.03.21
Hokkaido,200907,4500,2009.07.31.20
Tohoku,200907,12998,2009.07.15.14
Tokyo,200907,54496,2009.07.30.15
Chubu,200907,24214,2009.07.14.15
Hokuriku,200907,4973,2009.07.15.12
Kansai,200907,28178,2009.07.14.15
Chugoku,200907,10277,2009.07.14.15
Shikoku,200907,5257,2009.07.14.15
Kyushu,200907,15712,2009.07.14.17
Okinawa,200907,1509,2009.07.29.21
Hokkaido,200906,4383,2009.06.25.15
Tohoku,200906,12210,2009.06.29.15
Tokyo,200906,46519,2009.06.26.15
Chubu,200906,21346,2009.06.23.15
Hokuriku,200906,4386,2009.06.26.15
Kansai,200906,24406,2009.06.22.15
Chugoku,200906,8840,2009.06.22.14
Shikoku,200906,4728,2009.06.22.15
Kyushu,200906,14096,2009.06.22.15
Okinawa,200906,1423,2009.06.30.15
Hokkaido,200905,4360,2009.05.01.20
Tohoku,200905,10961,2009.05.21.15
Tokyo,200905,41545,2009.05.21.15
Chubu,200905,18966,2009.05.12.15
Hokuriku,200905,3759,2009.05.21.12
Kansai,200905,20490,2009.05.12.15
Chugoku,200905,7663,2009.05.20.15
Shikoku,200905,3825,2009.05.12.15
Kyushu,200905,11468,2009.05.12.15
Okinawa,200905,1257,2009.05.21.15
Hokkaido,200904,4607,2009.04.01.19
Tohoku,200904,11454,2009.04.01.19
Tokyo,200904,41151,2009.04.02.10
Chubu,200904,18631,2009.04.02.10
Hokuriku,200904,4040,2009.04.01.15
Kansai,200904,20773,2009.04.02.11
Chugoku,200904,7910,2009.04.02.10
Shikoku,200904,3914,2009.04.01.20
Kyushu,200904,11703,2009.04.01.20
Okinawa,200904,1046,2009.04.20.20
Hokkaido,200903,5286,2009.03.02.19
Tohoku,200903,12465,2009.03.11.19
Tokyo,200903,48542,2009.03.03.18
Chubu,200903,20945,2009.03.03.11
Hokuriku,200903,4289,2009.03.03.11
Kansai,200903,23515,2009.03.03.17
Chugoku,200903,9444,2009.03.03.10
Shikoku,200903,4415,2009.03.03.19
Kyushu,200903,12404,2009.03.03.12
Okinawa,200903,1049,2009.03.20.20
Hokkaido,200902,5447,2009.02.20.19
Tohoku,200902,13113,2009.02.16.18
Tokyo,200902,48610,2009.02.27.12
Chubu,200902,20964,2009.02.17.10
Hokuriku,200902,4607,2009.02.17.10
Kansai,200902,23251,2009.02.03.10
Chugoku,200902,9463,2009.02.03.10
Shikoku,200902,4667,2009.02.03.12
Kyushu,200902,13407,2009.02.19.19
Okinawa,200902,1055,2009.02.25.20
Hokkaido,200901,5408,2009.01.15.18
Tohoku,200901,13917,2009.01.15.18
Tokyo,200901,50291,2009.01.09.17
Chubu,200901,22599,2009.01.13.10
Hokuriku,200901,4987,2009.01.15.10
Kansai,200901,24584,2009.01.14.10
Chugoku,200901,9895,2009.01.15.10
Shikoku,200901,4898,2009.01.15.19
Kyushu,200901,14585,2009.01.13.19
Okinawa,200901,1102,2009.01.13.20
Hokkaido,200812,5558,2008.12.11.17
Tohoku,200812,13242,2008.12.26.18
Tokyo,200812,48304,2008.12.17.17
Chubu,200812,21625,2008.12.09.17
Hokuriku,200812,4581,2008.12.26.11
Kansai,200812,23824,2008.12.08.18
Chugoku,200812,9525,2008.12.08.10
Shikoku,200812,4795,2008.12.08.18
Kyushu,200812,14003,2008.12.08.18
Okinawa,200812,1042,2008.12.29.19
Hokkaido,200811,5295,2008.11.20.18
Tohoku,200811,13353,2008.11.20.18
Tokyo,200811,47533,2008.11.27.18
Chubu,200811,21236,2008.11.27.11
Hokuriku,200811,4791,2008.11.20.11
Kansai,200811,23044,2008.11.20.18
Chugoku,200811,9425,2008.11.19.19
Shikoku,200811,4588,2008.11.19.19
Kyushu,200811,13712,2008.11.19.19
Okinawa,200811,1279,2008.11.07.19
Hokkaido,200810,4937,2008.10.30.18
Tohoku,200810,12186,2008.10.29.18
Tokyo,200810,43125,2008.10.24.18
Chubu,200810,20966,2008.10.09.15
Hokuriku,200810,4263,2008.10.09.15
Kansai,200810,22109,2008.10.10.15
Chugoku,200810,8774,2008.10.09.15
Shikoku,200810,4185,2008.10.09.15
Kyushu,200810,12506,2008.10.09.15
Okinawa,200810,1324,2008.10.06.19
Hokkaido,200809,5116,2008.09.22.19
Tohoku,200809,13836,2008.09.03.12
Tokyo,200809,54958,2008.09.03.15
Chubu,200809,24843,2008.09.01.15
Hokuriku,200809,5150,2008.09.02.12
Kansai,200809,27662,2008.09.02.15
Chugoku,200809,10769,2008.09.01.15
Shikoku,200809,5112,2008.09.02.15
Kyushu,200809,15179,2008.09.05.15
Okinawa,200809,1437,2008.09.24.20
Hokkaido,200808,4854,2008.08.07.12
Tohoku,200808,14738,2008.08.07.15
Tokyo,200808,60891,2008.08.08.15
Chubu,200808,28214,2008.08.05.15
Hokuriku,200808,5634,2008.08.08.15
Kansai,200808,30835,2008.08.05.15
Chugoku,200808,12012,2008.08.01.15
Shikoku,200808,5988,2008.08.04.15
Kyushu,200808,17714,2008.08.01.15
Okinawa,200808,1465,2008.08.04.16
Hokkaido,200807,4639,2008.07.24.17
Tohoku,200807,14278,2008.07.23.15
Tokyo,200807,60079,2008.07.25.15
Chubu,200807,28032,2008.07.25.15
Hokuriku,200807,5691,2008.07.23.15
Kansai,200807,30820,2008.07.25.15
Chugoku,200807,11992,2008.07.25.15
Shikoku,200807,5921,2008.07.28.15
Kyushu,200807,17503,2008.07.25.15
Okinawa,200807,1485,2008.07.08.15
Hokkaido,200806,4394,2008.06.19.20
Tohoku,200806,12886,2008.06.20.15
Tokyo,200806,45250,2008.06.24.17
Chubu,200806,22497,2008.06.20.15
Hokuriku,200806,4566,2008.06.20.12
Kansai,200806,24359,2008.06.20.12
Chugoku,200806,9394,2008.06.18.15
Shikoku,200806,4581,2008.06.20.14
Kyushu,200806,13711,2008.06.18.16
Okinawa,200806,1468,2008.06.25.14
Hokkaido,200805,4458,2008.05.01.20
Tohoku,200805,11554,2008.05.23.15
Tokyo,200805,44449,2008.05.23.15
Chubu,200805,21063,2008.05.23.15
Hokuriku,200805,4115,2008.05.23.15
Kansai,200805,21968,2008.05.26.15
Chugoku,200805,8698,2008.05.28.14
Shikoku,200805,4146,2008.05.26.15
Kyushu,200805,12544,2008.05.27.15
Okinawa,200805,1340,2008.05.29.15
Hokkaido,200804,4725,2008.04.01.19
Tohoku,200804,12133,2008.04.01.19
Tokyo,200804,44622,2008.04.10.19
Chubu,200804,20775,2008.04.10.11
Hokuriku,200804,4374,2008.04.03.10
Kansai,200804,21508,2008.04.07.17
Chugoku,200804,8798,2008.04.07.11
Shikoku,200804,4217,2008.04.07.12
Kyushu,200804,11767,2008.04.02.20
Okinawa,200804,1069,2008.04.09.20
Hokkaido,200803,5389,2008.03.01.19
Tohoku,200803,13336,2008.03.05.19
Tokyo,200803,47751,2008.03.05.19
Chubu,200803,23014,2008.03.06.10
Hokuriku,200803,4948,2008.03.05.10
Kansai,200803,24051,2008.03.06.10
Chugoku,200803,9982,2008.03.06.10
Shikoku,200803,4676,2008.03.04.19
Kyushu,200803,14049,2008.03.04.19
Okinawa,200803,1020,2008.03.04.20
Hokkaido,200802,5656,2008.02.13.19
Tohoku,200802,14708,2008.02.13.18
Tokyo,200802,54070,2008.02.06.00
Chubu,200802,24714,2008.02.14.10
Hokuriku,200802,5243,2008.02.13.10
Kansai,200802,25982,2008.02.13.19
Chugoku,200802,10537,2008.02.13.19
Shikoku,200802,4944,2008.02.13.19
Kyushu,200802,14756,2008.02.13.19
Okinawa,200802,1079,2008.02.13.20
Hokkaido,200801,5657,2008.01.18.18
Tohoku,200801,14884,2008.01.24.18
Tokyo,200801,50275,2007.01.17.18
Chubu,200801,24436,2008.01.28.11
Hokuriku,200801,5215,2008.01.17.11
Kansai,200801,26367,2008.01.28.18
Chugoku,200801,10986,2008.01.28.18
Shikoku,200801,5200,2008.01.28.18
Kyushu,200801,14674,2008.01.24.19
Okinawa,200801,1039,2008.01.31.20
Hokkaido,200712,5453,2007.12.17.18
Tohoku,200712,14043,2007.12.18.18
Tokyo,200712,50323,2007.12.19.18
Chubu,200712,23089,2007.12.18.18
Hokuriku,200712,4831,2007.12.18.11
Kansai,200712,24114,2007.12.17.18
Chugoku,200712,9928,2007.12.04.19
Shikoku,200712,4720,2007.12.17.19
Kyushu,200712,13779,2007.12.19.19
Okinawa,200712,1056,2007.12.12.19
Hokkaido,200711,5411,2007.11.22.18
Tohoku,200711,13936,2007.11.22.17
Tokyo,200711,48404,2007.11.29.18
Chubu,200711,21996,2007.11.22.18
Hokuriku,200711,4792,2007.11.22.17
Kansai,200711,22861,2007.11.22.18
Chugoku,200711,9501,2007.11.21.18
Shikoku,200711,4398,2007.11.22.18
Kyushu,200711,12842,2007.11.21.19
Okinawa,200711,1198,2007.11.05.19
Hokkaido,200710,4900,2007.10.29.18
Tohoku,200710,12122,2007.10.26.17
Tokyo,200710,43772,2007.10.05.15
Chubu,200710,21942,2007.10.05.15
Hokuriku,200710,4420,2007.10.04.15
Kansai,200710,23431,2007.10.04.15
Chugoku,200710,9469,2007.10.04.15
Shikoku,200710,4570,2007.10.05.15
Kyushu,200710,14513,2007.10.04.15
Okinawa,200710,1406,2007.10.01.15
Hokkaido,200709,5104,2007.09.21.19
Tohoku,200709,14410,2007.09.21.15
Tokyo,200709,53851,2007.09.21.15
Chubu,200709,26532,2007.09.05.15
Hokuriku,200709,5492,2007.09.21.15
Kansai,200709,29347,2007.09.04.15
Chugoku,200709,11539,2007.09.06.15
Shikoku,200709,5797,2007.09.06.15
Kyushu,200709,16639,2007.09.19.17
Okinawa,200709,1420,2007.09.13.20
Hokkaido,200708,4904,2007.08.09.20
Tohoku,200708,15045,2007.08.03.15
Tokyo,200708,61471,2007.08.22.15
Chubu,200708,27970,2007.08.21.15
Hokuriku,200708,5580,2007.08.09.15
Kansai,200708,30665,2007.08.22.15
Chugoku,200708,12285,2007.08.17.15
Shikoku,200708,5931,2007.08.22.15
Kyushu,200708,17622,2007.08.24.15
Okinawa,200708,1492,2007.08.02.17
Hokkaido,200707,4630,2007.07.27.12
Tohoku,200707,13514,2007.07.27.15
Tokyo,200707,54763,2007.07.27.15
Chubu,200707,25432,2007.07.27.15
Hokuriku,200707,4839,2007.07.26.15
Kansai,200707,27859,2007.07.26.15
Chugoku,200707,11353,2007.07.27.15
Shikoku,200707,5545,2007.07.26.15
Kyushu,200707,17243,2007.07.27.15
Okinawa,200707,1530,2007.07.11.15
Hokkaido,200706,4502,2007.06.13.15
Tohoku,200706,13231,2007.06.28.15
Tokyo,200706,50634,2007.06.28.15
Chubu,200706,24449,2007.06.28.15
Hokuriku,200706,4681,2007.06.28.15
Kansai,200706,26792,2007.06.29.15
Chugoku,200706,10062,2007.06.29.12
Shikoku,200706,5254,2007.06.29.14
Kyushu,200706,15560,2007.06.28.15
Okinawa,200706,1460,2007.06.29.15
Hokkaido,200705,4430,2007.05.01.20
Tohoku,200705,11307,2007.05.17.12
Tokyo,200705,43475,2007.05.23.15
Chubu,200705,20999,2007.05.24.15
Hokuriku,200705,4145,2007.05.24.15
Kansai,200705,21742,2007.05.24.15
Chugoku,200705,8516,2007.05.25.12
Shikoku,200705,4020,2007.05.25.15
Kyushu,200705,12157,2007.05.25.12
Okinawa,200705,1315,2007.05.29.12
Hokkaido,200704,4757,2007.04.14.19
Tohoku,200704,12127,2007.04.05.19
Tokyo,200704,45246,2007.04.04.19
Chubu,200704,20439,2007.04.05.10
Hokuriku,200704,4452,2007.04.04.12
Kansai,200704,21749,2007.04.04.12
Chugoku,200704,8869,2007.04.18.14
Shikoku,200704,4153,2007.04.18.17
Kyushu,200704,12161,2007.04.18.20
Okinawa,200704,1088,2007.04.24.20
Hokkaido,200703,5228,2007.03.12.19
Tohoku,200703,13671,2007.03.12.19
Tokyo,200703,46160,2007.03.19.19
Chubu,200703,22522,2007.03.13.10
Hokuriku,200703,5019,2007.03.07.11
Kansai,200703,23560,2007.03.15.11
Chugoku,200703,9870,2007.03.15.17
Shikoku,200703,4636,2007.03.15.19
Kyushu,200703,13380,2007.03.15.19
Okinawa,200703,1049,2007.03.30.20
Hokkaido,200702,5458,2007.02.14.18
Tohoku,200702,13833,2007.02.02.18
Tokyo,200702,48435,2007.02.20.18
Chubu,200702,22958,2007.02.02.10
Hokuriku,200702,5091,2007.02.01.11
Kansai,200702,24633,2007.02.02.10
Chugoku,200702,10258,2007.02.02.10
Shikoku,200702,4809,2007.02.02.19
Kyushu,200702,14426,2007.02.02.19
Okinawa,200702,1055,2007.02.02.20
Hokkaido,200701,5461,2007.01.29.18
Tohoku,200701,13894,2007.01.11.18
Tokyo,200701,50275,2007.01.17.18
Chubu,200701,23570,2007.01.16.10
Hokuriku,200701,4824,2007.01.10.11
Kansai,200701,24304,2007.01.24.10
Chugoku,200701,10112,2007.01.12.10
Shikoku,200701,4633,2007.01.11.19
Kyushu,200701,13727,2007.01.09.19
Okinawa,200701,1029,2007.01.08.20
Hokkaido,200612,5437,2006.12.07.18
Tohoku,200612,13704,2006.12.18.18
Tokyo,200612,50000,2006.12.12.18
Chubu,200612,22913,2006.12.13.17
Hokuriku,200612,4735,2006.12.04.18
Kansai,200612,24125,2006.12.07.18
Chugoku,200612,9762,2006.12.19.10
Shikoku,200612,4612,2006.12.07.18
Kyushu,200612,13744,2006.12.18.19
Okinawa,200612,1069,2006.12.13.19
Hokkaido,200611,5183,2006.11.30.18
Tohoku,200611,13421,2006.11.24.18
Tokyo,200611,45435,2006.11.28.18
Chubu,200611,20788,2006.11.30.18
Hokuriku,200611,4485,2006.11.30.17
Kansai,200611,21792,2006.11.30.18
Chugoku,200611,9135,2006.11.24.
Shikoku,200611,4183,2006.11.24.18
Kyushu,200611,12306,2006.11.24.19
Okinawa,200611,1129,2006.11.10.19
Hokkaido,200610,4839,2006.10.26.18
Tohoku,200610,12300,2006.10.24.18
Tokyo,200610,43584,2006.10.12.18
Chubu,200610,20556,2006.10.05.17
Hokuriku,200610,4102,2006.10.05.15
Kansai,200610,21665,2006.10.04.15
Chugoku,200610,8613,2006.10.04.15
Shikoku,200610,4164,2006.10.03.15
Kyushu,200610,12129,2006.10.04.15
Okinawa,200610,1325,2006.10.02.14
Hokkaido,200609,4709,2006.09.27.18
Tohoku,200609,12925,2006.09.04.15
Tokyo,200609,53779,2006.09.05.15
Chubu,200609,25670,2006.09.08.15
Hokuriku,200609,4938,2006.09.04.15
Kansai,200609,28136,2006.09.08.15
Chugoku,200609,10276,2006.09.08.15
Shikoku,200609,5047,2006.09.08.15
Kyushu,200609,15307,2006.09.08.15
Okinawa,200609,1456,2006.09.08.15
Hokkaido,200608,5074,2006.08.09.14
Tohoku,200608,14761,2006.08.08.15
Tokyo,200608,57667,2006.08.07.15
Chubu,200608,26967,2006.08.25.15
Hokuriku,200608,5488,2006.08.21.15
Kansai,200608,30530,2006.08.07.15
Chugoku,200608,11919,2006.08.08.15
Shikoku,200608,5809,2006.08.09.15
Kyushu,200608,17541,2006.08.09.15
Okinawa,200608,1469,2006.08.28.20
Hokkaido,200607,4657,2006.07.14.15
Tohoku,200607,13514,2006.07.14.15
Tokyo,200607,58058,2006.07.14.12
Chubu,200607,26453,2006.07.14.14
Hokuriku,200607,5173,2006.07.14.15
Kansai,200607,29468,2006.07.14.14
Chugoku,200607,11144,2006.07.14.12
Shikoku,200607,5517,2006.07.28.15
Kyushu,200607,16907,2006.07.14.15
Okinawa,200607,1524,2006.07.06.17
Hokkaido,200606,4220,2006.06.27.17
Tohoku,200606,12404,2006.06.28.15
Tokyo,200606,51368,2006.06.29.15
Chubu,200606,24067,2006.06.29.15
Hokuriku,200606,4696,2006.06.29.15
Kansai,200606,26779,2006.06.29.15
Chugoku,200606,9928,2006.06.29.15
Shikoku,200606,4892,2006.06.29.15
Kyushu,200606,13951,2006.06.30.12
Okinawa,200606,1479,2006.06.30.15
Hokkaido,200605,4402,2006.05.01.19
Tohoku,200605,10970,2006.05.23.17
Tokyo,200605,42149,2006.05.31.15
Chubu,200605,20126,2006.05.31.15
Hokuriku,200605,4074,2006.05.22.15
Kansai,200605,21176,2006.05.31.15
Chugoku,200605,8411,2006.05.31.15
Shikoku,200605,3940,2006.05.09.15
Kyushu,200605,11691,2006.05.19.12
Okinawa,200605,1272,2006.05.19.12
Hokkaido,200604,4645,2006.04.03.19
Tohoku,200604,11881,2006.04.05.17
Tokyo,200604,43112,2006.04.11.18
Chubu,200604,20286,2006.04.05.11
Hokuriku,200604,4336,2006.04.03.12
Kansai,200604,21267,2006.04.10.14
Chugoku,200604,8488,2006.04.10.12
Shikoku,200604,4020,2006.04.05.12
Kyushu,200604,11619,2006.04.04.19
Okinawa,200604,1051,2006.04.12.20
Hokkaido,200603,5246,2006.03.01.19
Tohoku,200603,13076,2006.03.13.19
Tokyo,200603,48449,2006.03.01.11
Chubu,200603,22110,2006.03.30.11
Hokuriku,200603,4931,2006.03.14.11
Kansai,200603,23792,2006.03.14.10
Chugoku,200603,9462,2006.03.14.10
Shikoku,200603,4530,2006.03.14.11
Kyushu,200603,13304,2006.03.13.20
Okinawa,200603,989,2006.03.02.20
Hokkaido,200602,5410,2006.02.02.19
Tohoku,200602,14035,2006.02.03.18
Tokyo,200602,52360,2006.02.06.18
Chubu,200602,23896,2006.02.06.11
Hokuriku,200602,4993,2006.02.09.11
Kansai,200602,26116,2006.02.06.11
Chugoku,200602,10010,2006.02.06.17
Shikoku,200602,4880,2006.02.06.17
Kyushu,200602,14075,2006.02.08.19
Okinawa,200602,1044,2006.02.09.20
Hokkaido,200601,5462,2006.01.19.18
Tohoku,200601,14168,2006.01.23.18
Tokyo,200601,52221,2006.01.23.18
Chubu,200601,23294,2006.01.24.10
Hokuriku,200601,5058,2006.01.06.11
Kansai,200601,25673,2006.01.06.11
Chugoku,200601,9979,2006.01.06.10
Shikoku,200601,4905,2006.01.06.10
Kyushu,200601,14032,2006.01.06.11
Okinawa,200601,1061,2006.01.06.19
Hokkaido,200512,5323,2005.12.26.18
Tohoku,200512,14002,2005.12.19.18
Tokyo,200512,51653,2005.12.19.18
Chubu,200512,23824,2005.12.22.11
Hokuriku,200512,5223,2005.12.22.11
Kansai,200512,26524,2005.12.22.11
Chugoku,200512,10306,2005.12.22.10
Shikoku,200512,5050,2005.12.22.18
Kyushu,200512,14524,2005.12.21.19
Okinawa,200512,1084,2005.12.22.19
Hokkaido,200511,4913,2005.11.30.18
Tohoku,200511,12600,2005.11.30.18
Tokyo,200511,45254,2005.11.21.18
Chubu,200511,20465,2005.11.30.18
Hokuriku,200511,4436,2005.11.30.17
Kansai,200511,22061,2005.11.30.18
Chugoku,200511,8480,2005.11.30.18
Shikoku,200511,4076,2005.11.30.18
Kyushu,200511,12186,2005.11.30.19
Okinawa,200511,1212,2005.11.11.19
Hokkaido,200510,4711,2005.10.14.18
Tohoku,200510,11433,2005.10.31.18
Tokyo,200510,42532,2005.10.03.18
Chubu,200510,21000,2005.10.04.15
Hokuriku,200510,4121,2005.10.14.15
Kansai,200510,22757,2006.10.04.14
Chugoku,200510,8506,2005.10.03.15
Shikoku,200510,4288,2005.10.04.12
Kyushu,200510,13597,2005.10.03.15
Okinawa,200510,1391,2005.10.05.15
Hokkaido,200509,4769,2005.09.12.19
Tohoku,200509,13679,2005.09.02.15
Tokyo,200509,55412,2005.09.13.15
Chubu,200509,25602,2005.09.13.15
Hokuriku,200509,5282,2005.09.02.15
Kansai,200509,29144,2005.09.02.15
Chugoku,200509,10997,2005.09.02.15
Shikoku,200509,5247,2005.09.02.15
Kyushu,200509,16066,2005.09.01.15
Okinawa,200509,1449,2005.09.02.15
Hokkaido,200508,4913,2005.08.05.15
Tohoku,200508,15200,2005.08.05.15
Tokyo,200508,60118,2005.08.05.15
Chubu,200508,26680,2005.08.05.14
Hokuriku,200508,5486,2005.08.04.15
Kansai,200508,30870,2005.08.05.15
Chugoku,200508,11500,2005.08.19.15
Shikoku,200508,5542,2005.08.10.14
Kyushu,200508,16489,2005.08.05.
Okinawa,200508,1467,2005.08.02.17
Hokkaido,200507,4563,2005.07.30.20
Tohoku,200507,13203,2005.07.29.15
Tokyo,200507,55225,2005.07.29.15
Chubu,200507,25940,2005.07.22.15
Hokuriku,200507,5089,2005.07.29.12
Kansai,200507,30124,2005.07.21.15
Chugoku,200507,11113,2005.07.21.15
Shikoku,200507,5445,2005.07.22.15
Kyushu,200507,16073,2005.07.22.17
Okinawa,200507,1493,2005.07.12.16
Hokkaido,200506,4446,2005.06.23.15
Tohoku,200506,12658,2005.06.24.15
Tokyo,200506,56338,2005.06.28.15
Chubu,200506,24763,2005.06.28.15
Hokuriku,200506,4621,2005.06.24.15
Kansai,200506,28258,2005.06.30.15
Chugoku,200506,10452,2005.06.28.15
Shikoku,200506,5190,2005.06.29.15
Kyushu,200506,14843,2005.06.29.16
Okinawa,200506,1422,2005.06.29.15
Hokkaido,200505,4221,2005.05.07.20
Tohoku,200505,10804,2005.05.13.12
Tokyo,200505,41025,2005.05.19.15
Chubu,200505,18951,2005.05.27.15
Hokuriku,200505,3871,2005.05.27.15
Kansai,200505,20858,2005.05.27.15
Chugoku,200505,8122,2005.05.31.15
Shikoku,200505,3873,2005.05.31.15
Kyushu,200505,11220,2005.05.31.15
Okinawa,200505,1181,2005.05.06.15
Hokkaido,200504,4493,2005.04.07.19
Tohoku,200504,11217,2005.04.01.11
Tokyo,200504,43257,2005.04.12.19
Chubu,200504,19466,2005.04.11.
Hokuriku,200504,4090,2005.04.04.11
Kansai,200504,21422,2005.04.04.11
Chugoku,200504,8103,2005.04.12.11
