Company,Year_term,Peak demand (MW),Time and date of occurrence (Y/M/D/H)
会社名,年期,総合計,最大発生日時
Hokkaido,201502,5113,2015.02.13.18
Tohoku,201502,13737,2015.02.09.18
Tokyo,201502,46669,2015.02.05.18
Chubu,201502,22448,2015.02.10.10
Hokuriku,201502,5202,2015.02.10.10
Kansai,201502,23926,2015.02.09.19
Chugoku,201502,10239,2015.02.09.19
Shikoku,201502,4844,2015.02.09.19
Kyushu,201502,14391,2015.02.09.19
Okinawa,201502,1137,2015.02.09.20
Hokkaido,201501,5216,2015.01.20.10
Tohoku,201501,13494,2015.01.07.18
Tokyo,201501,46518,2015.01.21.18
Chubu,201501,21902,2015.01.30.10
Hokuriku,201501,4970,2015.01.07.10
Kansai,201501,22936,2015.01.15.10
Chugoku,201501,9865,2015.01.29.10
Shikoku,201501,4538,2015.01.29.19
Kyushu,201501,13478,2015.01.29.19
Okinawa,201501,1042,2015.01.08.19
Hokkaido,201412,5343,2014.12.16.17
Tohoku,201412,13957,2014.12.17.18
Tokyo,201412,46126,2014.12.16.18
Chubu,201412,23244,2014.12.18.11
Hokuriku,201412,5258,2014.12.17.18
Kansai,201412,24842,2014.12.17.18
Chugoku,201412,10579,2014.12.17.18
Shikoku,201412,5034,2014.12.17.18
Kyushu,201412,14662,2014.12.17.19
Okinawa,201412,1053,2014.12.17.19
Hokkaido,201411,4745,2014.11.14.18
Tohoku,201411,11955,2014.11.26.17
Tokyo,201411,40341,2014.11.20.18
Chubu,201411,19345,2014.11.20.18
Hokuriku,201411,4266,2014.11.13.18
Kansai,201411,19688,2014.11.18.18
Chugoku,201411,8318,2014.11.13.19
Shikoku,201411,3892,2014.11.14.19
Kyushu,201411,11595,2014.11.13.19
Okinawa,201411,1129,2014.11.01.19
Hokkaido,201410,4503,2014.10.29.18
Tohoku,201410,10921,2014.10.28.18
Tokyo,201410,37980,2014.10.03.15
Chubu,201410,19865,2014.10.03.15
Hokuriku,201410,3895,2014.10.02.15
Kansai,201410,19728,2014.10.03.12
Chugoku,201410,7892,2014.10.03.15
Shikoku,201410,3825,2014.10.03.12
Kyushu,201410,11400,2014.10.02.19
Okinawa,201410,1361,2014.10.02.20
Hokkaido,201409,4272,2014.09.05.19
Tohoku,201409,10865,2014.09.05.15
Tokyo,201409,40441,2014.09.05.19
Chubu,201409,20848,2014.09.02.15
Hokuriku,201409,4367,2014.09.04.12
Kansai,201409,21999,2014.09.05.15
Chugoku,201409,8879,2014.09.03.15
Shikoku,201409,4304,2014.09.05.15
Kyushu,201409,12812,2014.09.03.12
Okinawa,201409,1496,2014.09.16.20
Hokkaido,201408,4588,2014.08.04.14
Tohoku,201408,13596,2014.08.05.15
Tokyo,201408,49799,2014.08.05.15
Chubu,201408,24130,2014.08.20.15
Hokuriku,201408,5180,2014.08.01.15
Kansai,201408,25258,2014.08.19.17
Chugoku,201408,9914,2014.08.01.14
Shikoku,201408,4882,2014.08.21.16
Kyushu,201408,14119,2014.08.07.17
Okinawa,201408,1504,2014.08.28.12
Hokkaido,201407,4430,2014.07.31.14
Tohoku,201407,12629,2014.07.31.15
Tokyo,201407,47946,2014.07.25.15
Chubu,201407,24521,2014.07.25.15
Hokuriku,201407,5052,2014.07.31.15
Kansai,201407,26674,2014.07.25.15
Chugoku,201407,10608,2014.07.25.16
Shikoku,201407,5259,2014.07.25.15
Kyushu,201407,15216,2014.07.25.17
Okinawa,201407,1497,2014.07.04.12
Hokkaido,201406,4081,2014.06.04.15
Tohoku,201406,10958,2014.06.27.15
Tokyo,201406,38289,2014.06.02.15
Chubu,201406,20211,2014.06.26.15
Hokuriku,201406,4218,2014.06.26.15
Kansai,201406,20792,2014.06.26.15
Chugoku,201406,8464,2014.06.26.15
Shikoku,201406,3836,2014.06.10.15
Kyushu,201406,11571,2014.06.09.15
Okinawa,201406,1466,2014.06.27.15
Hokkaido,201405,3992,2014.05.01.20
Tohoku,201405,10384,2014.05.30.15
Tokyo,201405,35762,2014.05.30.15
Chubu,201405,18652,2014.05.30.15
Hokuriku,201405,3966,2014.05.30.15
Kansai,201405,19233,2014.05.30.15
Chugoku,201405,8061,2014.05.30.15
Shikoku,201405,3700,2014.05.30.15
Kyushu,201405,11356,2014.05.30.16
Okinawa,201405,1225,2014.05.20.15
Hokkaido,201404,4569,2014.04.04.19
Tohoku,201404,10418,2014.04.10.19
Tokyo,201404,36065,2014.04.03.19
Chubu,201404,17843,2014.04.21.11
Hokuriku,201404,3893,2014.04.04.19
Kansai,201404,18857,2014.04.07.19
Chugoku,201404,7999,2014.04.05.19
Shikoku,201404,3648,2014.04.07.20
Kyushu,201404,10961,2014.04.04.20
Okinawa,201404,1045,2014.04.22.19
Hokkaido,201403,5172,2014.03.06.19
Tohoku,201403,13244,2014.03.06.19
Tokyo,201403,44882,2014.03.10.19
Chubu,201403,22199,2014.03.10.19
Hokuriku,201403,4901,2014.03.10.11
Kansai,201403,23141,2014.03.10.19
Chugoku,201403,9269,2014.03.06.19
Shikoku,201403,4413,2014.03.06.19
Kyushu,201403,12945,2014.03.14.20
Okinawa,201403,1014,2014.03.08.20
Hokkaido,201402,5384,2014.02.07.19
Tohoku,201402,13953,2014.02.05.18
Tokyo,201402,49425,2014.02.14.18
Chubu,201402,23647,2014.02.14.11
Hokuriku,201402,5162,2014.02.05.11
Kansai,201402,25227,2014.02.14.11
Chugoku,201402,10389,2014.02.06.19
Shikoku,201402,4874,2014.02.06.19
Kyushu,201402,14382,2014.02.13.19
Okinawa,201402,1081,2014.02.10.20
Hokkaido,201401,5400,2014.01.17.18
Tohoku,201401,13858,2014.01.10.18
Tokyo,201401,47947,2014.01.15.18
Chubu,201401,22926,2014.01.15.10
Hokuriku,201401,5058,2014.01.09.18
Kansai,201401,23728,2014.01.22.19
Chugoku,201401,10005,2014.01.20.10
Shikoku,201401,4707,2014.01.21.19
Kyushu,201401,14288,2014.01.21.19
Okinawa,201401,1070,2014.01.21.20
Hokkaido,201312,5215,2013.12.13.17
Tohoku,201312,12952,2013.12.24.18
Tokyo,201312,45139,2013.12.20.18
Chubu,201312,21988,2013.12.18.17
Hokuriku,201312,4808,2013.12.12.11
Kansai,201312,22945,2013.12.20.18
