Company,year,Route length of transmission (Overhead)_- 55 kV (km),Route length of transmission (Overhead)_66 - 77 kV (km),Route length of transmission (Overhead)_110 - 154 kV (km),Route length of transmission (Overhead)_187 kV (km),Route length of transmission (Overhead)_220 kV (km),Route length of transmission (Overhead)_275 kV (km),Route length of transmission (Overhead)_500 kV - (km),Route length of transmission (Overhead)_Total (km),Route length of transmission (Undergound)_- 55 kV (km),Route length of transmission (Undergound)_66 - 77 kV (km),Route length of transmission (Undergound)_110 - 154 kV (km),Route length of transmission (Undergound)_187 kV (km),Route length of transmission (Undergound)_220 kV (km),Route length of transmission (Undergound)_275 kV (km),Route length of transmission (Undergound)_500 kV - (km),Route length of transmission (Undergound)_Total (km),Circuit length of transmission (Overhead)_- 55 kV (km),Circuit length of transmission (Overhead)_66 - 77 kV (km),Circuit length of transmission (Overhead)_110 - 154 kV (km),Circuit length of transmission (Overhead)_187 kV (km),Circuit length of transmission (Overhead)_220 kV (km),Circuit length of transmission (Overhead)_275 kV (km),Circuit length of transmission (Overhead)_500 kV - (km),Circuit length of transmission (Overhead)_Total (km),Circuit length of transmission (Underground)_- 55 kV (km),Circuit length of transmission (Underground)_66 - 77 kV (km),Circuit length of transmission (Underground)_110 - 154 kV (km),Circuit length of transmission (Underground)_187 kV (km),Circuit length of transmission (Underground)_220 kV (km),Circuit length of transmission (Underground)_275 kV (km),Circuit length of transmission (Underground)_500 kV - (km),Circuit length of transmission (Underground)_Total (km),Supports_Steel tower,Supports_RC pole,Supports_Steel pole,Supports_Wooden pole,Supports_Total
会社名,年期,電線路亘長_架空_55kV以下,電線路亘長_架空_66kV以上77kV以下,電線路亘長_架空_110kV以上154kV以下,電線路亘長_架空_187kV,電線路亘長_架空_220kV,電線路亘長_架空_275kV,電線路亘長_架空_500kV以上,電線路亘長_架空_計,電線路亘長_地中_55kV以下,電線路亘長_地中_66kV以上77kV以下,電線路亘長_地中_110kV以上154kV以下,電線路亘長_地中_187kV,電線路亘長_地中_220kV,電線路亘長_地中_275kV,電線路亘長_地中_500kV以上,電線路亘長_地中_計,回線延長_架空_55kV以下,回線延長_架空_66kV以上77kV以下,回線延長_架空_110kV以上154kV以下,回線延長_架空_187kV,回線延長_架空_220kV,回線延長_架空_275kV,回線延長_架空_500kV以上,回線延長_架空_計,回線延長_地中_55kV以下,回線延長_地中_66kV以上77kV以下,回線延長_地中_110kV以上154kV以下,回線延長_地中_187kV,回線延長_地中_220kV,回線延長_地中_275kV,回線延長_地中_500kV以上,回線延長_地中_計,鉄塔,鉄筋コンクリート柱,鉄柱,木柱,計
Kansai,1976,2317,3431,1966,14,56,1740,359,9883,159,752,84,,,3,,998,3269,6338,3881,14,111,3377,718,17708,304,1140,162,,,5,,1611,30835,1830,2093,5859,40617
Chugoku,1976,721,2013,2065,,545,,,5344,42,51,70,,,,,163,909,2650,3317,,1047,,,7923,65,64,93,,,,,222,16543,401,4323,3158,24425
Shikoku,1976,191,1744,223,892,,,,3050,13,30,,1,,,,44,201,2791,400,1274,,,,4666,13,45,,1,,,,59,9084,290,974,1147,11495
Kyushu,1976,617,3730,1457,,1440,,,7244,27,187,3,,22,,,239,730,5311,2419,,2385,,,10845,33,231,7,,33,,,304,21123,313,4905,6646,32987
Okinawa,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,811,,66,,
Hokkaido,1975,1566,3229,655,1053,,,,6503,7,57,,,,,,64,1566,4348,908,1975,,,,8797,7,91,,,,,,98,12275,243,11841,20810,45169
Tohoku,1975,1672,5847,3291,,,597,,11407,18,110,10,,,,,138,1699,7465,4371,,,1144,,14679,18,138,17,,,,,173,32683,2221,7870,14106,56880
Tokyo,1975,703,5977,2691,,,1351,445,11167,1447,1104,207,,,40,,2798,911,10903,5399,,,2533,890,20636,2053,2100,584,,,96,,4833,38405,1200,1836,7525,48966
Chubu,1975,2301,3867,1712,,,928,,8808,356,119,31,,,,,506,2943,7223,3364,,,1782,,15312,510,207,57,,,,,774,26097,4626,4096,4875,39694
Hokuriku,1975,339,1610,581,,,198,,2728,6,14,,,,,,20,381,2710,1023,,,396,,4510,6,25,,,,,,31,9009,2955,1032,423,13419
Kansai,1975,2591,3356,1953,14,56,1751,281,10002,172,727,84,,,3,,986,3595,6147,3855,14,111,3399,561,17682,330,1077,162,,,5,,1574,31159,1826,2341,6752,42078
Chugoku,1975,732,1999,2010,,545,,,5286,42,51,71,,,,,164,909,2636,3203,,1047,,,7795,65,63,90,,,,,218,16292,409,4466,3408,24575
Shikoku,1975,201,1730,223,738,,,,2892,13,28,,1,,,,43,211,2753,399,1041,,,,4404,13,40,,1,,,,55,8735,303,1073,1280,11391
Kyushu,1975,687,3667,1463,,1242,,,7059,27,174,3,,16,,,220,804,5162,2443,,2186,,,10595,34,218,7,,17,,,276,20532,222,5112,7375,33241
Okinawa,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1974,1580,3190,641,1001,,,,6412,12,49,,,,,,61,1580,4187,894,1867,,,,8528,12,82,,,,,,94,11503,292,9595,23864,45254
Tohoku,1974,1655,5860,3158,,,551,,11224,17,110,9,,,,,136,1693,7412,4209,,,1052,,14363,17,138,16,,,,,171,31874,2034,7658,15119,56685
Tokyo,1974,725,5835,2688,,,1601,179,11028,1397,1066,199,,,40,,2702,937,10560,5392,,,3032,359,20280,2015,2000,583,,,96,,4694,38029,1496,1877,8063,49465
Chubu,1974,2339,3791,1707,,,851,,8688,346,115,31,,,,,492,2963,7035,3358,,,1628,,14984,499,201,57,,,,,757,25708,4483,4148,5735,40074
Hokuriku,1974,384,1520,558,,,198,,2660,8,12,,,,,,20,426,2505,977,,,397,,4305,11,19,,,,,,30,8694,3432,1077,776,13979
Kansai,1974,2849,3328,1983,14,82,1832,131,10219,178,681,84,,,3,,946,3931,6097,3866,14,137,3535,263,17843,347,1002,162,,,5,,1516,31732,1770,2579,7494,43575
Chugoku,1974,762,2013,1955,,540,,,5270,48,48,67,,,,,163,948,2666,3091,,1037,,,7742,70,60,85,,,,,215,16317,395,4650,3668,25030
Shikoku,1974,194,1697,223,649,,,,2763,13,28,,1,,,,42,204,2698,399,808,,,,4109,13,40,,1,,,,54,8386,300,1101,1421,11208
Kyushu,1974,729,3675,1415,,1236,,,7055,27,163,3,,16,,,209,836,5038,2337,,2151,,,10362,32,202,7,,17,,,258,20201,263,5091,8114,33669
Okinawa,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1973,1598,3102,702,919,,,,6321,12,47,,,,,,59,1598,4028,954,1708,,,,8288,12,73,,,,,,85,10768,290,8173,26320,45551
Tohoku,1973,1669,5892,3115,,,470,,11146,12,100,9,,,,,121,1707,7360,4111,,,729,,13907,12,128,10,,,,,150,31361,2069,7654,16528,57612
Tokyo,1973,768,5685,2688,,,1618,,10759,1358,1000,199,,,40,,2597,983,10256,5384,,,2896,,19519,1942,1825,569,,,81,,4417,37541,1573,1981,8310,49405
Chubu,1973,2397,3662,1648,,,851,,8558,333,107,19,,,,,459,3003,6756,3251,,,1601,,14611,483,191,43,,,,,717,25261,4411,4173,6522,40367
Hokuriku,1973,398,1465,557,,,104,,2524,8,9,,,,,,17,448,2398,976,,,207,,4029,11,16,,,,,,27,8335,3583,1133,894,13945
Kansai,1973,2872,3287,1933,14,79,1887,,10072,521,673,70,,,3,,1267,3932,6008,3796,14,157,3672,,17579,764,950,140,,,5,,1859,31449,1731,2689,7967,43836
Chugoku,1973,803,1968,1888,,465,,,5124,45,48,54,,,,,147,1024,2605,3066,,888,,,7583,67,60,67,,,,,194,15950,393,4863,3874,25080
Shikoku,1973,221,1643,223,635,,,,2723,13,23,,1,,,,37,231,2629,399,794,,,,4053,13,35,,1,,,,49,8278,296,1156,1611,11341
Kyushu,1973,792,3508,1511,,1208,,,7019,26,139,3,,13,,,181,945,4819,2430,,2018,,,10212,32,168,7,,14,,,221,19789,222,5241,8778,34030
Okinawa,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1972,1670,3108,701,917,,,,6396,14,47,,,,,,61,1670,3889,953,1706,,,,8218,14,69,,,,,,83,10435,276,5614,30872,47197
Tohoku,1972,1728,5779,3042,,,470,,11019,6,98,3,,,,,107,1770,7139,4009,,,693,,13611,6,121,4,,,,,131,30497,2211,7696,17859,58263
Tokyo,1972,811,5593,2688,,,1582,,10674,1301,911,198,,,35,,2445,1055,10009,5372,,,2813,,19249,1927,1654,538,,,70,,4189,36884,1661,2192,9201,49938
Chubu,1972,2467,3518,1645,,,771,,8401,324,93,19,,,,,436,3086,6501,3244,,,1377,,14208,470,174,36,,,,,680,24641,3896,4382,7787,40706
Hokuriku,1972,426,1433,555,,,104,,2518,3,5,,,,,,8,465,2321,972,,,207,,3965,6,9,,,,,,15,8275,3730,1180,1209,14394
Kansai,1972,2920,3100,1888,14,78,1684,,9684,944,622,62,,,3,,1631,3967,5731,3706,14,157,3240,,16815,1248,839,126,,,5,,2218,30165,1761,2871,8653,43450
Chugoku,1972,816,2014,1761,,465,,,5056,46,44,50,,,,,140,1044,2641,2843,,888,,,7416,68,57,61,,,,,186,15746,390,5050,4083,25269
Shikoku,1972,276,1586,223,611,,,,2696,,19,,1,,,,20,329,2489,399,746,,,,3963,,29,,1,,,,30,8114,274,1205,1987,11580
Kyushu,1972,799,3487,1535,,1025,,,6846,26,126,3,,13,,,168,966,4780,2552,,1625,,,9923,34,156,6,14,,,,210,19158,228,5375,9139,33900
Okinawa,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1971,1651,3068,689,807,,,,6215,14,47,,,,,,61,1651,3734,941,1486,,,,7812,14,69,,,,,,83,9674,228,3241,33780,46923
Tohoku,1971,1825,5641,2998,,,416,,10880,6,79,3,,,,,88,1868,6877,3915,,,584,,13244,6,94,3,,,,,103,29789,2741,7670,18798,58998
Tokyo,1971,891,5400,2738,,,1254,,10283,1325,835,174,,,35,,2369,1170,9571,5440,,,2339,,18520,1957,1525,465,,,50,,3997,35674,1921,2362,10265,50222
Chubu,1971,2492,3320,1572,,,671,,8055,319,88,14,,,,,421,3084,6101,3098,,,1170,,13453,455,160,26,,,,,641,23478,3817,4386,8811,40492
Hokuriku,1971,453,1460,491,,,104,,2508,3,5,,,,,,8,496,2352,845,,,207,,3900,6,9,,,,,,15,8372,3986,1182,1757,15297
Kansai,1971,2895,2898,1875,,79,1585,,9332,896,540,50,,,3,,1489,3916,5335,3689,,157,2980,,16077,1168,729,100,,,5,,2002,29212,1800,2930,9156,43098
Chugoku,1971,893,1935,1692,,314,,,4834,54,38,36,,,,,128,1132,2564,2831,,609,,,7136,82,49,42,,,,,173,15257,393,5254,4597,25501
Shikoku,1971,285,1576,223,505,,,,2614,,12,,1,,,,13,343,2428,399,619,,,,3789,,20,,1,,,,21,7806,286,1238,2088,11480
Kyushu,1971,850,3448,1522,,844,,,6664,27,118,3,,12,,,160,1021,4702,2528,,1258,,,9509,35,143,6,,13,,,197,18323,239,5444,10161,34167
Okinawa,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1970,1727,2871,773,807,,,,6178,14,36,,,,,,50,1733,3424,1025,1428,,,,7610,14,58,,,,,,72,9219,244,2149,36207,47819
Tohoku,1970,1971,5541,2776,,,219,,10507,5,71,1,,,,,77,2016,6720,3495,,,388,,12619,5,87,1,,,,,93,27954,2881,7917,21902,60654
Tokyo,1970,1057,5303,2743,,,1251,,10354,1315,772,161,,,,,2248,1373,9291,5370,,,2329,,18363,1951,1383,431,,,,,3765,35585,1922,2479,12656,52642
Chubu,1970,2540,3023,1505,,,611,,7679,295,75,14,,,,,384,3143,5502,2887,,,1051,,12583,411,131,26,,,,,568,22488,3524,4442,10055,40509
Hokuriku,1970,499,1434,469,,,104,,2506,3,4,,,,,,7,544,2286,815,,,207,,3852,6,7,,,,,,13,8116,4218,1205,2239,15828
Kansai,1970,2845,2744,1884,,79,1502,,9054,1076,488,50,,,A,,1614,3871,5089,3700,,157,2861,,15678,1349,635,100,,,A,,2084,28435,1845,2828,9676,42784
Chugoku,1970,987,1856,1609,,296,,,4748,50,31,37,,,,,118,1287,2451,2684,,572,,,6994,84,41,40,,,,,165,14897,415,5578,5091,25981
Shikoku,1970,374,1473,223,450,,,,2520,a,12,,,,,,12,435,2270,400,513,,,,3618,a,18,,,,,,18,7396,302,1334,2532,11564
Kyushu,1970,842,3530,1493,,725,,,6590,28,96,3,,1,,,128,1006,4665,2428,,1133,,,9234,35,120,7,,1,,,163,17774,281,5520,10932,34507
Okinawa,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1969,1821,2817,824,710,,,,6172,14,29,,,,,,43,1828,3267,1030,998,,,,7123,14,48,,,,,,62,8063,208,1861,38706,48838
Tohoku,1969,2070,5568,2646,,,219,,10503,5,58,1,,,,,64,2128,6656,3328,,,219,,12331,5,73,1,,,,,79,27508,3006,8297,23684,62495
Tokyo,1969,1097,5091,2713,,,1162,,10081,1279,736,141,,,,,2156,1385,8754,5315,,,1966,,17420,1914,1256,406,,,,,3576,34554,1908,2545,13967,52974
Chubu,1969,2577,2808,1439,,,498,,7322,269,69,14,,,,,352,3117,5095,2776,,,874,,11862,382,120,26,,,,,528,21438,3237,4394,11038,40107
Hokuriku,1969,542,1382,436,,,104,,2464,3,3,,,,,,6,589,2189,747,,,207,,3732,5,6,,,,,,11,8021,4147,1203,2510,15881
Kansai,1969,2899,2584,1859,,79,1486,,8907,1085,442,35,,,A,,1562,3891,4875,3616,,157,2732,,15271,1354,581,55,,,A,,1990,27933,1946,2962,10321,43162
Chugoku,1969,1002,1816,1481,,296,,,4595,51,27,22,,,,,100,1299,2397,2380,,572,,,6648,86,38,25,,,,,149,14295,418,5624,5442,25779
Shikoku,1969,383,1443,223,451,,,,2500,a,9,,,,,,9,447,2162,400,514,,,,3523,a,15,,,,,,15,7108,333,1413,2893,11747
Kyushu,1969,882,3644,1434,,659,,,6619,31,88,4,,1,,,124,1062,4662,2306,,1062,,,9092,39,107,7,,1,,,154,17328,281,5652,11551,34812
Okinawa,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1968,1846,2702,807,668,,,,6024,14,25,,,,,,39,1854,3132,1013,913,,,,6912,14,44,,,,,,58,7711,200,1831,38234,47976
Tohoku,1968,2226,5485,2176,,,219,,10106,5,50,a,,,,,55,2291,6477,2808,,,219,,11795,5,63,a,,,,,68,25924,3103,8220,26491,63738
Tokyo,1968,1187,4939,2698,,,803,,9627,1298,682,135,,,,,2115,1518,8391,5243,,,1525,,16677,1932,1167,347,,,,,3446,33345,1946,2729,15880,53900
Chubu,1968,2612,2714,1395,,,407,,7128,260,59,14,,,,,333,3146,4885,2713,,,782,,11526,372,108,19,,,,,499,20859,3095,4425,12305,40684
Hokuriku,1968,554,1369,401,,,104,,2428,3,2,,,,,,5,606,2172,677,,,207,,3662,5,5,,,,,,10,7883,4024,1207,3120,16234
Kansai,1968,2837,2467,1852,,79,1269,,8504,999,378,26,,,1,,1404,3828,4714,3603,,157,2455,,14757,1258,491,38,,,1,,1788,26588,2063,3050,11018,42719
Chugoku,1968,1040,1804,1390,,296,,,4530,51,25,15,,,,,91,1358,2367,2252,,572,,,6549,85,33,17,,,,,135,13946,409,5695,6039,26089
Shikoku,1968,416,1415,223,445,,,,2499,,2,,,,,,2,479,2109,399,509,,,,3496,,5,,,,,,5,6947,329,1743,3065,12084
Kyushu,1968,979,3475,1553,,470,,,6477,31,80,4,,1,,,116,1189,4530,2484,,746,,,8949,38,96,7,,1,,,142,16786,330,5779,12339,35234
Okinawa,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1967,1861,2570,761,646,,,,5837,14,22,,,,,,36,1869,2983,967,795,,,,6614,14,41,,,,,,55,7433,204,1578,37699,46914
Tohoku,1967,2284,5383,2182,,,219,,10068,5,42,,,,,,47,2357,6318,2682,,,219,,11576,5,55,,,,,,60,25308,3119,7760,28461,64648
Tokyo,1967,1253,4780,2623,,,683,,9339,1275,616,114,,,,,2005,1599,7925,5092,,,1365,,15981,1929,1060,296,,,,,3285,32104,2015,2911,17256,54286
Chubu,1967,2622,2672,1350,,,407,,7051,253,59,14,,,,,326,3140,4701,2613,,,749,,11203,363,100,19,,,,,482,20297,2876,4501,13277,40951
Hokuriku,1967,581,1396,351,,,29,,2357,3,2,,,,,,5,636,2210,584,,,58,,3488,5,5,,,,,,10,7652,3850,1267,3951,16720
Kansai,1967,2850,2332,1826,,79,1210,,8297,963,349,20,,,A,,1332,3820,4466,3600,,157,2337,,14380,1236,438,32,,,A,,1706,25780,2113,3205,11848,42946
Chugoku,1967,1192,1662,1377,,276,,,4507,47,20,14,,,,,81,1574,2152,2236,,537,,,6499,78,28,15,,,,,121,13517,412,5776,6609,26314
Shikoku,1967,466,1361,223,391,,,,2441,a,2,,,,,,2,558,2007,399,454,,,,3418,a,2,,,,,,2,6755,328,1974,3107,12164
Kyushu,1967,1059,3464,1499,,436,,,6458,31,62,4,,1,,,98,1292,4426,2420,,711,,,8849,39,75,6,,1,,,121,16125,535,5991,13808,36459
Okinawa,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1966,1955,2374,731,637,,,,5697,13,19,,,,,,32,1963,2754,937,778,,,,6432,13,37,,,,,,50,6957,216,1480,37632,46285
Tohoku,1966,2331,5162,2052,,,219,,9764,5,36,,,,,,41,2404,5999,2437,,,219,,11059,3,46,,,,,,51,23834,3874,6906,30365,64979
Tokyo,1966,1334,4698,2597,,,651,,9280,1174,537,106,,,,,1817,1733,7573,5040,,,1303,,15649,1851,934,261,,,,,3046,31327,2179,3434,18517,55457
Chubu,1966,2628,2588,1276,,,407,,6899,240,59,4,,,,,303,3110,4500,2464,,,749,,10823,350,99,6,,,,,455,19813,2769,4609,13973,41164
Hokuriku,1966,602,1355,352,,,29,,2338,2,1,,,,,,3,661,2134,563,,,58,,3416,5,1,,,,,,6,7480,3685,1299,4450,16914
Kansai,1966,2836,2262,1801,,79,1181,,8159,899,305,11,,,,,1215,3779,4309,3575,,157,2279,,14099,1176,380,23,,,,,1580,25183,2134,3329,12762,43408
Chugoku,1966,1245,1588,1200,,276,,,4309,47,18,15,,,,,80,1606,2080,2113,,537,,,6336,78,25,16,,,,,119,13027,418,5922,7213,26580
Shikoku,1966,492,1345,223,323,,,,2383,a,2,,,,,,2,584,1990,399,386,,,,3359,a,2,,,,,,2,6504,365,1989,3360,12218
Kyushu,1966,1090,3467,1455,,356,,,6368,26,55,4,,,,,85,1321,4434,2292,,631,,,8678,34,67,7,,,,,108,15602,484,6184,14505,36775
Okinawa,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1965,1922,2382,706,477,,,,5487,13,19,,,,,,32,1940,2761,912,565,,,,6178,13,36,,,,,,49,6616,193,1411,37049,45269
Tohoku,1965,2429,5293,1945,,,219,,9886,6,31,,,,,,37,2502,6169,2196,,,219,,11086,6,37,,,,,,43,23135,3236,7697,33975,68043
Tokyo,1965,1401,4585,2583,,,634,,9203,1113,468,84,,,,,1665,1774,7193,5018,,,1268,,15253,1794,820,215,,,,,2829,30408,2046,3698,20687,56839
Chubu,1965,2635,2482,1149,,,341,,6607,234,51,4,,,,,289,3102,4233,2204,,,619,,10158,342,81,5,,,,,428,18577,2684,4723,14689,40673
Hokuriku,1965,613,1351,351,,,29,,2344,2,1,,,,,,3,671,2131,563,,,29,,3394,5,1,,,,,,6,7457,3466,1302,4820,17045
Kansai,1965,2777,2157,1801,,79,1170,,7984,880,286,11,,,,,1177,3694,4080,3574,,157,2021,,13526,1143,349,23,,,,,1515,24548,2136,3367,13430,43481
Chugoku,1965,1347,1478,1118,,276,,,4219,46,18,14,,,,,78,1744,1964,2022,,537,,,6267,80,21,15,,,,,116,12706,418,5905,7504,26533
Shikoku,1965,512,1296,209,249,,,,2266,a,,,,,,,A,604,1918,372,286,,,,3180,a,,,,,,,A,6124,380,2006,3486,11996
Kyushu,1965,1162,3385,1455,,356,,,6358,26,52,3,,,,,81,1400,4320,2291,,579,,,8590,35,63,7,,,,,105,15137,530,6190,15836,37693
Okinawa,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1964,1941,2385,685,476.7,,,,5487.7,14,18,,,,,,32.202,1960,2766,890,564.5,,,,6180.7,14,30,,,,,,43.662,6587,196,1375,37474,45632
Tohoku,1964,2477,5217,1881,,,219.4,,9793.6,6,28,,,,,,34.468,2561,6074,2131,,,219.4,,10985.4,6,32,,,,,,38.569,22268,3237,7769,35881,69155
Tokyo,1964,1533,4461,2654,,,541.2,,9188.9,1061,403,81,,,,,1544.895,1915,6893,5143,,,1082.5,,15033,1756,688,200,,,,,2643.931,29703,1659,3943,23552,58857
Chubu,1964,2617,2332,1107,,,318.6,,6373.7,228,49,4,,,,,281.163,3072,3960,2134,,,573.3,,9738.8,339,75,6,,,,,419.29,17735,2573,4951,15791,41050
Hokuriku,1964,610,1235,352,,,28.9,,2225.8,4,1,,,,,,4.313,674,1974,534,,,28.9,,3211.8,6,1,,,,,,7.434,7038,3131,1299,5150,16618
Kansai,1964,2841,2043,1782,,78.6,1134.3,,7878.2,854,226,8,,,,,1088.634,3726,3812,3534,,157.2,1948.9,,13178.2,1134,289,11,,,,,1434.515,23639,2212,3321,15174,44346
Chugoku,1964,1435,1390,1055,,261.1,,,4140.1,49,16,8,,,,,72.854,1878,1822,1933,,522.1,,,6155.2,84,19,8,,,,,111.665,12336,409,5760,7698,26203
Shikoku,1964,553,1290,210,239.8,,,,2292.9,a,,,,,,,0.086,646,1862,371,239.8,,,,3118.5,a,,,,,,,0.086,6059,397,2024,3720,12200
Kyushu,1964,1136,3292,1357,,356.4,,,6141.2,26,50,3,,,,,79.028,1402,4216,2185,,579.5,,,8382.7,37,61,7,,,,,103.808,14387,603,6041,16337,37368
Okinawa,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1963,1978,2467,543,475.9,,,,5463.9,18,13,,,,,,30.942,1996,2847,749,564.2,,,,6155,21,24,,,,,,44.767,6541,175,1322,37525,45563
Tohoku,1963,2584,4971,1772,,,218.7,,9545.7,6,24,,,,,,30.136,2672,5852,2096,,,219.3,,10839,6,28,,,,,,34.237,21376,3076,8182,37823,70457
Tokyo,1963,1534,4395,2529,,,517.9,,8975.9,1067,324,64,,,,,1455.404,1915,6658,4923,,,1037.1,,14533.1,1809,550,163,,,,,2521.881,28569,1515,3921,25139,59144
Chubu,1963,2638,2231,1055,,,319.2,,6243.2,211,39,4,,,,,254.35,3037,3770,2003,,,485.7,,9295.5,283,63,5,,,,,351.474,16753,2499,4947,16580,40779
Hokuriku,1963,612,1247,330,,,29.6,,2218.6,3,1,,,,,,4.313,678,1990,465,,,28.9,,3161.6,6,1,,,,,,7.434,7003,2934,1311,5418,16666
Kansai,1963,2773,1941,1900,,78.1,1061.6,,7753.7,800,201,5,,,,,1005.988,3666,3651,3694,,78.6,1803.6,,12893.4,1080,249,6,,,,,1334.751,23262,2194,3279,16217,44952
Chugoku,1963,1488,1314,1048,,260.8,,,4110.8,49,12,7,,,,,68.458,1966,1726,1909,,522.1,,,6122.9,85,17,6,,,,,107.904,12209,402,5705,7897,26213
Shikoku,1963,668,1174,209,240.5,,,,2291.5,1,,,,,,,0.086,778,1729,372,255.4,,,,3133.7,1,,,,,,,0.086,5952,450,2037,4031,12470
Kyushu,1963,1186,3367,1257,,356.9,,,6166.9,27,49,3,,,,,78.746,1474,4289,2085,,579.5,,,8427.4,38,59,7,,,,,104.278,13724,668,6324,18335,39051
Okinawa,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tohoku,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chubu,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokuriku,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansai,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chugoku,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikoku,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyushu,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okinawa,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
