Company,year,Route length of transmission (Overhead)_- 55 kV (km),Route length of transmission (Overhead)_66 - 77 kV (km),Route length of transmission (Overhead)_110 - 154 kV (km),Route length of transmission (Overhead)_187 kV (km),Route length of transmission (Overhead)_220 kV (km),Route length of transmission (Overhead)_275 kV (km),Route length of transmission (Overhead)_500 kV - (km),Route length of transmission (Overhead)_Total (km),Route length of transmission (Undergound)_- 55 kV (km),Route length of transmission (Undergound)_66 - 77 kV (km),Route length of transmission (Undergound)_110 - 154 kV (km),Route length of transmission (Undergound)_187 kV (km),Route length of transmission (Undergound)_220 kV (km),Route length of transmission (Undergound)_275 kV (km),Route length of transmission (Undergound)_500 kV - (km),Route length of transmission (Undergound)_Total (km),Circuit length of transmission (Overhead)_- 55 kV (km),Circuit length of transmission (Overhead)_66 - 77 kV (km),Circuit length of transmission (Overhead)_110 - 154 kV (km),Circuit length of transmission (Overhead)_187 kV (km),Circuit length of transmission (Overhead)_220 kV (km),Circuit length of transmission (Overhead)_275 kV (km),Circuit length of transmission (Overhead)_500 kV - (km),Circuit length of transmission (Overhead)_Total (km),Circuit length of transmission (Underground)_- 55 kV (km),Circuit length of transmission (Underground)_66 - 77 kV (km),Circuit length of transmission (Underground)_110 - 154 kV (km),Circuit length of transmission (Underground)_187 kV (km),Circuit length of transmission (Underground)_220 kV (km),Circuit length of transmission (Underground)_275 kV (km),Circuit length of transmission (Underground)_500 kV - (km),Circuit length of transmission (Underground)_Total (km),Supports_Steel tower,Supports_RC pole,Supports_Steel pole,Supports_Wooden pole,Supports_Total
会社名,年期,電線路亘長_架空_55kV以下,電線路亘長_架空_66kV以上77kV以下,電線路亘長_架空_110kV以上154kV以下,電線路亘長_架空_187kV,電線路亘長_架空_220kV,電線路亘長_架空_275kV,電線路亘長_架空_500kV以上,電線路亘長_架空_計,電線路亘長_地中_55kV以下,電線路亘長_地中_66kV以上77kV以下,電線路亘長_地中_110kV以上154kV以下,電線路亘長_地中_187kV,電線路亘長_地中_220kV,電線路亘長_地中_275kV,電線路亘長_地中_500kV以上,電線路亘長_地中_計,回線延長_架空_55kV以下,回線延長_架空_66kV以上77kV以下,回線延長_架空_110kV以上154kV以下,回線延長_架空_187kV,回線延長_架空_220kV,回線延長_架空_275kV,回線延長_架空_500kV以上,回線延長_架空_計,回線延長_地中_55kV以下,回線延長_地中_66kV以上77kV以下,回線延長_地中_110kV以上154kV以下,回線延長_地中_187kV,回線延長_地中_220kV,回線延長_地中_275kV,回線延長_地中_500kV以上,回線延長_地中_計,鉄塔,鉄筋コンクリート柱,鉄柱,木柱,計
Kansai,1978,1952,3568,1970,14,98,1826,476,9904,150,865,84,,,11,,1110,2890,6648,3895,14,154,3548,953,18102,264,1312,171,,,21,,1768,31003,1446,1598,4591,38638
Chugoku,1978,605,1918,2357,,720,,,5600,38,50,77,,,,,165,753,2642,3762,,1395,,,8552,54,69,100,,,,,223,17379,291,3262,2274,23206
Shikoku,1978,199,1767,218,879,,,,3063,13,30,,1,,,,44,209,2855,389,1296,,,,4749,13,51,,2,,,,66,8987,592,903,945,11427
Kyushu,1978,521,3828,1438,,1489,,,7276,29,199,3,,29,,,260,624,5571,2417,,2527,,,11139,35,247,7,,48,,,337,21826,282,4529,5055,31692
Okinawa,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815,,63,,
Hokkaido,1977,1453,3328,679,1160,,,,6620,7,88,,5,,,,100,1453,4610,952,2190,,,,9205,7,142,,9,,,,158,13424,175,16582,13923,44104
Tohoku,1977,1636,5901,3461,,,762,,11760,23,137,10,,,,,170,1658,7635,4643,,,1451,,15387,24,178,16,,,,,218,34168,2149,8212,11295,55824
Tokyo,1977,660,6134,1811,,,1153,705,11463,1429,1257,220,,,63,,2969,867,11243,5647,,,2137,1396,21290,2004,2472,616,,,142,,5234,39127,1205,1769,6439,48540
Chubu,1977,2286,3987,1792,,,1016,,9081,372,132,39,,,,,543,2965,7462,3528,,,1998,,15953,534,229,65,,,,,828,26765,5011,4145,3926,39847
Hokuriku,1977,293,1594,623,,,198,,2708,6,14,,,,,,20,337,2719,1170,,,397,,4623,6,28,,,,,,34,9015,2617,920,52,12604
Kansai,1977,2007,3485,1965,14,56,1801,476,9804,156,787,84,,,11,,1038,2941,6489,3886,14,111,3494,953,17888,288,1191,171,,,13,,1663,30774,1417,1754,4983,38928
Chugoku,1977,667,1965,2205,,545,,,5382,37,50,76,,,,,163,842,2646,3484,,1047,,,8019,53,67,100,,,,,220,16621,385,3921,2973,23900
Shikoku,1977,184,1786,218,906,,,,3094,13,30,,1,,,,44,194,2897,389,1289,,,,4769,13,45,,2,,,,60,9137,505,864,1070,11576
Kyushu,1977,585,3783,1431,,1489,,,7288,29,188,3,,29,,,249,688,5436,2390,,2483,,,10997,35,234,7,,40,,,316,21508,280,4687,6135,32610
Okinawa,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815,,63,,
Hokkaido,1976,1502,3252,659,1065,,,,6478,7,78,,5,,,,90,1502,4422,916,1999,,,,8839,7,128,,9,,,,144,12564,175,14158,17196,44093
Tohoku,1976,1630,5903,3336,,,762,,11631,20,128,10,,,,,158,1658,7567,4453,,,1451,,15129,20,163,17,,,,,200,33525,2183,7899,12472,56079
Tokyo,1976,667,6029,2735,,,1090,692,11213,1416,1168,208,,,41,,2833,874,11032,5478,,,2011,1383,20778,2010,2279,586,,,97,,4972,38672,1231,1732,6730,48365
Chubu,1976,2265,3897,1792,,,945,,8899,373,126,39,,,,,538,2912,7279,3527,,,1815,,15533,536,217,65,,,,,818,26336,4701,4093,4447,39577
Hokuriku,1976,295,1629,614,,,198,,2736,6,14,,,,,,20,333,2775,1150,,,397,,4655,6,28,,,,,,34,9150,2661,915,84,12810
