Company,Year_term,Electricity generated_Hydroelectric_Run-of-river (MWh),Electricity generated_Hydroelectric_With reservoir (MWh),Electricity generated_Hydroelectric_Pumped-storage (MWh),Electricity generated_Hydroelectric_Total hydroelectric (MWh),Electricity generated_Thermal power_Conventional (MWh),Electricity generated_Thermal power_Gas turbine (MWh),Electricity generated_Thermal power_Internal-combustion engine (MWh),Electricity generated_Thermal power_Total Thermal Power (MWh),Electricity generated_Nuclear power (MWh),Electricity generated_Renewable energy (MWh),Electricity generated_Other power sources (MWh),Electricity generated_Total Electricity generated (MWh),Electricity generated_Electricity purchesed_Total (MWh),Electricity generated_Electricity purchesed_Total surplus electricity (MWh),Electricity generated_Exchange among General Electricity Utilities (Net) (MWh),Electricity generated_Consumption by pumping at pumped-starage PSs_Total (MWh),Electricity generated_Grand total (MWh),Consumption in power stations_Hydroelectric (MWh),Consumption in power stations_Thermal power (MWh),Consumption in power stations_Nuclear power (MWh),Consumption in power stations_Renewable energy (MWh),Consumption in power stations_Other power sources (MWh),Consumption in power stations_Total (MWh),Electricity supply (at sending end) (MWh),Electricity supply (at user end) (MWh),Consuption at substations (MWh),Demand (MWh)
会社名,年期,供給力_水力発電所_自流式_自流式発電,供給力_水力発電所_貯水池式_貯水池式発電,供給力_水力発電所_揚水式_揚水式発電,供給力_水力発電所_揚水式_水力計,供給力_火力発電所_汽力,供給力_火力発電所_ガスタービン,供給力_火力発電所_内燃力,供給力_火力発電所_火力計,供給力_原子力発電所,供給力_新エネルギー等発電所,供給力_その他,供給力_発電計,供給力_他社受電_計,供給力_他社受電_自社余剰計,供給力_一般電気事業者間融通差引,供給力_揚水式発電所の揚水用電力_計,供給力_総合計,自社発電所所内用_水力,自社発電所所内用_火力,自社発電所所内用_原子力,自社発電所所内用_新エネルギー等,自社発電所所内用_その他,自社発電所所内用_計,送電端供給力,需要端供給力,変電所所内用,需要電力量
Okinawa,201404,,,,,364618,446,47404,412468,,41,,412509,178947,,,-715,590741,,38686,,1,,38687,552054,527841,365,527476
Hokkaido,201403,168751,26116,18524,213391,2344926,82,5233,2350241,0,16011,,2579643,593830,,,0,3173473,1571,121867,11410,2669,,137517,3035956,2792995,5346,2787649
Tohoku,201403,615362,34751,9049,659162,5938996,46763,23533,6009292,0,79386,,6747840,1080077,,,-11799,7816118,3084,218940,21997,9733,,253754,7562364,7171931,7824,7164107
Tokyo,201403,541529,90712,111762,744003,19556283,6302,13538,19576123,0,4852,,20324978,4324050,,,-154752,24494276,5332,621058,69015,343,,695748,23798528,23098853,30705,23068148
Chubu,201403,644071,,59136,703207,10223803,,0,10223803,0,6482,,10933492,932806,1,,-55300,11810999,4255,345334,28544,127,,378260,11432739,10882643,11865,10870778
Hokuriku,201403,425974,174499,0,600473,1971796,,47,1971843,0,418,,2572734,206065,,,-1233,2777566,2507,107946,12226,35,,122714,2654852,2541107,2511,2538596
Kansai,201403,1081229,103541,34779,1219549,8044239,39058,5,8083302,0,963,0,9303814,3473803,0,,-53286,12724331,6095,243398,41634,55,0,291182,12433149,11770220,13243,11756977
Chugoku,201403,363206,0,34040,397246,3347756,0,11629,3359385,0,419,0,3757050,1730313,0,,-33412,5453951,1546,170072,8814,7,0,180439,5273512,5049201,4112,5045089
Shikoku,201403,148430,76374,10585,235389,1511286,0,4,1511290,0,300,0,1746979,742324,0,,-1237,2488066,1101,77875,7252,5,0,86233,2401833,2302620,2618,2300002
Kyushu,201403,278837,35669,4579,319085,5324468,10,83652,5408130,0,124341,,5851556,1607032,79,,-8327,7450340,2132,182440,20918,9849,,215339,7235001,6984327,5517,6978810
Okinawa,201403,,,,,454826,783,45864,501473,,48,,501521,108916,,,-633,609804,,45239,,a,,45239,564565,507970,373,507597
Hokkaido,201402,165348,27616,21169,214133,2352839,152,5694,2358685,0,14475,,2587293,566028,,,-4977,3148344,1493,120380,10649,2392,,134914,3013430,3034881,6151,3028730
Tohoku,201402,437097,32081,5225,474403,5857892,0,21547,5879439,0,72197,,6426039,1303506,,,-8601,7720944,3242,211394,20832,8560,,244028,7476916,7394602,8174,7386428
Tokyo,201402,322028,93296,227208,642532,20520480,10602,13648,20544730,0,3045,,21190307,4309713,,,-393497,25106523,6048,637001,64735,274,,708058,24398465,24398366,32707,24365659
Chubu,201402,307439,,35883,343322,10850257,,0,10850257,0,3752,,11197331,671120,1,,-52853,11815599,4344,354383,25509,106,,384342,11431257,11324032,12109,11311923
Hokuriku,201402,215013,137413,0,352426,2300090,,42,2300132,0,360,,2652918,125690,,,-601,2778007,2633,120048,11097,49,,133827,2644180,2567248,2575,2564673
Kansai,201402,611330,83937,87451,782718,8484280,41222,13,8525515,0,646,0,9308879,3694739,0,,-134351,12869267,6214,260823,37692,44,0,304773,12564494,12349314,12774,12336540
Chugoku,201402,243234,0,24785,268019,3520179,0,11955,3532134,0,246,0,3800399,1796719,0,,-30902,5566216,1690,172679,8345,7,0,182721,5383495,5346233,4362,5341871
Shikoku,201402,81602,42999,2263,126864,1587141,0,3,1587144,0,253,0,1714261,814802,0,,-1697,2527366,1012,72448,6759,4,0,80223,2447143,2364757,2512,2362245
Kyushu,201402,216272,20438,8202,244912,5236708,14,85836,5322558,0,113086,,5680556,1870542,39,,-12771,7538366,1913,178590,21509,8839,,210851,7327515,7244741,5151,7239590
Okinawa,201402,,,,,447287,1196,41418,489901,,92,,489993,81457,,,-2615,568835,,47080,,a,,47080,521755,513778,336,513442
Hokkaido,201401,177873,36310,31532,245715,2498712,18311,36918,2553941,0,16414,,2816070,711160,,,-97,3527133,1803,131993,11665,2653,,148114,3379019,3167873,7045,3160828
Tohoku,201401,462025,33162,3311,498498,6263515,0,24010,6287525,0,76291,,6862314,1535341,,,-2883,8394772,3592,233730,21506,9470,,268298,8126474,7759684,9136,7750548
Tokyo,201401,398571,100354,194749,693674,21618779,12234,14587,21645600,0,4145,,22342819,4747522,,,-357069,26733872,6586,678194,75974,298,,761052,25972820,24761034,34989,24726045
Chubu,201401,306355,,24207,330562,11640584,,0,11640584,0,5334,,11976480,591175,1,,-35260,12532396,4576,382066,26721,148,,413511,12118885,11847476,14258,11833218
Hokuriku,201401,205912,136491,0,342403,2479488,,36,2479524,0,448,,2822375,157915,,,-79,2980211,2973,129716,13343,61,,146093,2834118,2816844,2882,2813962
Kansai,201401,550838,73350,39252,663440,9173839,43433,3,9217275,0,703,0,9881418,4060651,0,,-73543,13868526,6470,291748,40602,48,0,338868,13529658,13331949,14104,13317845
Chugoku,201401,246760,0,25689,272449,3730988,0,12989,3743977,0,317,0,4016743,2002669,0,,-31623,5987789,1819,182147,9131,8,0,193105,5794684,5603920,5027,5598893
Shikoku,201401,75177,31379,2282,108838,1691963,0,3,1691966,0,237,0,1801041,923545,0,,-3088,2721498,1100,77768,8294,5,0,87167,2634331,2610897,2754,2608143
