Company,Year_term,Time-of-day lighting (customers),Time-of-day lighting (kW),Time-of-day lighting (MWh),High voltage power B/demand response (customers),High voltage power B/demand response (kW),High voltage power B/demand response (MWh),Extra-high voltage power/demand response (customers),Extra-high voltage power/demand response (kW),Extra-high voltage power/demand response (MWh),Midnight power (kW),Midnight power (customers),Midnight power (MWh),Snow melting power (kW),Snow melting power (customers),Snow melting power (MWh)
会社名,年期,時間帯別電灯_契約口数,時間帯別電灯_契約電力,時間帯別電灯_使用電力量,需給調整高圧B_契約口数,需給調整高圧B_契約電力,需給調整高圧B_使用電力量,需給調整特高_契約口数,需給調整特高_契約電力,需給調整特高_使用電力量,深夜電力_契約電力,深夜電力_契約口数,深夜電力_使用電力量,融雪用電力_契約電力,融雪用電力_契約口数,融雪用電力_使用電力量
Chugoku,199503,20068,133668,25139,3,8300,3811,87,2580940,812472,1105975,323482,135346,,,
Shikoku,199503,8476,66631,9573,9,23450,8647,44,899200,223806,629349,161666,70491,,,
Kyushu,199503,11178,91881,14311,17,30760,10929,90,2211500,634087,1349298,303055,133209,,,
Okinawa,199503,1989,,1865,2,3080,1272,2,31000,11390,18909,2007,827,,,
Hokkaido,199502,21713,108814,24673,2,39000,3940,17,867900,105355,267094,72017,32035,395308,28075,112414
Tohoku,199502,6070,48473,10731,10,22980,10424,96,2176050,555409,847227,219077,106737,239776,24687,38061
Tokyo,199502,35264,249532,43799,6,8650,2120,127,4492450,1295663,2129529,512339,252196,,,
Chubu,199502,15816,133394,20815,2,4900,1518,54,2073900,748767,2582740,579855,269504,,,
Hokuriku,199502,5732,37459,7415,1,2000,874,31,842400,190847,380533,91359,44101,121768,7033,10533
Kansai,199502,24778,88878,32645,3,4940,1630,119,3454430,1037416,1389057,327754,163016,0,0,0
Chugoku,199502,19317,128865,26658,3,8300,3592,87,2580940,740354,1108285,324357,144761,,,
Shikoku,199502,8415,66074,10141,9,23450,7735,44,899200,189003,629367,161707,74648,,,
Kyushu,199502,11076,90856,15241,17,30760,9965,90,2211500,574390,1341227,302788,129155,,,
Okinawa,199502,1920,,2320,2,3080,1210,2,31000,12265,19167,2012,1109,,,
Hokkaido,199501,19944,102627,25335,2,39000,3936,17,867900,117207,272447,73294,32005,383000,27175,86590
Tohoku,199501,5913,47347,12260,10,22980,10954,96,2144550,583301,846202,219283,124155,238227,24614,36704
Tokyo,199501,33429,239874,51574,6,8650,2077,127,4492450,1265463,2134544,513719,297865,,,
Chubu,199501,15605,131380,25066,2,4900,1330,54,2073900,726299,2583629,580189,312161,,,
Hokuriku,199501,5505,36114,8560,1,2000,1035,31,842400,213258,381093,91489,51895,121297,7001,10156
Kansai,199501,24270,87034,36026,3,4940,1535,119,3466930,1029102,1396684,329620,187333,0,0,0
Chugoku,199501,18502,123456,26936,3,8300,3425,87,2580940,742302,1111403,325355,151729,,,
Shikoku,199501,8220,64487,10784,9,23450,8189,44,899200,225385,629842,161879,81302,,,
Kyushu,199501,10910,89462,17746,17,30760,10193,90,2211500,608910,1336306,302128,146987,,,
Okinawa,199501,1837,,2759,2,3080,1326,2,31000,15238,19251,1994,1316,,,
Hokkaido,199412,18004,94381,19432,2,39000,4108,17,867900,121797,278387,74938,28540,180543,11219,19448
Tohoku,199412,5606,45334,9167,10,22980,11611,96,2138550,594215,845116,219426,95088,232134,24178,6834
Tokyo,199412,32992,237140,40639,6,8650,2421,127,4493450,1371315,2136859,514484,232015,,,
Chubu,199412,15373,129038,19784,2,4900,1295,54,2073900,759335,2582364,580145,239417,,,
Hokuriku,199412,5322,34838,6285,1,2000,891,31,842400,237617,380485,91463,39580,102007,5092,1488
Kansai,199412,23336,83434,25412,3,4940,1576,119,3466930,1124895,1399545,330309,143798,,,
Chugoku,199412,17622,117824,20657,3,8300,3559,87,2581440,753454,1113816,326044,119698,,,
Shikoku,199412,8101,63522,7864,9,23450,8362,44,898800,219920,629597,161910,60709,,,
Kyushu,199412,10658,87420,13255,17,30760,10485,90,2211500,632188,1328871,300805,104902,,,
Okinawa,199412,1737,,2724,2,3080,1263,2,31000,15225,19180,1962,1285,,,
Hokkaido,199411,16366,87786,15032,2,39000,4289,17,867900,123423,283673,76301,25545,92766,1820,3639
Tohoku,199411,5400,43584,7781,10,22980,11054,97,2162550,588862,843162,219595,81079,88460,6664,165
Tokyo,199411,31593,230426,36860,6,8650,2479,127,4438450,1413375,2140433,515501,196849,,,
Chubu,199411,15170,126850,18016,2,4900,1623,54,2065900,759644,2583041,580248,198000,,,
Hokuriku,199411,5148,33698,5318,1,2000,947,31,851900,237603,379879,91447,34596,47081,1736,80
Kansai,199411,22533,80627,20535,3,4940,1810,119,3466930,1118744,1404031,331419,120146,0,0,0
Chugoku,199411,16737,111940,18333,3,8300,3671,86,2571440,786240,1116096,326730,106400,,,
Shikoku,199411,7876,61749,6735,9,23450,8361,44,899800,227813,629825,162023,52182,,,
Kyushu,199411,10194,83655,12170,17,30760,10410,90,2211500,619156,1323853,299807,93550,,,
Okinawa,199411,1539,,2098,2,3080,1340,2,31000,15303,19078,1936,1032,,,
Hokkaido,199410,14824,81089,11823,2,39000,5148,17,865400,130767,287383,77113,21970,492,46,42
Tohoku,199410,5187,42088,6866,10,22980,11812,97,2162550,602515,839396,219520,66544,280,21,0
Tokyo,199410,30778,225698,35155,6,8650,2652,127,4438450,1428152,2144929,516544,163091,,,
Chubu,199410,15035,125551,17431,2,4900,1201,54,2065900,769455,2581948,580769,166227,,,
Hokuriku,199410,4824,31980,4646,1,2000,903,31,851900,239402,379784,91548,29185,1017,35,0
Kansai,199410,21808,78197,19018,3,4940,1832,119,3473430,1176551,1407152,332174,98364,0,0,0
Chugoku,199410,15973,106943,16017,3,8300,3622,86,2578440,830883,1119631,327797,83681,,,
Shikoku,199410,7773,60852,6272,9,23450,8522,45,904800,239091,629833,162090,41869,,,
Kyushu,199410,9840,80364,11382,17,30760,11288,90,2211500,640836,1320553,299122,77198,,,
Okinawa,199410,1395,,1776,2,3080,1109,2,31000,16529,19223,1936,789,,,
Hokkaido,199409,14122,77732,10289,2,39000,6734,17,865400,148724,287659,77845,20301,338,14,23
Tohoku,199409,5046,40920,6380,10,22980,11290,97,2172250,555364,839135,219734,54347,77,4,0
Tokyo,199409,30154,221539,34634,6,8650,2728,127,4448450,1310349,2146405,517034,134702,,,
Chubu,199409,14777,123111,17194,2,4900,1414,54,2056900,723640,2583130,581185,141195,,,
Hokuriku,199409,4660,30955,4728,1,2000,875,31,851700,232548,379455,91608,24905,0,0,0
Kansai,199409,21038,75609,22794,3,4940,1773,119,3473430,1082857,1410855,332910,81573,0,0,0
Chugoku,199409,15330,102729,17449,3,8300,3274,87,2561440,753397,1123620,328981,68747,,,
Shikoku,199409,7675,60052,6906,9,23450,8160,45,903300,195296,629847,162165,35295,,,
Kyushu,199409,9621,78368,11195,17,30760,10898,87,2157400,519557,1317956,298518,63738,,,
Okinawa,199409,1230,,1433,2,3080,1378,2,31000,15651,19107,1932,445,,,
Hokkaido,199408,13134,73039,9815,2,39000,6165,17,865400,116705,291578,78607,22362,1473,39,40
Tohoku,199408,4872,39418,6270,10,22530,10997,98,2176650,506503,838800,219946,55016,0,0,0
Tokyo,199408,29759,218859,35127,6,8650,2883,127,4448450,1220260,2147854,517588,133538,,,
Chubu,199408,14636,121414,15274,2,4900,1334,54,2056900,699566,2585302,581728,130815,,,
Hokuriku,199408,4533,30117,4829,1,2000,698,31,851700,204233,379441,91701,24494,0,0,0
Kansai,199408,20349,73315,23274,3,4940,1506,120,3489430,1063664,1413525,333505,77080,0,0,0
Chugoku,199408,14385,96602,15984,3,8300,2964,87,2581440,754847,1128306,330325,62025,,,
Shikoku,199408,7538,58630,6758,9,23450,8117,45,903300,183218,630491,162387,33032,,,
Kyushu,199408,9404,76425,10129,17,30760,10611,87,2156900,504027,1317085,298442,57652,,,
Okinawa,199408,1067,,1111,2,3080,1501,2,31000,15620,19127,1927,216,,,
Hokkaido,199407,12277,68009,9403,2,39000,7717,17,865400,124499,293195,79049,25282,5962,175,71
Tohoku,199407,4744,38248,5775,10,22530,11652,98,2172650,508448,838334,220243,65695,0,0,0
Tokyo,199407,29408,216140,32593,6,8650,2762,126,4435950,1299871,2148978,518044,164572,,,
Chubu,199407,14502,119762,14801,2,4900,1027,54,2056900,707886,2586710,582262,171441,,,
Hokuriku,199407,4427,29423,4113,1,2000,958,31,851700,220240,378879,91653,27809,0,0,0
Kansai,199407,19738,71281,19850,3,4940,1772,120,3488630,1067773,1420815,335396,99830,0,0,0
Chugoku,199407,13392,90100,14363,3,8300,3335,87,2581440,746183,1132062,331360,85812,,,
Shikoku,199407,7436,57804,6287,9,23450,8531,45,903300,182285,630589,162474,40445,,,
Kyushu,199407,9154,74228,9148,17,30760,11387,87,2156900,534419,1314657,297963,70791,,,
Okinawa,199407,932,,1069,2,3080,1369,2,31000,12010,19154,1921,234,,,
Hokkaido,199406,11873,66123,9904,2,39000,6337,17,865400,126011,294199,79353,27677,89162,1590,2814
Tohoku,199406,4565,36921,6153,10,22530,11507,98,2173050,572618,839206,220821,79374,64,4,0
Tokyo,199406,28932,213281,30493,6,8650,2461,126,4435950,1344980,2151519,518751,182187,,,
Chubu,199406,14334,117493,13151,2,4900,1328,54,2057050,715343,2588524,582957,182032,,,
Hokuriku,199406,4236,28306,4025,1,2000,943,31,851700,220836,379004,91756,32259,0,0,0
Kansai,199406,18984,68774,15706,3,4940,1775,120,3488630,1062940,1424372,336161,108383,0,0,0
Chugoku,199406,12311,83066,12735,3,8300,3136,86,2574940,729301,1136289,332543,103476,,,
Shikoku,199406,7296,56894,6008,9,23450,8266,45,903300,209317,630763,162532,50486,,,
Kyushu,199406,9107,73634,9208,18,31760,10248,86,2150800,606180,1313223,297698,89502,,,
Okinawa,199406,903,,1034,2,3080,1433,2,31000,14585,19415,1926,296,,,
Hokkaido,199405,11684,64954,12427,2,39000,8068,17,865400,132554,295214,79731,32873,142980,6746,10385
Tohoku,199405,4466,36229,6836,10,22530,10465,97,2106600,541306,840319,221358,96427,13,2,0
Tokyo,199405,28384,209159,32706,6,8650,2354,126,4435950,1388041,2153421,519147,218675,,,
Chubu,199405,14232,116289,15682,2,4900,1359,54,2057050,710585,2589752,583767,247664,,,
Hokuriku,199405,4047,27188,4962,1,2000,970,31,851700,215733,379491,91944,42515,0,0,-4
Kansai,199405,18187,65806,18939,3,4940,1731,120,3468930,1130337,1427351,336608,147669,0,0,0
Chugoku,199405,11622,78478,12720,3,8300,3015,87,2577940,756902,1138482,333220,117107,,,
Shikoku,199405,7208,56125,6375,8,23300,7659,45,903900,237412,630899,162622,58881,,,
Kyushu,199405,9036,72805,10227,18,31760,10382,86,2150800,601957,1309773,296742,110689,,,
Okinawa,199405,863,,970,2,3080,1357,2,31000,15784,19555,1920,328,,,
Hokkaido,199404,11115,62568,13288,2,39000,4911,17,865400,132307,295554,79779,34567,331186,24184,54663
Tohoku,199404,4341,35223,7891,10,22530,10578,97,2107900,483379,838555,221382,112154,1226,173,5648
Tokyo,199404,27869,204432,36910,6,8650,2245,126,4435950,1307912,2152798,518909,271702,,,
Chubu,199404,14095,115009,17263,2,4900,872,54,2055050,685845,2586260,583773,330857,,,
Hokuriku,199404,3852,26072,5203,1,2000,914,31,851700,208770,379387,91984,45438,63,6,418
Kansai,199404,17139,62093,22470,3,4940,1749,120,3468930,1031731,1424663,335430,182751,0,0,0
Chugoku,199404,11013,74427,15357,3,8300,3425,87,2572940,656787,1139412,333450,152710,,,
Shikoku,199404,7173,55832,7694,8,23300,7812,45,906900,227688,630788,162648,73582,,,
Kyushu,199404,8943,71822,10984,18,31760,9665,86,2165800,563000,1298734,293897,140652,,,
Okinawa,199404,804,,872,2,3080,1205,2,31000,15715,19665,1928,513,,,
Hokkaido,199403,10244,58516,12630,2,48000,4313,17,865400,120064,298740,80833,33004,323048,24120,72449
Tohoku,199403,4149,33683,7094,8,16330,7822,97,2121150,522226,833998,220914,102062,216461,22801,20354
Tokyo,199403,26693,193798,33368,6,8650,2189,126,4474300,1300788,2146775,516789,254175,,,
Chubu,199403,13581,111488,15771,2,4900,1504,53,2047650,689979,2569504,581819,279379,,,
Hokuriku,199403,3665,24977,5100,1,2000,1058,30,818300,217397,377369,91496,44711,65210,3852,4452
Kansai,199403,16027,58169,21029,3,4790,1784,119,3511650,1020158,1421403,334161,170624,0,0,0
Chugoku,199403,10398,70352,13915,3,8300,3499,86,2530540,670234,1140632,333742,144759,,,
Shikoku,199403,7134,55540,7675,8,23350,7902,45,1041400,220015,630254,162481,73137,,,
Kyushu,199403,8822,70687,11427,17,30930,9903,86,2162550,528058,1287714,292673,133674,,,
Okinawa,199403,776,,827,2,3080,1089,2,31000,16194,19767,1924,675,,,
Hokkaido,199402,9856,55914,13699,2,48000,3879,17,865400,100708,296828,80238,35898,320422,23949,91067
Tohoku,199402,3985,32323,7433,8,16330,6633,97,2121150,495075,829751,220835,108628,224971,23839,35315
Tokyo,199402,25957,188224,35303,6,8650,1905,126,4474300,1217104,2147717,517270,273388,,,
Chubu,199402,13213,108506,16829,2,4900,1444,53,2047650,637241,2556363,579238,288707,,,
Hokuriku,199402,3524,24139,5036,1,2000,945,30,818300,192629,377065,91552,44764,115133,6644,11524
Kansai,199402,15202,55424,21750,3,4790,1516,119,3511650,969826,1425461,335279,182406,0,0,0
Chugoku,199402,9618,65200,13925,3,8300,3212,87,2535540,623658,1144371,334932,153483,,,
Shikoku,199402,7037,54875,8173,8,23350,6962,45,1041400,196187,630446,162500,78565,,,
Kyushu,199402,8693,69285,12223,17,30930,8501,86,2162550,491358,1279117,292416,131231,,,
Okinawa,199402,736,,967,2,3080,1276,2,31000,14824,19803,1915,946,,,
Hokkaido,199401,9648,54548,13675,2,48000,3891,17,865400,118313,296840,80357,36739,310617,23410,64279
Tohoku,199401,3889,31592,8250,8,16330,6738,97,2121150,518096,829696,221187,122607,224062,23771,23771
Tokyo,199401,25249,184126,39911,6,8650,2068,126,4474300,1249315,2149202,517555,307472,,,
Chubu,199401,12985,106663,19410,2,4900,1066,53,2040650,600767,2556922,579494,324640,,,
Hokuriku,199401,3338,23017,5748,1,2000,1050,30,818300,207192,377131,91607,52139,114902,6630,5852
Kansai,199401,14554,53303,23507,3,4790,1598,119,3511650,994861,1429479,336311,205876,0,0,0
Chugoku,199401,8939,60866,14308,3,8300,3108,87,2535540,616508,1147995,336011,167360,,,
Shikoku,199401,6813,53116,8237,8,23350,7441,45,1041400,214270,630829,162673,82594,,,
Kyushu,199401,8502,67721,14007,17,30930,9477,86,2162550,531803,1276582,292044,147246,,,
Okinawa,199401,693,,1034,2,3080,1310,2,31000,13600,19741,1899,1322,,,
Hokkaido,199312,9195,51842,10320,2,48000,3988,17,830400,120239,298038,80750,31181,124179,7060,12678
Tohoku,199312,3750,30446,6332,8,16330,7134,97,2121150,549179,827064,221049,95720,219689,23400,4498
Tokyo,199312,24681,180748,31332,6,8650,2319,126,4474300,1321485,2150089,518117,239872,,,
Chubu,199312,12784,104906,15179,2,4900,1363,53,2040650,636473,2555990,579550,249693,,,
Hokuriku,199312,3157,21805,4093,1,2000,1089,30,818300,225907,376905,91641,39327,95802,4727,1469
Kansai,199312,13742,50543,16532,3,4790,1712,119,3511650,1073830,1433394,337330,156363,0,0,0
Chugoku,199312,8237,56334,11238,3,8300,3320,87,2545540,674877,1150359,336746,138119,,,
Shikoku,199312,6468,50382,6385,8,23350,7516,45,1041400,221335,631507,162899,67561,,,
Kyushu,199312,8279,65794,10797,17,30930,10057,86,2162550,564948,1271136,290944,109773,,,
Okinawa,199312,623,,931,2,3080,1383,2,31000,16126,19810,1890,1260,,,
Hokkaido,199311,8747,49317,8502,2,48000,4491,17,830400,117349,298230,81002,28453,67697,1607,3618
Tohoku,199311,3508,28658,5483,8,16330,6948,97,2121150,541229,825101,220970,85411,84461,6403,147
Tokyo,199311,23799,176066,28986,6,8650,2377,126,4474300,1349393,2154510,519197,214469,,,
Chubu,199311,12601,103007,14198,2,4900,1378,53,2040650,670575,2556341,579806,223598,,,
Hokuriku,199311,3005,20772,3709,1,2000,962,30,811800,221116,376580,91630,37141,43448,1598,106
Kansai,199311,12790,47468,13571,3,4790,1686,118,3511650,1074366,1437691,338338,138648,0,0,0
Chugoku,199311,7315,50398,8966,3,8300,3301,87,2547540,692559,1152984,337520,117190,,,
Shikoku,199311,6113,47600,5170,8,23350,7320,45,1042400,210199,632729,163200,57899,,,
Kyushu,199311,7839,62013,10265,17,30930,10407,86,2162550,569165,1267734,290292,101077,,,
Okinawa,199311,568,,798,2,3080,1479,2,31000,15377,20186,1895,1107,,,
Hokkaido,199310,8330,47235,7014,2,48000,5903,17,830400,122434,298873,81276,25240,181,36,30
Tohoku,199310,3370,27505,4937,8,16330,7226,97,2121650,560252,822837,221186,75349,1164,80,0
Tokyo,199310,23082,173275,27581,6,8650,2557,127,4483400,1380406,2156912,519572,187195,,,
Chubu,199310,12417,101139,13513,2,4900,1493,53,2040650,691513,2556909,579849,195931,,,
Hokuriku,199310,2798,19431,3132,1,2000,1054,30,812800,219279,376398,91704,33036,979,33,0
Kansai,199310,12078,44805,12077,3,4790,1636,119,3521650,1158533,1440217,338878,120260,0,0,0
Chugoku,199310,6625,45943,8059,3,8300,3478,87,2547540,736171,1156092,338433,101803,,,
Shikoku,199310,5874,45622,4638,8,23350,7634,45,1042400,251498,632423,163162,49803,,,
Kyushu,199310,7512,58852,9029,17,30930,10530,86,2162550,604272,1265784,289924,83471,,,
Okinawa,199310,444,,577,2,3080,1336,2,31000,15910,20245,1905,737,,,
Hokkaido,199309,8111,46037,6432,2,48000,5290,17,830400,134414,299853,81549,24232,564,29,20
Tohoku,199309,3250,26349,4276,8,16330,7012,97,2121350,508331,822804,221620,64804,0,0,0
Tokyo,199309,22427,169224,26536,6,8650,2667,126,4466400,1234907,2161319,520856,163985,,,
Chubu,199309,12097,98016,12600,2,4900,1693,53,2039650,673388,2558601,580492,172421,,,
Hokuriku,199309,2566,17776,2730,1,2000,1094,30,812800,197105,376533,91814,28899,0,0,0
Kansai,199309,11398,42541,11974,3,4790,1665,119,3561650,1084151,1444260,339785,99423,0,0,0
Chugoku,199309,6158,42951,7705,3,8300,3209,87,2545340,713349,1158944,339377,90800,,,
Shikoku,199309,5646,44167,4462,8,23350,7471,45,1043700,188955,633151,163377,41515,,,
Kyushu,199309,7296,56573,8708,17,30930,9959,85,2153750,511093,1264262,289706,76061,,,
Okinawa,199309,312,,453,2,3080,1440,2,31000,14903,20122,1892,326,,,
Hokkaido,199308,7970,45417,6319,2,48000,4722,17,830400,127799,301166,82008,25726,1329,46,29
Tohoku,199308,3133,24933,3795,8,16330,7038,97,2121350,470143,821907,221836,68857,0,0,0
Tokyo,199308,21718,165463,25632,6,8650,2583,126,4466400,1184533,2165267,521764,177918,,,
Chubu,199308,11792,95745,11196,2,4900,1192,53,2039150,634196,2561843,581423,178040,,,
Hokuriku,199308,2404,16679,2617,1,2000,769,30,814300,166612,376846,91964,28909,0,0,0
Kansai,199308,10861,40724,12440,3,4790,1478,119,3558650,1085353,1447771,340639,108264,0,0,0
Chugoku,199308,5706,39999,7318,3,8300,3007,87,2545340,694347,1162140,340406,90927,,,
Shikoku,199308,5502,43145,4627,8,23350,7815,45,1043700,209360,633585,163530,43162,,,
Kyushu,199308,7110,54931,7629,17,30930,9329,85,2153750,503681,1262235,289277,72583,,,
Okinawa,199308,247,,422,2,3080,1466,2,31000,15785,19844,1865,184,,,
Hokkaido,199307,7435,42316,6204,2,48000,4074,17,830400,125517,301527,82170,26913,5423,140,181
Tohoku,199307,2905,22541,3275,8,16330,6906,97,2121350,461945,821269,222145,74692,0,0,0
Tokyo,199307,20860,159794,22714,6,8650,2657,127,4467000,1270108,2167713,522249,178573,,,
Chubu,199307,11571,93119,10118,2,4900,1233,53,2039150,675359,2563687,582018,186438,,,
Hokuriku,199307,2250,15662,2344,1,2000,997,30,814300,201824,376716,92044,30091,0,0,0
Kansai,199307,10318,38629,10504,3,4790,1605,119,3580150,1081553,1451477,341562,113296,0,0,0
Chugoku,199307,5273,37133,6685,3,8300,3475,87,2544840,713989,1164877,341234,97901,,,
Shikoku,199307,5361,42110,4585,8,23350,8297,45,1043700,197199,633498,163504,48194,,,
Kyushu,199307,6838,51407,6370,17,30930,10555,85,2153750,504211,1260838,288962,80370,,,
Okinawa,199307,190,,363,2,3080,1546,2,31000,12783,19669,1856,201,,,
Hokkaido,199306,7111,39988,5561,2,48000,3729,17,830400,123378,301925,82389,29531,70919,1455,2478
Tohoku,199306,2685,19401,2530,8,16330,7151,97,2122450,564661,821531,222524,80850,10,2,-1
Tokyo,199306,19519,149051,18105,6,8650,2489,126,4467000,1443945,2172539,523397,191621,0,0,
Chubu,199306,11386,90586,9371,2,4900,1420,53,2038800,734471,2565660,582724,202338,,,
Hokuriku,199306,2105,14622,2423,1,2000,1026,30,819800,221974,376069,92016,35241,0,0,0
Kansai,199306,9866,37050,9576,3,4790,1678,119,3576350,1134714,1454807,342393,123941,0,0,0
Chugoku,199306,4794,33859,5959,3,8300,3087,87,2542340,807338,1168181,342168,109251,,,
Shikoku,199306,5248,41365,4400,8,23350,7914,45,1043700,245401,634448,163778,52294,,,
Kyushu,199306,6620,48418,4769,17,30880,10504,85,2154050,614476,1258784,288575,85452,,,
Okinawa,199306,152,,313,2,3080,1472,2,31000,14676,19662,1839,239,,,
Hokkaido,199305,6665,35559,5475,2,48000,7559,17,836900,145494,302376,82609,34142,101861,5674,8303
Tohoku,199305,2575,17883,2830,8,16330,6724,97,2121800,581682,822366,223110,96838,63,8,4
Tokyo,199305,17061,115963,13832,6,8650,2274,126,4467000,1441942,2177670,524870,250906,0,0,
Chubu,199305,11168,87055,9931,2,4900,1581,53,2038800,711331,2570418,583473,277033,,,
Hokuriku,199305,2015,14050,2675,1,2000,1033,30,819800,237951,375374,91977,42078,0,0,-4
Kansai,199305,9393,35527,11608,3,4790,1692,119,3576350,1190616,1457269,342759,167469,0,0,0
Chugoku,199305,4347,29842,5566,3,8300,2818,87,2542340,816309,1169844,342808,132031,,,
Shikoku,199305,5177,40898,4903,8,23300,8263,45,1042700,285460,634526,163832,62806,,,
Kyushu,199305,6556,47713,5596,16,26480,9085,85,2178050,619001,1255561,287760,118668,,,
Okinawa,199305,145,,303,2,3080,1473,2,31000,15591,19635,1818,273,,,
Hokkaido,199304,6350,33611,5697,2,48000,6870,17,836900,141082,302130,82498,35268,272679,21067,29671
Tohoku,199304,2457,17005,3394,8,16330,7100,97,2123100,547370,822171,223512,117040,1336,160,3943
Tokyo,199304,15862,104906,14007,6,8650,2274,126,4467000,1352021,2175402,524534,271208,0,0,
Chubu,199304,10806,80330,8738,2,4900,1091,53,2023800,714312,2555026,582303,349011,,,
Hokuriku,199304,1890,13243,2726,1,2000,1014,30,819800,242220,374631,91925,47190,78,7,324
Kansai,199304,8626,32779,12710,3,4790,1781,119,3561550,1111729,1456576,342207,195235,0,0,0
Chugoku,199304,4028,27381,6054,3,8300,3417,87,2542340,754289,1170081,342782,159683,,,
Shikoku,199304,5160,40769,5917,8,23300,7844,45,1042700,254652,634101,163775,76537,,,
Kyushu,199304,6459,46738,5832,16,26480,8735,85,2173050,594471,1246404,284994,140943,,,
Okinawa,199304,135,,248,2,3080,1703,2,31000,14412,19703,1826,425,,,
Hokkaido,199303,5858,31123,5635,2,48000,5392,17,832100,138435,305533,83630,34076,272052,21064,54323
Tohoku,199303,2179,15111,3007,8,16330,7505,96,2110950,553401,819961,223202,104771,206624,22228,17271
Tokyo,199303,15488,102798,13074,5,7300,1750,125,4449500,1397364,2167957,521878,255104,,0,
Chubu,199303,10372,75557,7527,2,4900,1289,53,2037500,717011,2544017,580330,281054,,,
Hokuriku,199303,1690,11478,2218,1,2000,1071,31,830800,244412,372602,91401,44116,59918,3534,3818
Kansai,199303,7680,29681,10759,3,4700,1640,118,3548350,1135244,1454921,341634,173706,0,0,0
Chugoku,199303,3694,25158,5189,3,7900,3458,87,2486090,725786,1171980,343268,145679,,,
Shikoku,199303,5116,40474,5661,8,23150,8368,45,1043350,258800,631770,163234,72527,,,
Kyushu,199303,6260,45242,6124,13,23400,8140,87,2196200,590798,1234722,283788,130739,,,
Okinawa,199303,128,,225,2,3080,1334,2,31000,15901,19684,1811,601,,,
Hokkaido,199302,5446,29412,6106,2,48000,4392,17,832100,129191,302624,82818,37214,270300,20846,60859
Tohoku,199302,2056,14165,2860,8,16330,6355,96,2110950,515921,814927,223233,102389,214049,23121,22579
Tokyo,199302,14874,99291,13796,5,7300,1648,126,4458100,1246272,2165769,522097,273543,,,
Chubu,199302,10172,73889,7974,2,4900,1399,53,2037500,657281,2536916,578872,276975,,,
Hokuriku,199302,1571,10594,1995,1,2000,1056,31,830800,211294,372967,91559,43098,108125,6265,6153
Kansai,199302,7123,28027,10849,3,4700,1502,118,3548350,1081035,1457580,342394,180069,0,0,0
Chugoku,199302,3364,22824,5252,3,7900,3222,87,2486090,654392,1175475,344496,157529,,,
Shikoku,199302,5064,40088,6159,8,23150,7422,45,1039350,228953,631549,163334,78563,,,
Kyushu,199302,6196,44564,6368,13,23400,7234,87,2196200,528102,1227076,283330,122314,,,
Okinawa,199302,124,,237,2,3080,1533,2,31000,13554,19495,1766,906,,,
Hokkaido,199301,5311,28909,5710,2,48000,4647,17,832100,132527,303732,83210,36316,261915,20434,47243
Tohoku,199301,1977,13462,3280,8,16330,6660,96,2108350,584570,813215,223239,122888,212977,22991,19342
Tokyo,199301,14365,96087,15431,5,7300,1750,126,4458100,1287778,2167322,522531,316595,,,
Chubu,199301,9993,72246,9548,2,4900,1231,53,2037500,664735,2536865,578779,328227,,,
Hokuriku,199301,1416,9636,2137,1,2000,993,31,830800,238365,372947,91596,51402,108210,6241,4679
Kansai,199301,6754,26750,12423,3,4700,917,118,3548350,1108758,1460182,343057,214356,0,0,0
Chugoku,199301,3141,21314,5448,3,7900,3246,87,2486090,670005,1177483,345194,170109,,,
Shikoku,199301,4974,39419,6105,8,23150,7700,45,1039350,254832,631837,163421,80193,,,
Kyushu,199301,6021,43288,7518,13,23400,7351,87,2196200,585831,1225276,283118,144430,,,
Okinawa,199301,119,,224,2,3080,1784,2,31000,13633,19423,1749,1285,,,
Hokkaido,199212,4945,27002,4396,2,48000,4280,17,832100,143152,303516,83212,32021,113879,6073,11824
Tohoku,199212,1881,12676,2209,8,16330,7403,96,2108350,587261,810046,223150,89972,198781,21615,3442
Tokyo,199212,13763,92389,10677,5,7300,1887,126,4458100,1377055,2167664,522834,234410,,,
Chubu,199212,9837,71068,6646,2,4900,1340,53,2030500,695240,2535898,578716,243479,,,
Hokuriku,199212,1244,8554,1371,1,2000,1213,31,833300,274714,372666,91634,38493,89816,4444,1643
Kansai,199212,6424,25619,8537,3,4700,1190,118,3540150,1158684,1460714,343385,155991,0,0,0
Chugoku,199212,2943,19980,4108,3,7900,3344,87,2463090,704517,1179805,346054,136620,,,
Shikoku,199212,4917,38854,4911,8,23150,7577,45,1039350,254876,630694,163183,67346,,,
Kyushu,199212,5792,41377,5431,13,23400,7846,87,2196200,624593,1219309,281930,105687,,,
Okinawa,199212,113,,200,2,3080,1574,2,31000,15806,19351,1732,1259,,,
Hokkaido,199211,4615,25125,3356,2,48000,6494,17,832100,157221,303615,83477,30143,63440,1285,3239
Tohoku,199211,1756,11772,1825,8,16330,7557,96,2108350,611643,807811,223239,83145,77696,5962,105
Tokyo,199211,13219,89473,10143,5,7300,1948,126,4458100,1456138,2165552,522404,237210,,,
Chubu,199211,9615,69429,6513,2,4900,1462,54,2035650,721882,2535537,578588,241210,,,
Hokuriku,199211,1033,7290,1095,1,2000,1198,31,833300,277475,372720,91789,36586,40828,1469,98
