Company,Year_term,Transmission and distribution losses (%),Integrated loss factor (%)
会社名,年期,送配電損失率,総合損失率
Hokuriku,199409,-2.02,2.31
Kansai,199409,-8.59,-3.89
Chugoku,199409,-8.5,-4.1
Shikoku,199409,-2.6,3.5
Kyushu,199409,-10.86,-6.18
Okinawa,199409,-10.83,-4.46
Hokkaido,199408,10.02,15.22
Tohoku,199408,6.79,9.81
Tokyo,199408,4.62,8.31
Chubu,199408,4.72,8.8
Hokuriku,199408,6.21,9.54
Kansai,199408,4.37,8.43
Chugoku,199408,7.4,11.2
Shikoku,199408,7.8,12.9
Kyushu,199408,5.74,9.66
Okinawa,199408,1.77,7.1
Hokkaido,199407,14.57,19.49
Tohoku,199407,15.56,18.08
Tokyo,199407,15.17,18.47
Chubu,199407,14.8,18.39
Hokuriku,199407,11.95,14.8
Kansai,199407,16.58,20.14
Chugoku,199407,19,22.3
Shikoku,199407,18,22.8
Kyushu,199407,21.08,24.4
Okinawa,199407,15.5,19.86
Hokkaido,199406,9.24,13.83
Tohoku,199406,5.63,8.45
Tokyo,199406,7.75,11.4
Chubu,199406,9.47,13.34
Hokuriku,199406,5.99,8.32
Kansai,199406,11.86,15.62
Chugoku,199406,10.3,14.2
Shikoku,199406,9.8,15.3
Kyushu,199406,10.47,14.32
Okinawa,199406,19.14,23.58
Hokkaido,199405,4.96,9.62
Tohoku,199405,5.24,7.72
Tokyo,199405,7.59,11.31
Chubu,199405,3.48,7.61
Hokuriku,199405,1.71,3.97
Kansai,199405,5.36,9.35
Chugoku,199405,7.1,11.1
Shikoku,199405,5.6,11.1
Kyushu,199405,4.42,8.57
Okinawa,199405,8.68,14.02
Hokkaido,199404,-2.54,2.85
Tohoku,199404,-2.17,0.62
Tokyo,199404,-4.61,-0.39
Chubu,199404,-4.36,-0.25
Hokuriku,199404,1.11,3.61
Kansai,199404,-4.55,-0.31
Chugoku,199404,-4.65,-0.37
Shikoku,199404,0.6,5.9
Kyushu,199404,-2.47,1.89
Okinawa,199404,12.17,17.68
Hokkaido,199403,10.28,15.71
Tohoku,199403,11.37,14.03
Tokyo,199403,10.69,14.21
Chubu,199403,9.12,12.74
Hokuriku,199403,6.16,9.29
Kansai,199403,8.89,12.56
Chugoku,199403,9.63,13.37
Shikoku,199403,8.7,13.3
Kyushu,199403,8.47,12.58
Okinawa,199403,11.75,17.34
Hokkaido,199402,-1.53,4.06
Tohoku,199402,2.83,5.7
Tokyo,199402,0.14,3.96
Chubu,199402,2.17,6.01
Hokuriku,199402,4.16,7.54
Kansai,199402,2.43,6.41
Chugoku,199402,3,6.7
Shikoku,199402,4,8.9
Kyushu,199402,2.11,6.08
Okinawa,199402,-3.21,3.29
Hokkaido,199401,7.55,12.65
Tohoku,199401,4.86,7.73
Tokyo,199401,4.26,8.02
Chubu,199401,2.85,6.75
Hokuriku,199401,1.76,5.3
Kansai,199401,3.56,7.55
Chugoku,199401,5,8.8
Shikoku,199401,6.8,11.6
Kyushu,199401,3.19,7.2
Okinawa,199401,2.31,8.76
Hokkaido,199312,16.27,20.8
Tohoku,199312,12.28,14.81
Tokyo,199312,11.8,15.24
Chubu,199312,11.89,15.41
Hokuriku,199312,10.6,13.62
Kansai,199312,12.26,15.9
Chugoku,199312,11.2,14.6
Shikoku,199312,12.6,17.1
Kyushu,199312,13.63,17.37
