Company,Year_term,Transmission and distribution losses (%),Integrated loss factor (%)
会社名,年期,送配電損失率,総合損失率
Tokyo,198909,-2.3,1.58
Chubu,198909,-4.16,-0.39
Hokuriku,198909,2.78,3.71
Kansai,198909,-2.77,1.14
Chugoku,198909,-4.66,-0.06
Shikoku,198909,2.86,7.61
Kyushu,198909,-0.29,3.86
Okinawa,198909,3.27,7.95
Hokkaido,198908,10.25,14.96
Tohoku,198908,5.96,8.81
Tokyo,198908,10.09,13.54
Chubu,198908,10.22,13.63
Hokuriku,198908,4.29,5.85
Kansai,198908,6.1,9.9
Chugoku,198908,9.05,13.3
Shikoku,198908,7.17,11.69
Kyushu,198908,6.69,10.5
Okinawa,198908,5.65,10.2
Hokkaido,198907,13.71,18.13
Tohoku,198907,14.18,16.58
Tokyo,198907,11.08,14.54
Chubu,198907,9.89,13.15
Hokuriku,198907,10.8,12.02
Kansai,198907,13.62,17.12
Chugoku,198907,15.5,19.23
Shikoku,198907,15.45,19.74
Kyushu,198907,17.79,21.03
Okinawa,198907,1.28,1.7
Hokkaido,198906,6.89,11.48
Tohoku,198906,6.22,8.77
Tokyo,198906,9.83,13.36
Chubu,198906,9.09,12.5
Hokuriku,198906,6.05,7.61
Kansai,198906,10.83,14.43
Chugoku,198906,10.4,14.12
Shikoku,198906,5.35,9.81
Kyushu,198906,8.68,12.36
Okinawa,198906,20,23.84
Hokkaido,198905,8.4,12.8
Tohoku,198905,5.41,7.82
Tokyo,198905,4.75,8.36
Chubu,198905,3.89,7.53
Hokuriku,198905,3.78,5.19
Kansai,198905,4.62,8.48
Chugoku,198905,4.87,9.19
Shikoku,198905,6.63,11.08
Kyushu,198905,4.29,7.94
Okinawa,198905,15.66,19.62
Hokkaido,198904,1.32,6.62
Tohoku,198904,3.31,5.8
Tokyo,198904,-2.76,1.08
Chubu,198904,-2.28,1.46
Hokuriku,198904,1.63,2.93
Kansai,198904,-2.61,1.61
Chugoku,198904,-3.37,1.4
Shikoku,198904,2.9,7.84
Kyushu,198904,1.67,5.73
Okinawa,198904,5.62,11.3
Hokkaido,198903,9.47,14.9
Tohoku,198903,5.93,8.61
Tokyo,198903,11.2,14.59
Chubu,198903,8.57,11.71
Hokuriku,198903,8.79,9.88
Kansai,198903,9.15,12.77
Chugoku,198903,9.48,13.67
Shikoku,198903,10.2,14.52
Kyushu,198903,7.25,11.07
Okinawa,198903,12.29,16.53
Hokkaido,198902,-2.71,3.41
Tohoku,198902,6.73,9.54
Tokyo,198902,3.31,7
Chubu,198902,2.91,6.4
Hokuriku,198902,4.12,5.59
Kansai,198902,3.92,7.45
Chugoku,198902,3.65,8.34
Shikoku,198902,2.31,7.63
Kyushu,198902,2.6,6.6
Okinawa,198902,2.68,2.66
Hokkaido,198901,7.44,12.89
Tohoku,198901,3.81,6.47
Tokyo,198901,-0.06,3.84
Chubu,198901,-0.83,2.96
Hokuriku,198901,-0.35,1.28
Kansai,198901,0.96,4.89
Chugoku,198901,2.16,7.02
Shikoku,198901,6.31,11.57
Kyushu,198901,0.65,4.8
Okinawa,198901,1.48,7.09
Hokkaido,198812,14.1,19.13
Tohoku,198812,11.97,14.29
Tokyo,198812,10.34,13.77
Chubu,198812,10.58,13.96
Hokuriku,198812,9.51,11.17
Kansai,198812,9.98,13.58
Chugoku,198812,10.5,14.65
Shikoku,198812,11.68,16.37
Kyushu,198812,11.71,15.41
Okinawa,198812,7.27,11.65
Hokkaido,198811,9.66,14.52
Tohoku,198811,9.46,11.88
Tokyo,198811,9.04,12.57
Chubu,198811,10.25,13.5
Hokuriku,198811,7.29,8.92
Kansai,198811,8.7,12.46
Chugoku,198811,10.3,14.76
Shikoku,198811,8.78,13.6
Kyushu,198811,8.49,12.46
Okinawa,198811,-8.05,-3.39
Hokkaido,198810,9.26,14.29
Tohoku,198810,6.8,9.5
Tokyo,198810,3.4,7.22
Chubu,198810,1.04,4.33
Hokuriku,198810,4.5,5.98
Kansai,198810,0.04,4.05
Chugoku,198810,1.51,6.36
Shikoku,198810,7.37,12.5
Kyushu,198810,-0.57,3.52
Okinawa,198810,-10.73,-5.66
Hokkaido,198809,2.54,7.97
Tohoku,198809,1.78,4.72
Tokyo,198809,-4.66,-0.54
Chubu,198809,-4.93,-1.31
Hokuriku,198809,1.16,2.69
Kansai,198809,-5.45,-1.17
Chugoku,198809,-5.14,-0.27
Shikoku,198809,0.86,6.04
Kyushu,198809,-1.65,2.54
Okinawa,198809,1.57,6.18
Hokkaido,198808,12.77,17.56
Tohoku,198808,11.05,13.77
Tokyo,198808,13.04,16.56
Chubu,198808,11.89,15.16
Hokuriku,198808,7.72,9.37
Kansai,198808,10.01,13.66
Chugoku,198808,10,14.4
Shikoku,198808,7.6,12.54
Kyushu,198808,7.59,8.46
Okinawa,198808,-0.41,4.24
Hokkaido,198807,10.35,15.47
Tohoku,198807,10.56,13.17
Tokyo,198807,6.07,9.95
Chubu,198807,7.76,11.18
Hokuriku,198807,8.16,9.48
Kansai,198807,10.06,13.72
Chugoku,198807,13.54,17.52
Shikoku,198807,13.89,18.22
Kyushu,198807,16.57,19.86
Okinawa,198807,17.74,21.47
Hokkaido,198806,8.75,13.31
Tohoku,198806,6.79,9.06
Tokyo,198806,7.67,11.38
Chubu,198806,10.19,13.42
Hokuriku,198806,6.3,7.13
Kansai,198806,12.46,15.86
Chugoku,198806,10.27,14.01
Shikoku,198806,6.85,10.99
Kyushu,198806,9.98,13.41
Okinawa,198806,22.16,25.7
Hokkaido,198805,6.67,11.03
Tohoku,198805,4.59,6.69
Tokyo,198805,7.34,10.96
Chubu,198805,2.42,5.97
Hokuriku,198805,3.46,4.34
Kansai,198805,3.28,6.93
Chugoku,198805,4.87,9.16
Shikoku,198805,5.69,10.23
Kyushu,198805,5.77,9.19
Okinawa,198805,15.79,19.51
Hokkaido,198804,0.27,5.5
Tohoku,198804,5.83,8.28
Tokyo,198804,-2.42,1.56
Chubu,198804,-2.03,1.67
Hokuriku,198804,1.72,3.21
Kansai,198804,-3.21,0.58
Chugoku,198804,-2.85,1.58
Shikoku,198804,3.52,8.31
Kyushu,198804,1.81,5.55
Okinawa,198804,2.03,6.08
Hokkaido,198803,6.29,11.1
Tohoku,198803,6.05,8.74
Tokyo,198803,10.26,13.61
Chubu,198803,4.78,8.42
Hokuriku,198803,6.08,7.89
Kansai,198803,6.85,10.64
Chugoku,198803,6.88,10.91
Shikoku,198803,6.35,10.92
Kyushu,198803,6.11,9.57
Okinawa,198803,15.36,19.92
Hokkaido,198802,3.25,8.35
Tohoku,198802,6.8,9.32
Tokyo,198802,5.8,9.46
Chubu,198802,7.73,11.37
Hokuriku,198802,6.2,8.44
Kansai,198802,8,11.67
Chugoku,198802,7.09,11.14
Shikoku,198802,4.6,9.46
Kyushu,198802,5.12,8.54
Okinawa,198802,-0.19,4.35
Hokkaido,198801,6.75,12.22
Tohoku,198801,2.51,5.13
Tokyo,198801,0.28,4.33
Chubu,198801,1.08,5.08
Hokuriku,198801,3.06,5.22
Kansai,198801,1.09,5.21
Chugoku,198801,2.26,6.59
Shikoku,198801,7.52,12.62
Kyushu,198801,1.41,5.12
Okinawa,198801,6.3,9.86
Hokkaido,198712,15.91,20.73
Tohoku,198712,13.15,15.52
Tokyo,198712,13.44,16.81
Chubu,198712,13.2,16.62
Hokuriku,198712,9,10.95
Kansai,198712,11.09,14.7
Chugoku,198712,12.48,16.42
Shikoku,198712,11.13,16.07
Kyushu,198712,13.17,16.65
Okinawa,198712,2.27,7.28
Hokkaido,198711,7.96,13.15
Tohoku,198711,11.45,13.97
Tokyo,198711,3.55,7.4
Chubu,198711,4.18,8.02
Hokuriku,198711,5.1,7.15
Kansai,198711,4.54,8.48
Chugoku,198711,6.55,11
Shikoku,198711,9.67,14.66
Kyushu,198711,5.19,8.88
Okinawa,198711,-8.6,2.52
Hokkaido,198710,9.94,15.08
Tohoku,198710,3.25,6.16
Tokyo,198710,5.91,9.72
Chubu,198710,4.18,7.94
Hokuriku,198710,4.11,6.45
Kansai,198710,2.41,6.6
Chugoku,198710,3.94,8.92
Shikoku,198710,7.1,12.17
Kyushu,198710,3.29,7.04
Okinawa,198710,4.69,9.04
Hokkaido,198709,4.67,10.09
Tohoku,198709,5.67,8.49
Tokyo,198709,-2.81,1.4
Chubu,198709,-1.62,2.41
Hokuriku,198709,1.51,3.28
Kansai,198709,-4.8,-0.24
Chugoku,198709,-4.89,0.36
Shikoku,198709,-2.79,2.72
Kyushu,198709,-2.2,1.85
Okinawa,198709,1.44,6.1
Hokkaido,198708,8.97,13.93
Tohoku,198708,9.57,12.22
Tokyo,198708,2.56,6.49
Chubu,198708,3.43,7.28
Hokuriku,198708,5.71,7.21
Kansai,198708,3.35,7.29
Chugoku,198708,6.64,11.13
Shikoku,198708,11.04,15.54
Kyushu,198708,5.94,9.73
Okinawa,198708,6.3,10.6
Hokkaido,198707,12.84,17.43
Tohoku,198707,8.6,11.36
Tokyo,198707,17.33,20.53
Chubu,198707,12.63,15.97
Hokuriku,198707,10.77,12.08
Kansai,198707,15.4,18.93
Chugoku,198707,16.26,20.19
Shikoku,198707,14.75,18.56
Kyushu,198707,15.87,19.09
Okinawa,198707,17.89,21.66
Hokkaido,198706,8.6,13.25
Tohoku,198706,9.25,11.77
Tokyo,198706,9.54,13.3
Chubu,198706,9.85,12.99
Hokuriku,198706,6.23,6.88
Kansai,198706,12.66,16.34
Chugoku,198706,10.73,14.31
Shikoku,198706,7.95,12.31
Kyushu,198706,6.99,10.6
Okinawa,198706,9.8,13.9
Hokkaido,198705,5.94,10.22
Tohoku,198705,4.77,7.06
Tokyo,198705,2.34,6.33
Chubu,198705,3.06,6.47
Hokuriku,198705,3.67,4.31
Kansai,198705,3.51,7.45
Chugoku,198705,3.74,8.17
Shikoku,198705,10.14,14.58
Kyushu,198705,7.35,10.95
Okinawa,198705,19.55,23.38
Hokkaido,198704,2.49,7.78
Tohoku,198704,5.68,7.85
Tokyo,198704,-2.03,2.01
Chubu,198704,0.28,3.83
Hokuriku,198704,1.99,2.99
Kansai,198704,0.34,4.32
Chugoku,198704,-0.81,3.42
Shikoku,198704,2.47,7.82
Kyushu,198704,4.09,7.67
Okinawa,198704,7.01,10.78
Hokkaido,198703,7.44,12.69
Tohoku,198703,7.19,9.51
Tokyo,198703,13.05,16.52
Chubu,198703,7.27,10.86
Hokuriku,198703,7.37,8.8
Kansai,198703,9.18,12.81
Chugoku,198703,11.26,14.82
Shikoku,198703,8.48,13.52
Kyushu,198703,8.01,11.41
Okinawa,198703,14.51,18.26
Hokkaido,198702,-1.95,3.97
Tohoku,198702,3.17,5.66
Tokyo,198702,3.47,7.41
Chubu,198702,4.37,8.14
Hokuriku,198702,3.2,4.84
Kansai,198702,2.63,6.48
Chugoku,198702,3.6,7.67
Shikoku,198702,2.99,8.04
Kyushu,198702,1.27,5
Okinawa,198702,-3.74,1.31
Hokkaido,198701,10.33,15.56
Tohoku,198701,3.6,6.15
Tokyo,198701,1.05,5.1
Chubu,198701,1.18,5.13
Hokuriku,198701,1.67,3.76
Kansai,198701,1.29,5.35
Chugoku,198701,1.54,5.49
Shikoku,198701,4.81,10.07
Kyushu,198701,0.27,4.33
Okinawa,198701,6.18,10.31
Hokkaido,198612,14.85,19.73
Tohoku,198612,9.5,11.95
Tokyo,198612,11.03,14.5
Chubu,198612,12.83,16.46
Hokuriku,198612,10.73,12.69
Kansai,198612,12.08,15.9
Chugoku,198612,13.28,17.13
Shikoku,198612,12.39,17.61
Kyushu,198612,10.04,13.58
Okinawa,198612,9.06,13.14
Hokkaido,198611,7.25,12.15
Tohoku,198611,9.31,12.02
Tokyo,198611,5.69,9.45
Chubu,198611,4.9,8.66
Hokuriku,198611,6.22,7.97
Kansai,198611,4.61,8.58
Chugoku,198611,6.76,11.05
Shikoku,198611,9.54,15.08
Kyushu,198611,9.57,13.23
Okinawa,198611,-3.15,2.2
Hokkaido,198610,10.62,15.53
Tohoku,198610,4.9,7.91
Tokyo,198610,3.57,7.36
Chubu,198610,2.97,6.8
Hokuriku,198610,4.95,7.33
Kansai,198610,1.04,5.22
Chugoku,198610,3.08,7.53
Shikoku,198610,4.74,10.15
Kyushu,198610,-1.05,7.78
Okinawa,198610,-11.46,-4.01
Hokkaido,198609,3.2,8.73
Tohoku,198609,4.74,7.85
Tokyo,198609,-0.81,3.15
Chubu,198609,-1.45,2.46
Hokuriku,198609,-0.15,1.94
Kansai,198609,-2.77,1.61
Chugoku,198609,-3.07,1.41
Shikoku,198609,-1.14,4.27
Kyushu,198609,-5.8,-1.8
Okinawa,198609,3.67,9.56
Hokkaido,198608,12.17,17.05
Tohoku,198608,12.97,15.57
Tokyo,198608,5.8,9.56
Chubu,198608,5.8,9.61
Hokuriku,198608,7.51,9.26
Kansai,198608,3.54,7.58
Chugoku,198608,6.72,10.76
Shikoku,198608,10.32,15
Kyushu,198608,10.49,14.05
Okinawa,198608,1.33,7.41
Hokkaido,198607,11.36,16.18
Tohoku,198607,8.14,10.62
Tokyo,198607,13.31,16.72
Chubu,198607,12.71,16.07
Hokuriku,198607,9.98,11.08
Kansai,198607,16.65,19.96
Chugoku,198607,15.78,19.01
Shikoku,198607,13.89,18.06
Kyushu,198607,18.05,21.09
Okinawa,198607,16.43,21.5
Hokkaido,198606,7.21,11.97
Tohoku,198606,10.41,12.49
Tokyo,198606,9.39,13.13
Chubu,198606,8.06,11.54
Hokuriku,198606,4.86,5.81
Kansai,198606,10.24,13.96
Chugoku,198606,9.04,12.57
Shikoku,198606,10.81,15.22
Kyushu,198606,10.48,13.99
Okinawa,198606,16.25,21.36
Hokkaido,198605,8.07,12.43
Tohoku,198605,5.09,7.05
Tokyo,198605,1.55,5.58
Chubu,198605,2.48,5.89
Hokuriku,198605,6.83,7.45
Kansai,198605,3.12,6.98
Chugoku,198605,3.84,7.5
Shikoku,198605,8.45,12.65
Kyushu,198605,6.45,10.11
Okinawa,198605,16.46,22.21
Hokkaido,198604,-0.31,5.35
Tohoku,198604,5.85,7.91
Tokyo,198604,0.29,4.22
Chubu,198604,3.09,6.57
Hokuriku,198604,3.19,4.3
Kansai,198604,2.06,5.89
Chugoku,198604,-0.12,3.63
Shikoku,198604,2.69,7.26
Kyushu,198604,2.63,6.3
Okinawa,198604,10.24,16.45
Hokkaido,198603,8.31,13.71
Tohoku,198603,8.08,10.64
Tokyo,198603,12.26,15.8
Chubu,198603,5.66,9.24
Hokuriku,198603,6.11,8.44
Kansai,198603,7.73,11.68
Chugoku,198603,8.17,11.59
Shikoku,198603,9.57,13.9
Kyushu,198603,4.58,8.32
Okinawa,198603,9.53,16.1
Hokkaido,198602,-1.08,4.61
Tohoku,198602,3.06,5.8
Tokyo,198602,4,7.88
Chubu,198602,2.69,6.48
Hokuriku,198602,2.96,5.57
Kansai,198602,1.13,5.32
Chugoku,198602,1.16,4.84
Shikoku,198602,4,9.01
Kyushu,198602,0.29,4.24
Okinawa,198602,1.49,5.76
Hokkaido,198601,8.75,14.11
Tohoku,198601,3.13,5.86
Tokyo,198601,1.46,5.4
Chubu,198601,1.56,5.44
Hokuriku,198601,1.5,3.87
Kansai,198601,2.89,7.07
Chugoku,198601,4.61,8.34
Shikoku,198601,5.32,10.35
Kyushu,198601,1.6,5.6
Okinawa,198601,6.44,13
Hokkaido,198512,15.57,20.14
Tohoku,198512,15.23,17.54
Tokyo,198512,10.77,14.25
Chubu,198512,12.56,15.84
Hokuriku,198512,10.35,12.26
Kansai,198512,12.14,15.94
Chugoku,198512,13.76,17.2
Shikoku,198512,12.62,17.48
Kyushu,198512,14.35,17.72
Okinawa,198512,5.63,12.51
Hokkaido,198511,7.34,12.57
Tohoku,198511,76.2,10.24
Tokyo,198511,3.3,7.19
Chubu,198511,5.9,9.49
Hokuriku,198511,6.89,8.95
Kansai,198511,4.63,8.75
Chugoku,198511,6.63,10.57
Shikoku,198511,6.84,11.62
Kyushu,198511,7.22,10.85
Okinawa,198511,-13.39,-5.19
Hokkaido,198510,9.67,14.78
Tohoku,198510,7.42,10.26
Tokyo,198510,3.53,7.31
Chubu,198510,4.72,8.31
Hokuriku,198510,4.67,6.54
Kansai,198510,2.22,6.13
Chugoku,198510,0.51,4.71
Shikoku,198510,4.48,9.45
Kyushu,198510,-6.11,-1.76
Okinawa,198510,0.84,7.77
Hokkaido,198509,1.64,7.1
Tohoku,198509,-3.23,0.08
Tokyo,198509,-3.31,0.73
Chubu,198509,-4.1,0.05
Hokuriku,198509,-0.35,1.83
Kansai,198509,-6.62,2.1
Chugoku,198509,-3.26,0.91
Shikoku,198509,1.22,6.32
Kyushu,198509,-0.58,3.54
Okinawa,198509,4.5,11.02
Hokkaido,198508,12.38,17.23
Tohoku,198508,8.61,11.66
Tokyo,198508,4.28,8.04
Chubu,198508,4.3,8.04
Hokuriku,198508,9.48,11.36
Kansai,198508,4.35,8.42
Chugoku,198508,7.29,11.13
Shikoku,198508,6.98,11.67
Kyushu,198508,9.53,13.05
Okinawa,198508,4.5,10.95
Hokkaido,198507,13.58,18.64
Tohoku,198507,16.7,19.18
Tokyo,198507,18.49,21.61
Chubu,198507,16.5,19.59
Hokuriku,198507,10.8,12
Kansai,198507,19.88,22.97
Chugoku,198507,18.54,21.65
Shikoku,198507,14.09,17.93
Kyushu,198507,20.54,23.52
Okinawa,198507,12.65,18.48
Hokkaido,198506,7.07,12.36
Tohoku,198506,10.23,12.92
Tokyo,198506,8.61,12.25
Chubu,198506,6.93,10.26
Hokuriku,198506,5.21,6.82
Kansai,198506,8.87,12.67
Chugoku,198506,6.84,10.63
Shikoku,198506,7.11,11.77
Kyushu,198506,12.11,15.38
Okinawa,198506,10.4,16.58
Hokkaido,198505,8.03,12.64
Tohoku,198505,3.13,5.5
Tokyo,198505,0.15,3.99
Chubu,198505,1.83,5.27
Hokuriku,198505,5.4,6.67
Kansai,198505,2.12,6.29
Chugoku,198505,4.71,8.73
Shikoku,198505,7.01,11.61
Kyushu,198505,4.07,7.8
Okinawa,198505,22.96,28.22
Hokkaido,198504,1.89,7.09
Tohoku,198504,5.87,8.26
Tokyo,198504,-0.11,3.6
Chubu,198504,2.82,6.12
Hokuriku,198504,3.29,4.45
Kansai,198504,2.81,6.73
Chugoku,198504,2.17,5.95
Shikoku,198504,5.43,10.1
Kyushu,198504,0.49,4.94
Okinawa,198504,4.53,11.25
Hokkaido,198503,8.15,12.74
Tohoku,198503,8.63,11.36
Tokyo,198503,12.86,16.27
Chubu,198503,5.82,9.3
Hokuriku,198503,7.06,8.53
Kansai,198503,7.54,11.27
Chugoku,198503,7.23,10.76
Shikoku,198503,9.2,13.66
Kyushu,198503,6.51,10.06
Okinawa,198503,11.94,18.33
Hokkaido,198502,-4.16,1.18
Tohoku,198502,0.84,3.98
Tokyo,198502,3.39,7.24
Chubu,198502,3.7,7.48
Hokuriku,198502,2.34,4.34
Kansai,198502,1.16,5.49
Chugoku,198502,0.48,4.21
Shikoku,198502,2.66,8.13
Kyushu,198502,-0.92,3.06
Okinawa,198502,-1.65,5.71
Hokkaido,198501,12.27,16.79
Tohoku,198501,4.06,7.28
Tokyo,198501,1.36,5.29
Chubu,198501,1.68,5.54
Hokuriku,198501,2.5,4.41
Kansai,198501,4.78,8.93
Chugoku,198501,5.58,9.3
Shikoku,198501,7.7,12.56
Kyushu,198501,4.14,8.05
Okinawa,198501,6.86,13.37
Hokkaido,198412,14.21,18.65
Tohoku,198412,14.04,16.9
Tokyo,198412,8.92,12.38
Chubu,198412,10.62,14.02
Hokuriku,198412,10.19,11.63
Kansai,198412,9.17,13.16
Chugoku,198412,12.61,16.22
Shikoku,198412,13.32,18.05
Kyushu,198412,14.55,17.83
Okinawa,198412,2.14,9.2
Hokkaido,198411,9.15,14.01
Tohoku,198411,9.32,12.65
Tokyo,198411,5.98,9.46
Chubu,198411,6.43,9.98
Hokuriku,198411,5.67,7.15
Kansai,198411,4.7,9.09
Chugoku,198411,6,9.81
Shikoku,198411,6.98,12.2
Kyushu,198411,6.11,9.85
Okinawa,198411,-2.17,5.05
Hokkaido,198410,8.94,13.49
Tohoku,198410,8.38,11.8
Tokyo,198410,2.99,6.59
Chubu,198410,7.26,10.73
Hokuriku,198410,5.47,7.06
Kansai,198410,5.71,9.98
Chugoku,198410,4.63,8.32
Shikoku,198410,7.27,11.99
Kyushu,198410,-0.39,3.74
Okinawa,198410,-8.55,-0.93
Hokkaido,198409,3.86,9.18
Tohoku,198409,-4.01,-0.39
Tokyo,198409,-3.39,0.41
Chubu,198409,-7.5,-3.35
Hokuriku,198409,0.53,2.12
Kansai,198409,-12.04,-7.27
Chugoku,198409,-8.62,-4.33
Shikoku,198409,-9.6,4.17
Kyushu,198409,-4.42,-0.46
Okinawa,198409,3.96,10.48
Hokkaido,198408,9.65,14.28
Tohoku,198408,9.07,12.49
Tokyo,198408,7.49,10.82
Chubu,198408,7.72,11.3
Hokuriku,198408,7.09,8.96
Kansai,198408,7.42,11.36
Chugoku,198408,7.48,11.41
Shikoku,198408,9.19,13.96
Kyushu,198408,8.56,12.18
Okinawa,198408,3.52,9.95
Hokkaido,198407,13.13,17.28
Tohoku,198407,14.04,16.86
Tokyo,198407,14.62,17.71
Chubu,198407,12.49,15.86
Hokuriku,198407,9.2,10.55
Kansai,198407,14.69,18.28
Chugoku,198407,17.24,20.71
Shikoku,198407,13.01,17.31
Kyushu,198407,17.27,20.59
Okinawa,198407,12.12,17.9
Hokkaido,198406,8.39,12.6
Tohoku,198406,8.98,11.65
Tokyo,198406,8.28,11.59
Chubu,198406,7.15,10.62
Hokuriku,198406,5.92,6.97
Kansai,198406,9.82,13.51
Chugoku,198406,7.5,11.39
Shikoku,198406,8.24,12.75
Kyushu,198406,13.68,16.9
Okinawa,198406,20.33,25.68
Hokkaido,198405,8.27,12.36
Tohoku,198405,4.68,7.58
Tokyo,198405,3.74,7.13
Chubu,198405,4.15,7.6
Hokuriku,198405,5.69,6.95
Kansai,198405,4.5,8.53
Chugoku,198405,5.23,9.05
Shikoku,198405,5.32,10.38
Kyushu,198405,4.77,8.54
Okinawa,198405,16.02,21.96
Hokkaido,198404,0.71,5.53
Tohoku,198404,2.57,5.59
Tokyo,198404,-3.06,0.55
Chubu,198404,-1.09,2.39
Hokuriku,198404,2.8,4.46
Kansai,198404,-0.88,3.33
Chugoku,198404,-0.89,3.06
Shikoku,198404,2.75,7.59
Kyushu,198404,-0.6,3.64
Okinawa,198404,4.99,11.85
Hokkaido,198403,6.69,11.79
Tohoku,198403,9.8,12.95
Tokyo,198403,11.1,14.34
Chubu,198403,6.33,10.11
Hokuriku,198403,5.5,8.14
Kansai,198403,4.95,9
Chugoku,198403,6.76,10.5
Shikoku,198403,6.31,11.26
Kyushu,198403,6.09,9.86
Okinawa,198403,11.36,17.45
Hokkaido,198402,2.97,7.86
Tohoku,198402,6.64,9.8
Tokyo,198402,5.09,8.46
Chubu,198402,5.49,9.23
Hokuriku,198402,4.32,7
Kansai,198402,2.26,6.32
Chugoku,198402,3.17,7.01
Shikoku,198402,3.08,8.04
Kyushu,198402,1.65,5.35
Okinawa,198402,0.4,7.45
Hokkaido,198401,9.96,14.42
Tohoku,198401,2.14,5.31
Tokyo,198401,2.01,5.54
Chubu,198401,1.56,5.35
Hokuriku,198401,3.07,5.31
Kansai,198401,6.87,10.84
Chugoku,198401,6.66,10.22
Shikoku,198401,6.9,12.05
Kyushu,198401,4.1,7.96
Okinawa,198401,5.62,11.97
Hokkaido,198312,13.96,18.39
Tohoku,198312,13.27,16.05
Tokyo,198312,11.47,14.62
Chubu,198312,12.01,15.27
Hokuriku,198312,10.25,12.15
Kansai,198312,9.13,13.07
Chugoku,198312,11.15,14.56
Shikoku,198312,12.47,17.08
Kyushu,198312,12.73,16.37
Okinawa,198312,6.17,12.99
Hokkaido,198311,8.29,13
Tohoku,198311,8.71,11.79
Tokyo,198311,7.56,10.94
Chubu,198311,9.43,12.75
Hokuriku,198311,6.19,8.13
Kansai,198311,8.64,12.55
Chugoku,198311,7.73,11.3
Shikoku,198311,9.1,13.92
Kyushu,198311,7.82,11.94
Okinawa,198311,-13.72,-5.44
Hokkaido,198310,11.35,15.67
Tohoku,198310,6.36,9.35
Tokyo,198310,1.19,4.72
Chubu,198310,2.28,5.65
Hokuriku,198310,5.77,7.14
Kansai,198310,0.5,4.53
Chugoku,198310,2.62,6.5
Shikoku,198310,6.17,10.98
Kyushu,198310,-3.25,1.27
Okinawa,198310,-2.67,4.42
Hokkaido,198309,2.84,7.95
Tohoku,198309,-2.68,0.49
Tokyo,198309,-3.7,-0.04
Chubu,198309,-5.32,-1.42
Hokuriku,198309,1.65,3.34
Kansai,198309,-7.9,-3.46
Chugoku,198309,-5.4,-1.03
Shikoku,198309,-1.21,4.3
Kyushu,198309,-3.07,1.13
Okinawa,198309,1.75,8.44
Hokkaido,198308,13.52,17.94
Tohoku,198308,12.98,15.77
Tokyo,198308,10.83,14
Chubu,198308,9.99,13.18
Hokuriku,198308,9.48,10.98
Kansai,198308,10.37,13.86
Chugoku,198308,12.05,15.47
Shikoku,198308,10.11,14.83
Kyushu,198308,10.58,14.19
Okinawa,198308,5.54,11.86
Hokkaido,198307,11.34,15.51
Tohoku,198307,9.67,12.34
Tokyo,198307,11.46,14.64
Chubu,198307,10.96,14.14
Hokuriku,198307,9.13,10.68
Kansai,198307,14.06,17.37
Chugoku,198307,13.29,16.48
Shikoku,198307,15.16,19.31
Kyushu,198307,17.82,20.85
Okinawa,198307,15.46,21.06
Hokkaido,198306,8.56,13.12
Tohoku,198306,9.66,12.33
Tokyo,198306,8.89,12.11
Chubu,198306,7.39,10.83
Hokuriku,198306,5.49,6.83
Kansai,198306,7.93,11.44
Chugoku,198306,6.43,9.74
Shikoku,198306,8.57,12.51
Kyushu,198306,11.79,15.23
Okinawa,198306,16.1,21.78
Hokkaido,198305,9.7,13.94
Tohoku,198305,5.57,8.01
Tokyo,198305,4.29,7.56
Chubu,198305,4.8,8.21
Hokuriku,198305,5.59,6.07
Kansai,198305,6.62,10.03
Chugoku,198305,7.89,11.12
Shikoku,198305,7.38,11.8
Kyushu,198305,5.4,8.64
Okinawa,198305,13.81,19.84
Hokkaido,198304,0.88,5.69
Tohoku,198304,2.51,4.86
Tokyo,198304,-1.15,2.27
Chubu,198304,-2.04,1.64
Hokuriku,198304,2.86,3.47
Kansai,198304,-1.62,2.16
Chugoku,198304,1.85,1.75
Shikoku,198304,2.69,6.75
Kyushu,198304,-2.8,0.61
Okinawa,198304,10.9,16.96
Hokkaido,198303,9.33,14.19
Tohoku,198303,7.89,10.68
Tokyo,198303,10.58,13.82
Chubu,198303,7.38,10.77
Hokuriku,198303,7.68,9.57
Kansai,198303,8.64,12.3
Chugoku,198303,8.79,11.91
Shikoku,198303,7.84,11.57
Kyushu,198303,8.14,11.64
Okinawa,198303,12.21,18.48
Hokkaido,198302,0.91,6.15
Tohoku,198302,5.36,8.09
Tokyo,198302,2.13,5.7
Chubu,198302,3.32,6.97
Hokuriku,198302,3.45,5.73
Kansai,198302,0.36,4.49
Chugoku,198302,2.38,5.8
Shikoku,198302,3.43,7.56
Kyushu,198302,2.27,6.27
Okinawa,198302,-0.16,7.18
Hokkaido,198301,10.74,15.37
Tohoku,198301,2.68,5.43
Tokyo,198301,0.37,3.89
Chubu,198301,2.83,6.6
Hokuriku,198301,3.23,5.34
Kansai,198301,5.88,9.66
Chugoku,198301,5.39,8.95
Shikoku,198301,6.93,10.87
Kyushu,198301,2.81,6.47
Okinawa,198301,5.86,12.45
Hokkaido,198212,13.6,17.89
Tohoku,198212,12.27,14.52
Tokyo,198212,13.62,16.7
Chubu,198212,11.45,14.7
Hokuriku,198212,10.32,12.19
Kansai,198212,9.12,12.87
Chugoku,198212,11.1,14.77
