Company,Year_term,Number of sites_Electric power company's own_Hydroelectric,Number of sites_Electric power company's own_Thermal power,Number of sites_Electric power company's own_Nuclear power,Number of sites_Electric power company's own_Renewable energy,Number of sites_Electric power company's own_Total,Number of sites_Privately-owned_Hydroelectric,Number of sites_Privately-owned_Thermal power,Number of sites_Privately-owned_Nuclear power,Number of sites_Privately-owned_Renewable energy,Number of sites_Privately-owned_Other power sources,Number of sites_Privately-owned_Total,Number of sites_Total of EPCo and Privately-owned_Hydroelectric,Number of sites_Total of EPCo and Privately-owned_Thermal power,Number of sites_Total of EPCo and Privately-owned_Nuclear power,Number of sites_Total of EPCo and Privately-owned_Renewable energy,Number of sites_Total of EPCo and Privately-owned_Other power sources,Number of sites_Total of EPCo and Privately-owned_Total,Capacity in total_Electric power company's own_Hydroelectric (MW),Capacity in total_Electric power company's own_Thermal power (MW),Capacity in total_Electric power company's own_Nuclear power (MW),Capacity in total_Electric power company's own_Renewable energy (MW),Capacity in total_Electric power company's own_Total (MW),Capacity in total_Privately-owned_Hydroelectric (MW),Capacity in total_Privately-owned_Thermal power (MW),Capacity in total_Privately-owned_Nuclear power (MW),Capacity in total_Privately-owned_Renewable energy (MW),Capacity in total_Privately-owned_Other power sources (MW),Capacity in total_Privately-owned_Total (MW),Capacity in total_Total of EPCos and Privately-owned_Hydroelectric (MW),Capacity in total_Total of EPCos and Privately-owned_Thermal power (MW),Capacity in total_Total of EPCos and Privately-owned_Nuclear power (MW),Capacity in total_Total of EPCos and Privately-owned_Renewable energy (MW),Capacity in total_Total of EPCos and Privately-owned_Other power sources (MW),Capacity in total_Total of EPCos and Privately-owned_Total (MW)
Hokkaido,2015,66,13,1,,82,31,122,,,,316,97,135,1,,,398,1863,4482,2070,,8441,211,2008,,,,2864,2074,6490,2070,,,11304
Tohoku,2015,225,14,2,,250,109,227,,,,609,334,241,2,,,859,6514,12136,3274,,22168,1333,5146,,,,7692,7847,17282,3274,,,29860
Tokyo,2015,165,33,3,,207,106,721,,,,1388,271,754,3,,,1595,10534,45967,13712,,70264,1047,15846,,,,18258,11580,61812,13712,,,88522
Chubu,2015,211,10,1,,226,41,350,,,,703,252,360,1,,,929,7613,24015,3617,,35284,424,4160,,,,5464,8037,28175,3617,,,40748
Hokuriku,2015,134,6,2,,148,31,44,,,,161,165,50,2,,,309,2445,4400,2906,,9758,225,360,,,,847,2669,4760,2906,,,10605
Kansai,2015,158,18,3,,182,2,385,,,,573,160,403,3,,,755,8836,21048,8928,,38824,13,6687,,,,7326,8849,27735,8928,,,46150
Chugoku,2015,99,13,1,,115,35,202,,,,571,134,215,1,,,686,2909,9101,820,,12836,180,6812,,,,7913,3089,15912,820,,,20749
Shikoku,2015,63,6,1,,71,24,79,,,,330,87,85,1,,,401,1334,6067,2022,,9425,274,1745,,,,2595,1608,7811,2022,,,12019
Kyushu,2015,146,48,2,,213,60,235,,,,917,206,283,2,,,1130,3739,13359,4699,,22018,512,4959,,,,7271,4250,18319,4699,,,29289
Okinawa,2015,,24,,,29,2,20,,,,40,2,44,,,,69,,2465,,,2467,31,43,,,,121,31,2508,,,,2588
Hokkaido,2014,66,13,1,,80,30,122,,,,288,96,135,1,,,370,1657,4482,2070,,8235,182,2038,,,,2753,1840,6520,2070,,,10988
Tohoku,2014,228,13,2,,249,106,240,,,,598,334,253,2,,,849,6526,11865,3274,,21908,1276,7414,,,,9876,7801,19279,3274,,,31784
Tokyo,2014,165,33,3,,208,105,723,,,,1163,270,756,3,,,1368,10532,45242,13712,,69519,1045,15282,,,,17602,11576,60525,13712,,,87122
Chubu,2014,204,11,1,,215,46,354,,,,631,250,365,1,,,851,7437,25082,3617,,36174,458,4287,,,,5426,7895,29369,3617,,,41600
Hokuriku,2014,133,6,2,,147,30,42,,,,129,163,48,2,,,276,2438,4400,3263,,10109,223,339,,,,776,2661,4739,3263,,,10884
Kansai,2014,157,18,3,,180,3,384,,,,535,160,402,3,,,716,8833,21081,9768,,39693,13,6716,,,,7212,8846,27798,9768,,,46905
Chugoku,2014,98,13,1,,72,36,202,,,,451,134,215,1,,,565,2909,9101,1280,,13295,182,6808,,,,7632,3091,15909,1280,,,20928
Shikoku,2014,63,6,1,,209,24,80,,,,247,87,86,1,,,318,1334,6417,2022,,9775,272,1780,,,,2423,1606,8197,2022,,,12198
Kyushu,2014,146,49,2,,26,60,227,,,,717,206,276,2,,,926,3739,13659,5258,,22871,511,4872,,,,6714,4250,18531,5258,,,29584
Okinawa,2014,,24,,,1507,2,19,,,,38,2,43,,,,64,,2447,0,,2448,31,42,,,,119,31,2489,,,,2567
Hokkaido,2013,64,13,1,,80,31,128,,,,263,95,141,1,,,343,1455,4482,2070,,8033,180,2051,,,,2632,1636,6532,2070,,,10665
Tohoku,2013,226,13,2,,249,106,238,,,,507,332,251,2,,,756,6511,11833,3274,,21912,1285,7409,,,,9617,7796,19242,3274,,,31529
Tokyo,2013,165,36,3,,208,106,747,,,,1010,271,783,3,,,1218,10131,44711,13712,,68587,1046,15372,,,,16860,11177,60082,13712,,,85447
Chubu,2013,200,11,1,,215,49,381,,,,568,249,392,1,,,783,7349,24506,3617,,35502,514,4394,,,,5300,7863,28901,3617,,,40803
Hokuriku,2013,132,6,2,,147,30,41,,,,101,162,47,2,,,248,2437,4400,3263,,10110,223,334,,,,732,2660,4735,3263,,,10841
Kansai,2013,157,18,3,,180,3,396,,,,484,160,414,3,,,664,8819,19622,9768,,38219,13,6609,,,,6907,8832,26231,9768,,,45126
Chugoku,2013,98,13,1,,113,36,210,,,,369,134,223,1,,,482,2906,9101,1280,,13290,182,6797,,,,7453,3088,15897,1280,,,20742
Shikoku,2013,64,6,1,,73,24,79,,,,176,88,85,1,,,249,1330,6417,2022,,9772,272,1766,,,,2272,1603,8183,2022,,,12043
Kyushu,2013,146,47,2,,204,59,231,,,,454,205,278,2,,,658,3738,14084,5258,,23297,509,4581,,,,5837,4247,18664,5258,,,29134
Okinawa,2013,,23,,,24,2,20,,,,31,2,43,,,,55,,2746,,,2747,31,44,,,,93,31,2790,,,,2840
Hokkaido,2012,64,13,1,,80,31,129,,,,206,95,142,1,,,286,1455,4482,2070,,8033,195,1914,,,,2408,1650,6396,2070,,,10441
Tohoku,2012,226,13,2,,249,107,237,,,,408,333,250,2,,,657,6505,11833,3274,,21906,1296,7374,,,,9404,7801,19207,3274,,,31309
Tokyo,2012,165,32,4,,206,104,769,,,,934,269,801,4,,,1140,10128,43216,15596,,68974,1043,15240,,,,16535,11171,58456,15596,,,85510
Chubu,2012,198,12,1,,214,51,397,,,,479,249,409,1,,,693,7342,25159,3617,,36149,518,4375,,,,5106,7859,29534,3617,,,41255
Hokuriku,2012,132,6,2,,147,30,42,,,,82,162,48,2,,,229,2430,4400,3263,,10102,223,337,,,,700,2653,4737,3263,,,10803
Kansai,2012,157,17,3,,178,3,385,,,,435,160,402,3,,,613,8819,18608,9768,,37205,13,6641,,,,6834,8832,25249,9768,,,44039
Chugoku,2012,97,13,1,,112,36,215,,,,279,133,228,1,,,391,2906,9101,1280,,13289,182,6805,,,,7275,3088,15905,1280,,,20564
Shikoku,2012,64,6,1,,73,24,80,,,,130,88,86,1,,,203,1330,6417,2022,,9771,272,1766,,,,2183,1602,8183,2022,,,11954
Kyushu,2012,145,47,2,,202,59,237,,,,360,204,284,2,,,562,3737,14084,5258,,23295,509,4608,,,,5563,4247,18691,5258,,,28858
Okinawa,2012,,23,,,24,2,23,,,,33,2,46,,,,57,,1495,,,2495,31,51,,,,98,31,2545,,,,2593
Hokkaido,2011,63,12,1,2,78,31,134,,35,,200,94,146,1,37,,278,1453,4334,2070,51,7908,195,1908,,274,,2377,1648,6242,2070,325,,10285
Tohoku,2011,227,13,2,7,249,106,232,,55,,393,333,245,2,62,,642,6515,10887,3274,292,20967,1283,7338,,711,,9331,7798,18225,3274,1002,,30298
Tokyo,2011,164,31,4,6,205,104,749,,34,,887,268,780,4,40,,1092,9657,41657,18408,35,69757,1042,15360,,190,,16594,10699,57017,18408,226,,86351
Chubu,2011,198,11,1,3,213,50,395,,28,,473,248,406,1,31,,686,7334,23969,3617,31,34951,500,4371,,191,,5061,7834,28341,3617,221,,40012
Hokuriku,2011,131,6,2,5,144,31,45,,10,,86,162,51,2,15,,230,2429,4400,3263,7,10099,224,346,,140,,710,2653,4746,3263,148,,10810
Kansai,2011,156,17,3,1,177,3,380,,23,,406,159,397,3,24,,583,8808,18543,9768,10,37129,13,6585,,127,,6725,8822,25128,9768,137,,43855
Chugoku,2011,97,13,1,1,112,36,218,,18,,272,133,231,1,19,,384,2906,9101,1280,3,13289,182,6808,,274,,7264,3087,15909,1280,277,,20553
Shikoku,2011,64,6,1,2,73,24,85,,13,,122,88,91,1,15,,195,1330,6417,2022,2,9771,272,1797,,124,,2194,1602,8214,2022,126,,11965
Kyushu,2011,144,48,2,8,202,59,232,,34,,325,203,280,2,42,,527,3737,14580,5258,216,23791,508,4606,,346,,5460,4245,19186,5258,562,,29251
Okinawa,2011,,22,,1,23,2,25,,8,,35,2,47,,9,,58,,2245,,a,2245,31,57,,16,,105,31,2302,,17,,2350
Hokkaido,2010,63,12,1,1,77,31,139,,34,,204,94,151,1,35,,281,1450,4334,2070,50,7903,195,1914,,250,,2360,1645,6248,2070,300,,10263
Tohoku,2010,226,14,2,6,248,106,231,,46,,383,332,245,2,52,,631,6504,11288,3274,290,21355,1284,5359,,672,,7316,7788,16647,3274,962,,28671
Tokyo,2010,163,31,4,3,201,103,736,,33,,872,266,767,4,36,,1073,9656,40204,18408,5,68274,1041,15338,,188,,16568,10697,55542,18408,194,,84842
Chubu,2010,198,12,1,2,213,54,379,,23,,456,252,391,1,25,,669,7335,23973,3617,23,34948,516,4344,,191,,5050,7851,28317,3617,214,,39998
Hokuriku,2010,130,6,2,4,142,30,47,,10,,87,160,53,2,14,,229,2428,4400,3263,6,10098,223,350,,140,,714,2651,4751,3263,147,,10812
Kansai,2010,155,17,3,1,176,3,397,,14,,414,158,414,3,15,,590,8807,18543,9768,6,37124,13,6716,,115,,6844,8820,25259,9768,121,,43968
Chugoku,2010,97,13,1,,111,35,223,,18,,276,132,236,1,18,,387,2906,9101,1280,,13286,181,6813,,274,,7268,3086,15914,1280,274,,20554
Shikoku,2010,64,6,1,2,73,24,88,,13,,125,88,94,1,15,,198,1330,6417,2022,2,9771,272,1805,,124,,2201,1602,8221,2022,126,,11972
Kyushu,2010,142,48,2,8,200,58,234,,30,,322,200,282,2,38,,522,3434,14580,5258,216,23488,505,4612,,290,,5407,3939,19192,5258,506,,28895
Okinawa,2010,,22,,1,23,2,27,,9,,38,2,49,,10,,61,,2231,,a,2231,31,60,,17,,108,31,2291,,18,,2340
Hokkaido,2009,74,13,1,1,89,20,142,,33,,195,94,155,1,34,,284,1527,4584,2070,50,8230,116,1671,,248,,2036,1643,6255,2070,298,,10266
Tohoku,2009,286,17,2,5,310,58,254,,46,,358,344,271,2,51,,668,6983,14957,3274,239,25452,787,3086,,622,,4494,7770,18042,3274,861,,29947
Tokyo,2009,215,34,4,3,256,75,744,,31,,850,290,778,4,34,,1106,9859,41215,18408,5,69488,939,13072,,140,,14151,10797,54287,18408,146,,83639
Chubu,2009,220,12,1,1,234,30,413,,21,1,465,250,425,1,22,1,699,7532,23907,3504,6,34949,309,4490,,153,1,4952,7840,28396,3504,159,1,39901
Hokuriku,2009,144,6,2,,152,21,52,,10,,83,165,58,2,10,,235,2550,4400,3263,,10213,167,372,,88,,627,2717,4773,3263,88,,10840
Kansai,2009,156,18,3,,177,2,401,,10,1,414,158,419,3,10,1,591,8818,18299,9768,,36885,2,6211,,80,a,6293,8820,24510,9768,80,a,43178
Chugoku,2009,97,15,1,,113,34,233,,18,,285,131,248,1,18,,398,2905,10558,1280,,14743,179,5495,,274,,5948,3084,16052,1280,274,,20691
Shikoku,2009,88,9,1,2,100,,87,,12,,99,88,96,1,14,,199,1602,6548,2022,a,10172,,1334,,123,,1458,1602,7882,2022,123,,11630
Kyushu,2009,174,50,2,7,233,31,242,,30,,303,205,292,2,37,,536,3446,15871,5258,211,24785,216,3376,,290,,3882,3661,19247,5258,500,,28667
Okinawa,2009,,22,,,22,2,27,,9,,38,2,49,,9,,60,,2236,,,2236,31,56,,17,,104,31,2292,,17,,2340
Hokkaido,2008,74,13,1,1,89,20,149,,33,,202,94,162,1,34,,291,1526,4584,1158,50,7317,116,1690,,245,,2051,1642,6273,1158,295,,9368
Tohoku,2008,287,16,2,5,310,58,259,,41,,358,345,275,2,46,,668,6991,15205,3274,236,25706,787,2841,,600,,4229,7778,18046,3274,836,,29935
Tokyo,2008,270,35,4,2,311,26,755,,29,,810,296,790,4,31,,1121,10585,40134,18408,4,69131,189,13221,,128,,13539,10773,53356,18408,132,,82670
Chubu,2008,220,12,1,,233,30,432,,18,1,481,250,444,1,18,1,714,7532,23907,3504,,34943,309,4600,,107,1,5016,7840,28507,3504,107,1,39958
Hokuriku,2008,159,6,2,,167,7,55,,10,,72,166,61,2,10,,239,2682,4400,3263,,10345,35,385,,68,,488,2717,4786,3263,68,,10833
Kansai,2008,156,17,3,,176,2,411,,8,1,422,158,428,3,8,1,598,8817,16743,9768,,35327,2,6211,,65,a,6279,8819,22954,9768,65,a,41606
Chugoku,2008,140,15,1,,156,5,246,,17,,268,145,261,1,17,,424,3075,10398,1280,,14752,14,5483,,196,,5693,3089,15881,1280,196,,20446
Shikoku,2008,88,9,1,2,100,,95,,11,,106,88,104,1,13,,206,1601,6548,2022,a,10172,,1385,,105,,1490,1601,7933,2022,105,,11662
Kyushu,2008,174,49,2,7,232,29,253,,26,,308,203,302,2,33,,540,3444,15868,5258,211,24781,215,3427,,270,,3912,3659,19296,5258,481,,28693
Okinawa,2008,,22,,,22,2,28,,8,,38,2,50,,8,,60,,2237,,,2237,31,57,,15,,104,31,2294,,15,,2340
Hokkaido,2007,74,13,1,1,89,20,145,,34,,199,94,158,1,35,,288,1526,4584,1158,50,7317,116,1686,,246,,2048,1642,6269,1158,296,,9366
Tohoku,2007,289,16,2,5,312,57,279,,41,,377,346,295,2,46,,689,6992,15208,3274,236,25711,781,2874,,550,,4205,7773,18083,3274,786,,29916
Tokyo,2007,275,33,4,2,314,21,779,,25,,825,296,812,4,27,,1139,10611,39271,18408,4,68294,161,12668,,102,,12931,10772,51939,18408,105,,81225
Chubu,2007,220,12,1,,233,29,465,,18,2,514,249,477,1,18,2,747,7530,22373,4884,,34787,306,4597,,106,2,5011,7837,26969,4884,106,2,39797
Hokuriku,2007,159,6,2,,167,7,66,,10,,83,166,72,2,10,,250,2682,4400,3415,,10497,35,439,,68,,542,2717,4840,3415,68,,11039
Kansai,2007,156,17,3,,176,2,441,,7,2,452,158,458,3,7,2,628,8816,17243,9768,,35827,2,6285,,49,a,6337,8818,23528,9768,49,a,42164
Chugoku,2007,140,15,1,,156,5,266,,15,,286,145,281,1,15,,442,3075,10398,1280,,14752,14,5289,,136,,5439,3089,15686,1280,136,,20191
Shikoku,2007,88,9,1,2,100,,106,,8,,114,88,115,1,10,,214,1601,6554,2022,a,10178,,1388,,78,,1466,1601,7942,2022,78,,11644
Kyushu,2007,173,50,2,7,232,29,276,,25,,330,202,326,2,32,,562,3144,15860,5258,211,24472,215,3475,,219,,3909,3358,19335,5258,429,,28381
Okinawa,2007,,22,,,22,2,33,,7,,42,2,55,,7,,64,,2237,,,2237,31,66,,14,,110,31,2303,,14,,2348
Hokkaido,2006,74,13,1,1,89,20,155,,31,,206,94,168,1,32,,295,1526,4584,1158,50,7317,116,1711,,230,,2057,1642,6294,1158,280,,9374
Tohoku,2006,288,16,2,5,311,58,303,,42,,403,346,319,2,47,,714,6988,15555,3274,236,26053,858,2709,,1042,,4609,7846,18263,3274,1278,,30662
Tokyo,2006,280,33,4,2,319,18,777,,22,,817,298,810,4,24,,1136,10621,39625,18408,4,67658,144,11597,,97,,11838,10765,50222,18408,100,,79496
Chubu,2006,220,12,1,,233,24,526,,18,2,570,244,538,1,18,2,803,7533,22373,4884,,34789,290,4784,,96,2,5173,7822,27156,4884,96,2,39962
Hokuriku,2006,159,6,2,,167,5,70,,8,,83,164,76,2,8,,250,2681,4400,3415,,10496,23,458,,41,,522,2704,4858,3415,41,,11018
Kansai,2006,156,17,3,,176,2,448,,6,2,458,158,465,3,6,2,634,8816,17740,9768,,36325,2,6249,,12,a,6263,8818,23990,9768,12,a,42588
Chugoku,2006,140,15,1,,156,5,284,,10,,299,145,299,1,10,,455,3075,10773,1280,,15127,14,5287,,116,,5417,3089,16059,1280,116,,20544
Shikoku,2006,88,9,1,2,100,,110,,8,,118,88,119,1,10,,218,1601,6747,2022,a,10371,,1231,,58,,1288,1601,7978,2022,58,,11659
Kyushu,2006,174,50,2,7,233,29,287,,17,,333,203,337,2,24,,566,2845,15858,5258,211,24171,213,3356,,139,,3708,3057,19214,5258,349,,27879
Okinawa,2006,,22,,,22,2,35,,6,,43,2,57,,6,,65,,2236,,,2236,31,69,,12,,111,31,2305,,12,,2347
Hokkaido,2005,73,13,1,1,88,20,165,,30,,215,93,178,1,31,,303,1521,4583,1158,50,7312,116,1726,,229,,2071,1637,6309,1158,279,,9383
Tohoku,2005,288,16,2,5,311,58,333,,36,,427,346,349,2,41,,738,6984,15021,3274,237,25516,859,2665,,695,,4219,7843,17686,3274,932,,29735
Tokyo,2005,281,33,4,2,320,19,816,,10,,845,300,849,4,12,,1165,10624,38569,18408,4,67604,146,10679,,29,,10854,10770,49248,18408,33,0,78458
Chubu,2005,220,12,1,,233,24,552,,9,,585,244,564,1,9,,818,7533,22372,4997,,34902,289,4847,,50,,5187,7822,27219,4997,50,,40089
Hokuriku,2005,159,6,2,,167,5,88,,6,,99,164,94,2,6,,266,2680,4400,3415,,10495,23,495,,18,,535,2703,4895,3415,18,,11030
Kansai,2005,156,19,3,,178,1,446,,6,2,455,157,465,3,6,2,633,8813,18653,9768,,37234,2,6179,,12,a,6193,8815,24832,9768,12,a,43427
Chugoku,2005,137,15,1,,153,5,305,,10,,320,142,320,1,10,,473,3063,10783,1280,,15126,14,5327,,40,,5381,3077,16110,1280,40,,20507
Shikoku,2005,88,9,1,2,100,,119,,6,,125,88,128,1,8,,225,1618,6747,2022,a,10388,,1233,,37,,1269,1618,7980,2022,37,,11657
Kyushu,2005,174,49,2,7,232,29,289,,17,,335,203,338,2,24,,567,2831,15850,5258,211,24149,213,3342,,141,,3695,3044,19192,5258,352,,27844
Okinawa,2005,,23,,,23,2,33,,6,,41,2,56,,6,,64,,2238,,,2238,31,59,,12,,102,31,2297,,12,,2340
Hokkaido,2004,73,13,1,1,88,20,169,,25,,214,93,182,1,26,,302,1521,4669,1158,50,7397,116,1991,,154,,2262,1637,6660,1158,204,,9659
Tohoku,2004,288,16,1,5,310,57,354,,33,,444,345,370,1,38,,754,6985,15027,2174,236,24422,791,2725,,394,,3910,7776,17752,2174,630,,28332
Tokyo,2004,282,33,4,2,321,16,800,,8,,824,298,833,4,10,,1145,10156,40016,18408,4,68584,141,10790,,15,,10946,10298,50806,18408,18,,79530
Chubu,2004,220,12,1,,233,23,525,,9,,557,243,537,1,9,,790,7531,22373,4997,,34901,287,4458,,50,,4796,7818,26831,4997,50,,39697
Hokuriku,2004,158,6,2,,166,5,88,,6,,99,163,94,2,6,,265,2674,4400,2057,,9132,23,483,,18,,524,2697,4883,2057,18,,9655
Kansai,2004,156,17,3,,176,1,436,,6,1,444,157,453,3,6,1,620,8813,18636,9768,,37216,2,6002,,12,a,6016,8815,24637,9768,12,a,43232
Chugoku,2004,137,15,1,,153,4,308,,7,,319,141,323,1,7,,472,3069,10783,1280,,15131,9,5285,,14,,5308,3078,16068,1280,14,,20440
Shikoku,2004,88,9,1,2,100,,121,,4,,125,88,130,1,6,,225,1603,6743,2022,a,10368,,1760,,15,,1775,1603,8503,2022,15,,12143
Kyushu,2004,175,53,2,7,237,29,291,,15,,335,204,344,2,22,,572,2839,15869,5258,211,24177,213,3179,,118,,3509,3052,19048,5258,329,,27685
Okinawa,2004,,23,,,23,2,32,,6,,40,2,55,,6,,63,,2228,,,2228,31,57,,12,,99,31,2285,,12,,2328
Hokkaido,2003,77,12,1,1,91,16,156,,23,,195,93,168,1,24,,286,1536,4400,1158,50,7144,100,1780,,126,,2005,1636,6180,1158,176,,9151
Tohoku,2003,290,16,1,5,312,49,340,,16,,405,339,356,1,21,,717,6988,15027,2174,236,24425,780,2508,,260,,3548,7768,17535,2174,496,,27973
Tokyo,2003,283,32,4,2,321,16,730,,5,,751,299,762,4,7,,1072,10155,39837,18408,4,68403,141,9891,,10,,10042,10296,49728,18408,14,,78446
Chubu,2003,221,13,1,,235,23,441,,3,,467,244,454,1,3,,702,7531,22904,3617,,34052,287,3612,,20,,3918,7818,26516,3617,20,,37971
Hokuriku,2003,158,8,2,,168,5,85,,4,,94,163,93,2,4,,262,2673,4400,2057,,9130,23,486,,8,,516,2696,4886,2057,8,,9647
Kansai,2003,156,15,3,,174,1,418,,4,2,425,157,433,3,4,2,599,8805,17726,9768,,36299,2,5894,,8,a,5905,8807,23620,9768,8,a,42203
Chugoku,2003,137,15,1,,153,4,318,,4,,326,141,333,1,4,,479,3069,10783,1280,,15132,9,5398,,10,,5416,3078,16181,1280,10,,20548
Shikoku,2003,88,9,1,2,100,,118,,4,,122,88,127,1,6,,222,1601,6743,2022,a,10366,,1523,,15,,1538,1601,8266,2022,15,,11904
Kyushu,2003,175,54,2,7,238,28,294,,11,,333,203,348,2,18,,571,2839,16337,5258,211,24645,211,3164,,75,,3450,3050,19501,5258,286,,28094
Okinawa,2003,,23,,,23,2,30,,7,,39,2,53,,7,,62,,2230,,,2230,31,78,,11,,120,31,2308,,11,,2350
Hokkaido,2002,83,12,1,1,97,15,142,,21,,178,98,154,1,22,,275,1540,4400,1158,50,7148,98,1684,,123,,1906,1638,6085,1158,173,,9054
Tohoku,2002,290,16,1,5,312,51,276,,9,,336,341,292,1,14,,648,6707,15552,2174,236,24669,844,2369,,122,,3334,7551,17921,2174,358,,28003
Tokyo,2002,283,29,4,2,318,16,651,,3,,670,299,680,4,5,,988,10153,37719,18408,4,66283,141,9201,,7,,9350,10294,46920,18408,11,,75633
Chubu,2002,219,13,1,,233,23,397,,,,420,242,410,1,,,653,7529,23904,3617,,35050,287,3487,,,,3774,7816,27391,3617,,,38824
Hokuriku,2002,159,8,2,,169,5,86,1,3,,95,164,94,3,3,,264,2673,5156,2057,,9886,23,492,165,6,,686,2695,5648,2222,6,,10572
Kansai,2002,156,16,3,,175,1,385,,3,1,390,157,401,3,3,1,565,8791,18350,9768,,36909,2,5561,,8,a,5570,8793,23910,9768,8,a,42479
Chugoku,2002,136,15,1,,152,3,293,,1,,297,139,308,1,1,,449,3070,10781,1280,,15130,7,4927,,2,,4936,3076,15708,1280,2,,20066
Shikoku,2002,86,9,1,2,98,1,120,,2,,123,87,129,1,4,,221,1600,6777,2022,a,10399,1,1510,,2,,1514,1601,8287,2022,3,,11912
Kyushu,2002,176,55,2,7,240,28,292,,5,,325,204,347,2,12,,565,2840,15793,5258,211,24101,211,3167,,9,,3387,3050,18959,5258,220,,27487
Okinawa,2002,,22,,,22,2,26,,5,,33,2,48,,5,,55,,1988,,,1988,31,71,,7,,109,31,2060,,7,,2098
Hokkaido,2001,83,12,1,1,97,15,133,,18,,166,98,145,1,19,,263,1540,3700,1158,50,6448,98,1630,,97,,1824,1638,5330,1158,147,,8272
Tohoku,2001,289,16,1,5,311,48,269,,10,,327,337,285,1,15,,638,6733,15552,2174,236,24695,705,2350,,89,,3144,7438,17902,2174,325,,27839
Tokyo,2001,283,28,4,2,317,16,599,,1,,616,299,627,4,3,,933,10151,37118,18408,4,65681,141,8253,,2,,8396,10292,45371,18408,5,,74077
Chubu,2001,219,13,1,,233,22,372,,,,394,241,385,1,,,627,7527,23404,3617,,34548,286,3321,,,,3607,7812,26725,3617,,,38154
Hokuriku,2001,158,8,2,,168,5,77,1,1,,84,163,85,3,1,,252,2670,5156,2057,,9883,23,456,165,1,,644,2692,5612,2222,1,,10527
Kansai,2001,156,18,3,,177,1,345,,2,,348,157,363,3,2,,525,8787,18656,9768,,37211,2,4836,,6,,4844,8789,23491,9768,6,,42054
Chugoku,2001,136,15,1,,152,3,282,,,,285,139,297,1,,,437,3054,10781,1280,,15115,7,4745,,,,4751,3061,15526,1280,,,19867
Shikoku,2001,86,9,1,,96,1,120,,2,,123,87,129,1,2,,219,1584,6777,2022,,10382,1,1508,,2,,1512,1584,8285,2022,2,,11894
Kyushu,2001,175,55,2,5,237,28,291,,5,,324,203,346,2,10,,561,2838,15787,5258,208,24090,211,2657,,9,,2877,3049,18444,5258,217,,26968
Okinawa,2001,,22,,,22,2,18,,3,,23,2,40,,3,,45,,1988,,,1988,31,55,,4,,90,31,2043,,4,,2078
Hokkaido,2000,87,12,1,1,101,12,130,,10,,152,99,142,1,11,,253,1573,3700,1158,50,6481,66,1472,,66,,1604,1638,5172,1158,116,,8085
Tohoku,2000,286,16,1,5,308,40,254,,3,,297,326,270,1,8,,605,6687,15531,1349,236,23803,706,2122,,36,,2865,7393,17653,1349,272,,26668
Tokyo,2000,280,27,5,2,314,16,558,,,,574,296,585,5,2,,888,10137,35928,18574,4,64643,142,8219,,,,8361,10279,44147,18574,4,,73004
Chubu,2000,219,14,1,,234,22,352,,,,374,241,366,1,,,608,7527,22944,3617,,34087,285,3223,,,,3509,7812,26167,3617,,,37596
Hokuriku,2000,159,8,2,,169,5,78,1,1,,85,164,86,3,1,,254,2668,5312,2057,,10037,23,457,165,1,,645,2690,5769,2222,1,,10682
Kansai,2000,156,22,3,,181,1,331,,,,332,157,353,3,,,513,8786,20530,9768,,39084,2,4040,,,,4042,8788,24569,9768,,,43125
Chugoku,2000,138,15,1,,154,2,273,,,,275,140,288,1,,,429,3063,10781,1280,,15124,6,4673,,,,4678,3068,15454,1280,,,19802
Shikoku,2000,85,8,1,,94,1,105,,2,,108,86,113,1,2,,202,1576,6253,2022,,9851,1,1462,,2,,1466,1577,7715,2022,2,,11316
Kyushu,2000,173,55,2,5,235,28,284,,5,,317,201,339,2,10,,552,2837,15417,5258,208,23719,211,2759,,9,,2979,3048,18176,5258,217,,26698
Okinawa,2000,,21,,,21,2,18,,3,,23,2,39,,3,,44,,1768,,,1768,31,58,,4,,93,31,1826,,4,,1861
Hokkaido,1999,87,12,1,1,101,12,124,,5,,141,99,136,1,6,,242,1573,3700,1158,50,6481,66,1455,,25,,1546,1638,5156,1158,75,,8027
Tohoku,1999,285,16,1,5,307,40,222,,3,,265,325,238,1,8,,572,6674,15531,1349,236,23790,696,1881,,36,,2613,7371,17412,1349,272,,26404
Tokyo,1999,279,28,5,2,314,16,533,,,,549,295,561,5,2,,863,9730,35336,18574,4,63644,142,8021,,,,8163,9872,43357,18574,4,,71807
Chubu,1999,218,14,1,,233,22,313,,,,335,240,327,1,,,568,7524,22944,3617,,34085,285,3106,,,,3391,7809,26049,3617,,,37475
Hokuriku,1999,159,8,2,,169,5,71,1,,,77,164,79,3,,,246,2668,4612,2057,,9337,23,432,165,,,620,2690,5045,2222,,,9957
Kansai,1999,155,25,3,,183,1,311,,,,312,156,336,3,,,495,8763,20890,9768,,39421,2,4010,,,,4012,8765,24900,9768,,,43433
Chugoku,1999,138,14,1,,153,2,265,,,,267,140,279,1,,,420,3063,10522,1280,,14865,6,4550,,,,4556,3068,15072,1280,,,19420
Shikoku,1999,84,7,1,,92,1,100,,1,,102,85,107,1,1,,194,1575,3614,2022,,7210,1,1450,,1,,1452,1576,5064,2022,1,,8663
Kyushu,1999,172,55,2,5,234,27,251,,1,,279,199,306,2,6,,513,2830,15407,5258,208,23702,210,2605,,3,,2818,3039,18012,5258,211,,26520
