Company,Year_term,Specific scale demands (MWh),Total Electricity sales (MWh),Lighting_Meter rate lighting C (kW),Lighting_Temporary power (kW),Lighting_Agricultural power (kW),Lighting_Public street lighting (kW),Lighting_Total Lighting - optional contracs (kW),Lighting_Total Lighting - optional contracs2 (kW),Lighting_Total Lighting (kW),Power_Commercial use power - optional contracts (kW),Power_Commercial use power (kW),Power_Small use power_Low voltage power - optipnal contracts (kW),Power_Small use power_Low voltage power (kW),Power_Small use power_High voltage power A - optinal contracts (kW),Power_Small use power_High voltage power A (kW),Power_Small use power_Total Small use power - optional contracts (kW),Power_Small use power_Total Small use power (kW),Power_High voltage power B - optional contracts (kW),Power_High voltage power B (kW),Power_Other power services_Temporary power (kW),Power_Other power services_Agricultural power (kW),Power_Other power services_Construction power (kW),Power_Other power services_Business use power (kW),Power_Other power services_High voltage power B - optional contracts (kW),Power_Other power services_High voltage power B (kW),Power_Other power services_Commercial use power (kW),Power_Other power services_High voltage power A/B (kW),Power_Other power services_Other power services - optional contracts (kW),Power_Other power services_Total Other power services (kW),Power_Total Power - optional contracts (kW),Power_Total Power (kW),Total of Lighting and Power (kW)
会社名,年期,電灯需要_定額電灯,電灯需要_従量電灯AB,電灯需要_従量電灯C,電灯需要_臨時電灯,電灯需要_農事用電灯,電灯需要_公衆街路灯,電灯需要_電灯計_選択約款,電灯需要_電灯計_選択約款2,電灯需要_電灯合計,電力需要_業務用電力_選択約款,電力需要_業務用電力,電力需要_小口電力_低圧電力_選択約款,電力需要_小口電力_低圧電力,電力需要_小口電力_高圧電力Ａ_選択約款,電力需要_小口電力_高圧電力A,電力需要_小口電力_小口計_選択約款,電力需要_小口電力_計,電力需要_高圧電力Ｂ_選択約款,電力需要_高圧電力Ｂ,電力需要_その他電力_臨時電力,電力需要_その他電力_農事用電力,電力需要_その他電力_建設工事用電力,電力需要_その他電力_事業用電力,電力需要_その他電力_高圧電力Ｂ_選択約款,電力需要_その他電力_高圧電力Ｂ,電力需要_その他電力_業務用電力,電力需要_その他電力_高圧電力AB,電力需要_その他電力_その他電力_選択約款,電力需要_その他電力_その他電力計,電力需要_電力計_選択約款,電力需要_電力計,電灯電力計
Hokkaido,201603,,,1163994,,,,1841722,1841722,,,,16992,1341289,,,,,,,2230,1993,128,4605,,,,,1527308,1536264,1544300,2877553,
Tohoku,201603,,,3026378,,,,5286462,5286462,,,,66820,3813283,,,,,,,17549,27376,88,9245,,,,,978030,1032288,1044850,4845571,
Tokyo,201603,,,14997917,,,,14151210,14151210,,,,9679,11641261,,,,,,,108924,61239,2342,55310,,,,,1260413,1488227,1270092,13129488,
Chubu,201603,,,6076214,,,,8020890,8020890,,,,167640,5697234,,,,,,,14533,48484,50,12861,,,,,1538453,1614381,1706093,7311615,
Hokuriku,201603,,,1187431,,,,2938792,2938792,,,,46801,1289596,,,,,,,3227,24030,2579,3863,,,,,295829,329528,342630,1619124,
Kansai,201603,,,3657041,,,,8215958,8215958,,,,3537,6297606,,,,,,,30610,38711,0,20195,,,,,689555,779071,693092,7076677,
Chugoku,201603,,,960268,,,,5398375,5398375,,,,2022,2358807,,,,,,,3703,14991,123,6584,,,,,454142,479543,456164,2838350,
Shikoku,201603,,,711304,,,,2421255,2421255,,,,90098,1603933,,,,,,,5194,50307,43,3476,,,,,433455,492475,523553,2096408,
Kyushu,201603,,,3087316,,,,8294508,8294508,,,,234204,4995186,,,,,,,13863,127607,1159,9533,,,,,838904,991066,1073108,5986252,
Okinawa,201603,,,,,,,,,,282192,677701,,425106,,,,,,,5747,3827,0,12272,,,677701,223004,24113,946664,338868,1371770,
Hokkaido,201602,,,1161196,,,,1831910,1831910,,,,16920,1341113,,,,,,,2477,548,128,4497,,,,,1526976,1534626,1543896,2875739,
Tohoku,201602,,,3028950,,,,5256203,5256203,,,,66635,3814942,,,,,,,14778,16912,136,9344,,,,,1099919,1141089,1166554,4956031,
Tokyo,201602,,,15004098,,,,14085114,14085114,,,,9397,11661416,,,,,,,117102,49134,2587,56129,,,,,1264735,1489685,1274132,13151101,
Chubu,201602,,,6081430,,,,7983974,7983974,,,,166227,5701944,,,,,,,18335,43288,50,12757,,,,,1545302,1619732,1711529,7321676,
Hokuriku,201602,,,1186662,,,,2922335,2922335,,,,46879,1290849,,,,,,,4503,13041,2579,3862,,,,,359316,383301,406195,1674150,
Kansai,201602,,,3660816,,,,8228028,8228028,,,,3537,6308721,,,,,,,35764,38231,0,20051,,,,,696080,790126,699617,7098847,
Chugoku,201602,,,960007,,,,5380205,5380205,,,,2022,2361086,,,,,,,4446,11771,123,6580,,,,,457291,480211,459313,2841297,
Shikoku,201602,,,710511,,,,2410936,2410936,,,,90578,1604793,,,,,,,5563,46924,43,3476,,,,,435810,491816,526388,2096609,
Kyushu,201602,,,3080307,,,,8262237,8262237,,,,233541,4997913,,,,,,,17212,118432,1132,9507,,,,,839522,985805,1073063,5983718,
Okinawa,201602,,,,,,,,,,282818,678073,,424623,,,,,,,4140,3824,0,12247,,,678073,223099,24200,945583,339518,1370206,
Hokkaido,201601,,,1161825,,,,1830457,1830457,,,,16807,1342986,,,,,,,3196,614,128,4688,,,,,1528537,1537163,1545344,2880149,
Tohoku,201601,,,3029093,,,,5215032,5215032,,,,66490,3818816,,,,,,,12909,15387,133,9341,,,,,1101577,1139347,1168067,4958163,
Tokyo,201601,,,15010481,,,,14019272,14019272,,,,9334,11682187,,,,,,,118896,48502,2464,56108,,,,,1270033,1496002,1279367,13178189,
Chubu,201601,,,6085703,,,,7952913,7952913,,,,165816,5708722,,,,,,,19035,41188,50,12644,,,,,1549325,1622242,1715141,7330964,
Hokuriku,201601,,,1186778,,,,2909358,2909358,,,,46825,1292999,,,,,,,4625,7436,2579,4001,,,,,364481,383122,411306,1676121,
Kansai,201601,,,3664935,,,,8223446,8223446,,,,3537,6320239,,,,,,,38715,38552,0,19930,,,,,699713,796910,703250,7117149,
Chugoku,201601,,,960021,,,,5365910,5365910,,0,0,2021,2363554,,,,,,,4747,10432,123,6580,,,0,0,459501,418383,461522,2844937,
Shikoku,201601,,,710495,,,,2402403,2402403,,,,90627,1607687,,,,,,,5881,46768,43,3468,,,,,438089,494249,528716,2101936,
Kyushu,201601,,,3075704,,,,8233391,8233391,,,,234349,5003627,,,,,,,18466,120572,1132,9509,,,,,841772,991451,1076121,5995078,
Okinawa,201601,,,,,,,,,,282881,677416,,425361,,,,,,,3700,3824,0,12115,,,677416,223334,24260,944649,339676,1370010,
Hokkaido,201512,,,1161612,,,,1828158,1828158,,,,16702,1344926,,,,,,,6306,3191,128,3875,,,,,1284799,1298299,1301501,2643225,
Tohoku,201512,,,3043147,,,,5169511,5169511,,,,66376,3820681,,,,,,,13477,15467,133,9512,,,,,1022390,1060979,1088766,4881660,
Tokyo,201512,,,15016230,,,,13957609,13957609,,,,9196,11697654,,,,,,,119561,49051,2568,56060,,,,,1273325,1500564,1282521,13198218,
Chubu,201512,,,6084848,,,,7914077,7914077,,,,165509,5716131,,,,,,,18842,41516,50,12436,,,,,1545973,1618817,1711482,7334948,
Hokuriku,201512,,,1186835,,,,2892591,2892591,,,,46936,1295386,,,,,,,4794,7985,2579,3863,,,,,343480,362701,390416,1658087,
Kansai,201512,,,3666465,,,,8205176,8205176,,,,3503,6329577,,,,,,,39603,39688,0,19901,,,,,700699,799891,704202,7129468,
Chugoku,201512,,,959939,,,,5348011,5348011,,0,0,1790,2366540,,,,,,,4875,12898,123,6578,,,0,0,461214,485688,463004,2852228,
Shikoku,201512,,,710199,,,,2393425,2393425,,,,90584,1609196,,,,,,,5584,47848,43,3466,,,,,439605,496546,530189,2105742,
Kyushu,201512,,,3073991,,,,8197907,8197907,,,,234502,5007204,,,,,,,16908,134979,658,9459,,,,,843467,1005471,1077969,6012675,
Okinawa,201512,,,,,,,,,,283630,679553,,426000,,,,,,,3793,3829,0,12613,,,679553,223851,24296,947935,340449,1373935,
Hokkaido,201511,,,1162047,,,,1825125,1825125,,,,16320,1346606,,,,,,,39931,6987,92,3961,,,,,962272,1013243,978592,2359849,
Tohoku,201511,,,3094799,,,,5072484,5072484,,,,66378,3824972,,,,,,,18982,21312,133,9013,,,,,649330,698770,715708,4523742,
Tokyo,201511,,,15020313,,,,13887650,13887650,,,,8907,11708224,,,,,,,117445,50639,2696,55893,,,,,1275475,1502147,1284382,13210371,
Chubu,201511,,,6085148,,,,7875467,7875467,,,,164694,5721180,,,,,,,16996,45562,50,12463,,,,,1542828,1617899,1707522,7339079,
Hokuriku,201511,,,1187342,,,,2874419,2874419,,,,46820,1297624,,,,,,,5727,12264,2579,3813,,,,,280096,304479,326916,1602103,
Kansai,201511,,,3666602,,,,8192573,8192573,,,,3491,6336096,,,,,,,40223,41872,0,19917,,,,,701848,803860,705339,7139956,
Chugoku,201511,,,960050,,,,5329350,5329350,,0,0,1781,2369966,,,,,,,5381,29181,113,6578,,,0,0,462721,503974,464502,2873940,
Shikoku,201511,,,709238,,,,2384174,2384174,,,,90040,1609750,,,,,,,5135,50515,43,3428,,,,,441161,500282,531201,2110032,
Kyushu,201511,,,3072488,,,,8166264,8166264,,,,234405,5009826,,,,,,,15676,152572,705,9456,,,,,846443,1024852,1080848,6034678,
Okinawa,201511,,,,,,,,,,283784,679807,,426306,,,,,,,3834,3831,0,11115,,,679807,223811,24416,946814,340701,1373120,
Hokkaido,201510,,,1160842,,,,1822712,1822712,,,,15755,1347347,,,,,,,55144,12293,43,3881,,,,,395196,466557,410951,1813904,
Tohoku,201510,,,3197144,,,,4929748,4929748,,,,66500,3830025,,,,,,,26504,38929,133,8797,,,,,528271,602634,594771,4432659,
Tokyo,201510,,,15025320,,,,13832212,13832212,,,,8713,11723773,,,,,,,113288,62918,2861,55739,,,,,1279026,1513831,1287739,13237604,
Chubu,201510,,,6085720,,,,7835333,7835333,,,,163687,5726745,,,,,,,16003,55181,50,12688,,,,,1547097,1631019,1710784,7357764,
Hokuriku,201510,,,1187125,,,,2858872,2858872,,,,47285,1299707,,,,,,,7520,21592,2579,3757,,,,,189304,224752,236589,1524459,
Kansai,201510,,,3665155,,,,8174082,8174082,,,,3515,6340040,,,,,,,39956,54233,0,19852,,,,,702645,816686,706160,7156726,
Chugoku,201510,,,960415,,,,5313686,5313686,,0,0,1806,2374426,,,,,,,5717,74541,113,6578,,,0,0,464404,551353,466210,2925779,
Shikoku,201510,,,709661,,,,2375525,2375525,,,,88909,1609967,,,,,,,5078,63382,43,3612,,,,,442888,515003,531797,2124970,
Kyushu,201510,,,3068456,,,,8133429,8133429,,,,232837,5011967,,,,,,,14137,242405,705,9458,,,,,848838,1115543,1081675,6127510,
Okinawa,201510,,,,,,,,,,283514,680634,,426482,,,,,,,1790,3966,0,11119,,,680634,223328,24532,945369,340601,1371851,
Hokkaido,201509,,,1160465,,,,1814903,1814903,,,,16295,1348052,,,,,,,32808,35003,43,3801,,,,,173606,245261,189901,1593313,
Tohoku,201509,,,3195220,,,,4896661,4896661,,,,66774,3833872,,,,,,,22750,155172,133,8661,,,,,527570,714286,594344,4548158,
Tokyo,201509,,,15030050,,,,13767053,13767053,,,,8632,11742250,,,,,,,118453,217073,2779,55685,,,,,1282572,1676560,1291204,13418810,
Chubu,201509,,,6086150,,,,7796853,7796853,,,,163027,5733371,,,,,,,15440,92067,50,12622,,,,,1552422,1672601,1715449,7405972,
Hokuriku,201509,,,1187554,,,,2842313,2842313,,,,47295,1302089,,,,,,,8296,36408,2579,3594,,,,,189100,239977,236395,1542066,
Kansai,201509,,,3666047,,,,8154738,8154738,,,,3515,6348124,,,,,,,39687,120303,0,19875,,,,,703883,883748,707398,7231872,
Chugoku,201509,,,960309,,,,5296231,5296231,,0,0,1806,2378446,,,,,,,5114,94305,113,6578,,,0,0,466321,572431,468127,2950877,
Shikoku,201509,,,709685,,,,2367513,2367513,,,,88679,1612081,,,,,,,4978,96965,43,3623,,,,,444374,549983,533053,2162064,
Kyushu,201509,,,3066507,,,,8096960,8096960,,,,233939,5018742,,,,,,,13814,314582,691,9987,,,,,851498,1190572,1085437,6209314,
Okinawa,201509,,,,,,,,,,284352,686327,,426406,,,,,,,1661,3961,0,11098,,,686327,223258,24632,950937,341593,1377343,
Hokkaido,201508,,,1159969,,,,1812791,1812791,,,,16043,1348509,,,,,,,33748,37130,43,3945,,,,,171680,246546,187723,1595055,
Tohoku,201508,,,3190835,,,,4871571,4871571,,,,66767,3837197,,,,,,,12365,270699,133,8665,,,,,529013,820875,595780,4658072,
Tokyo,201508,,,15030632,,,,13716092,13716092,,,,8581,11763413,,,,,,,111505,441788,2859,56271,,,,,1285622,1898043,1294203,13661456,
Chubu,201508,,,6085393,,,,7766093,7766093,,,,162798,5738408,,,,,,,14255,128275,50,12587,,,,,1558487,1713654,1721285,7452062,
Hokuriku,201508,,,1187485,,,,2830380,2830380,,,,47285,1302755,,,,,,,5541,49045,2579,3594,,,,,189728,250487,237013,1553242,
Kansai,201508,,,3667068,,,,8142313,8142313,,,,3503,6355496,,,,,,,37702,151343,0,19860,,,,,706675,915580,710178,7271076,
Chugoku,201508,,,960182,,,,5282304,5282304,,0,0,1806,2381801,,,,,,,3770,60571,113,6578,,,0,0,468175,539207,469981,2921008,
Shikoku,201508,,,708839,,,,2358880,2358880,,,,88782,1613543,,,,,,,4862,115900,43,3616,,,,,445919,570340,534701,2183883,
Kyushu,201508,,,3063172,,,,8071077,8071077,,,,234727,5023084,,,,,,,13054,324294,691,9324,,,,,855534,1202897,1090261,6225981,
Okinawa,201508,,,,,,,,,,284680,686590,,426029,,,,,,,1522,3961,0,11108,,,686590,223300,24604,951085,341924,1377114,
Hokkaido,201507,,,1159507,,,,1808227,1808227,,,,16056,1349518,,,,,,,8217,36651,64,4289,,,,,249801,299022,265857,1648540,
Tohoku,201507,,,3185664,,,,4841883,4841883,,,,66809,3837868,,,,,,,11554,271873,88,8602,,,,,530469,822586,597278,4660454,
Tokyo,201507,,,15030070,,,,13657824,13657824,,,,8605,11779081,,,,,,,105971,451040,3074,55748,,,,,1289249,1905081,1297854,13684162,
Chubu,201507,,,6083816,,,,7728280,7728280,,,,162434,5740932,,,,,,,13092,135941,1,12503,,,,,1564349,1725886,1726783,7466818,
Hokuriku,201507,,,1186515,,,,2816837,2816837,,,,47407,1303335,,,,,,,4235,48436,2579,3592,,,,,190452,249294,237859,1552629,
Kansai,201507,,,3666726,,,,8121982,8121982,,,,3479,6358615,,,,,,,35556,149468,0,19803,,,,,708663,913490,712142,7272105,
Chugoku,201507,,,960421,,,,5264734,5264734,,0,0,1790,2383703,,,,,,,3473,56052,150,6605,,,0,0,470206,536486,471996,2920189,
Shikoku,201507,,,709408,,,,2351681,2351681,,,,89017,1615128,,,,,,,4817,115240,43,3620,,,,,447638,571358,536655,2186486,
Kyushu,201507,,,3060398,,,,8036903,8036903,,,,235344,5024838,,,,,,,12434,330733,694,9345,,,,,858480,1211686,1093824,6236524,
Okinawa,201507,,,,,,,,,,285332,689333,,425902,,,,,,,1883,3961,0,11116,,,689333,223168,24878,954339,342911,1380241,
Hokkaido,201506,,,1158877,,,,1802871,1802871,,,,16019,1349978,,,,,,,6746,36952,92,4569,,,,,364163,412522,380182,1762500,
Tohoku,201506,,,3181528,,,,4817202,4817202,,,,67617,3840211,,,,,,,11798,271916,88,8608,,,,,532504,824914,600121,4665125,
Tokyo,201506,,,15029817,,,,13598598,13598598,,,,8583,11789311,,,,,,,102832,446063,3308,55713,,,,,1293044,1900958,1301627,13690269,
Chubu,201506,,,6084092,,,,7697389,7697389,,,,159265,5744595,,,,,,,13108,141085,1,12464,,,,,1570867,1737525,1730132,7482120,
Hokuriku,201506,,,1186030,,,,2802418,2802418,,,,47345,1304251,,,,,,,4444,47968,2579,3591,,,,,191111,249693,238456,1553944,
Kansai,201506,,,3668959,,,,8104821,8104821,,,,3470,6365959,,,,,,,34058,146183,0,19855,,,,,710740,910836,714210,7276795,
Chugoku,201506,,,961066,,,,5247160,5247160,,0,0,1823,2386459,,,,,,,3592,54749,150,6605,,,0,0,471966,537062,473789,2923521,
Shikoku,201506,,,709725,,,,2343709,2343709,,,,89381,1616504,,,,,,,4797,112002,43,3629,,,,,449500,569971,538881,2186475,
Kyushu,201506,,,3057533,,,,8005233,8005233,,,,235238,5026293,,,,,,,12809,284036,781,9349,,,,,863008,1169983,1098246,6196276,
Okinawa,201506,,,,,,,,,,283819,681108,,424042,,,,,,,1346,3970,0,11072,,,681108,222812,25006,945314,341429,1369356,
Hokkaido,201505,,,1160431,,,,1802398,1802398,,,,17004,1352521,,,,,,,9320,33374,128,5101,,,,,736982,784905,753986,2137426,
Tohoku,201505,,,3177805,,,,4795396,4795396,,,,67882,3842228,,,,,,,13423,267759,88,8719,,,,,534092,824081,601974,4666309,
Tokyo,201505,,,15036722,,,,13531392,13531392,,,,8574,11806558,,,,,,,102188,417391,3327,55607,,,,,1297610,1876121,1306184,13682678,
Chubu,201505,,,6083760,,,,7665072,7665072,,,,158480,5749629,,,,,,,13163,136242,97,12488,,,,,1578762,1740752,1737242,7490381,
Hokuriku,201505,,,1185397,,,,2790298,2790298,,,,47287,1305673,,,,,,,4187,50821,2579,3592,,,,,191893,253072,239180,1558745,
Kansai,201505,,,3672671,,,,8092598,8092598,,,,3515,6377333,,,,,,,34587,121226,0,19852,,,,,714163,889828,717678,7267161,
Chugoku,201505,,,961206,,,,5231045,5231045,,0,0,1840,2388979,,,,,,,3686,42806,173,6638,,,0,0,473788,527091,475628,2916070,
Shikoku,201505,,,710038,,,,2335064,2335064,,,,89614,1617814,,,,,,,4898,95341,43,3473,,,,,451145,554900,540759,2172714,
Kyushu,201505,,,3054669,,,,7972664,7972664,,,,235693,5030207,,,,,,,12808,170833,779,9384,,,,,868029,1061833,1103722,6092040,
Okinawa,201505,,,,,,,,,,283368,678983,,423539,,,,,,,1277,3961,0,11071,,,678983,223558,25110,943960,341093,1367499,
Hokkaido,201504,,,1164015,,,,1826851,1826851,,,,17058,1355922,,,,,,,6917,5921,128,6149,,,,,1254946,1274061,1272004,2629983,
Tohoku,201504,,,3174813,,,,4768353,4768353,,,,67714,3846308,,,,,,,17430,125172,88,9211,,,,,542042,693943,609756,4540251,
Tokyo,201504,,,15048552,,,,13465664,13465664,,,,8494,11828030,,,,,,,103056,266064,3146,55772,,,,,1302504,1730541,1310998,13558570,
Chubu,201504,,,6083277,,,,7627642,7627642,,,,158307,5757181,,,,,,,13408,87574,131,12516,,,,,1589145,1702774,1747452,7459955,
Hokuriku,201504,,,1185944,,,,2778608,2778608,,,,47330,1307538,,,,,,,4945,51056,2579,3724,,,,,193263,255567,240593,1563105,
Kansai,201504,,,3672258,,,,8056083,8056083,,,,3503,6381430,,,,,,,33990,69612,0,19864,,,,,715216,838682,718719,7220112,
Chugoku,201504,,,960628,,,,5214775,5214775,,0,0,1840,2391769,,,,,,,4049,23905,173,6634,,,0,0,475611,510372,477451,2902141,
Shikoku,201504,,,710434,,,,2326222,2326222,,,,89556,1619510,,,,,,,4963,64913,185,3458,,,,,452639,526158,542195,2145668,
Kyushu,201504,,,3051683,,,,7935479,7935479,,,,235563,5032774,,,,,,,12606,139147,769,9403,,,,,870597,1032522,1106160,6065296,
Okinawa,201504,,,,,,,,,,283858,679868,,423059,,,,,,,1675,3961,0,11148,,,679868,223656,25317,945625,341794,1368684,
Hokkaido,201503,,,1161507,,,,1788694,1788694,,,,16897,1355549,,,,,,,2805,2127,49,7007,,,,,1529283,1541271,1546180,2896820,
Tohoku,201503,,,3171092,,,,4738154,4738154,,,,67835,3850186,,,,,,,19814,27092,197,9263,,,,,983772,1040138,1051607,4890324,
Tokyo,201503,,,15052179,,,,13355058,13355058,,,,8428,11846701,,,,,,,115355,59932,3180,55849,,,,,1302008,1536324,1310436,13383025,
Chubu,201503,,,6079057,,,,7578587,7578587,,,,158415,5764629,,,,,,,16503,48433,97,12595,,,,,1603181,1680809,1761596,7445438,
Hokuriku,201503,,,1186536,,,,2763360,2763360,,,,47399,1310794,,,,,,,5180,24371,705,4036,,,,,302190,336482,349589,1647276,
Kansai,201503,,,3672204,,,,7971439,7971439,,,,3494,6392335,,,,,,,36046,38696,0,19815,,,,,713694,808251,717188,7200586,
Chugoku,201503,,,959791,,,,5189192,5189192,,0,0,1816,2396863,,,,,,,4843,15087,173,6682,,,0,0,476621,503406,478437,2900269,
Shikoku,201503,,,709762,,,,2309435,2309435,,,,89536,1621051,,,,,,,5497,50708,198,22106,,,,,454965,533474,544501,2154525,
Kyushu,201503,,,3046666,,,,7889124,7889124,,,,235772,5037495,,,,,,,15845,128811,924,9336,,,,,869245,1024161,1105017,6061656,
Okinawa,201503,,,,,,,,,,283600,679188,,421970,,,,,,,1821,3887,0,11108,,,679188,223619,25424,945047,342429,1367017,
Hokkaido,201502,,,1159272,,,,1779499,1779499,,,,16739,1356278,,,,,,,3075,598,49,7006,,,,,1530463,1541191,1547202,2897469,
Tohoku,201502,,,3163661,,,,4710748,4710748,,,,68023,3852886,,,,,,,16653,16632,197,10069,,,,,1108336,1151887,1176359,5004773,
Tokyo,201502,,,15047637,,,,13290951,13290951,,,,8349,11858357,,,,,,,126794,49127,3228,55920,,,,,1306759,1541827,1315108,13400184,
Chubu,201502,,,6074250,,,,7539465,7539465,,,,158984,5771005,,,,,,,20394,44013,164,12670,,,,,1610583,1687824,1769567,7458829,
Hokuriku,201502,,,1184586,,,,2748685,2748685,,,,47489,1311884,,,,,,,6396,10833,569,4048,,,,,368754,390600,416243,1702484,
Kansai,201502,,,3674211,,,,7982504,7982504,,,,3366,6406594,,,,,,,43215,37948,0,19796,,,,,720594,821553,723960,7228147,
Chugoku,201502,,,959111,,,,5174128,5174128,,0,0,1816,2399954,,,,,,,5287,12518,195,6684,,,0,0,479167,503851,480983,2903805,
Shikoku,201502,,,708078,,,,2296516,2296516,,,,89173,1622120,,,,,,,6709,46780,215,3448,,,,,457963,515115,547136,2137235,
Kyushu,201502,,,3036378,,,,7855511,7855511,,,,236236,5040835,,,,,,,20363,119421,930,9338,,,,,866918,1016970,1103154,6057805,
Okinawa,201502,,,,,,,,,,286873,682740,,421588,,,,,,,1210,3878,0,11111,,,682740,223456,25756,948151,345632,1369739,
Hokkaido,201501,,,1158992,,,,1777407,1777407,,,,16681,1358206,,,,,,,3478,654,49,6988,,,,,1531345,1542514,1548026,2900720,
Tohoku,201501,,,3157868,,,,4686386,4686386,,,,68053,3856720,,,,,,,14455,14999,557,10149,,,,,1109777,1149937,1177830,5006657,
Tokyo,201501,,,15044154,,,,13226802,13226802,,,,8122,11878545,,,,,,,131342,48505,3108,55986,,,,,1311307,1550247,1319429,13428792,
Chubu,201501,,,6070228,,,,7504207,7504207,,,,158860,5779831,,,,,,,22672,41668,164,12670,,,,,1615947,1693121,1774807,7472952,
Hokuriku,201501,,,1183587,,,,2734993,2734993,,,,47660,1313867,,,,,,,6107,7228,475,4028,,,,,374178,392016,421838,1705883,
Kansai,201501,,,3675439,,,,7968277,7968277,,,,3309,6418655,,,,,,,44931,38152,0,19881,,,,,724408,827372,727717,7246027,
Chugoku,201501,,,958802,,,,5159348,5159348,,0,0,1572,2403055,,,,,,,5293,10788,157,6637,,,0,0,481207,504082,482779,2907137,
Shikoku,201501,,,708055,,,,2285341,2285341,,,,88414,1624076,,,,,,,6177,46665,215,3448,,,,,460516,517021,548930,2141097,
Kyushu,201501,,,3031376,,,,7822537,7822537,,,,234017,5045412,,,,,,,22139,121694,839,9298,,,,,868169,1022139,1102186,6067551,
Okinawa,201501,,,,,,,,,,287394,684280,,422152,,,,,,,2424,3878,0,11064,,,684280,223744,26136,951526,346543,1373678,
Hokkaido,201412,,,1160093,,,,1774409,1774409,,,,16439,1359326,,,,,,,6593,2882,66,5587,,,,,1245152,1260280,1261591,2619606,
Tohoku,201412,,,3150527,,,,4653481,4653481,,,,67968,3859173,,,,,,,14819,15126,588,9284,,,,,1032606,1072423,1100574,4931596,
Tokyo,201412,,,15045654,,,,13165593,13165593,,,,7912,11895599,,,,,,,131827,48945,2962,55969,,,,,1314242,1553944,1322154,13449542,
Chubu,201412,,,6065034,,,,7466630,7466630,,,,157555,5784977,,,,,,,22233,41055,164,12621,,,,,1611672,1687745,1769227,7472722,
Hokuriku,201412,,,1182170,,,,2721075,2721075,,,,47702,1314393,,,,,,,6595,7937,406,3808,,,,,350458,369204,398160,1683597,
Kansai,201412,,,3676018,,,,7943432,7943432,,,,3247,6425722,,,,,,,46570,39287,0,19978,,,,,725972,831807,729219,7257529,
Chugoku,201412,,,958048,,,,5141304,5141304,,,,1457,2406092,,,,,,,5286,12744,167,6649,,,,,482735,507581,484192,2913673,
Shikoku,201412,,,708156,,,,2273854,2273854,,,,84681,1623310,,,,,,,6141,48055,215,3448,,,,,462680,520539,547361,2143849,
Kyushu,201412,,,3026297,,,,7780444,7780444,,,,232486,5047086,,,,,,,21701,137762,770,9352,,,,,870393,1039978,1102879,6087064,
Okinawa,201412,,,,,,,,,,284610,683993,,423226,,,,,,,2091,3869,0,11055,,,683993,223731,26202,950941,343845,1374167,
Hokkaido,201411,,,1160868,,,,1769266,1769266,,,,16239,1361202,,,,,,,29297,6941,66,5186,,,,,977754,1019244,993993,2380446,
Tohoku,201411,,,3144019,,,,4619358,4619358,,,,68042,3861635,,,,,,,20000,20737,557,8817,,,,,663206,713317,731248,4574952,
Tokyo,201411,,,15044142,,,,13100621,13100621,,,,7085,11909733,,,,,,,126882,50631,2995,55931,,,,,1316844,1553282,1323929,13463015,
Chubu,201411,,,6060560,,,,7427334,7427334,,,,152247,5784796,,,,,,,20175,45412,164,12700,,,,,1608985,1687436,1761232,7472232,
Hokuriku,201411,,,1181468,,,,2702904,2702904,,,,47611,1315301,,,,,,,6780,11857,204,3762,,,,,282791,305394,330402,1620695,
Kansai,201411,,,3677012,,,,7926429,7926429,,,,3101,6435397,,,,,,,46074,40998,0,19997,,,,,727935,835004,731036,7270401,
Chugoku,201411,,,957410,,,,5122736,5122736,,,,1381,2407385,,,,,,,5658,25642,288,6700,,,,,484441,522729,485822,2930114,
Shikoku,201411,,,707404,,,,2261644,2261644,,,,81745,1621318,,,,,,,5962,50634,202,3448,,,,,465186,525432,546931,2146750,
Kyushu,201411,,,3021313,,,,7744481,7744481,,,,228654,5044756,,,,,,,19554,152816,824,9400,,,,,873143,1055737,1101797,6100493,
Okinawa,201411,,,,,,,,,,285860,686335,,423584,,,,,,,1786,3869,0,10982,,,686335,223686,26328,952986,345441,1376570,
Hokkaido,201410,,,1160340,,,,1764168,1764168,,,,15790,1362320,,,,,,,54327,13084,101,4622,,,,,430965,503099,446755,1865419,
Tohoku,201410,,,3139584,,,,4589180,4589180,,,,67937,3866088,,,,,,,27440,38151,557,8700,,,,,551790,626638,619727,4492726,
Tokyo,201410,,,15043052,,,,13040254,13040254,,,,6837,11925944,,,,,,,120142,63782,2743,56156,,,,,1319879,1562701,1326716,13488645,
Chubu,201410,,,6055355,,,,7391952,7391952,,,,146507,5786637,,,,,,,18291,55409,164,12675,,,,,1612457,1698996,1758964,7485633,
Hokuriku,201410,,,1181887,,,,2686677,2686677,,,,48061,1316597,,,,,,,8003,21569,166,3793,,,,,197644,231175,245705,1547772,
Kansai,201410,,,3676154,,,,7898942,7898942,,,,2837,6442839,,,,,,,44773,55833,0,20048,,,,,728397,849051,731234,7291890,
Chugoku,201410,,,956891,,,,5103601,5103601,,,,1377,2409764,,,,,,,6637,73155,288,6748,,,,,486159,572987,487536,2982751,
Shikoku,201410,,,706992,,,,2251042,2251042,,,,81295,1621717,,,,,,,5712,63785,202,3448,,,,,467790,540937,549085,2162654,
Kyushu,201410,,,3017992,,,,7709981,7709981,,,,223871,5044289,,,,,,,16937,244329,899,9412,,,,,875710,1147287,1099581,6191576,
