Company,Year_term,Thermal efficiency_Generation (%),Thermal efficiency_transmission (%),Electricity generated (MWh),Coal (wet)_purchased (wet base) (t),Coal (wet)_consumed_purchased (wet base) (t),Coal (wet)_consumed_consumed (kJ bases) (kj),Coal (wet)_consumed_stored (end of months) (t),Heavy oil (before blending)_purchased (kl),Heavy oil (before blending)_consumed_for genration (kl),Heavy oil (before blending)_consumed_consumed (kJ bases) (kj),Heavy oil (before blending)_consumed_stored (end of months) (kl),Crude oil (befor blending)_purchased (kl),Crude oil (befor blending)_consumed_for genration (kl),Crude oil (befor blending)_consumed_consumed (kJ bases) (kj),Crude oil (befor blending)_consumed_stored (end of months) (kl),Naphtha (before blending)_purchased (kl),Naphtha (before blending)_consumed_for genration (kl),Naphtha (before blending)_consumed_stored (end of months) (kl),NGL (before blending)_purchased (kl),NGL (before blending)_consumed_for genration (kl),NGL (before blending)_consumed_stored (end of months) (kl),LNG_purchased (t),LNG_consumed_for genration (t),LNG_consumed_consumed (kJ bases) (kj),LNG_consumed_stored (end of months) (t),LPG_purchased (t),LPG_consumed_for genration (t),LPG_consumed_stored (end of months) (t),Total consumption (Heavy oil eq.) (kl),Generation2 (%),Generation3 (%)
会社名,年期,熱効率_発電,熱効率_送電,発電,石炭湿_湿,石炭湿_湿2,石炭湿_消費,石炭湿_月末貯炭,重油ブレンド分調整前_受入,重油ブレンド分調整前_発電用,重油ブレンド分調整前_消費,重油ブレンド分調整前_月末貯油,原油ブレンド分調整前_受入,原油ブレンド分調整前_発電用,原油ブレンド分調整前_消費,原油ブレンド分調整前_月末貯油,ナフサブレンド分調整前_受入,ナフサブレンド分調整前_発電用,ナフサブレンド分調整前_月末貯油,ＮＧＬブレンド分調整前_受入,ＮＧＬブレンド分調整前_発電用,ＮＧＬブレンド分調整前_月末貯油,ＬＮＧ_受入,ＬＮＧ_発電用,ＬＮＧ_消費,ＬＮＧ_月末貯油,ＬＰＧ_受入,ＬＰＧ_発電用,ＬＰＧ_月末貯油,重油換算総消費量,発電2,発電3
Chubu,2014H2,43.68,42.25,60220934,5313174,5336188,27600,376609,6243,10364,39370,61480,75589,80234,38840,598878,,,,,,,6737896,6516347,54700,543497,3799,2612,54,12607801,0.209,43.68
Hokuriku,2014H2,39.64,37.53,13072482,3836358,3797465,28560,631535,244945,264165,41630,164999,157471,161487,38940,46841,,,,,,,,,,,,,,2849929,0.218,39.64
Kansai,2014H2,44.44,43.06,50314053,2561830,2452160,27960,273585,282900,241964,41010,127028,2168413,2199335,39470,390768,,,,,,392,4562064,4515681,54780,359341,235,23,288,9947951,0.198,44.44
Chugoku,2014H2,40.61,38.73,19912216,2506270,2807574,28570,489070,713171,712675,41880,164092,228309,240622,40920,94962,,,,,,,1175070,1132170,54580,227303,,,,4215522,0.212,40.61
Shikoku,2014H2,39.92,37.94,8911779,1608847,1656391,27820,393414,371518,376702,41740,107460,112221,115754,41220,80195,,,,,,,287862,187786,54580,68135,,,,1924501,0.216,39.92
Kyushu,2014H2,41.02,39.66,30601311,3667510,3459320,27550,507710,825548,823994,41590,151242,370573,377187,38980,111189,,,,,,,2405253,2417280,54720,172656,,,,6447138,0.211,41.02
Okinawa,2014H2,40.04,36.51,2819591,761258,750369,25940,155934,56676,51011,40890,52166,,,,,,,,,,,69347,102580,54510,67200,,,,619944,0.22,40.04
Hokkaido,2014H1,39.4,37.28,9747431,2570380,2397117,27010,992999,629342,683054,41790,196765,,,,,,,,,,,,,,,,,,2130100,0.219,39.4
Tohoku,2014H1,42.54,40.89,26468878,3678153,3873977,27390,600674,283087,292096,41050,191492,70477,107941,39460,103869,,,,,,,1867332,1877883,54680,82435,,,,5456634,0.206,42.54
Tokyo,2014H1,43.72,42.37,102506546,3923821,3879019,29460,655734,1146108,1152280,40880,499755,393506,244254,39210,701346,,,,0,0,62,11958954,11368525,54570,747053,188077,184217,125845,20649871,0.201,43.72
