Company,Year_term,Thermal efficiency_Generation (%),Thermal efficiency_transmission (%),Electricity generated (MWh),Coal (wet)_purchased (wet base) (t),Coal (wet)_consumed_purchased (wet base) (t),Coal (wet)_consumed_consumed (kJ bases) (kj),Coal (wet)_consumed_stored (end of months) (t),Heavy oil (before blending)_purchased (kl),Heavy oil (before blending)_consumed_for genration (kl),Heavy oil (before blending)_consumed_consumed (kJ bases) (kj),Heavy oil (before blending)_consumed_stored (end of months) (kl),Crude oil (befor blending)_purchased (kl),Crude oil (befor blending)_consumed_for genration (kl),Crude oil (befor blending)_consumed_consumed (kJ bases) (kj),Crude oil (befor blending)_consumed_stored (end of months) (kl),Naphtha (before blending)_purchased (kl),Naphtha (before blending)_consumed_for genration (kl),Naphtha (before blending)_consumed_stored (end of months) (kl),NGL (before blending)_purchased (kl),NGL (before blending)_consumed_for genration (kl),NGL (before blending)_consumed_stored (end of months) (kl),LNG_purchased (t),LNG_consumed_for genration (t),LNG_consumed_consumed (kJ bases) (kj),LNG_consumed_stored (end of months) (t),LPG_purchased (t),LPG_consumed_for genration (t),LPG_consumed_stored (end of months) (t),Total consumption (Heavy oil eq.) (kl),Generation2 (%),Generation3 (%)
会社名,年期,熱効率_発電,熱効率_送電,発電,石炭湿_湿,石炭湿_湿2,石炭湿_消費,石炭湿_月末貯炭,重油ブレンド分調整前_受入,重油ブレンド分調整前_発電用,重油ブレンド分調整前_消費,重油ブレンド分調整前_月末貯油,原油ブレンド分調整前_受入,原油ブレンド分調整前_発電用,原油ブレンド分調整前_消費,原油ブレンド分調整前_月末貯油,ナフサブレンド分調整前_受入,ナフサブレンド分調整前_発電用,ナフサブレンド分調整前_月末貯油,ＮＧＬブレンド分調整前_受入,ＮＧＬブレンド分調整前_発電用,ＮＧＬブレンド分調整前_月末貯油,ＬＮＧ_受入,ＬＮＧ_発電用,ＬＮＧ_消費,ＬＮＧ_月末貯油,ＬＰＧ_受入,ＬＰＧ_発電用,ＬＰＧ_月末貯油,重油換算総消費量,発電2,発電3
Hokuriku,2011H1,38.81,36.62,10309927,3423158,3194478,28470,673713,249396,109231,41566,309961,147533,144573,39140,47898,,,,,,,,,,,,,,2300814,0.223,38.81
Kansai,2011H1,42.33,40.79,30562641,2013065,2089218,27950,188683,101201,103028,40660,77411,1275528,1185548,39660,471183,,,,,,402,2885461,2818684,54760,385792,26,4,292,6417971,0.21,42.33
Chugoku,2011H1,40.1,38.11,16494969,2643877,2302959,28460,911384,656335,632099,41900,122637,339535,295440,40940,159798,,,,,,,1010869,874054,54510,237314,,,,3533576,0.214,40.1
Shikoku,2011H1,38.6,36.37,7096079,1588072,1577372,27580,367728,215329,197108,41800,130256,69052,70136,40980,72438,,,,,,,174240,140878,54620,18049,,,,1582853,0.223,38.6
Kyushu,2011H1,40.88,39.41,21975579,2977772,2853928,27100,613061,220171,168273,41610,150764,416110,392752,38820,126261,,,,,,,1852839,1805171,54780,137830,,,,4650968,0.212,40.88
Okinawa,2011H1,37.56,33.94,3223903,957291,1064446,25160,144775,162637,155420,41650,88978,,,,,,,,,,,,,,,,,,741975,0.23,37.56
Hokkaido,2010H2,39.35,37.01,8169739,2550014,2504239,26610,915764,281967,302095,41790,174354,0,0,0,17944,,,,,,,,,,,,,,1787558,0.219,39.35
Tohoku,2010H2,41.93,40.22,24610181,4522925,4106285,27690,888413,149525,167812,41310,169303,149161,124324,40130,185998,,,,,,,1747479,1659245,54600,148767,,,,5115509,0.208,41.93
Tokyo,2010H2,43.32,41.99,82229003,1318117,1324767,29950,198513,1311356,1349737,40970,291140,750660,536137,39530,673959,,,,0,1134,2850,10437833,9758147,54570,761747,215892,189735,64826,16673912,0.203,43.32
Chubu,2010H2,42.31,40.77,52331038,5561607,5440834,27850,401869,21775,2508,41370,74218,274068,347727,38770,672727,,,,,,,5566382,5303023,54620,245883,653,613,54,10983703,0.206,42.31
Hokuriku,2010H2,39.17,37.02,8998867,2691887,2838417,28640,445033,63723,83924,41190,172356,84087,86557,38750,44938,,,,,,,,,,,,,,2007993,0.223,39.17
Kansai,2010H2,43.4,41.86,23679869,2119688,2152148,28390,264837,29241,54704,41010,92909,396143,459944,39740,381993,,,,,,402,2226125,2187073,54610,339439,950,610,334,4846811,0.205,43.4
Chugoku,2010H2,40.74,38.79,19742024,3147491,3152563,28390,622486,650764,645266,42020,98695,349992,356018,41110,115706,,,,,,,886859,901381,54460,100771,,,,4151396,0.21,40.74
Shikoku,2010H2,39.65,37.45,5521714,1434765,1252101,27980,353863,79115,74364,41840,116369,16,7221,41000,69377,,,,,,,178067,130576,54600,25019,,,,1198185,0.217,39.65
Kyushu,2010H2,41.11,39.61,18531709,2961700,2776951,27240,489217,175212,218382,41450,98873,280668,263212,39000,102903,,,,,,,1309868,1343865,54610,90162,,,,3915723,0.211,41.11
Okinawa,2010H2,37.75,34.01,2743725,954986,867290,26260,251930,132229,129395,41580,81761,,,,,,,,,,,,,,,,,,629336,0.229,37.75
Hokkaido,2010H1,37.89,35.25,4440772,1675331,1389624,27520,862073,155192,148725,42030,200446,2690,0,0,17899,,,,,,,,,,,,,,1003802,0.226,37.89
Tohoku,2010H1,40.97,39.12,17978383,3026596,3198306,27570,438263,181112,148445,41250,201197,56637,58609,40290,161073,,,,,,,1285813,1130930,54600,149444,,,,3830174,0.213,40.97
Tokyo,2010H1,42.87,41.49,86530729,1732132,1692050,29850,246437,1690617,1773775,40890,329330,861908,1093133,39290,476364,,,,,11887,3978,10350394,9703498,54580,723710,88788,136348,20069,17761562,0.205,42.87
Chubu,2010H1,41.78,40.11,47269816,5636655,5761808,27760,281096,38887,39160,40440,55401,305577,162607,38830,746706,,,,,,,4878590,4552529,54600,321765,0,0,35,10072254,0.213,41.78
Hokuriku,2010H1,38.77,36.47,7557166,2609278,2449936,28610,591563,111619,76215,41070,193408,50335,43147,38550,47406,,,,,,,,,,,,,,1708843,0.226,38.77
Kansai,2010H1,42.03,40.43,25811766,1867203,1844609,28520,216183,138627,110595,40960,131185,670954,700409,40060,447030,,,,,,402,2555693,2549476,54700,323161,2,8,,5402633,0.209,42.03
Chugoku,2010H1,40.21,38.21,19727446,3315951,3119682,28400,722318,601586,625361,41930,93300,356009,373462,41060,121728,,,,,,,952832,949817,54480,116824,,,,4212704,0.214,40.21
Shikoku,2010H1,38.1,35.88,5686109,1308061,1266955,27610,202290,86670,97375,41630,111298,19912,27569,41010,75945,,,,,,,177009,155353,54650,21304,,,,1284928,0.226,38.1
Kyushu,2010H1,40.91,39.33,18069572,2760455,2845458,27360,305372,60099,97298,41380,142360,78168,119302,38880,85337,,,,,,,1369852,1418571,54600,124159,,,,3843640,0.213,40.91
Okinawa,2010H1,37.45,33.85,3274487,1050210,1033589,26290,164234,168002,153551,41580,78946,,,,,,,,,,,,,,,,,,756931,0.231,37.45
Hokkaido,2009H2,39.35,36.92,8284113,2306052,2590538,26560,580061,255278,237858,41760,198941,36595,39525,36070,15209,,,,,,,,,,,,,,1815774,0.219,39.35
Tohoku,2009H2,41.64,39.95,22402957,3638802,3753385,27670,579373,107499,125818,41100,168530,69064,60055,39570,163195,,,,,,,1535278,1559219,54750,62844,,,,4712305,0.21,41.64
Tokyo,2009H2,43.17,41.79,79962513,1859513,1935494,29940,206355,1037422,1140349,40840,438340,438320,455703,39690,727601,,,,,5158,15999,9935195,9409343,54560,590892,133661,147063,72429,16306471,0.204,43.17
Chubu,2009H2,42.59,41.07,46105082,4398935,4510234,28080,406249,9872,7614,40750,55668,24863,181340,38880,605654,,,,,,,5027230,4829254,54610,312349,282,264,49,9631211,0.207,42.59
Hokuriku,2009H2,39.23,37.09,9353840,2914080,2947044,28550,432221,101747,125159,41250,158881,62412,51888,38710,40218,,,,,,,,,,,,,,2073818,0.222,39.23
Kansai,2009H2,42.14,40.78,24799588,938886,733927,28230,193589,93610,52597,40240,120650,898303,873643,39530,476919,,,,,,402,2916099,2853447,54670,341225,39,3,139,5273177,0.213,42.14
Chugoku,2009H2,40.46,38.43,16182773,2424892,2603120,28560,586803,444253,438007,42020,117359,243478,233425,41160,139191,,,,,,,872630,846943,54510,117580,,,,3427193,0.212,40.46
Shikoku,2009H2,38.4,36.11,5341586,1112205,1292222,27800,160509,176215,179079,41870,127812,13998,14014,41010,77800,,,,,,,60408,34443,54770,22184,,,,1195732,0.224,38.4
Kyushu,2009H2,41.32,39.72,16421262,2888008,2938347,27440,390375,65009,59972,41190,179559,83474,76408,38800,126474,,,,,,,1184855,1163409,54600,172878,,,,3462414,0.211,41.32
Okinawa,2009H2,38.08,34.39,2647254,788889,804456,27210,147613,136625,120237,41240,64523,,,,,,,,,,,,,,,,,,606838,0.229,38.08
Hokkaido,2009H1,39.25,36.75,6630149,2309915,2137742,26940,853077,156819,167080,41930,189069,0,0,0,18292,,,,,,,,,,,,,,1450467,0.219,39.25
Tohoku,2009H1,40.81,39.02,21935128,3986298,4090202,27320,644225,104107,155541,41090,186745,42221,51550,38950,154269,,,,,,,1424093,1389921,54680,185926,,,,4708567,0.215,40.81
Tokyo,2009H1,42.65,41.24,81004311,1564109,1601890,30020,330038,2017915,1904947,40880,538487,884369,868072,39000,773013,,,,34819,33280,29435,9643326,9097445,54560,648650,144706,99016,93031,16726431,0.206,42.65
Chubu,2009H1,42.13,40.49,46127074,5048454,4898528,28290,517554,35118,26961,40270,53854,415795,114115,38830,762542,,,,,,,5019495,4723302,54550,410437,624,587,53,9790189,0.212,42.13
Hokuriku,2009H1,38.71,36.48,6679978,1913836,2216203,28600,465189,33140,28396,40900,184332,2175,22860,38680,30044,,,,,,,,,,,,,,1518973,0.227,38.71
Kansai,2009H1,41.34,39.74,18174181,649624,815408,28040,48,69268,68545,40930,103131,412545,439707,40530,453596,,,,,,401,2032009,2127267,54550,302335,68,1,163,3887241,0.214,41.34
Chugoku,2009H1,40.93,38.98,16916329,2648150,2796358,28530,844086,360201,358018,42080,111544,94238,109102,41220,127691,,,,,,,1040928,1003113,54480,93027,,,,3535347,0.209,40.93
Shikoku,2009H1,37.78,35.35,5211715,1270059,1322109,28400,380447,164184,184764,41860,128663,11959,11437,40950,77455,,,,,,,,,,,,,,1185840,0.228,37.78
Kyushu,2009H1,41.15,39.57,16685160,2658911,2853802,27170,440715,62686,48112,41310,174105,25156,40454,38820,119492,,,,,,,1204386,1290288,54570,151432,,,,3526541,0.211,41.15
Okinawa,2009H1,38.17,34.51,3247317,981766,1014385,26150,175051,156882,153805,41480,48136,,,,,,,,,,,,,,,,,,738261,0.227,38.17
Hokkaido,2008H2,39.31,37.04,10754404,2851734,2966224,26660,685179,573766,524025,41740,205038,70297,75967,37290,18292,,,,,,,,,,,,,,2357785,0.219,39.31
Tohoku,2008H2,41.56,39.88,23747127,3780316,3762223,27520,716687,285964,255000,41090,238193,101462,104449,38880,163663,,,,,,,1766608,1665893,54680,208414,,,,5006420,0.211,41.56
Tokyo,2008H2,42.69,41.34,89044856,1695633,1480035,29970,367819,2452021,2615720,40880,422614,1082559,1053234,39520,798947,,,,0,224,29752,9709348,9480585,54550,570540,357360,369755,35258,18358222,0.206,42.69
Chubu,2008H2,42.82,41.29,47208090,4179560,4205600,28050,367642,2269,2035,41450,46140,247390,291611,38720,460945,,,,,,,5228257,4988142,54540,355766,64132,64110,55,9790944,0.203,42.82
Hokuriku,2008H2,39.24,37.2,10591094,3455335,3202563,28690,767566,112924,165154,41110,180476,104366,105422,38830,50429,,,,,,,,,,,,,,2358549,0.223,39.24
Kansai,2008H2,40.58,38.96,19768019,1105910,1143402,27940,130241,67032,44580,41080,117317,765453,738099,39350,481172,,,,,,401,2160466,2106964,54510,416008,22,2,117,4328555,0.219,40.58
Chugoku,2008H2,40.54,38.49,18293555,3693208,3178993,28480,1051531,540218,513137,42120,109507,403034,354355,41140,142560,,,,,,,659449,765897,54450,56387,,,,3856206,0.211,40.54
Shikoku,2008H2,38.93,36.67,6296865,1516152,1600267,27900,425235,176881,163225,41760,149627,77159,68857,40790,76727,,,,,,,,,,,,,,1391298,0.221,38.93
Kyushu,2008H2,41.1,39.55,14796964,2744376,2498328,27650,635606,28001,35637,41430,159531,70344,43495,38850,134790,,,,,,,1240827,1143692,54470,237334,,,,3127159,0.211,41.1
Okinawa,2008H2,37.66,33.97,2918830,948477,917694,26870,207670,112661,124738,41730,45066,,,,,,,,,,,,,,,,,,668644,0.229,37.66
Hokkaido,2008H1,39.23,36.97,10238903,2835117,2707832,25880,797950,554940,549266,41640,162455,148878,143758,39190,24247,,,,,,,,,,,,,,2256501,0.22,39.23
Tohoku,2008H1,41.21,39.46,23137074,3778437,3841668,27330,652213,347838,318251,41030,207249,189130,138233,38850,166702,,,,,,,1629546,1494047,54610,196657,,,,4926038,0.213,41.21
Tokyo,2008H1,42.18,40.79,93368305,1438016,1618854,29560,157353,3522459,3412859,40900,579416,1651001,1542384,39310,819406,0,0,0,25032,147,29962,10354390,9491648,54570,907848,136862,121621,42453,19483359,0.209,42.18
Chubu,2008H1,41.76,40.05,47713133,5551865,5458809,27780,393685,9419,17714,40310,46287,540647,454822,38720,505590,,,,,,,4773408,4567348,54530,337205,27580,27532,44,10204501,0.214,41.76
Hokuriku,2008H1,38.88,36.76,9973701,3029550,2894673,28320,514794,336681,240297,41510,235659,131450,131335,39000,51190,,,,,,,,,,,,,,2224666,0.223,38.88
Kansai,2008H1,39.63,38.04,30347028,1228696,1196909,28220,138924,205962,220456,40970,107788,1988850,1961252,39550,458088,,,,,,401,2842935,2880998,54620,387988,,,113,6733305,0.222,39.63
Chugoku,2008H1,40.17,38.18,18246062,2663594,2701266,28150,647406,499322,501077,42180,82670,564718,554888,41080,94862,,,,,,,1028370,884761,54480,190874,,,,3876491,0.212,40.17
Shikoku,2008H1,38.33,36.11,6251338,1537721,1272997,27980,493080,294672,294449,41820,131105,120350,131312,40970,72465,,,,,,,,,,,,,,1402879,0.224,38.33
Kyushu,2008H1,40.57,39,17575108,3157444,3061960,27310,391143,167021,145104,41290,167109,101015,84668,38870,107852,,,,,,,1199582,1268410,54450,140216,,,,3774309,0.215,40.57
Okinawa,2008H1,37.85,34.24,3303385,1111199,1065609,26310,176887,154077,136467,41590,57161,,,,,,,,,,,,,,,,,,755373,0.229,37.85
Hokkaido,2007H2,39.77,37.52,10600401,2794698,2872814,26290,673821,531228,510861,41610,161419,115316,115504,37540,19128,,,,,,,,,,,,,,2303951,0.217,39.77
Tohoku,2007H2,41.23,39.53,26252440,4104194,4002350,27570,666958,543720,582369,41030,177666,185586,249379,39120,115885,,,,,,,1781411,1641424,54580,112841,,,,5586220,0.213,41.23
Tokyo,2007H2,42.14,40.82,103514467,1968387,2020405,29730,338191,3888043,3909484,40930,465330,2120897,2072026,39420,791031,,,,,8730,5077,10574967,10195391,54580,510990,44068,95389,22012,21605496,0.209,42.14
Chubu,2007H2,41.46,39.9,54808423,5187601,5265180,28270,300636,54645,51805,40500,54670,1437439,1397017,38770,424552,,,,,,,5386066,5065981,54550,381201,87870,87850,25,11744146,0.214,41.46
Hokuriku,2007H2,39.5,37.5,14169495,3631747,3877755,28630,379917,404557,399690,41250,144037,214183,209311,39230,50975,,,,,,,,,,,,,,3128752,0.221,39.5
Kansai,2007H2,40.12,38.62,26820481,862432,747589,28060,107137,138472,120159,40700,133242,2077711,2028803,39460,431338,,,,,,401,2630585,2493563,54570,451038,113,a,147,5935762,0.221,40.12
Chugoku,2007H2,40.29,38.19,20650122,3825549,3707542,28610,749587,603845,592615,42080,84427,657090,637498,41080,85032,,,,,,,647757,637340,54470,81832,,,,4384865,0.212,40.29
Shikoku,2007H2,38.93,36.83,7440575,1381872,1511457,28260,216006,410587,389663,41880,131200,129173,124437,40870,83244,,,,,,,,,,,,,,1644219,0.221,38.93
Kyushu,2007H2,41.11,39.55,16673743,2549037,2778419,27590,295659,252551,194655,41220,145192,153412,134765,39070,91505,,,,,,,1201595,1133223,54460,209044,,,,3547815,0.213,41.11
Okinawa,2007H2,38.29,34.54,2682777,732961,823090,27230,131297,95998,109019,41440,39537,,,,,,,,,,,,,,,,,,608673,0.227,38.29
Hokkaido,2007H1,39.83,37.6,8133414,2509493,2181145,26920,779453,361943,347668,41660,147728,107729,106971,38340,19945,,,,,,,,,,,,,,1767591,0.217,39.83
Tohoku,2007H1,40.74,38.96,23232402,3908775,3847422,27300,499105,322361,311138,41070,216496,145475,152739,39170,179832,,,,,,,1557430,1546175,54600,60832,,,,4998160,0.215,40.74
Tokyo,2007H1,41.86,40.48,89317138,1612210,1442779,29870,388940,2830114,2881585,40930,481854,1177163,1124962,39670,792557,,,,536,10727,14873,9842348,9674827,54540,570293,268837,225024,83433,18750394,0.21,41.86
Chubu,2007H1,41.16,39.52,48986024,4947770,4921184,28230,378215,23649,21244,40500,51833,562010,662145,38920,384383,,,,,,,5117681,4936239,54500,318598,35850,35775,48,10583187,0.216,41.16
Hokuriku,2007H1,39.51,37.44,11131634,3217378,3312173,28730,625925,192960,173672,41120,145601,117088,119511,39300,46106,,,,,,,,,,,,,,2466645,0.222,39.51
Kansai,2007H1,39.85,38.25,23980721,785488,1005477,28310,50,144382,138086,40660,124249,1135258,1068923,39660,385463,,,,,,401,2627281,2614773,54590,341184,154,149,51,5336058,0.223,39.85
Chugoku,2007H1,40.05,38.04,19296183,3468264,3321904,28570,696607,431162,464231,42040,73315,581159,614498,40940,67088,,,,,,,712228,732832,54470,118867,,,,4122339,0.214,40.05
Shikoku,2007H1,38.07,35.9,7187272,1559869,1531569,28240,334373,286905,283828,41830,114541,167003,183074,40900,73420,,,,,,,,,,,,,,1625130,0.226,38.07
Kyushu,2007H1,40.32,38.76,17504203,2829895,2547979,27310,525427,222897,276930,41210,87262,263714,299194,39150,72821,,,,,,,1247462,1250324,54470,140672,,,,3787639,0.216,40.32
Okinawa,2007H1,37.37,33.8,3290445,1134345,982931,27060,216426,180366,171999,41530,52715,,,,,,,,,,,,,,,,,,763170,0.232,37.37
Hokkaido,2006H2,40.53,38.31,10138990,2414030,2620157,26050,455105,518686,528461,41670,136634,114963,102448,37550,19187,,,,,,,,,,,,,,2159981,0.213,40.53
Tohoku,2006H2,41.13,39.46,27470364,3640140,3928052,27480,411571,574390,573661,41070,205273,220630,204038,39540,187187,,,,,,,1905114,1901291,54610,94265,,,,5854980,0.213,41.13
Tokyo,2006H2,42.33,40.97,76147062,1728220,1751348,29780,219509,1350128,1446596,40810,529962,723883,698213,39310,792536,,,,900,16013,29009,8971952,8748721,54530,733320,55849,97892,38820,15870436,0.208,42.33
Chubu,2006H2,41.65,40.13,50350212,4767290,4787418,28490,351629,26521,32766,40170,49988,1051063,945170,38900,484585,,,,,,,5138848,4866985,54500,341354,75895,75928,,10843886,0.215,41.65
Hokuriku,2006H2,39.95,37.94,12656548,3960743,3835739,28670,720720,79592,111984,40970,128668,127668,151007,39170,48395,,,,,,,,,,,,,,2784138,0.22,39.95
Kansai,2006H2,40.99,39.43,20679737,1295931,1178464,28470,191003,119553,126635,41010,130772,660956,699426,39810,319740,,,,,,401,2169904,2164750,54560,354868,23,2,93,4415818,0.214,40.99
Chugoku,2006H2,40.12,38.07,19304759,3302055,3027229,28560,622187,658465,671866,42040,106424,598939,624263,41210,100431,,,,,,,762767,701733,54450,184363,,,,4120712,0.213,40.12
Shikoku,2006H2,38.73,36.51,6721949,1347667,1591382,28250,290475,194686,222914,41910,112243,96054,85918,40680,88844,,,,,,,,,,,,,,1494590,0.222,38.73
Kyushu,2006H2,41.27,39.77,17465384,2675475,2795543,27620,243511,79918,98792,41370,141300,136656,196220,39050,108304,,,,,,,1241264,1267474,54460,143573,,,,3676665,0.211,41.27
Okinawa,2006H2,37.63,33.97,2710116,659569,772620,27240,65012,119421,160598,41570,44358,,,,,,,,,,,,,,,,,,623739,0.23,37.63
Hokkaido,2006H1,39.61,37.22,6801600,2125559,2012950,27560,663063,327015,236438,41770,152371,0,2045,37380,6889,,,,,,,,,,,,,,1478852,0.217,39.61
Tohoku,2006H1,40.65,38.82,22957329,3955414,3831206,27380,669125,411916,369755,40980,204641,166815,138665,38980,170575,,,,,,,1587844,1464323,54580,146532,,,,4961400,0.216,40.65
Tokyo,2006H1,42,40.56,69247590,1521402,1425136,29710,247813,1580891,1407076,40690,648389,834104,491824,39100,804506,,,,40467,2851,44985,8497843,8054873,54550,875730,178818,194039,82263,14590029,0.211,42
Chubu,2006H1,41.15,39.52,50252233,5328471,5225215,28610,371762,23950,19519,40340,56292,551091,499799,39120,379287,,,,,,,5132256,5043037,54490,292575,78112,78077,54,10900941,0.217,41.15
Hokuriku,2006H1,39.64,37.53,9290000,3122402,2992453,28400,595716,77118,62225,40990,161198,64200,43576,39120,72261,,,,,,,,,,,,,,2057932,0.222,39.64
Kansai,2006H1,39.96,38.34,18069968,661834,588296,28720,73543,252925,199619,40630,149720,972864,816594,39780,358996,,,,,10,400,2059254,1960757,54490,358417,85,42,94,4005198,0.222,39.96
Chugoku,2006H1,39.94,37.73,17800983,3174541,3402332,28690,428197,571283,532426,42010,119756,260422,204528,41010,127908,,,,,,,733267,698965,54470,156136,,,,3820086,0.215,39.94
Shikoku,2006H1,38.24,36.01,6437139,1449705,1333945,28080,541760,341510,307833,41870,142192,119251,117425,40760,77444,,,,,,,,,,,,,,1449839,0.225,38.24
Kyushu,2006H1,40.36,38.73,14939335,2444917,2508259,27560,363579,134046,84989,41180,160060,148001,98554,39010,167864,,,,,,,1118289,1128211,54480,169783,,,,3235023,0.217,40.36
Okinawa,2006H1,37.83,34.18,3249144,1022155,996351,26830,178063,196316,157384,41350,85582,,,,,,,,,,,,,,,,,,747722,0.23,37.83
Hokkaido,2005H2,39.92,37.74,10352153,2567153,2710112,26770,552493,552095.2,561959,41440,67315,53741,62279,37360,8934,,,,,,,,,,,,,,2252415,0.218,39.92
Tohoku,2005H2,40.38,38.66,26820173,3966769,4089571,27430,504302,864289,907546,41020,162481,420868,434266,39140,142602,,,,,,,1342364,1382730,54580,55540,,,,5829810,0.217,40.38
Tokyo,2005H2,42.12,40.79,79995120,1901141,1952894,29970,151547,2643475,2557230,40760,471297,1449502,1543168,39300,522512,,,,751,10968,7372,8048951,7815487,54550,696948,171391,166617,77984,16772334,0.21,42.12
Chubu,2005H2,41.4,39.79,47146064,5212651,5295367,28430,268510,75077,107045,39920,51992,1347759,1281611,38900,328505,,,,,,,4189009,3949019,54540,346284,1145,1077,55,10242490,0.218,41.4
Hokuriku,2005H2,39.54,37.49,10702909,3118005,3239493,28450,465775,153697,145462,41160,148149,126233,123915,39070,51124,,,,,,,,,,,,,,2368500,0.221,39.54
Kansai,2005H2,40.05,38.38,18981835,1154138,1188345,28370,12,118768,193061,40380,111799,977408,969749,39300,203089,,,,,620,410,1815041,1704898,54610,267294,16,3,115,4245919,0.224,40.05
Chugoku,2005H2,40.1,37.97,16626898,3237653,2872282,28660,707305,540961,555604,42010,81011,439609,471831,41060,72015,,,,,,,548164,548285,54430,130256,,,,3553168,0.214,40.1
Shikoku,2005H2,38.88,36.81,6908585,1330453,1294541,28300,414067,341054,353035,41850,109258,185183,187638,40990,74936,,,,,,,,,,,,,,1531636,0.222,38.88
Kyushu,2005H2,41.07,39.5,14223296,2610683,2430758,27900,426921,49000,68844,41060,111003,79586,77829,39070,118417,,,,,,,1078880,1039918,54570,179705,,,,3035239,0.213,41.07
Okinawa,2005H2,38.43,34.71,2722974,755705,798740,27310,152259,105013,126415,41330,49392,,,,,,,,,,,,,,,,,,617224,0.227,38.43
Hokkaido,2005H1,39.69,37.41,7072065,2225458,2092929,27800,712856,220358,221343,41490,83601,5969,14213,37720,17982,,,,,,,,,,,,,,1548028,0.219,39.69
Tohoku,2005H1,40.14,38.3,24941892,4341964,4254118,27350,599721,577127,524851,40970,205721,307066,277879,38860,156224,,,,,,,1478103,1393208,54550,152727,,,,5460090,0.219,40.14
Tokyo,2005H1,41.78,40.35,77133490,1510405,1463738,29790,200321,2318643,2309623,40870,381317,1137243,1016984,39260,697321,,,,1351,23002,17957,8548504,8228394,54560,647991,263060,208848,73210,16259996,0.211,41.78
Chubu,2005H1,41.32,39.63,43898907,4804954,5002336,28420,351228,16940,36028,39700,83969,294702,278148,38950,262587,,,,,,,4489029,4327223,54590,306123,1,1,,9633878,0.219,41.32
Hokuriku,2005H1,38.92,36.76,8319323,2861122,2691885,28460,587274,85431,71088,41200,140752,60905,56259,39200,48725,,,,,,,,,,,,,,1868030,0.225,38.92
Kansai,2005H1,40.1,38.42,18577549,1003524,1152843,27950,34232,159133,75057,40590,196916,386495,364308,39450,197533,,,,,,1031,2203731,2191541,54550,159826,,11,104,4128181,0.222,40.1
Chugoku,2005H1,39.95,37.81,18274284,3530217,3467586,28240,409826,491202,485497,42020,95428,471104,450349,40770,103723,,,,,,,738823,627604,54490,149812,,,,3918137,0.214,39.95
Shikoku,2005H1,38.08,35.74,5853340,1418422,1378908,28370,363934,236978,196278,41870,122368,84185,68819,40460,76111,,,,,,,,,,,,,,1325552,0.226,38.08
Kyushu,2005H1,40.64,39.07,14996128,1925842,2195943,28180,248850,55074,73535,41140,130788,132525,120305,39010,116645,,,,,,,1273719,1236069,54620,140743,,,,3233261,0.216,40.64
Okinawa,2005H1,37.26,33.66,3169477,1045468,992868,27100,195294,141324,146596,41470,70842,,,,,,,,,,,,,,,,,,738380,0.233,37.26
Hokkaido,2004H2,39.85,37.58,9892957,2940159,2844482,27040,585241,302327,326357,41830,87981,90111,85076,38350,26226,,,,,,,,,,,,,,2136881,,39.85
Tohoku,2004H2,40.38,38.64,26153983,3864459,4007719,27700,506935,471733,512292,41080,153544,250388,269146,39090,127089,,,,,,,1738809,1694148,54600,95967,,,,5675041,0.217,40.38
Tokyo,2004H2,42.16,40.79,80477002,1579907,1799067,29770,153654,2033715,2121807,40780,372638,1001891,1133556,39540,628396,,,,33065,1129,40309,8547909,8555520,54560,499770,175013,185086,34498,16833630,0.209,42.16
Chubu,2004H2,41.8,40.27,46455643,4745602,4407100,28410,548610,,6015,39930,117638,75085,122360,38950,261053,,449,,,,,5156292,5112644,54590,219990,,,,10045874,0.216,41.8
Hokuriku,2004H2,39.58,37.59,11870053,3310688,3321321,28710,418037,118323,128549,41340,126914,300482,333361,39220,43941,,,,,,,,,,,,,,2612225,0.22,39.58
Kansai,2004H2,40.5,38.9,17763182,1257932,1071439,28340,183556,106104,112554,40670,126240,391407,466367,39750,176226,,16,,,283,1031,1873796,1955528,54570,150341,,17,138,3918411,0.221,40.5
Chugoku,2004H2,40.22,38.16,17484230,3135933,3282302,28730,464932,436596,451098,42030,89838,424066,443328,40860,83080,,,,,,,622191,579702,54490,92658,,,,3723403,0.213,40.22
Shikoku,2004H2,38.92,36.78,7831306,1592997,1610849,28560,320668,272768,326445,41810,86049,221237,226159,40690,56531,,,,,,,,,,,,,,1736952,0.222,38.92
Kyushu,2004H2,41.4,39.89,12045894,1862901,1747856,28100,518951,999,5559,40670,149258,,25545,39270,104429,,,,,,,1005060,1061272,54610,103093,,,,2555793,0.212,41.4
Okinawa,2004H2,37.64,33.85,2585859,783363,778145,27320,142694,142083,126252,41380,76152,,,,,,,,,,,,,,,,,,597731,0.231,37.64
Hokkaido,2004H1,39.66,37.32,8289121,2457174,2449467,26970,504798,257878,282923,41660,118582,27871,13757,39030,21551,,,,,,,,,,,,,,1805213,0.218,39.66
Tohoku,2004H1,40.41,38.63,23905947,4070464,3948773,27500,635329,335333,376320,41030,194094,113365,145683,39210,145852,,,,,,,1725131,1566112,54640,135269,,,,5190190,0.217,40.41
Tokyo,2004H1,41.58,40.09,74808631,1664209,1573300,29770,355397,2025254,2001363,40830,458026,1199946,1032028,39370,807258,,,,750,7517,9796,8305022,8096824,54550,644772,137472,144300,69071,15864619,,41.58
