Company,Year_term,Fund requirements (construction funds) (M. JPY),Construction funds (M. JPY),Deferred payment for imported products (M. JPY),Deferred payment for domestic products   (M. JPY),Amortization (M. JPY),Bonds (M. JPY),Borrowings (M. JPY),Commercial bank loans (M. JPY),Bond issuing bank loans (M. JPY),Governmental financial institution (M. JPY),Other loans (M. JPY),Total (M. JPY),Internal funds (M. JPY),Internal reserves (M. JPY),Depreciation (M. JPY),Miscellaneous amortization (M. JPY),Reserves and provisions (M. JPY),Others (M. JPY),Customer contribution &c. (M. JPY),Capital increase (amount of issue) (M. JPY),Net proceeds from capital increase (M. JPY),External funds (M. JPY),"Bonds 
(amount of issue) (M. JPY)","Proceeds from 
bond issue (M. JPY)",Borrowings2 (M. JPY),Commercial bank loans2 (M. JPY),Bond issuing bank loans2 (M. JPY),Governmental financial institution2 (M. JPY),Other loans2 (M. JPY),Deferred payment borrowed money (M. JPY),Foreign capital deferred payment borrowed money (M. JPY),Domestic deferred payment borrowed money (M. JPY),Total2 (M. JPY)
会社名,年期,総工事資金,工事資金,外資延払,国内延払,債務償還,社債,借入金,市中銀行,債券発行銀行,政府系金融機関,その他借入金,合計,自己資金,内部留保,減価償却費,諸償却費,積立金,その他,工事費負担金等,増資発行額,増資手取額,外部資金,社債発行額,社債手取額,借入金2,市中銀行2,債券発行銀行2,政府系金融機関2,その他借入金2,延払借入,外資延払借入,国内延払借入,合計2
Chugoku,2003,80337,80337,,,1231058,107125,1123933,230100,8440,,857916,1311395,197008,213865,156469,162,,57234,-16857,,,1114387,40000,39837,1074550,230100,,,839650,,,,1311395
Shikoku,2003,63312,63312,,,151535,47250,104285,62785,,,24085,214847,106537,104111,88654,189,,15267,2425,,,108310,40000,39810,68500,57500,,,10000,,,,214847
Kyushu,2003,196985,196985,,,705527,301215,404312,197000,3668,,154212,902512,346491,376431,232151,572,,143708,-29940,,,556021,145000,144360,411661,190000,,,213900,,,,902512
Okinawa,2003,17554,17554,,,68686,8000,60686,,532,,29540,86241,33241,36992,31359,75,,5557,-3751,,,53000,12000,12000,41000,,,,28000,,,,86241
Hokkaido,2002,81427,81427,,,177602,43416,134186,59000,2576,,58496,259029,129262,126527,89253,311,,36961,2734,,,129767,30000,29867,99900,56200,,,41700,,,,259029
Tohoku,2002,219523,219523,,,629213,268320,360893,130000,8833,,187479,848737,328398,323768,247445,623,,75698,4630,,,520339,160000,159339,361000,120000,,,230000,,,,848737
Tokyo,2002,645250,645250,,,4795405,709740,4085665,,55649,,3919234,5440655,1103305,1184562,882863,2991,,298706,-81256,,,4337350,800000,797008,3540342,,767,,3523574,,,,5440655
Chubu,2002,264707,264707,,,1801472,113903,1687569,309292,47926,,1252088,2066179,454332,496016,389054,596,,106366,-41684,1,,1611847,199500,198883,1412964,290000,,,1101872,,,,2066179
Hokuriku,2002,109819,109819,,,432219,52936,379283,111206,4971,,240239,542039,127151,119646,87154,270,,32221,7504,,,414888,60000,59748,355140,123140,,,227000,,,,542039
Kansai,2002,322785,322785,,,1690519,208302,1482217,498485,9148,,906037,2013304,574616,680421,383030,416,,296974,-105804,,,1438687,100000,99583,1339103,436944,,,880687,,,,2013304
Chugoku,2002,108755,108755,,,1255683,135000,1120683,289800,5612,,787670,1364438,222573,227160,166821,235,,60103,-4587,,,1141864,60000,59764,1082100,274900,,,803500,,,,1364438
Shikoku,2002,64290,64290,,,163357,50000,113357,80127,,,13137,227647,116002,116684,95794,355,,20534,-681,,,111644,80000,79644,32000,57500,,,-27000,,,,227647
Kyushu,2002,235901,235901,,,601575,181418,420157,254155,3808,,108946,837476,393127,386634,247876,665,,138093,6493,,,444349,165000,164309,280040,197000,,,73300,,,,837476
Okinawa,2002,23490,23490,,,54828,,54828,1500,1032,,25539,78318,24317,33434,28796,129,,4508,-9116,,,54000,13000,13000,41000,1000,,,27000,,,,78318
Hokkaido,2001,100420,100420,,,205373,72290,133083,59000,2052,,55398,305793,126854,129636,95944,476,,33216,-2782,,,178939,50000,49779,129160,59000,,,60700,,,,305793
Tohoku,2001,255938,255938,,,545858,189234,356624,159500,3815,,149277,801796,328486,372510,287012,554,,84944,-44024,,,473310,140000,139410,333900,130000,,,180000,,,,801796
Tokyo,2001,932265,932265,,,5016447,862003,4154444,,60678,,3938430,5948713,1371920,1385412,916964,4571,,463876,-13491,,,4576793,763510,760047,3816745,,4330,,3755414,,,,5948713
Chubu,2001,345519,345519,,,2288892,370520,1918372,309292,40015,,1486616,2634411,481604,538802,418503,866,,119433,-57198,4,,2152807,229000,228084,1924723,309292,,,1593166,,,,2634411
Hokuriku,2001,91633,91633,,,645849,103492,542357,134400,12462,,373023,737482,121704,117046,92605,312,,24129,4657,,,615777,65000,64717,551060,137790,700,,402570,,,,737482
Kansai,2001,407186,407186,,,1473059,276039,1197020,729260,38488,,342702,1880245,645935,678555,396084,636,,281834,-32620,,,1234310,150000,149363,1084947,611932,,,438227,,,,1880245
Chugoku,2001,109780,109780,,,1195180,248547,946632,94960,5432,,815499,1304960,195310,211974,180065,597,,31310,-16663,,,1109650,150000,149402,960248,80850,,,849000,,,,1304960
Shikoku,2001,70521,70521,,,195042,60000,135042,90000,3816,,21924,265563,111199,124234,104642,235,985,18370,-13034,,,154364,50000,49764,104600,56000,,,45000,,,,265563
Kyushu,2001,286859,286859,,,593927,181774,412153,254155,4752,,72295,880786,327683,377277,244946,619,,131712,-49594,,,553103,160000,159373,393730,254155,,,126300,,,,880786
Okinawa,2001,32526,32526,,,46300,,46300,5,380,,20288,78827,22827,30094,25244,60,60,4730,-7267,,,56000,12000,12000,44000,,,,25000,,,,78827
Hokkaido,2000,105755,105755,,,235986,90100,145886,71000,4996,,38455,341741,121897,136065,84324,1245,1334,49162,-14168,,,219844,60000,59744,160100,59000,2000,,85600,,,,341741
Tohoku,2000,255005,255005,,,570943,209457,361486,183000,9003,,125493,825948,377703,344148,240555,747,1328,101518,33555,,,448245,180000,179253,268992,128100,,,121892,,,,825948
Tokyo,2000,905983,905983,,,4060924,881501,3179423,,55177,,2960669,4966908,1233128,1314899,946724,2636,a,365538,-81771,,,3733779,700000,697363,3036415,,3322,,2962093,,,,4966908
Chubu,2000,472883,472883,,,1964310,331781,1632529,386620,9626,,1154090,2437193,525880,552848,416329,1170,,135349,-26968,,,1911313,293000,291779,1619534,309292,,,1293042,,,,2437193
Hokuriku,2000,136945,136945,,,242532,80000,162532,89000,5839,,47890,379477,134531,131321,104451,311,1332,25225,3209,,,244946,70000,69696,175250,89000,1000,,73250,,,,379477
Kansai,2000,478098,478098,,,1685065,229483,1455582,836353,47316,,483017,2163163,588601,602135,406299,643,937,194254,-13533,,,1574561,150000,149356,1425205,814994,13070,,571140,,,,2163163
Chugoku,2000,154303,154303,,,915690,105000,810690,119749,35898,,605318,1069993,238997,227786,190948,464,825,35548,11211,,,830995,105000,104535,726460,94960,3200,,608300,,,,1069993
Shikoku,2000,96866,96866,,,169134,82500,86634,50000,8395,,15869,266000,160142,142386,116041,141,1685,24517,17756,,,105858,30000,29858,76000,50000,,,26000,,,,266000
Kyushu,2000,275571,275571,,,602685,206767,395918,254650,4752,,78089,878256,349886,388640,263043,571,1305,123721,-38754,,,528370,140000,139419,388951,254155,,,124300,,,,878256
Okinawa,2000,45680,45680,,,35745,,35745,15,1738,,10288,81426,31068,30013,23042,113,83,6774,1054,,,50358,17000,17000,33358,2000,1358,,5000,,,,81426
Hokkaido,1999,109220,109220,,,219041,75000,144041,81000,2148,,37554,328261,131028,128296,91715,1328,1114,34139,2732,,,197233,80000,79633,117600,71000,2000,,35600,,,,328261
Tohoku,1999,304183,304183,,,572892,160000,412892,227298,17365,,129040,877075,365691,356830,260856,616,2528,92830,8861,,,511384,150000,149384,362000,183000,2000,,137000,,,,877075
Tokyo,1999,1006435,1006435,,,3306485,890000,2416485,535343,37878,,1682633,4312921,1305225,1661924,996143,2692,2467,660619,-356698,,,3007695,595850,593157,2414538,117000,3591,,2222946,,,,4312921
Chubu,1999,461385,461385,,,1648557,235256,1413301,392696,26048,,932373,2109942,480002,497252,425765,900,2208,68379,-17250,2,,1629940,200000,199081,1430859,386620,4680,,1022375,,,,2109942
Hokuriku,1999,138024,138024,,,391659,39982,351677,97000,11769,,223907,529683,128739,118388,106955,420,1112,9899,10350,,,400944,90000,89624,311320,92000,4000,,200320,,,,529683
Kansai,1999,611360,611360,,,1514614,229850,1284764,887400,45482,,286520,2125974,569208,597596,415700,1474,4907,175515,-28389,,,1556766,350000,348525,1208241,837400,29760,,319281,,,,2125974
Chugoku,1999,176780,176780,,,831766,213546,618219,128717,12495,,439562,1008546,262707,242032,203129,760,2239,35902,20674,,,745838,165000,164239,581599,119749,2900,,435140,,,,1008546
Shikoku,1999,118534,118534,,,208870,33244,175626,50000,1526,,108047,327404,124602,141006,94742,98,1412,44753,-16403,,,202801,20000,19901,182900,50000,4200,,128700,,,,327404
Kyushu,1999,278215,278215,,,610673,186358,424315,274260,14236,,74153,888888,408902,470038,278897,661,2386,188094,-61136,,,479986,150000,149339,330647,256870,,,60000,,,,888888
Okinawa,1999,54600,54600,,,23498,,23498,342,380,,,78098,36098,34413,23861,315,4082,6153,1684,148,,42000,8000,8000,34000,3100,1900,,2000,,,,78098
Hokkaido,1998,81418,81418,,,213421,63000,150421,81000,10486,,38868,294839,105764,125590,95952,3157,1114,25367,-19826,,,189075,60000,59675,129400,81000,2300,,42100,,,,294839
Tohoku,1998,378644,378644,,,518538,118558,399980,226652,25791,,119837,897182,365501,352269,294190,852,2528,54699,13232,,,531681,180000,179148,352533,227298,7822,,67413,,,,897182
Tokyo,1998,1131609,1131609,,,3189316,541550,2647766,441637,95826,,1965337,4320925,1154151,1252195,979455,5271,6779,260689,-98044,,,3166774,799750,796041,2370733,429033,1501,,1868197,,,,4320925
Chubu,1998,436962,436962,,,1514077,369054,1145022,400820,60824,,614747,1951039,426447,496571,464703,2020,3729,26119,-70124,,,1524592,420000,418057,1106535,394744,8936,,684503,,,,1951039
Hokuriku,1998,96807,96807,,,570519,51000,519519,95000,21194,,388696,667326,99961,113300,104040,462,1112,7686,-13339,,,567365,90000,89595,477770,90000,10800,,364970,,,,667326
Kansai,1998,754769,754769,,,1544809,242110,1302699,937400,15739,,280598,2299578,603012,563392,427565,2095,4907,128823,39619,,,1696566,470000,467904,1228662,937400,25740,,229622,,,,2299578
Chugoku,1998,185838,185838,,,711622,88680,622942,128717,26679,,435719,897460,236402,248500,204264,459,1869,41906,-12097,,,661057,90000,89540,571517,128717,4700,,406420,,,,897460
Shikoku,1998,150057,150057,,,175042,57000,118042,50000,1112,,45007,325099,104132,112732,86436,433,1412,24449,-8599,,,220966,80000,79566,141400,50000,4200,,87200,,,,325099
Kyushu,1998,299176,299176,,,538310,112392,425918,270760,23504,,70080,837486,349943,359381,290067,892,2385,66037,-9438,,,487543,180000,179122,308421,272040,,,13000,,,,837486
Okinawa,1998,37836,37836,,,23453,1000,22453,465,380,,,61289,35269,30665,25275,26,1082,4281,4604,,,26020,,,26020,,,,,,,,61289
Hokkaido,1997,117725,117725,,,212958,38712,174246,81000,27072,,45595,330683,153811,134703,102641,1377,1114,29571,19108,,,176872,55000,54672,122200,81000,2000,,31200,,,,330683
Tohoku,1997,437655,437655,,,563464,194864,368600,308281,,,32350,1001119,445254,355217,294275,1756,2528,56658,90037,,,555865,198320,197266,358599,273099,,,50500,,,,1001119
Tokyo,1997,1279857,1279857,,,3561668,364200,3197468,1303092,241881,,1475542,4841526,1317664,1264941,1022613,7166,6779,228382,52722,,,3523861,856340,851976,2671885,1085679,41851,,1438554,,,,4841526
Chubu,1997,562731,562731,,,1729671,245096,1484575,787644,184634,,439762,2292402,593462,497882,459737,2008,3749,32388,95580,a,,1698940,320000,318052,1380888,797544,60752,,473492,,,,2292402
Hokuriku,1997,128976,128976,,,612333,85434,526899,103680,19245,,387572,741309,127070,120677,111368,664,1112,7532,6392,,,614238,96300,95658,518580,100000,6200,,397380,,,,741309
Kansai,1997,644516,644516,,,1722459,306237,1416222,1103600,72893,,158583,2366975,656059,591911,438590,1653,4907,146760,64147,,,1710916,262294,260640,1450275,1083600,67380,,254795,,,,2366975
Chugoku,1997,312696,312696,,,725390,91798,633592,128717,35332,,436582,1038086,228559,227944,189218,1259,1869,35598,615,,,809527,240000,238740,570787,128717,17900,,382411,,,,1038086
Shikoku,1997,164066,164066,,,196559,80000,116559,50000,17911,,14252,360625,147684,130350,91045,458,1412,37435,17334,,,212941,70000,69541,143400,50000,,,78400,,,,360625
Kyushu,1997,344516,344516,,,658537,186305,472231,279240,70596,,59084,1003053,375577,386057,312496,2215,2385,68959,-10479,,,627475,262410,260885,366590,275000,,,38000,,,,1003053
Okinawa,1997,25108,25108,,,24641,1000,23641,1016,2901,,,49749,32249,30410,26514,363,82,3449,1839,,,17500,,,17500,,,,,,,,49749
Hokkaido,1996,133886,133886,,,227688,63926,163762,81000,11731,18276,52755,361574,126350,125789,105559,1128,1114,17988,561,,,235224,92290,91263,143961,81000,2300,11169,49492,,,,361574
Tohoku,1996,465398,465398,,,437659,87520,350139,227298,15143,26613,81085,903057,374792,297050,250718,859,2528,42945,77742,,,528265,150000,149141,379124,227298,15143,45000,91683,,,,903057
Tokyo,1996,1436502,1436502,,,3609752,498472,3111279,1309800,94108,179573,1527798,5046254,1115321,1164898,995534,5381,6779,157203,-49576,,,3930933,728532,723826,3207107,1309800,82482,122535,1692290,,,,5046254
Chubu,1996,659806,659806,,,1704869,276333,1428535,781672,29696,71305,545862,2364675,544772,503961,451101,3972,3745,45143,40811,1816,,1819902,240000,236056,1583846,777744,29696,82477,693928,,,,2364675
Hokuriku,1996,132163,132163,,,308985,84219,224766,59080,9643,21394,134649,441149,107309,103071,96635,511,1112,4812,4238,,,333839,92742,92239,241600,59080,23000,18273,141247,,,,441149
Kansai,1996,673145,673145,,,1680987,262410,1418577,1027400,54860,76299,260017,2354132,572566,546957,444436,1929,4907,95683,25608,,,1781565,237965,236036,1545529,1027400,58404,70031,389693,,,,2354132
Chugoku,1996,374522,374522,,,847875,141035,706840,128717,18363,30230,529529,1222397,191814,196507,163999,2256,1869,28382,-4692,,,1030582,249922,247665,782917,128717,13000,55280,585920,,,,1222397
Shikoku,1996,139149,139149,,,153155,62449,90705,50000,4064,21036,15605,292304,104779,120329,96101,274,-1602,25556,-15550,,,187525,50000,49725,137800,50000,4200,15000,68600,,,,292304
Kyushu,1996,356319,356319,,,631399,188232,443167,275000,19012,63893,85262,987718,334964,354394,287679,2134,2385,62195,-19430,,,652754,183338,182350,470404,275000,11500,63404,120500,,,,987718
Okinawa,1996,28318,28318,-,-,21438,3000,18438,1191,670,16576,-,49757,36757,29866,28730,87,82,966,6891,-,-,13000,-,-,13000,-,-,13000,-,,,,49757
Hokkaido,1995,128839,128839,,,207071,49493,157578,81000,13208,18350,34847,335910,117979,129288,91579,8604,1103,28002,-11309,a,,217931,70100,69595,148336,81000,2300,9600,53536,,,,335910
Tohoku,1995,452617,452617,,,499106,179523,319583,237298,15391,20172,21239,951724,349355,290310,223455,1447,2516,62892,59045,1879,,602369,240000,238712,363657,227298,10391,53000,57500,,,,951724
Tokyo,1995,1399202,1399202,,,2933904,409197,2524706,1309800,239263,121847,693963,4333106,1092611,1047335,917083,3445,6730,120075,45276,6018,,3240494,600000,596943,2643551,1309800,239263,93000,841656,,,,4333106
Chubu,1995,705914,705914,,,1527098,191103,1335995,775600,29730,56765,396570,2233012,482314,471447,407470,3020,3740,57217,10867,3110,,1750698,327200,324657,1426041,785600,36600,87000,431763,,,,2233012
Hokuriku,1995,141792,141792,,,231954,69937,162017,57040,13926,12452,64356,373746,107902,114762,102336,604,1101,10720,-6860,1,,265844,90000,89397,176447,54720,18100,16000,84127,,,,373746
Kansai,1995,750404,750404,,,1313513,164986,1148526,947400,19432,48009,77216,2063917,600201,514393,459713,800,4883,48995,85808,4537,,1463715,110000,109484,1354231,967400,24200,91500,199431,,,,2063917
Chugoku,1995,351837,351837,,,599001,79241,519760,128717,19717,26230,326215,950838,179661,205920,164949,820,1851,38300,-26259,2401,,771177,135000,134287,636890,128717,13900,40000,448573,,,,950838
Shikoku,1995,109786,109786,,,206187,93595,112592,50000,4685,10195,38317,315973,165427,135023,103254,560,1399,29810,30404,,,150546,32500,32546,118000,50000,4200,16130,43170,,,,315973
Kyushu,1995,369418,369418,,,551880,132570,419310,275000,20534,45830,47041,921298,347607,360420,269751,1495,2373,86799,-12812,,,573690,130668,130281,443409,275000,11000,56000,84909,,,,921298
Okinawa,1995,32250,32250,,,15678,,15678,819,973,,13423,47928,29928,30566,29820,,81,665,-638,,,18000,,,18000,,,,18000,,,,47928
Hokkaido,1994,117609,117609,,,189021,37356,151665,81000,14692,20881,24015,306630,141868,126560,95229,248,1090,29993,15308,,,164762,25000,24834,139928,81000,2900,20000,33928,,,,306630
Tohoku,1994,474165,474165,,,411750,83385,328365,240138,19507,18485,20780,885915,339352,254298,179713,974,2504,71107,85054,2,,546563,160000,159026,387537,237298,14607,75000,35000,,,,885915
Tokyo,1994,1567292,1567292,,,2325007,237124,2087882,1309800,88869,117291,410095,3892299,1267277,1144406,931628,3337,6712,202728,122870,,,2625022,500000,496662,2128359,1309800,88869,115890,451973,,,,3892299
Chubu,1994,721338,721338,,,1227521,147066,1080455,740600,29378,52564,211326,1948859,550831,456621,405543,1204,3704,46170,94210,,,1398028,210000,208796,1189232,745600,43200,131000,207530,,,,1948859
Hokuriku,1994,139181,139181,,,219639,31923,187716,58900,17410,12369,89254,358821,128700,116624,94945,304,1091,20283,12075,1,,230121,60000,59698,170423,56000,13000,20000,77723,,,,358821
Kansai,1994,710847,710847,,,1377598,183800,1193797,1027400,20917,46928,37959,2088445,614314,607187,444987,895,4859,156445,7127,,,1474130,180000,179104,1295026,1027400,20900,105000,81126,,,,2088445
Chugoku,1994,326045,326045,,,350319,59651,290667,128717,20014,27213,95563,676364,231174,190709,151796,1237,1830,35845,40464,,,445189,139723,139054,306135,128717,20020,44100,102098,,,,676364
Shikoku,1994,109439,109439,,,119033,12440,106593,50000,5192,8973,32518,228472,109005,106360,80051,57,1383,24869,2645,,,119467,10000,9942,109525,50000,4200,18980,31845,,,,228472
Kyushu,1994,481156,481156,,,545495,106359,439136,275000,20144,41306,72453,1026651,392720,356554,259118,1122,2361,93951,36166,,,633931,130138,129405,504526,275000,15100,84000,107626,,,,1026651
Okinawa,1994,38864,38864,,,13660,,13660,829,921,,11485,52524,18894,29794,27816,,82,1896,-10900,,,33630,,,33630,,,,33630,,,,52524
Hokkaido,1993,118247,118247,,,195563,44440,151123,81000,15799,21196,21846,313810,136209,124855,98675,614,1090,24476,11354,245,,177601,45000,44722,132879,81000,2400,14000,34279,,,,313810
Tohoku,1993,497704,497704,,,400644,83067,317577,240138,19106,14036,15158,898348,237950,208955,160497,1692,2504,44262,28995,,,660398,250000,248308,412090,240138,19106,75000,48735,,,,898348
Tokyo,1993,1680052,1680052,,,2769161,310027,2459134,1309800,83992,106392,802595,4449213,1160932,1085056,874097,6073,6712,198172,75876,,,3288281,759130,753757,2534523,1309800,83992,130000,854376,,,,4449213
Chubu,1993,742414,742414,,,1424274,128400,1295874,725600,28126,47215,449826,2166688,506783,456084,373959,2044,3704,76377,50699,,,1659905,255927,253879,1406026,740600,37400,120500,452200,,,,2166688
Hokuriku,1993,135514,135514,,,236071,40538,195533,61900,44076,7335,69014,371586,90245,107049,82427,382,1091,23148,-16803,8,,281340,60000,59620,221720,58900,39100,30000,71922,,,,371586
Kansai,1993,670471,670471,,,1420828,204958,1215869,1027400,20283,36054,71947,2091299,598809,551054,419599,2469,4859,124126,47754,,,1492490,179700,177230,1315260,1007400,15400,78900,168560,,,,2091299
Chugoku,1993,330633,330633,,,305692,58400,247292,128717,21213,24255,53755,636325,220926,189060,149850,949,1830,36430,31865,1,,415399,135000,134140,281259,128717,14850,36900,87242,,,,636325
Shikoku,1993,162663,162663,,,168165,47232,120933,43879,12799,9609,44721,330828,88490,96404,60994,416,1383,33611,-7914,,,242338,57250,56834,185504,45314,16025,25000,48651,,,,330828
Kyushu,1993,535738,535738,,,480810,80768,400042,275000,19688,38023,39006,1016548,330574,347844,213741,1086,2360,130657,-17270,,,685974,138430,137343,548630,275000,22800,72700,145430,,,,1016548
Okinawa,1993,60646,60646,,,11687,,11687,706,765,,9858,72333,27233,22254,18732,,80,3442,4979,,,45100,,,45100,1020,1350,,42100,,,,72333
Hokkaido,1992,107559,107559,,,195315,62196,133119,81000,16280,19260,4950,302874,137586,128159,100222,976,1090,25871,9427,,,165288,55000,54515,110773,81000,4300,13000,10573,,,,302874
Tohoku,1992,465123,465123,,,375239,75481,299758,231138,14642,14026,14566,840362,208860,196411,134883,2251,2504,56773,12449,,,631502,253290,251298,380204,240138,14736,61940,31990,,,,840362
Tokyo,1992,1541026,1541026,,,2608180,326307,2281872,1309800,80809,105335,596391,4149206,994809,1045701,823821,8800,6712,206367,-50892,,,3154397,833800,827524,2326872,1309800,80809,135760,610966,,,,4149206
Chubu,1992,694306,694306,,,915338,85003,830335,715600,27866,34944,7579,1609644,403775,428751,327445,2430,3704,95172,-24975,,,1205869,310000,307574,898295,725600,30100,87000,8631,,,,1609644
Hokuriku,1992,184912,184912,,,232435,25883,206551,61900,8379,5210,121665,417347,99423,82877,55623,1016,1091,25146,16545,15,,317923,89620,88606,229317,61900,9400,36000,110317,,,,417347
Kansai,1992,622134,622134,,,1494620,188189,1306431,1127400,20628,38060,63655,2116754,572896,538446,401950,2936,4859,128699,34450,,,1543858,298900,295963,1247895,1077400,8600,60120,83075,,,,2116754
Chugoku,1992,254430,254430,,,290927,75340,215586,128717,22442,20912,23273,545358,187569,178874,143473,1249,1830,32320,8695,,,357788,155000,153848,203940,132717,15720,18100,23223,,,,545358
Shikoku,1992,172387,172387,,,163916,38624,125292,67500,6279,10318,31158,336303,105642,94186,60305,828,1383,31669,11456,,,230660,110000,109171,121489,50000,2800,19000,46189,,,,336303
Kyushu,1992,484284,484284,,,469641,79068,390572,275000,19444,38316,30768,953925,319884,274400,199270,1477,2360,71291,45484,,,634041,198348,196871,437169,275000,15600,71000,54169,,,,953925
Okinawa,1992,73248,73248,,,9754,,9754,433,905,,8060,83002,28502,19050,14698,,79,4273,9452,,,54500,,,54500,1700,2250,,49500,,,,83002
Hokkaido,1991,102669,102669,,,193097,40922,152175,90480,17227,17325,15374,295766,130171,121266,107546,933,1089,11698,8905,86,,165595,55000,54292,111303,81000,5100,16770,5733,,,,295766
Tohoku,1991,396306,396306,,,416980,130003,286977,219138,17607,14080,11549,813286,240831,193304,122191,3675,2503,64935,47527,478,,572455,245000,241325,331130,231138,21604,36240,9588,,,,813286
Tokyo,1991,1509460,1509460,,,2327988,369146,1958842,1258650,77954,102069,359297,3837449,990507,1007632,785990,11675,6712,203254,-17125,3,,2846941,798603,789543,2057398,1265150,85600,123610,407436,,,,3837449
Chubu,1991,695803,695803,,,955286,135383,819902,705600,28203,35386,7305,1651089,459570,403280,303008,3697,3704,92871,56290,,,1191518,311730,308226,883292,705600,37300,79650,7002,,,,1651089
Hokuriku,1991,156815,156815,,,295166,47825,247340,133929,7766,3475,90613,451981,81057,85211,54694,1436,1090,27989,-4153,628,,370923,95000,93738,277185,133929,7800,30500,84456,,,,451981
Kansai,1991,593535,593535,,,1542962,145669,1397292,1267400,19986,36479,18652,2136497,540496,508521,365727,4215,4859,133719,31974,2,,1596001,258175,253960,1342041,1217400,8000,53500,37441,,,,2136497
Chugoku,1991,176348,176348,,,336908,87320,249588,132717,21701,20476,54864,513256,187204,186805,141637,1636,1829,41701,398,,,326051,121190,119978,206073,128717,10860,15080,41486,,,,513256
Shikoku,1991,138259,138259,,,142267,26572,115694,85594,6314,9364,4202,280526,98668,100440,59863,1390,1383,37804,-1772,,,181858,80000,78839,103019,67500,3000,14450,14069,,,,280526
Kyushu,1991,397370,397370,,,501926,97200,404726,275000,19340,35345,48668,899296,289765,288487,202979,3613,2360,79533,1278,980,,609531,223657,220554,388976,275000,15500,46700,30676,,,,899296
Okinawa,1991,65067,65067,,,8954,,8954,,1063,,7395,74021,30146,18261,12889,125,80,5167,11885,,,43875,5000,4875,39000,200,2250,,35500,,,,74021
Hokkaido,1990,104540,104540,,,161322,37282,124040,57540,17055,14688,23203,265863,111818,120541,85413,16615,1078,17434,-8722,638,,154044,50000,49214,104830,52200,3100,16840,30690,,,,265863
Tohoku,1990,282725,282725,,,413922,131206,282716,219138,19708,13616,2011,696647,191411,162141,120388,3778,2488,35487,29270,2269,,505236,215420,211642,293594,219138,19700,21250,5286,,,,696647
Tokyo,1990,1353469,1353469,,,2021318,310640,1710677,1161250,74279,97233,218264,3374788,973043,972120,786819,12372,6697,166231,922,13298,,2401744,600000,589388,1812356,1167750,81800,102000,286654,,,,3374788
Chubu,1990,600098,600098,,,904362,116966,787396,670600,25704,31556,11105,1504460,309092,337124,292918,6055,3690,34461,-28032,8002,,1195368,320000,314644,880724,695600,44200,59500,11684,,,,1504460
Hokuriku,1990,168886,168886,,,186600,34848,151752,69757,7934,3466,59177,355487,67035,55186,38064,1672,1077,14371,11849,1174,,288451,85000,83490,204961,78757,9500,21585,77918,,,,355487
Kansai,1990,612080,612080,,,1622722,153488,1469233,1337400,19220,36474,21235,2234802,427220,448729,326377,6317,4844,111190,-21508,7587,,1807581,300000,293912,1513669,1337400,19200,61020,50049,,,,2234802
Chugoku,1990,159608,159608,,,320883,77564,243319,128717,21211,19881,54014,480491,195815,196775,145082,1814,1819,48060,-960,842,,284676,90000,88544,196132,128717,4250,17490,41805,,,,480491
Shikoku,1990,136627,136627,,,114867,12962,101904,72500,6264,9101,3480,251494,86410,94786,59398,1219,1373,32796,-8376,,,165084,60000,58890,106194,67500,3500,12050,4644,,,,251494
Kyushu,1990,371459,371459,,,467451,95474,371977,275139,19056,30878,20667,838910,303836,286500,212608,3153,2344,68393,17335,973,,535074,145249,142877,392197,275000,14000,38110,48387,,,,838910
Okinawa,1990,36726,36726,,,13564,,13564,4005,1125,,7898,50290,17300,16819,11839,,75,4905,481,,,32990,,,32990,1700,,,30240,,,,50290
Hokkaido,1989,110995,110995,,,169308,70409,98898,50140,16380,12692,8737,280303,127423,111193,86036,6724,1050,17382,16230,4570,,152880,49348,48617,104263,43900,2000,22100,34863,,,,280303
Tohoku,1989,192942,192942,,,422716,96570,326146,235485,14644,13018,39937,615658,178941,151329,117368,1944,2434,29582,27612,3408,,436719,70000,68108,368611,235486,14660,18820,80445,,,,615658
Tokyo,1989,1170361,1170361,,,2004023,262681,1741341,978750,73778,90857,415465,3174384,956118,964739,737203,10096,6565,210874,-8620,611,,2218266,394430,385819,1832447,987250,79658,98700,472717,,,,3174384
Chubu,1989,585970,585970,,,813031,103359,709671,612250,24246,28579,5139,1399001,366139,352830,277542,5413,3615,66260,13309,,,1032861,249285,243871,788990,640850,26600,68190,11350,,,,1399001
Hokuriku,1989,133243,133243,,,165691,40670,125020,47709,8001,3623,56225,298934,59403,54431,37904,1241,1049,14235,4971,4282,,239531,63426,62488,177042,56611,9600,20790,75041,,,,298934
Kansai,1989,644365,644365,,,1818211,166792,1651418,1367444,19262,39014,170744,2462576,516489,431282,311211,6745,4747,108578,85206,1148,,1946086,291345,284648,1661438,1337400,12100,68310,211528,,,,2462576
Chugoku,1989,166982,166982,,,286970,48914,238056,134494,20041,15450,49074,453952,201465,172898,140501,868,1781,29748,28567,2800,,252487,40935,40821,211666,128717,4030,21110,53959,,,,453952
Shikoku,1989,115462,115462,,,147238,36283,110954,56286,5942,8894,26692,262700,95839,88483,59768,1462,1346,25907,7356,,,166861,53093,51945,114916,55000,5000,14300,29116,,,,262700
