Company,Year_term,Fund requirements (construction funds) (M. JPY),Construction funds (M. JPY),Deferred payment for imported products (M. JPY),Deferred payment for domestic products   (M. JPY),Amortization (M. JPY),Bonds (M. JPY),Borrowings (M. JPY),Commercial bank loans (M. JPY),Bond issuing bank loans (M. JPY),Governmental financial institution (M. JPY),Other loans (M. JPY),Total (M. JPY),Internal funds (M. JPY),Internal reserves (M. JPY),Depreciation (M. JPY),Miscellaneous amortization (M. JPY),Reserves and provisions (M. JPY),Others (M. JPY),Customer contribution &c. (M. JPY),Capital increase (amount of issue) (M. JPY),Net proceeds from capital increase (M. JPY),External funds (M. JPY),"Bonds 
(amount of issue) (M. JPY)","Proceeds from 
bond issue (M. JPY)",Borrowings2 (M. JPY),Commercial bank loans2 (M. JPY),Bond issuing bank loans2 (M. JPY),Governmental financial institution2 (M. JPY),Other loans2 (M. JPY),Deferred payment borrowed money (M. JPY),Foreign capital deferred payment borrowed money (M. JPY),Domestic deferred payment borrowed money (M. JPY),Total2 (M. JPY)
会社名,年期,総工事資金,工事資金,外資延払,国内延払,債務償還,社債,借入金,市中銀行,債券発行銀行,政府系金融機関,その他借入金,合計,自己資金,内部留保,減価償却費,諸償却費,積立金,その他,工事費負担金等,増資発行額,増資手取額,外部資金,社債発行額,社債手取額,借入金2,市中銀行2,債券発行銀行2,政府系金融機関2,その他借入金2,延払借入,外資延払借入,国内延払借入,合計2
Hokkaido,2012,107230,107230,,,128024,40000,88024,,,,80847,235255,-73938,-33843,92047,277,,-126167,-40095,,,309194,80000,79805,229389,,,,191889,,,,235255
Tohoku,2012,261990,261990,,,738501,120000,618501,,,,593249,1000492,27773,104719,212704,382,,-108367,-76945,,,972718,120000,119638,853080,,,,753080,,,,1000492
Tokyo,2012,650261,650261,,,2118878,747900,1370978,,,,1253936,2769139,1035787,388383,593176,-5,,-204786,-350046,1000000,997449,1733351,726405,726246,1007105,,,,718686,,,,2769139
Chubu,2012,300186,300186,,,763437,183000,580437,,,,561669,1063623,7873,185695,260297,50,0,-74652,-177822,0,0,1055750,20000,19950,1035800,,,,935800,,,,1063623
Hokuriku,2012,63819,63819,,,99945,45000,54945,,,,46516,163764,52037,50613,70970,14,,-20370,1423,,,111727,50000,49827,61900,,,,61900,,,,163764
Kansai,2012,334405,334405,,,1070542,136400,934142,,,,897559,1404947,-9246,38154,294907,305,,-257057,-47401,,,1414194,150000,149694,1264500,,,,1134500,,,,1404947
Chugoku,2012,112158,112158,,,665594,75000,590594,,,,566846,777752,27221,68864,102072,200,,-33408,-41643,,,750531,70000,69801,680730,,,,650730,,,,777752
Shikoku,2012,53151,53151,,,142704,40000,102704,,,,100432,195855,-9940,1764,60322,205,,-58763,-11704,,,205795,70000,69795,136000,,,,136000,,,,195855
Kyushu,2012,155669,155669,,,274115,120000,154115,,,,135684,429784,-272952,-160894,180180,0,0,-341074,-112058,0,0,702736,140000,139736,563000,,,,453000,,,,429784
Okinawa,2012,47852,47852,,,115916,10000,105916,,,,89752,163769,27983,27793,23952,341,,3499,189,,,135785,10000,9966,125819,,,,115819,,,,163769
Hokkaido,2011,107200,107200,,,149807,44674,105133,,,,99010,257008,60948,75357,99233,59,,-23935,-14408,,,196060,,,196060,,,,156060,,,,257008
Tohoku,2011,269306,269306,,,1028443,118900,909543,,,,882087,1297750,-117145,-68740,214129,168,,-283038,-48405,,,1414895,60000,59855,1355040,,,,1205040,,,,1297750
Tokyo,2011,674408,674408,,,1716284,548901,1167383,,,,1101609,2390692,1301050,51144,645547,-36,,-594366,1249906,,,1089642,,,1089642,,,,945888,,,,2390692
Chubu,2011,252732,252732,,,1040271,139100,901171,,,,877700,1293003,-241897,159959,271622,0,0,-111663,-401856,0,0,1534900,0,0,1534900,,,,1284900,,,,1293003
Hokuriku,2011,54767,54767,,,106791,70000,36791,,,,28089,161558,34558,32509,77537,14,,-45041,2048,,,127000,,,127000,,,,117000,,,,161558
Kansai,2011,319133,319133,,,1114540,170217,944323,,,,906348,1433674,-167325,-4856,317196,,,-322053,-162468,,,1601000,,,1601000,,,,1459000,,,,1433674
Chugoku,2011,142288,142288,,,696620,80000,616620,,,,592706,838908,106768,125439,111672,2,,13764,-18670,,,732140,,,732140,,,,682140,,,,838908
Shikoku,2011,68589,68589,,,68280,40000,28280,,,,25747,136870,53870,55954,65264,1,,-9311,-2084,,,83000,,,83000,,,,83000,,,,136870
Kyushu,2011,193856,193856,,,346002,150000,196002,,,,176415,539858,-198142,22230,202151,0,0,-179921,-220372,0,0,738000,0,0,738000,,,,578000,,,,539858
