Company,Year_term,"Mining and Manufacturing_
Mining_Coal mining (MWh)","Mining and Manufacturing_
Mining_Others (MWh)","Mining and Manufacturing_
Mining_Total Mining (MWh)","Mining and Manufacturing_
Manufacturing_Food (MWh)","Mining and Manufacturing_
Manufacturing_
Textiles (MWh)",Mining and Manufacturing_Manufacturing_Pulp and paper/paper products (MWh),"Mining and Manufacturing_
Manufacturing_
Chemical_
Ammoniacal fertilizer (MWh)","Mining and Manufacturing_
Manufacturing_
Chemical_
Lime nitrogen/Electric furnace (MWh)","Mining and Manufacturing_
Manufacturing_
Chemical_Soda (MWh)","Mining and Manufacturing_
Manufacturing_
Chemical_Basic petrochemicals (MWh)","Mining and Manufacturing_
Manufacturing_
Chemical_Chemical fibers (MWh)","Mining and Manufacturing_
Manufacturing_
Chemical_Others (MWh)","Mining and Manufacturing_
Manufacturing_
Chemical_Total Chemical (MWh)","Mining and Manufacturing_
Manufacturing_
Chemical_Oil/Coal (MWh)","Mining and Manufacturing_
Manufacturing_
Chemical_Rubber products (MWh)","Mining and Manufacturing_
Manufacturing_
Ceramics_Cement (MWh)","Mining and Manufacturing_
Manufacturing_
Ceramics_Others (MWh)","Mining and Manufacturing_
Manufacturing_
Ceramics_Total Ceramics (MWh)","Mining and Manufacturing_
Manufacturing_
Steel_Steel with blast furnace (MWh)","Mining and Manufacturing_
Manufacturing_
Steel_Steel others (MWh)","Mining and Manufacturing_
Manufacturing_
Steel_Total Steel (MWh)","Mining and Manufacturing_
Manufacturing_
Non-ferrous metals_
Aluminum 
smelting and refining (MWh)","Mining and Manufacturing_
Manufacturing_
Non-ferrous metals_Others (MWh)","Mining and Manufacturing_
Manufacturing_
Non-ferrous metals_Total Non-ferrous metals (MWh)","Mining and Manufacturing_
Manufacturing_
Machinery_Electric machinery/
equipment and supplies (MWh)","Mining and Manufacturing_
Manufacturing_
Machinery_
Transportation equipment (MWh)","Mining and Manufacturing_
Manufacturing_
Machinery_Other machinery (MWh)","Mining and Manufacturing_
Manufacturing_
Machinery_Total Machinery (MWh)","Mining and Manufacturing_
Manufacturing_
Machinery_Other manufacturing (MWh)","Mining and Manufacturing_
Manufacturing_
Machinery_Total Manufacturing (MWh)","Mining and Manufacturing_
Total of Mining and Manufacturing (MWh)",Others_Railways (MWh),Others_Other than railways (MWh),Others_Total Others (MWh),Grand total (MWh)
会社名,年期,鉱工業_鉱業_石炭鉱業,鉱工業_鉱業_その他,鉱工業_鉱業_鉱業計,鉱工業_製造業_食料品製造業,鉱工業_製造業_繊維工業,鉱工業_製造業_パルプ紙紙加工品製造業,鉱工業_製造業_化学工業_アンモニア系肥料製造業,鉱工業_製造業_化学工業_石灰窒素製造業電炉工業,鉱工業_製造業_化学工業_ソーダ工業,鉱工業_製造業_化学工業_石油化学系基礎製品製造業,鉱工業_製造業_化学工業_化学繊維製造業,鉱工業_製造業_化学工業_その他,鉱工業_製造業_化学工業_化学工業計,鉱工業_製造業_化学工業_石油製品石炭製品製造業,鉱工業_製造業_化学工業_ゴム製品製造業,鉱工業_製造業_窯業土石製品製造業_セメント製造業,鉱工業_製造業_窯業土石製品製造業_その他,鉱工業_製造業_窯業土石製品製造業_窯業土石製品製造業計,鉱工業_製造業_鉄鋼業_高炉による製鉄業,鉱工業_製造業_鉄鋼業_その他,鉱工業_製造業_鉄鋼業_鉄鋼業計,鉱工業_製造業_非鉄金属製造業_アルミニウム第一次製錬精製業,鉱工業_製造業_非鉄金属製造業_その他,鉱工業_製造業_非鉄金属製造業_非鉄金属製造業計,鉱工業_製造業_機械器具製造業_電気機械器具製造業,鉱工業_製造業_機械器具製造業_輸送用機械器具製造業,鉱工業_製造業_機械器具製造業_その他,鉱工業_製造業_機械器具製造業_機械器具製造業計,鉱工業_製造業_機械器具製造業_その他2,鉱工業_製造業_機械器具製造業_製造業計,鉱工業_機械器具製造業_鉱工業計,その他_鉄道業,その他_その他,その他_その他計,合計
Hokkaido,201603,,,7570,88358,,13402,,,,,,,17517,989,,,,3939,,,40453,,,4278,,,,51587,31567,252090,259660,31232,48208,79440,339100
Tohoku,201603,,,13771,127984,6752,60453,,,,,,,164350,1772,25204,,,73469,,,210423,,,286183,,,,602305,185506,1744401,1758172,120580,185563,306143,2064315
Tokyo,201603,,,13328,443065,14323,173333,,,,,,,727365,39761,41558,,,171923,,,584223,,,293371,,,,1183239,713811,4385972,4399301,465450,934241,1399690,5798991
Chubu,201603,,,3122,221167,60437,119169,,,,,,,224322,12284,50779,,,208750,,,537921,,,114542,,,,1826776,450810,3826957,3830079,227205,245717,472922,4303001
Hokuriku,201603,,,69,16985,82892,22896,,,,,,,117823,508,1845,,,22876,,,67215,,,80391,,,,284714,129228,827373,827442,26296,50212,76508,903950
Kansai,201603,,,6520,175395,44807,56340,,,,,,,316941,29025,24443,,,203763,,,610737,,,158027,,,,605411,360241,2585130,2591650,359384,329212,688596,3280246
Chugoku,201603,,,13099,90112,37753,32919,,,,,,,197795,34435,27828,,,59691,,,450850,,,131028,,,,429105,109438,1600954,1614053,107497,114878,222375,1836428
Shikoku,201603,,,4590,37865,28906,90723,,,,,,,93233,26393,4375,,,1438,,,79321,,,,,,,156486,56142,574882,579472,8232,39454,47686,627158
Kyushu,201603,,,14859,176976,23026,24762,,,,,,,186550,11104,48213,,,70050,,,169511,,,155906,,,,546187,146452,1558737,1573596,90632,173311,263943,1837539
Okinawa,201603,,,501,7315,0,359,,,,,,,1288,813,0,,,6092,,,9942,,,493,,,,0,1835,28137,28638,612,33146,33758,62396
Hokkaido,201602,,,7046,81997,,21671,,,,,,,17094,0,,,,4118,,,40286,,,3821,,,,46929,30958,246874,253920,33141,48462,81603,335523
Tohoku,201602,,,13632,121330,6517,54457,,,,,,,171159,1585,23925,,,66933,,,204519,,,282129,,,,570840,175743,1679137,1692769,121446,179081,300527,1993296
Tokyo,201602,,,13515,425242,15638,164254,,,,,,,699169,39337,41186,,,167388,,,563665,,,287676,,,,1177785,703073,4284413,4297927,452046,910916,1362962,5660889
Chubu,201602,,,3010,202179,65875,114845,,,,,,,216046,14261,46881,,,201900,,,505150,,,109641,,,,1706438,434203,3617419,3620429,215329,240095,455424,4075853
Hokuriku,201602,,,12,15785,77956,20349,,,,,,,119321,394,1696,,,21507,,,60883,,,79728,,,,269913,124138,791670,791682,26179,50407,76586,868268
Kansai,201602,,,6372,160049,42006,51204,,,,,,,310108,28187,23286,,,197786,,,599902,,,154514,,,,582690,344647,2494379,2500751,347759,311331,659090,3159841
Chugoku,201602,,,13075,81682,30693,30238,,,,,,,219098,34034,26534,,,62174,,,457894,,,129680,,,,405536,101141,1578704,1591779,100387,106978,207365,1799144
Shikoku,201602,,,4293,34500,27990,89539,,,,,,,86488,25064,4036,,,1451,,,73518,,,,,,,148644,52021,543251,547544,8182,39101,47283,594827
Kyushu,201602,,,13949,163036,24505,22822,,,,,,,170745,11586,45723,,,68410,,,148152,,,145975,,,,517753,136800,1455507,1469456,88496,167903,256399,1725855
Okinawa,201602,,,513,7583,0,359,,,,,,,1055,868,0,,,4851,,,10083,,,487,,,,0,1778,27064,27577,650,32019,32669,60246
Hokkaido,201601,,,6524,84540,,26593,,,,,,,17759,0,,,,4110,,,39332,,,3760,,,,46935,29556,252585,259109,34784,49321,84105,343214
Tohoku,201601,,,14103,123392,6215,56605,,,,,,,187872,1727,22540,,,69535,,,224935,,,297671,,,,568066,172130,1730688,1744791,132800,189312,322112,2066903
Tokyo,201601,,,11787,420068,16290,162652,,,,,,,733832,40081,40685,,,155062,,,587502,,,284938,,,,1106978,631563,4179651,4191439,485911,935412,1421323,5612762
Chubu,201601,,,2640,199352,62474,115833,,,,,,,211080,16989,46508,,,196487,,,439390,,,103480,,,,1697101,412522,3501216,3503856,233009,251026,484035,3987891
Hokuriku,201601,,,13,15469,78507,20728,,,,,,,117350,302,1688,,,20945,,,63454,,,85217,,,,273077,121265,798002,798015,27804,54209,82013,880028
Kansai,201601,,,6808,162630,43100,50238,,,,,,,316101,42390,22058,,,207170,,,615835,,,158563,,,,578364,332212,2528661,2535469,374462,329453,703915,3239384
Chugoku,201601,,,11775,83247,29638,35921,,,,,,,217559,40376,25250,,,71792,,,496648,,,132002,,,,392429,95526,1620388,1632163,107323,108844,216167,1848330
Shikoku,201601,,,4237,34684,31739,91340,,,,,,,85512,26938,4116,,,1438,,,77458,,,,,,,143672,50763,547660,551897,8749,40711,49460,601357
Kyushu,201601,,,13689,161899,23733,22651,,,,,,,189966,12489,43272,,,70378,,,187905,,,153033,,,,516850,131847,1514023,1527712,95430,174230,269660,1797372
Okinawa,201601,,,538,8921,0,448,,,,,,,1223,962,0,,,4773,,,10586,,,497,,,,0,2063,29473,30011,660,33524,34184,64195
Hokkaido,201512,,,7511,91158,,34639,,,,,,,17836,475,,,,5058,,,39597,,,3685,,,,48378,31317,272143,279654,31149,51542,82691,362345
Tohoku,201512,,,14820,132526,6641,58537,,,,,,,152336,1741,24471,,,71873,,,210879,,,282977,,,,568146,175685,1685812,1700632,125370,188308,313678,2014310
Tokyo,201512,,,13701,449591,17692,164283,,,,,,,763543,39982,37442,,,173745,,,605440,,,281010,,,,1113308,688705,4334739,4348440,470082,930286,1400367,5748808
Chubu,201512,,,3041,222430,58917,126260,,,,,,,213569,17628,48411,,,199900,,,489759,,,103377,,,,1679929,416260,3576440,3579481,228040,244136,472176,4051657
Hokuriku,201512,,,28,16632,79485,18460,,,,,,,110653,423,1700,,,27261,,,61872,,,79736,,,,271132,119719,787073,787101,26753,52504,79257,866358
Kansai,201512,,,7772,177301,43816,51343,,,,,,,318456,43703,22234,,,203837,,,614868,,,145131,,,,578014,333067,2531770,2539542,361928,344095,706023,3245565
Chugoku,201512,,,12778,89072,30646,38264,,,,,,,214692,48027,24651,,,64167,,,496685,,,117592,,,,385594,99296,1608686,1621464,106675,107420,214095,1835559
Shikoku,201512,,,4473,38012,31539,92749,,,,,,,84346,26733,4109,,,1452,,,75379,,,,,,,138178,53520,546017,550490,8352,41545,49897,600387
Kyushu,201512,,,14152,180927,21004,24619,,,,,,,189858,16864,41593,,,77197,,,179884,,,145008,,,,516555,132607,1526116,1540268,92702,173214,265916,1806184
Okinawa,201512,,,494,9074,0,369,,,,,,,1282,915,0,,,6523,,,11352,,,515,,,,0,1974,32004,32498,666,34959,35625,68123
Hokkaido,201511,,,7560,92600,,44061,,,,,,,18884,1040,,,,4639,,,42154,,,3938,,,,50578,31224,289118,296678,27653,48920,76573,373251
Tohoku,201511,,,13558,130277,6458,65163,,,,,,,161230,1587,25640,,,79261,,,234481,,,278832,,,,570777,175460,1729166,1742724,110634,177891,288525,2031249
Tokyo,201511,,,13493,469478,18991,173561,,,,,,,730893,31287,46829,,,174373,,,621158,,,295073,,,,1141439,716449,4419530,4433023,436213,936564,1372777,5805800
Chubu,201511,,,3022,227826,61614,128264,,,,,,,222819,15057,49708,,,203040,,,585449,,,110398,,,,1726559,432423,3763157,3766179,213874,238476,452350,4218529
Hokuriku,201511,,,75,17146,80198,22249,,,,,,,114135,438,1716,,,31194,,,62258,,,79875,,,,267464,119523,796196,796271,24570,47622,72192,868463
Kansai,201511,,,7850,182454,51018,55989,,,,,,,297243,29796,24523,,,206205,,,668449,,,151418,,,,585965,347985,2601045,2608895,335875,338078,673953,3282848
Chugoku,201511,,,11784,90066,32116,36363,,,,,,,214339,44980,24987,,,61983,,,466795,,,119457,,,,391482,102429,1584997,1596781,99722,103204,202926,1799707
Shikoku,201511,,,4011,39226,33778,95116,,,,,,,89359,25744,4510,,,1379,,,72734,,,,,,,148092,54178,564116,568127,7457,39756,47213,615340
Kyushu,201511,,,13493,186597,24162,27077,,,,,,,213042,15127,46163,,,80866,,,208624,,,123259,,,,526624,139005,1590546,1604039,85394,169457,254851,1858890
Okinawa,201511,,,499,9798,0,409,,,,,,,1335,849,0,,,6315,,,10961,,,497,,,,0,2304,32468,32967,718,38121,38839,71806
Hokkaido,201510,,,7884,103327,,47216,,,,,,,17513,8826,,,,5147,,,49914,,,4319,,,,51284,32011,319557,327441,25621,48773,74394,401835
Tohoku,201510,,,14101,138060,6739,73524,,,,,,,161915,1520,26758,,,76242,,,244813,,,286996,,,,597961,180833,1795361,1809462,110434,180143,290577,2100039
Tokyo,201510,,,13887,491750,30554,175962,,,,,,,731366,30890,48364,,,174733,,,599864,,,303088,,,,1171155,733222,4490951,4504837,473252,966645,1439897,5944734
Chubu,201510,,,3101,237622,75567,143481,,,,,,,237204,19300,59609,,,213056,,,587726,,,115332,,,,1800716,446108,3935721,3938822,219878,254122,474000,4412822
Hokuriku,201510,,,84,17471,85038,23120,,,,,,,118050,421,1775,,,29969,,,63432,,,84731,,,,275304,125213,824524,824608,25045,50118,75163,899771
Kansai,201510,,,8155,195949,52654,58260,,,,,,,357945,17576,26500,,,210617,,,649186,,,157170,,,,615380,364941,2706178,2714333,352200,352686,704886,3419219
Chugoku,201510,,,12267,97025,33536,33302,,,,,,,240926,39933,25848,,,60610,,,467623,,,114402,,,,423598,107614,1644417,1656684,102329,107901,210230,1866914
Shikoku,201510,,,4115,41846,30849,97485,,,,,,,91308,26641,4632,,,1459,,,70360,,,,,,,152634,55290,572504,576619,7526,39965,47491,624110
Kyushu,201510,,,14449,200839,26234,25684,,,,,,,227091,13010,48952,,,88082,,,178939,,,153847,,,,547089,146879,1656646,1671095,88654,183112,271766,1942861
Okinawa,201510,,,461,10113,0,347,,,,,,,1080,981,0,,,5061,,,11810,,,481,,,,0,2175,32048,32509,681,40869,41550,74059
Hokkaido,201509,,,7422,109297,,27910,,,,,,,16825,7655,,,,3091,,,49331,,,4351,,,,51962,32150,302572,309994,25014,47197,72211,382205
Tohoku,201509,,,12936,141617,6598,62172,,,,,,,148808,1512,26211,,,70501,,,213880,,,276650,,,,600504,178803,1727256,1740192,106262,177150,283412,2023604
Tokyo,201509,,,12364,519902,16757,171512,,,,,,,729030,49379,47886,,,163776,,,576496,,,297542,,,,1263249,747971,4583500,4595864,459289,1016010,1475299,6071163
Chubu,201509,,,2714,246613,71873,128402,,,,,,,224880,15395,58222,,,197782,,,582646,,,115966,,,,1877886,457065,3976730,3979444,216142,264587,480729,4460173
Hokuriku,201509,,,0,19152,83728,22329,,,,,,,115997,388,1935,,,28683,,,62665,,,71556,,,,280146,124178,810757,810757,24604,49996,74600,885357
Kansai,201509,,,7000,204198,47952,62384,,,,,,,348701,16469,26316,,,213390,,,609110,,,133241,,,,628451,371386,2661598,2668598,358157,351293,709450,3378048
Chugoku,201509,,,11599,100197,34636,31531,,,,,,,233652,44927,27364,,,61347,,,481675,,,120712,,,,416424,106711,1659176,1670775,99094,108687,207781,1878556
Shikoku,201509,,,4478,43357,33066,91525,,,,,,,87641,26321,4677,,,1324,,,45288,,,,,,,155655,54902,543756,548234,7547,40399,47946,596180
Kyushu,201509,,,13626,205481,21629,23327,,,,,,,212918,11764,45105,,,66790,,,160326,,,161665,,,,565927,148357,1623289,1636915,89288,186052,275340,1912255
Okinawa,201509,,,409,10936,0,378,,,,,,,1510,1083,0,,,6356,,,11200,,,442,,,,0,2259,34164,34573,739,42591,43330,77903
Hokkaido,201508,,,7067,108950,,31976,,,,,,,18040,11269,,,,5021,,,42908,,,4531,,,,50449,32241,305385,312452,26360,49323,75683,388135
Tohoku,201508,,,12343,149771,6140,53454,,,,,,,178653,1499,23712,,,65796,,,224334,,,263696,,,,596498,174510,1738063,1750406,117209,191325,308534,2058940
Tokyo,201508,,,11811,564827,22846,172678,,,,,,,742563,48019,44543,,,159626,,,569656,,,276482,,,,1212831,742816,4556887,4568698,537173,1104596,1641769,6210467
Chubu,201508,,,2571,269206,71703,114067,,,,,,,220768,16353,52213,,,187405,,,497113,,,101180,,,,1784098,434621,3748727,3751298,242133,286440,528573,4279871
Hokuriku,201508,,,0,21074,84503,21789,,,,,,,119927,397,1704,,,25647,,,53198,,,75335,,,,290699,124157,818430,818430,26916,54359,81275,899705
Kansai,201508,,,7087,224231,45942,58056,,,,,,,370801,32690,26658,,,217016,,,598244,,,127914,,,,639545,367784,2708881,2715968,413723,373737,787460,3503428
Chugoku,201508,,,10866,108860,34478,32537,,,,,,,243756,61435,25799,,,58829,,,502204,,,131094,,,,408514,104540,1712046,1722912,110419,119035,229454,1952366
Shikoku,201508,,,4005,46417,33196,85716,,,,,,,88384,27826,4632,,,1300,,,52436,,,,,,,158630,55079,553616,557621,8734,44512,53246,610867
Kyushu,201508,,,12680,212660,24184,22362,,,,,,,214845,12857,41538,,,66764,,,171579,,,169226,,,,571041,141253,1648309,1660989,99598,195963,295561,1956550
Okinawa,201508,,,411,11034,0,374,,,,,,,1114,1138,0,,,6382,,,10585,,,443,,,,0,2665,33735,34146,742,45130,45872,80018
Hokkaido,201507,,,6458,105613,,34133,,,,,,,21721,7195,,,,6564,,,47152,,,4953,,,,55953,34522,317806,324264,25836,48797,74633,398897
Tohoku,201507,,,13002,154243,7138,53227,,,,,,,167756,5016,27842,,,72436,,,220718,,,279992,,,,666448,195103,1849919,1862921,110444,196806,307250,2170171
Tokyo,201507,,,12794,559510,23800,174421,,,,,,,770396,58398,51183,,,179625,,,584559,,,302637,,,,1399966,807282,4911776,4924570,531923,1089566,1621490,6546060
Chubu,201507,,,2810,273573,76253,117252,,,,,,,240797,15736,62534,,,195462,,,559513,,,121782,,,,2031795,498051,4192748,4195558,231954,279755,511709,4707267
Hokuriku,201507,,,0,21353,89458,22128,,,,,,,115417,431,2016,,,30394,,,68065,,,83491,,,,308891,140171,881815,881815,26372,54702,81074,962889
Kansai,201507,,,7738,231689,52287,67462,,,,,,,373213,37943,30402,,,230934,,,616208,,,164642,,,,712785,412715,2930280,2938018,396584,388157,784741,3722759
Chugoku,201507,,,11479,109364,37290,34206,,,,,,,237630,58156,30067,,,63106,,,467708,,,135592,,,,463286,115501,1751906,1763385,103879,118430,222309,1985694
Shikoku,201507,,,4450,46984,34961,95194,,,,,,,91388,26196,5218,,,1342,,,58685,,,,,,,174839,59237,594044,598494,8377,43965,52342,650836
Kyushu,201507,,,13664,219598,21190,23941,,,,,,,227276,12817,49709,,,69874,,,179408,,,171419,,,,611766,163325,1750323,1763987,95616,195821,291437,2055424
Okinawa,201507,,,419,10420,0,345,,,,,,,1397,1108,0,,,4754,,,11180,,,514,,,,0,2713,32431,32850,737,44856,45593,78443
Hokkaido,201506,,,6864,95620,,37674,,,,,,,23050,6154,,,,6275,,,58082,,,4686,,,,52318,32904,316763,323627,25103,45214,70317,393944
Tohoku,201506,,,14029,137231,6805,57584,,,,,,,150063,3150,26647,,,73195,,,228249,,,288597,,,,614534,182863,1768918,1782947,102441,178023,280464,2063411
Tokyo,201506,,,12863,520487,24983,182679,,,,,,,719876,42704,48501,,,184852,,,616346,,,302565,,,,1273662,774901,4691557,4704420,478658,1014298,1492956,6197377
Chubu,201506,,,2828,246931,71889,117309,,,,,,,238801,12684,60852,,,189142,,,583377,,,114099,,,,1858246,458970,3952300,3955128,212213,254907,467120,4422248
Hokuriku,201506,,,0,18932,91301,17537,,,,,,,115912,406,1859,,,31615,,,65969,,,79530,,,,285619,128545,837225,837225,24307,49925,74232,911457
Kansai,201506,,,7771,209463,49909,61983,,,,,,,360682,42944,28614,,,222243,,,617841,,,153680,,,,656101,387116,2790576,2798347,355584,360660,716244,3514591
Chugoku,201506,,,11758,98121,33998,33760,,,,,,,202276,60886,27543,,,57597,,,451510,,,130840,,,,425070,108541,1630142,1641900,97657,108467,206124,1848024
Shikoku,201506,,,4370,43073,37137,117460,,,,,,,92069,26196,4888,,,1295,,,73155,,,,,,,164075,55737,615085,619455,7564,40167,47731,667186
Kyushu,201506,,,13335,202774,20981,27409,,,,,,,213113,12306,51200,,,80632,,,206003,,,164182,,,,562735,154107,1695442,1708777,86545,184099,270644,1979421
Okinawa,201506,,,348,9120,0,327,,,,,,,1178,842,0,,,5578,,,11674,,,463,,,,0,2140,31322,31670,687,43009,43696,75366
Hokkaido,201505,,,6990,92566,,41526,,,,,,,21446,3121,,,,11507,,,58669,,,4202,,,,47172,29581,309790,316780,23888,44627,68515,385295
Tohoku,201505,,,13518,129538,6404,77397,,,,,,,145194,1476,24860,,,72695,,,245421,,,295407,,,,554790,164269,1717451,1730969,105169,173681,278850,2009819
Tokyo,201505,,,12592,483684,25529,180223,,,,,,,701726,43331,43604,,,167935,,,686167,,,288612,,,,1112783,685291,4418885,4431477,474127,973539,1447666,5879142
Chubu,201505,,,2566,234134,67377,136450,,,,,,,219837,10948,50895,,,178549,,,576077,,,105379,,,,1632115,397844,3609605,3612171,219646,251046,470692,4082863
Hokuriku,201505,,,0,17766,80195,25222,,,,,,,110653,370,1504,,,30117,,,60899,,,69799,,,,261367,111344,769236,769236,24806,48241,73047,842283
Kansai,201505,,,7393,195537,51193,56380,,,,,,,344914,33409,25248,,,227800,,,638437,,,141467,,,,588743,346419,2649547,2656940,357130,352298,709428,3366368
Chugoku,201505,,,10840,92757,38336,32130,,,,,,,214542,58487,26120,,,55646,,,467212,,,124563,,,,378871,98955,1587619,1598459,101863,106096,207959,1806418
Shikoku,201505,,,4332,40195,30577,98517,,,,,,,89124,27495,4082,,,867,,,65140,,,,,,,150063,51123,557183,561515,7572,40205,47777,609292
Kyushu,201505,,,13764,193414,22705,29992,,,,,,,212382,12249,45870,,,81845,,,231636,,,165552,,,,522114,136211,1653970,1667734,88159,179706,267865,1935599
Okinawa,201505,,,438,8435,0,396,,,,,,,1065,825,0,,,5850,,,11009,,,366,,,,0,1887,29833,30271,642,38473,39115,69386
Hokkaido,201504,,,8270,90796,,40559,,,,,,,18720,1422,,,,10566,,,60717,,,4620,,,,48622,30936,306958,315228,25340,45228,70568,385796
Tohoku,201504,,,13369,124057,6777,66106,,,,,,,132838,1433,26067,,,71572,,,234240,,,296947,,,,568376,173789,1702202,1715571,104942,171082,276024,1991595
Tokyo,201504,,,13611,466119,26921,183623,,,,,,,761254,44147,45709,,,165736,,,637033,,,285673,,,,1182651,734582,4533448,4547059,438726,921111,1359837,5906896
Chubu,201504,,,2943,224287,64018,120495,,,,,,,233873,8653,52351,,,181810,,,522758,,,109252,,,,1696589,431408,3645494,3648437,209022,240692,449714,4098151
Hokuriku,201504,,,0,16688,82001,24256,,,,,,,109507,443,1600,,,26519,,,64236,,,74621,,,,267366,121538,788775,788775,24387,47393,71780,860555
Kansai,201504,,,8299,186652,55954,59565,,,,,,,353362,44635,25365,,,213271,,,688164,,,140877,,,,596554,364066,2728465,2736764,335914,335530,671444,3408208
Chugoku,201504,,,12071,88531,33985,32364,,,,,,,203430,51969,24810,,,57846,,,441340,,,127773,,,,392214,100857,1555119,1567190,97225,103894,201119,1768309
Shikoku,201504,,,4599,38685,36404,108245,,,,,,,88036,25890,4269,,,1457,,,72689,,,,,,,149775,53457,578907,583506,7410,38838,46248,629754
Kyushu,201504,,,13885,185847,23850,26977,,,,,,,217502,12139,48222,,,76227,,,207573,,,158052,,,,514730,142170,1613289,1627174,83577,174523,258100,1885274
Okinawa,201504,,,500,8039,0,419,,,,,,,1233,3398,0,,,3654,,,11216,,,407,,,,0,2505,30871,31371,645,36099,36744,68115
Hokkaido,201503,,,7852,93324,,39497,,,,,,,18307,879,,,,4522,,,54443,,,4714,,,,52352,33691,301729,309581,30659,50333,80992,390573
Tohoku,201503,,,14478,125747,6733,66464,,,,,,,170671,1638,27356,,,79167,,,226211,,,305561,,,,607730,182346,1799624,1814102,121024,178953,299977,2114079
Tokyo,201503,,,14805,438540,26397,184240,,,,,,,757483,43160,46090,,,180353,,,717449,,,300202,,,,1244950,733835,4672699,4687504,468822,931162,1399985,6087489
Chubu,201503,,,3206,218561,61327,121273,,,,,,,246801,8984,56560,,,199454,,,548161,,,113972,,,,1817413,454111,3846617,3849823,228063,245949,474012,4323835
Hokuriku,201503,,,0,16817,85581,24407,,,,,,,116570,574,1808,,,30523,,,66087,,,84144,,,,276117,128844,831472,831472,26616,48661,75277,906749
Kansai,201503,,,9167,182475,49867,62116,,,,,,,366932,40537,26089,,,222462,,,678363,,,149768,,,,633315,382501,2794425,2803592,367013,347636,714649,3518241
Chugoku,201503,,,13728,88104,37555,33682,,,,,,,196502,48430,27277,,,61889,,,495634,,,120111,,,,415026,105949,1630159,1643887,108370,106007,214377,1858264
Shikoku,201503,,,4493,38261,31345,96218,,,,,,,89185,26448,4603,,,1353,,,80073,,,,,,,155016,56326,578828,583321,8265,40810,49075,632396
Kyushu,201503,,,15314,178989,23959,25654,,,,,,,210307,12617,49336,,,83671,,,176868,,,160907,,,,537982,149060,1609350,1624664,91396,182209,273605,1898269
Okinawa,201503,,,443,6793,,404,,,,,,,1034,3757,,,,6375,,,11927,,,488,,,,,1932,32710,33153,582,32891,33473,66626
Hokkaido,201502,,,6948,85170,,31143,,,,,,,17613,0,,,,3600,,,43073,,,4505,,,,46596,31330,263030,269978,30885,46719,77604,347582
Tohoku,201502,,,13610,115211,6440,58823,,,,,,,178673,1536,25458,,,66599,,,197624,,,294163,,,,561312,168612,1674451,1688061,117639,165679,283318,1971379
Tokyo,201502,,,14189,417477,25244,167040,,,,,,,669553,44177,44249,,,174669,,,663135,,,280923,,,,1244199,725716,4456383,4470572,447616,898336,1345952,5816524
Chubu,201502,,,3137,195731,57735,112081,,,,,,,219500,7251,53768,,,190899,,,509105,,,108074,,,,1708350,428868,3591362,3594499,207440,233160,440600,4035099
Hokuriku,201502,,,0,15171,78108,22040,,,,,,,112843,449,1738,,,28410,,,63489,,,82645,,,,255931,120651,781475,781475,23644,45705,69349,850824
Kansai,201502,,,8606,161595,46219,57861,,,,,,,320982,35119,24253,,,206062,,,652074,,,139046,,,,591037,354918,2589166,2597772,341753,321691,663444,3261216
Chugoku,201502,,,12721,78377,31971,33443,,,,,,,207779,46019,25835,,,60064,,,439364,,,116690,,,,385621,98493,1523656,1536377,97859,98484,196343,1732720
Shikoku,201502,,,4671,34028,27819,87532,,,,,,,81761,23910,4267,,,1587,,,69800,,,,,,,143496,52090,526290,530961,7892,38079,45971,576932
Kyushu,201502,,,13641,160143,24596,21678,,,,,,,189089,10832,46085,,,73390,,,169461,,,144683,,,,495117,139266,1474340,1487981,85838,168763,254601,1742582
Okinawa,201502,,,477,7176,,433,,,,,,,1156,3372,,,,5595,,,10464,,,470,,,,,2186,30852,31329,633,30549,31182,62511
Hokkaido,201501,,,7165,90673,,41936,,,,,,,20956,0,,,,3335,,,43124,,,4515,,,,49508,31709,285756,292921,35895,50372,86267,379188
Tohoku,201501,,,15334,122076,6285,59563,,,,,,,177068,1599,24163,,,72498,,,215219,,,318902,,,,586150,174537,1758060,1773394,133721,182305,316026,2089420
Tokyo,201501,,,13385,417335,25844,169073,,,,,,,733132,41504,43155,,,166683,,,641168,,,290189,,,,1215980,675594,4419657,4433042,496801,959948,1456749,5889791
Chubu,201501,,,2958,197218,61879,112725,,,,,,,206453,11794,53707,,,191101,,,476587,,,107875,,,,1731371,426050,3576760,3579718,231341,248592,479933,4059651
Hokuriku,201501,,,0,15448,81330,23361,,,,,,,114972,397,1741,,,27700,,,66862,,,81527,,,,268510,124579,806427,806427,25209,51372,76581,883008
Kansai,201501,,,8385,172125,47581,57292,,,,,,,350832,44475,24445,,,217342,,,650945,,,145637,,,,614966,351648,2677288,2685673,382886,351390,734276,3419949
Chugoku,201501,,,12753,82092,31841,30054,,,,,,,214265,54035,26059,,,75597,,,500011,,,134127,,,,390476,98372,1636929,1649682,108876,106095,214971,1864653
Shikoku,201501,,,4638,34799,29442,89108,,,,,,,84861,27485,4141,,,1578,,,79530,,,,,,,147711,52502,551157,555795,8770,41599,50369,606164
Kyushu,201501,,,14223,167326,23193,25403,,,,,,,213890,11860,44588,,,79281,,,182386,,,158021,,,,514379,137835,1558162,1572385,95939,182646,278585,1850970
