Manufacturing_
Machinery_Total Manufacturing (MWh)","Mining and Manufacturing_
Total of Mining and Manufacturing (MWh)",Others_Railways (MWh),Others_Other than railways (MWh),Others_Total Others (MWh),Grand total (MWh)
会社名,年期,鉱工業_鉱業_石炭鉱業,鉱工業_鉱業_その他,鉱工業_鉱業_鉱業計,鉱工業_製造業_食料品製造業,鉱工業_製造業_繊維工業,鉱工業_製造業_パルプ紙紙加工品製造業,鉱工業_製造業_化学工業_アンモニア系肥料製造業,鉱工業_製造業_化学工業_石灰窒素製造業電炉工業,鉱工業_製造業_化学工業_ソーダ工業,鉱工業_製造業_化学工業_石油化学系基礎製品製造業,鉱工業_製造業_化学工業_化学繊維製造業,鉱工業_製造業_化学工業_その他,鉱工業_製造業_化学工業_化学工業計,鉱工業_製造業_化学工業_石油製品石炭製品製造業,鉱工業_製造業_化学工業_ゴム製品製造業,鉱工業_製造業_窯業土石製品製造業_セメント製造業,鉱工業_製造業_窯業土石製品製造業_その他,鉱工業_製造業_窯業土石製品製造業_窯業土石製品製造業計,鉱工業_製造業_鉄鋼業_高炉による製鉄業,鉱工業_製造業_鉄鋼業_その他,鉱工業_製造業_鉄鋼業_鉄鋼業計,鉱工業_製造業_非鉄金属製造業_アルミニウム第一次製錬精製業,鉱工業_製造業_非鉄金属製造業_その他,鉱工業_製造業_非鉄金属製造業_非鉄金属製造業計,鉱工業_製造業_機械器具製造業_電気機械器具製造業,鉱工業_製造業_機械器具製造業_輸送用機械器具製造業,鉱工業_製造業_機械器具製造業_その他,鉱工業_製造業_機械器具製造業_機械器具製造業計,鉱工業_製造業_機械器具製造業_その他2,鉱工業_製造業_機械器具製造業_製造業計,鉱工業_機械器具製造業_鉱工業計,その他_鉄道業,その他_その他,その他_その他計,合計
Kansai,197305,,9973,9973,66220,138960,76248,16591,,98453,96208,54067,160485,425804,36801,29038,70865,112351,183216,367694,609795,977489,,90308,90308,92718,78448,65798,236964,125147,2386195,2396168,,192984,440959,2837127
Chugoku,197305,,13994,13994,16173,33239,37364,31806,,39488,105261,31353,43313,251221,25791,7948,28068,29147,57215,217541,196943,414484,,72706,72706,4289,102816,21158,128263,26314,1070718,1084712,,34450,96607,1181319
Shikoku,197305,,5285,5285,4873,22527,71550,,,56808,,22330,18380,97518,16905,2050,34528,,34528,,123483,123483,113516,,113516,1566,7243,8974,17783,16169,520902,526187,,3831,5923,532110
Kyushu,197305,40166,10781,50947,30598,25008,41539,14794,50702,29762,249,3722,66437,165666,3432,19743,153813,30211,184024,139704,130125,269829,2511,54026,56537,19049,22429,11333,52811,31229,880416,931363,,36491,73479,1004842
Okinawa,197305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,197304,29116,11196,40312,13788,415,55670,,,12986,,,30117,43103,2673,970,18283,1336,19619,38290,58961,97251,,1005,1005,1568,2337,77,3982,11186,249662,289974,,15133,22387,312361
Tohoku,197304,11601,35028,46629,12259,17305,75368,41859,74415,33440,,3397,70630,223741,7223,7188,72394,22345,94739,25122,409259,434381,84314,125763,210077,27836,5402,12915,46153,31706,1160140,1206769,,26953,102836,1309605
Tokyo,197304,294,14680,14974,129152,25479,241048,77616,,109277,192861,42496,195575,617825,60621,55464,101387,121756,223143,307032,550137,857169,14250,232113,246363,202622,295707,95096,593425,230074,3279763,3294737,,243044,500769,3795506
Chubu,197304,,2563,2563,46151,236074,90825,39527,16424,34720,37628,77314,83209,288822,25703,29072,32827,103898,136725,160497,383172,543669,157543,43228,200771,49028,290416,58421,397865,88463,2084140,2086703,,52315,194302,2281005
Hokuriku,197304,,13644,13644,2781,89222,39935,11269,40293,16699,,15755,25671,109687,801,643,3757,48900,52657,,218604,218604,,69960,69960,2315,5557,22032,29904,29131,643325,656969,,4229,27667,684636
Kansai,197304,,9922,9922,62766,131711,69699,16150,,93998,84086,50986,151176,396396,34483,28086,55628,110085,165713,294471,612434,906905,,86681,86681,88938,76335,59597,224870,125174,2232484,2242406,,185590,414780,2657186
Chugoku,197304,,13940,13940,14906,30471,31907,35284,,37169,109841,26756,41321,250371,23722,8148,28215,26737,54952,170032,195909,365941,,75317,75317,3962,104486,20910,129358,24504,1009597,1023537,,34653,89977,1113514
Shikoku,197304,,5292,5292,4700,21538,69099,,,56365,,21511,18764,96640,21060,1922,37618,,37618,,121829,121829,111122,,111122,1590,6932,7257,15779,15247,516554,521846,,3909,5950,527796
Kyushu,197304,42113,10335,52448,27756,23783,39428,14726,45092,45187,224,2334,66326,173889,3883,19245,153737,24349,178086,131080,124296,255376,18234,53305,71539,16592,21183,11170,48945,29766,871696,924144,,35466,71375,995519
Okinawa,197304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,197303,37394,11804,49198,13498,445,41112,,,15553,,,30536,46089,2529,1079,21631,1161,22792,40272,69033,109305,,1039,1039,1490,3011,98,4599,12089,254576,303774,,16808,24569,328343
Tohoku,197303,2403,37061,39464,12409,18048,74440,43064,75747,38459,,2922,71566,231758,7271,7955,83026,23511,106537,24840,405203,430043,88144,137605,225749,29187,6558,14360,50105,33113,1197428,1236892,,28902,115669,1352561
Tokyo,197303,446,14996,15442,121776,24459,243435,81146,,103701,191713,32316,199464,608340,61643,59800,113551,125189,238740,321280,558757,880037,14301,244275,258576,215880,321499,107813,645192,226241,3368239,3383681,,258169,555000,3938681
Chubu,197303,,2828,2828,47905,253973,93136,38982,17936,37474,38404,65815,84630,283241,22853,32548,39136,118872,158008,167007,402496,569503,188240,45688,233928,55367,322533,64743,442643,92553,2230291,2233119,,56557,215145,2448264
Hokuriku,197303,,24976,24976,2690,92960,44128,17043,18539,15960,,12052,26401,89995,877,703,5361,39250,44611,,185456,185456,,69014,69014,2303,7616,27335,37254,30799,598487,623463,,3366,29377,652840
