Company,Year_term,Liabilities and equity_Noncurrent liabilities (M.JPY),Liabilities and equity_Bonds payable (M.JPY),Liabilities and equity_Long-term loans payable (M.JPY),Liabilities and equity_Long-term accrued liabilities (M.JPY),Liabilities and equity_Lease obligations (M.JPY),Liabilities and equity_Long-term debt to affiliates &c. (M.JPY),Liabilities and equity_Provision for retirement benefits (M.JPY),Liabilities and equity_Reserve for reprocessing spent fuel (M.JPY),Liabilities and equity_Reserve for preparation for reprocessing spent fuel (M.JPY),Liabilities and equity_Reserve for restoration costs from natural desasters (M.JPY),Liabilities and equity_Reserve for desimantling NPPs (M.JPY),Liabilities and equity_Reserve for loss from discontinued NPP operations (M.JPY),Liabilities and equity_Provision for loss on natural disaster (M.JPY),Liabilities and equity_Provision for loss on investment (M.JPY),Liabilities and equity_Provision for loss on guarantees (M.JPY),Liabilities and equity_Provision for directors' retirement benefits (M.JPY),Liabilities and equity_Provision for loss on liquidation of affiliates &c. (M.JPY),Liabilities and equity_Provision for loss on guarantees (M.JPY),Liabilities and equity_Asset retirement obligations (M.JPY),Liabilities and equity_Putting off tax debt (M.JPY),Liabilities and equity_Other noncurrent liabilities (M.JPY),Liabilities and equity_Current liabilities (M.JPY),Liabilities and equity_Current portion of noncurrent liabilities (M.JPY),Liabilities and equity_Short-term loans payable (M.JPY),Liabilities and equity_Commercial papers (M.JPY),Liabilities and equity_Accounts payable-trade (M.JPY),Liabilities and equity_Accounts payable-other (M.JPY),Liabilities and equity_Accrued expenses (M.JPY),Liabilities and equity_Accrued taxes (M.JPY),Liabilities and equity_Deposits received (M.JPY),Liabilities and equity_Short-term debt to subsidiaries and affiliates (M.JPY),Liabilities and equity_Other advances (M.JPY),Liabilities and equity_Provision for loss on liquidation of affiliates &c. (M.JPY),Liabilities and equity_Provision for possible loss on support of affiliates (M.JPY),Liabilities and equity_Reserve for restoration costs of natural disaster (M.JPY),Liabilities and equity_Provision for directors' bonuses (M.JPY),Liabilities and equity_Asset retirement obligations2 (M.JPY),Liabilities and equity_Reserves under the special laws (M.JPY),Liabilities and equity_Reserve for fluctuations of water levels (M.JPY),Liabilities and equity_Reserve for the depreciation of NPP construction (M.JPY),Liabilities and equity_Total Liabilities (M.JPY),Liabilities and equity_Shareholders' equity (M.JPY),Liabilities and equity_Capital stock (M.JPY),Liabilities and equity_Capital surplus (M.JPY),Liabilities and equity_Legal capital surplus (M.JPY),Liabilities and equity_Other capital surplus (M.JPY),Liabilities and equity_Retained earnings (M.JPY),Liabilities and equity_Legal retained earnings (M.JPY),Liabilities and equity_Other retained earnings (M.JPY),Liabilities and equity_Reserve for overseas investment loss (M.JPY),Liabilities and equity_Reserve for special disaster (M.JPY),Liabilities and equity_Reserve for adjustment of cost fluctuations (M.JPY),Liabilities and equity_Reserve for depreciatopn of Tomari NPP Unit 3 (M.JPY),Liabilities and equity_Reserve for depreciatopn of Higashiniigata PS #4-2 (M.JPY),Liabilities and equity_General reserve (M.JPY),Liabilities and equity_Retained earnings brought forward (M.JPY),Liabilities and equity_Treasury stock at cost (M.JPY),Liabilities and equity_Valuation and translation adjustments (M.JPY),Liabilities and equity_Net unrealized holding gain on securities (M.JPY),Liabilities and equity_Deferred gains/losses on hedging instruments (M.JPY),Liabilities and equity_Subscription rights to shares (M.JPY),Liabilities and equity_Total Shareholders' equity/Net assets (M.JPY),Liabilities and equity_Total (M.JPY)
Okinawa,2015,191589,59999,94039,,26661,199,6389,,,,,,,,,,,,,,4299,58260,25319,5000,2000,3110,1882,7372,2635,59,9725,1090,,,,45,,,,,249849,132861,7586,7141,7141,,118426,964,117461,,,9000,,,103000,5461,-292,1747,1772,-24,,134609,384459
Hokkaido,2014,1251474,529133,541683,,1,3444,30668,55399,8851,,,,,,,,,,73578,,8713,350626,180299,42000,,28098,32650,32486,11699,643,20407,2275,,,,,,,,,1602101,142611,114291,49998,,49998,-3511,,-3511,,91,,,,,-3602,-18167,4890,4890,,,147501,1749602
Tohoku,2014,2568502,749988,1411453,8479,634,4084,132545,81823,14629,4557,,,,,,,,,111236,,49071,781410,324006,33500,27000,83896,29509,60036,35622,1137,46653,137969,,,1644,,,,,,3349912,494347,251441,26657,26657,,224017,62860,161157,15,,,,,,161141,-7769,5242,7319,-2077,809,500398,3850311
Tokyo,2014,10028025,3463009,2578712,14381,660,21899,393682,995792,70663,,,,519850,,,,,,734259,,173541,2035947,772094,187500,,290510,116911,308201,114561,3509,207572,24678,,,,,,5692,,5692,12069664,1659282,1400975,743608,743555,52,-477699,169108,-646808,369,111,,,,1076000,-1723289,-7601,-1337,-1337,,,1657945,13727610
Chubu,2014,2908342,555795,1657550,6493,1292,13196,144639,209746,16021,,,21663,,3689,1632,,,,192476,,84145,1088278,334261,334400,,98394,28955,77675,59986,2671,136442,15475,,,,,,10629,10629,,4007249,1195407,430777,70689,70689,,694870,93628,601241,7466,12,,,,443000,150763,-930,35497,37536,-2039,,1230904,5238153
Hokuriku,2014,881030,405455,366852,,,98,19252,10239,5872,,,,,,,,,,56537,,16722,218972,87036,15000,,24391,13182,41856,16116,605,19333,1448,,,,,,16673,16673,,1116677,293559,117641,33993,33993,,145233,28386,116846,11,,,,,70000,46835,-3309,9250,9250,,,302809,1419487
Kansai,2014,4772198,1302659,1869885,14261,648,15590,361468,593018,50966,,,,,,,,,,408429,,155270,1349167,505936,200000,,119066,88585,141595,48476,24084,154406,23476,,,,,,8690,8690,,6130057,589485,489320,67031,67031,,129357,122330,7027,2130,,,,,,4896,-96223,49391,50602,-1210,,638876,6768934
Chugoku,2014,1867946,899991,751386,7411,,5640,55813,62759,7463,,,,,,,,,,73725,,3754,477648,208772,66035,,46793,19260,46876,18979,828,53195,16087,,,,,,73926,934,72991,2419520,431817,185527,16728,16676,51,244078,46381,197696,15,56,,,,152000,45625,-14517,16908,17077,-169,,448725,2868246
Shikoku,2014,886335,339968,298982,5253,,,13737,109741,8191,,,,,,,,,,98465,,11995,171199,50807,18000,,25551,9189,19965,10342,1700,31768,3727,,,,,,4560,4560,,1062094,256804,145551,35198,35198,,114280,32819,81461,11,,,,,,81450,-38225,19771,6552,13218,,276576,1338671
Kyushu,2014,3327820,1064374,1645634,7250,1474,1290,69686,294345,28320,,,,,,,,,,206113,,9328,739099,349464,115000,,82961,32336,80502,18709,1223,43270,14001,,,,,,1692,1692,,4068612,318673,237304,130396,31087,99309,-48605,59326,-107931,17,,,,,,-107949,-423,3626,1062,2564,,322299,4390912
Okinawa,2014,207566,69999,97853,,28168,371,6902,,,,,,,,,,,,,,4270,59516,26130,5000,,4259,3441,6734,2013,4,10583,1293,,,,50,,,,,267082,131254,7586,7141,7141,,116804,964,115839,,,9000,,,98500,8339,-278,2597,2606,-9,,133851,400934
Hokkaido,2013,1330808,599130,536981,,1,4029,39179,60659,8511,,,,,,,,,,71343,,10971,276733,101278,52000,,36992,27927,23195,4882,617,27066,2692,,,,,,19391,19391,,1626932,89110,114291,21174,21174,,-28196,28219,-56416,,85,,,,58500,-115001,-18159,3816,3816,,,92926,1719859
Tohoku,2013,2848210,1013659,1417909,10610,227,3944,142521,89032,14066,6884,,,,,,,,,106255,,43098,678272,236730,33500,30000,98946,33362,52930,25429,1030,34528,129225,,,2280,,,,,,3526482,454609,251441,26657,26657,,184543,62860,121683,15,,,,,,121667,-8032,988,2623,-1635,670,456268,3982750
Tokyo,2013,11163068,3801462,2846951,14546,841,23847,396212,1054480,67945,,,,594977,,,,,,708921,,89241,1971582,937842,8450,,336673,127470,264629,80035,3023,178764,17012,,,,,,5180,,5180,13139830,1232289,1400975,743616,743555,60,-904713,169108,-1073821,359,94,,,,1076000,-2150276,-7589,-2276,-2276,,,1230012,14369843
Chubu,2013,3252486,698587,1892389,7494,518,11504,145339,221922,15405,,,22768,,,,,,,190076,,46481,979959,290494,334400,,84462,35139,64813,29592,2761,126505,11270,,,,,,5408,5408,,4237855,1169563,430777,70689,70689,,668631,93628,575002,5231,11,,,,443000,126759,-534,27112,25626,1485,,1196675,5434531
Hokuriku,2013,880775,438639,328542,,,125,21364,14069,5646,,,,,,,,,,54024,,18362,212591,100115,15000,,21842,12284,39803,6420,314,15972,834,,,,,,13985,13985,,1107352,294008,117641,33993,33993,,145671,28386,117284,11,,,,,70000,47273,-3297,6564,6564,,,300572,1407925
Kansai,2013,4960568,1432643,1971621,16303,957,15554,354470,616756,48097,,,,,,,,,,399301,,104861,1142012,353142,200000,,149371,53377,119514,30980,14995,168897,19397,,,,,,6930,6930,,6109511,766246,489320,67031,67031,,306080,122330,183750,2252,,,,,150000,31498,-96186,40444,36411,4032,,806691,6916202
Chugoku,2013,1757282,784988,763090,8502,,820,52848,65900,6239,,,,,,,,,,72277,,2613,471854,200911,66035,8000,64828,15649,43929,11674,973,50451,6529,,,,,,71476,367,71108,2300613,427826,185527,16729,16676,52,240060,46381,193678,21,49,,,,189000,4608,-14491,10792,10856,-63,,438618,2739232
Shikoku,2013,872137,309963,320314,6007,,,12860,115575,7876,,,,,,,,,,96296,,3243,190892,76597,18000,9000,24091,9554,18397,7027,1423,24776,1702,,,,,,2921,2921,,1065950,257189,145551,35198,35198,,114653,32819,81834,10,,,,,,81823,-38214,11316,4708,6608,,268505,1334456
Kyushu,2013,3314453,1143715,1545480,7605,2121,1600,74526,306219,26662,,,,,,,,,,201142,,5377,562179,186242,115000,,86590,46490,67336,15615,1476,32411,9274,,,,,,,,,3876632,336663,237304,31107,31087,19,70405,59326,11078,16,,,,,,11061,-2153,4741,418,4323,,341405,4218037
Okinawa,2013,222073,74999,101167,,29674,651,11037,,,,,,,,,,,,,,4543,58865,24974,,,10998,2210,6068,3800,4,9759,996,,,,51,,,,,280939,126014,7586,7141,7141,,111562,964,110597,,,9000,,,95500,6097,-275,1616,1616,,,127631,408570
Hokkaido,2012,1173178,524127,445259,,1,1793,40370,65874,8183,,,,,,,,,,82407,868,4291,261760,106465,52000,,34276,12640,23083,5709,865,25008,1692,,,,,,16771,16771,,1451709,153334,114291,21174,21174,,36011,28219,7791,,85,,,,58500,-50793,-18144,1958,1958,,,155292,1607002
Tohoku,2012,2840861,1084036,1247284,2902,,3726,183001,96283,13525,22873,,,,,,,,,132864,,54363,736305,257345,54940,1000,106800,48971,42811,14272,1080,39214,135515,,,34010,,,,,,3577167,418505,251441,26657,26657,,148617,62860,85757,11,,,,,332400,-246653,-8211,398,2398,-1999,488,419392,3996559
Tokyo,2012,11694707,3768108,2980428,16692,488,15329,388355,1108592,60799,,,,700827,,,,,,823046,,66319,2088536,1114117,9500,,319800,132420,201890,68999,5616,208033,18073,,,,,,4780,,4780,13788023,833413,1400975,743621,743555,65,-1303618,169108,-1472727,397,94,,,,1076000,-2549219,-7565,-1664,-1664,,,831749,14619772
Chubu,2012,3368267,848571,1815939,8413,271,12315,147075,235222,14812,,,31125,,,,,,,220768,,33753,939082,233240,334400,,102588,41347,67199,24669,3836,122743,8985,,,,,,10648,10648,,4317998,1255862,430777,70689,70689,,754853,93628,661225,5231,11,,,,518000,137982,-458,18946,19104,-158,,1274808,5592806
Hokuriku,2012,852284,438627,284529,,,172,21711,17989,5429,,,,,,,,,,67654,,16169,195134,86436,15000,,21188,9168,37797,6860,523,16181,676,,,,,,9896,9896,,1057315,302842,117641,33993,33993,,154491,28386,126105,7,,,,,80000,46097,-3284,5986,5986,,,308828,1366144
Kansai,2012,4856171,1422625,1858081,18175,837,12490,353239,638521,45608,,,,,,,,,,449344,,57248,996379,366775,130000,,138612,35839,104507,29333,15325,130084,16425,,,,,,10114,10114,,5862666,859386,489320,67031,67031,,399173,122330,276843,2356,,,,,420000,-145513,-96139,35608,30997,4611,,894995,6757662
Chugoku,2012,1651272,804986,617917,9633,,246,52698,74873,5999,,,,,,,,,,82512,,2404,521862,231823,66115,54000,54218,10750,41584,12260,1211,46686,2987,,,,,,67322,,67322,2240457,464850,185527,16729,16676,52,277056,46381,230674,48,28,,,,234000,-3402,-14463,9892,9923,-31,,474742,2715200
Shikoku,2012,863934,329958,276186,6979,,,12049,123643,7573,,,,,,,,,,103879,,3663,212720,65063,18000,44000,18798,9792,14908,4161,1802,35557,614,,,,,,4231,4231,,1080886,229201,145551,35198,35198,,86648,32819,53829,7,,,,,49000,4822,-38197,8643,4433,4209,,237844,1318731
Kyushu,2012,3155145,1048695,1373256,7964,2494,1664,147341,321276,25637,,,,,,,,,,219450,,7363,612964,223475,117000,33000,87575,28533,59232,13106,1880,41598,5701,,,,,,4308,4308,,3772417,407601,237304,31107,31087,19,141323,59326,81997,11,,,,,357000,-275013,-2134,21685,17826,3859,,429287,4201704
Okinawa,2012,233041,79999,108113,,31203,1611,11356,,,,,,,,,,,,,,757,57576,19174,,,5031,16580,5892,1248,134,8467,988,,,,58,,,,,290617,123148,7586,7141,7141,,108693,964,107728,,,9000,,,93500,5228,-273,1321,1321,,,124469,415087
Hokkaido,2011,1033619,529124,294725,,2,1631,45671,70875,7827,,,,,,,,,,79439,522,3798,224755,71666,48000,,25439,14609,21749,8400,825,29394,988,,,,,,15357,15357,,1273732,278564,114291,21174,21174,,161240,28219,133020,,55,,,,148500,-15534,-18142,1177,1177,,,279741,1553474
Tohoku,2011,2593427,1124021,921884,3156,,3864,187026,103535,13005,45948,,,,,,,,,128255,,62730,804701,242843,100000,25000,103145,24818,54906,17280,1637,48732,142674,,,43648,,,,,,3398129,477561,251441,26664,26657,6,207845,62860,144985,11,,,,,332400,-187426,-8390,-1100,-1100,,448,476908,3875038
Tokyo,2011,12275779,3677244,3216377,18799,747,28894,393846,1162777,58461,,,,786293,,,,,,799958,,68980,2332451,919919,440250,,304076,158534,233966,56268,5063,186570,14725,,,,,,13552,9865,3687,14621783,527799,900975,243631,243555,75,-609237,169108,-778346,435,94,,,,1076000,-1854877,-7569,-319,-319,,,527479,15149263
Chubu,2011,3097487,994558,1369595,9844,1029,11512,161851,247741,14242,,,39365,,,,,,,218711,,29035,918508,239706,334400,,84406,40044,58577,29030,3837,121761,6450,,,,,,14490,14490,,4030486,1332892,430777,70689,70689,,831847,93628,738219,2181,11,188000,,,518000,30026,-422,11882,11392,490,,1344775,5375261
Hokuriku,2011,824158,428612,266688,,,186,25452,21734,5220,,,,,,,,,,65423,,10839,203632,88276,15000,15000,16376,8073,38594,6878,526,14281,624,,,,,,10627,10627,,1038418,315600,117641,33993,33993,,167245,28386,138858,7,,47500,,,80000,11351,-3279,4118,4118,,,319719,1358137
Kansai,2011,4527502,1492591,1484040,21122,2876,7868,350728,656418,42624,,,,,,,,,,434661,,34570,934876,297627,130000,30000,140454,37983,123418,28413,15066,113194,11579,,,,,,14604,14604,,5476983,1159161,489320,67031,67031,,698933,122330,576603,2389,,87000,,,640000,-152786,-96124,24340,19465,4874,,1183501,6660484
Chugoku,2011,1707860,814983,658660,10759,,,52198,82522,5768,,,,,,,,,,79665,,3302,398617,152518,68570,18000,52427,17600,40213,23325,1190,21451,1670,,,,,,67821,2080,65740,2174299,509666,185527,16730,16676,54,321860,46381,275478,55,25,,,,234000,41396,-14452,4993,4993,,,514659,2688958
Shikoku,2011,777220,279954,233523,6531,,,11784,129091,7282,,,,,,,1200,,,100843,,7008,251030,68429,18000,70000,26796,7179,18625,5802,1733,33504,874,,,,,,1817,1817,,1030068,281650,145551,35198,35198,,139088,32819,106269,7,,45000,,,49000,12261,-38188,1387,3227,-1840,,283037,1313106
Kyushu,2011,2817264,1072556,1013915,8495,1968,2229,136875,334000,24651,,,,,,,,,,211840,,10731,525769,167980,111000,,81712,33990,67854,13337,2073,40503,5168,,,,,,1216,1216,,3344250,755124,237304,31110,31087,22,488839,59326,429512,11,,100300,,,456000,-126798,-2129,11575,11634,-59,,766700,4110950
Okinawa,2011,199921,69999,115801,,3,2051,11015,,,,,,,,,,,,,,1049,59912,28519,1500,,7865,7174,4736,1374,352,8144,163,,,,80,,,,,259833,121097,7586,7141,7141,,106643,964,105678,,,9000,,,89500,7178,-273,856,856,,,121954,381787
Hokkaido,2010,974427,569121,186691,,3,1067,54119,70873,7179,,,,,,,,3657,,77636,,4076,225373,75072,48000,19000,15034,8675,17538,12826,696,27181,581,,660,,88,,10461,10461,,1210262,363394,114291,21174,21174,,246069,28219,217849,,18,,22000,,126500,69331,-18141,2543,2543,,,365937,1576200
Tohoku,2010,2228474,1184001,519047,3449,,2680,179125,110441,12505,12312,,,,,,,,,125245,,79666,774998,217127,54440,57000,82981,17015,43536,15575,1026,41460,161781,,,82887,48,,304,304,,3003778,697731,251441,26680,26657,22,428060,62860,365200,10,,,,,332400,32789,-8451,-930,-930,,265,697066,3700844
Tokyo,2010,11088715,4425150,3280151,20922,1058,38813,391316,1192856,55093,,,,829382,,,,,,785007,,68962,1891252,752082,404000,,233920,93384,129519,59305,4416,191948,15115,,,,,,11168,8884,2284,12991136,1286240,900975,243653,243555,97,149185,169108,-19923,440,65,,,,1076000,-1096428,-7573,-21418,-21418,,,1264822,14255958
Chubu,2010,2526913,1177542,597632,11036,1946,11141,158931,258544,13659,,,44926,,,,,,,218601,,32950,1014880,252403,324400,112000,68971,28084,53972,55936,2705,107796,8498,,,,91,,6151,6151,,3547945,1473049,430777,70689,70689,,971959,93628,878331,1441,10,188000,,,518000,170879,-377,12625,10737,1887,,1485674,5033619
Hokuriku,2010,801570,473598,194633,,,117,27733,25670,5019,,,,,,,,,,63881,,10916,206934,109204,15000,,18038,7542,26066,12883,315,16502,1300,,,,80,,6976,6976,,1015482,332707,117641,33993,33993,,184336,28386,155949,7,,47500,,,80000,28442,-3263,3513,3513,,,336221,1351703
Kansai,2010,3982640,1628958,808195,24078,2815,7792,343662,666009,38404,,,,,,,,,,424997,,37727,974616,351303,130000,30000,74820,30443,100123,87172,12756,143185,11979,,,,110,,5470,5470,,4962728,1470486,489320,67031,67031,,1010230,122330,887900,1406,,87000,,,610000,189493,-96095,24378,18860,5518,,1494865,6457593
Chugoku,2010,1642669,889980,515080,12217,,,52099,86593,5254,,,,,,,,,,77783,,3660,398784,137871,69300,65000,35148,18614,33971,10206,776,24009,1245,,,,,,57879,,57879,2099333,531186,185527,16732,16676,55,341460,46381,295078,57,19,19000,,,234000,42001,-12534,4671,4574,96,,535857,2635191
Shikoku,2010,847371,319949,255227,7256,,,12224,134157,6662,,,,,,,1418,,1643,98329,,10501,159545,51006,18000,11000,10427,3659,13865,19532,1420,29548,861,,,,,,,,,1006916,311183,145551,35198,35198,,176643,32819,143824,6,,45000,,,49000,49817,-46209,-1305,2687,-3993,,309878,1316794
Kyushu,2010,2355345,1192555,430531,9363,1914,2825,127722,346568,22362,,,,,,,,,,207689,,13813,568030,204205,116000,30000,38934,40503,57746,31947,1444,41060,4092,,,,,,,,,2923375,958542,237304,31114,31087,27,692219,59326,632892,10,,100300,,,456000,76582,-2096,8972,10727,-1754,,967515,3890891
Okinawa,2010,198500,69999,114317,,3,1796,10683,,,,,,,,,,,,,,1700,52339,16960,4000,,5757,8760,5436,1852,55,9284,147,,,,85,,,,,250840,117096,7586,7141,7141,,102641,964,101676,,,9000,,,83500,9176,-272,659,659,,,117756,368596
Hokkaido,2009,933282,553792,187091,,,820,64974,69286,4930,,44308,,,,,,3657,,,,4422,219891,102455,47500,4000,13858,10013,19027,4473,509,17064,852,,,,78,,6104,6104,,1159278,373698,114291,21174,21174,,247097,28219,218877,,15,,36000,,126500,56361,-8866,3454,3454,,,377152,1536430
Tohoku,2009,2141180,1192878,489911,4546,,2755,173805,110478,9939,,58171,,,,,,,,,,98691,685361,244943,54440,46000,51693,17371,39269,20669,976,39163,170738,,,,85,,1470,1470,,2828011,760815,251441,26681,26657,23,491110,62860,428250,10,,,,,332400,95839,-8417,424,424,,,761240,3589252
Tokyo,2009,8549809,4739125,1466351,22980,816,28813,379467,1210060,36312,,510010,,92813,,,,,,,,63056,1927550,719149,358000,65000,263107,88426,142664,63094,4303,200384,16590,,,,,,5024,5024,,10482383,2176870,676434,19123,19014,109,1488739,169108,1319631,489,53,,,,1076000,243087,-7427,-16220,-16220,,,2160650,12643034
Chubu,2009,2480835,1234219,561126,11921,2894,1871,156342,262446,12726,,119858,86557,,,,,,,,,30870,1015256,317653,314400,81000,61560,26411,51611,82422,2495,70414,7166,,,,99,,3701,3701,,3499792,1453886,430777,70689,70689,,952666,93628,859037,918,10,188000,,,498000,172108,-246,15776,14788,987,,1469662,4969455
Hokuriku,2009,843957,533584,220325,,,65,31409,24859,3421,,21580,,,,,,,,,,8711,191861,90193,20000,,7951,7291,32346,17130,306,13612,2947,,,,80,,4594,4594,,1040413,336924,117641,34007,33993,13,200396,28386,172009,7,,47500,,,80000,44502,-15120,5268,5268,,,342193,1382606
Kansai,2009,3872912,1599202,840521,28067,3046,6563,335026,666796,31497,,326670,,,,,,,,,,35519,924983,310679,130000,70000,66990,37764,96574,80345,10846,106597,12266,,,,110,,,,,4797896,1437917,489320,67031,67031,,977080,122330,854750,1147,,87000,,,590000,176602,-95515,39756,24649,15107,,1477673,6275570
Chugoku,2009,1600498,879978,491836,13395,,,51658,94625,4634,,61345,,,,,,,,,,3023,382503,122452,69300,40000,32376,24161,37596,26846,716,25015,1587,,,,,,45755,,45755,2028757,552437,185527,16732,16676,55,362677,46381,316295,63,14,19000,,,230000,67217,-12499,6284,6284,,,558722,2587479
Shikoku,2009,821252,319944,256508,7982,,,12293,134935,5427,,79305,,,,,1150,,,,,3703,177128,36494,18000,52000,9138,5565,14600,10488,1402,28772,430,,,,,,,,,998380,319078,145551,35198,35198,,179542,32819,146722,6,,45000,,,49000,52716,-41213,2777,3563,-785,,321855,1320236
Kyushu,2009,2315207,1212553,424533,11348,1329,3147,124224,350780,18439,,164931,,,,,,,,,,3919,477252,155362,104600,,30074,31816,64492,35897,1383,44050,7586,,,,,,,,,2792460,966630,237304,31117,31087,29,700176,59326,640849,10,,100300,,,456000,84539,-1968,17478,15481,1997,,984109,3776569
Okinawa,2009,168024,49999,106575,,5,860,10292,,,,,,,,,,,,,,290,69180,35052,5000,,6608,3536,5518,4642,50,8512,181,,,,76,,,,,237204,111277,7586,7141,7141,,96817,964,95852,,,9000,,,77500,9352,-267,825,825,,,112103,349308
Hokkaido,2008,959443,543789,219546,,,497,72822,69185,3202,,41266,,,,,,3657,,,,5476,221876,44519,51000,,16057,64009,20722,5379,577,17646,1938,,,,,,2492,2492,,1183812,379901,114291,21174,21174,,253306,28219,225086,,11,12500,54000,,153500,5074,-8872,1050,1050,,,380951,1564763
Tohoku,2008,2208329,1210850,550096,5660,,1625,145369,109619,7515,,53320,,,,,,,,,,124270,694046,183843,54440,97000,90661,39022,44224,11732,981,46321,125810,,,,,,7812,7812,,2910187,770654,251441,26681,26657,23,500888,62860,438028,,,103000,,,332400,2628,-8357,330,330,,,770984,3681171
Tokyo,2008,8841887,4936320,1528149,24682,502,32923,381563,1227662,26930,,491415,,168191,,,,,,,,23546,2003628,666362,348000,235000,224158,100588,152112,65748,5058,165535,28687,1600,,,,,13435,13435,,10858951,2155836,676434,19142,19014,128,1467434,169108,1298326,207,51,,,,1270000,28067,-7175,-24727,-24727,,,2131108,12990060
Chubu,2008,2634924,1263696,700460,12809,3928,1168,148670,263779,12053,,117929,87009,,,,,,,,,23419,1022630,177516,314400,294000,88311,17977,51830,24136,2355,44709,7368,,,,,,,,,3657555,1428178,430777,70689,70689,,928224,93628,834595,,3,273000,,,498000,63591,-1512,24679,13143,11535,,1452858,5110413
Hokuriku,2008,889107,563568,238710,,,20,31031,23815,2444,,19062,,,,,,,,,,10453,189784,108902,20000,,11102,8464,21347,6566,338,10933,2128,,,,,,5592,5592,,1084485,332476,117641,34008,33993,15,195909,28386,167522,,,51500,,,80000,36022,-15082,4466,4466,,,336942,1421427
Kansai,2008,3898377,1509201,988419,29703,,3909,328687,663596,24830,,312675,,,,,,,,,,37354,895645,361010,130000,90000,61382,35549,85159,29287,8130,78945,13246,,,,,,,,,4794023,1417569,489320,67031,67031,,957161,122330,834830,827,,207000,,,590000,37003,-95943,31841,21237,10604,,1449410,6243434
Chugoku,2008,1631366,879975,523143,14683,,,50922,98229,3410,,58641,,,,,,,,,,2359,390720,129582,64300,65000,34680,21285,37300,11665,721,21686,1635,,,,,,36462,,36462,2058550,548168,185527,16731,16676,54,358367,46381,311985,58,9,57000,,,230000,24917,-12456,4468,4700,-231,,552637,2611188
Shikoku,2008,827928,329940,257527,8708,,,13233,136262,4365,,75246,,,,,1703,,,,,940,174006,49388,21000,28000,12299,3744,17762,16879,1334,23157,189,,,,,,,,,1001935,339142,145551,35198,35198,,184810,32819,151991,,,45000,,,49000,57991,-26417,6408,3887,2520,,345551,1347486
Kyushu,2008,2376129,1222550,490275,12297,857,2387,120665,351832,14604,,155838,,,,,,,,,,4819,476455,149365,129000,,28708,27443,71877,17746,1381,40946,8019,,,,,,,,,2852585,966897,237304,31123,31087,35,700273,59326,640947,,,100300,,,456000,84647,-1803,14641,13121,1519,,981539,3834124
Okinawa,2008,192900,66999,114626,,4,876,9579,,,,,,,,,,,120,,,693,45595,23382,,,5128,1817,5092,4010,5,5903,183,,,,71,,,,,238495,105081,7586,7141,7141,,90572,964,89607,,,9000,,,75000,5607,-218,422,422,,,105503,343999
Hokkaido,2007,840208,423785,214066,,,,82564,72062,2574,,39362,,,,,,3657,,,,2135,182947,45414,46000,18000,25075,5499,15502,11574,592,14386,798,,,,78,,7545,7545,,1030701,418916,114291,21174,21174,,292144,28219,263924,14,7,12500,34000,,173500,43902,-8695,6480,6480,,,425397,1456098
Tohoku,2007,2172114,1160824,542529,6776,,4,145892,109470,5591,,49007,,,,,,,,,,152017,645685,199233,54440,91000,105425,21053,41852,15606,1045,37539,78249,,,,71,,12981,12981,,2830781,840317,251441,26657,26657,,570226,62860,507365,,,103000,,5000,332400,66965,-8007,4809,4809,,,845126,3675908
Tokyo,2007,8350515,4694475,1294706,26737,,25211,384786,1243524,20524,,475170,,164503,,,,,,,,20874,2307205,822367,348000,295000,369832,86259,147584,48354,3754,143577,29950,1600,,,,,17310,17310,,10675031,2350552,676434,19126,19014,112,1661590,169108,1492482,220,48,295200,,,1270000,-72986,-6599,32148,32140,8,,2382700,13057731
Chubu,2007,2780311,1414749,807319,14316,,,141665,264880,6223,,113069,,,,,,,,,,18086,897454,222030,339400,11000,146621,22140,56345,46148,2244,43622,7879,,,,,,,,,3677766,1511998,430777,70689,70689,,1011631,93628,918002,,1,273000,,,498000,147001,-1100,48782,26965,21816,,1560780,5238546
Hokuriku,2007,917126,563586,265115,,,7,33989,23929,1206,,16937,,,,,,,,,,12354,208754,107516,30000,,19958,9546,25065,5415,465,10291,493,,,,,,8979,8979,,1134860,336567,117641,34002,33993,9,199666,28386,171280,,,51500,,,80000,39780,-14743,9674,9674,,,346242,1481102
Kansai,2007,3688077,1419320,921208,30609,,24,322568,643939,19021,,298914,,,,,,,,,,32471,844606,378647,96750,,112165,25356,88395,26189,7797,88995,18031,,,,110,,,,,4532683,1533914,489320,67119,67031,87,1071073,122330,948743,581,,207000,,,590000,151161,-93599,68405,43687,24718,,1602319,6135003
Chugoku,2007,1574907,804972,542727,15024,,a,51140,100691,2753,,56547,,,,,1013,,,,,37,332276,121102,64350,20000,37095,15660,34808,13957,731,21291,1703,,,,110,,23880,,23880,1931064,585888,185527,16715,16676,38,395878,46381,349496,51,4,57000,,,228000,64440,-12232,8360,8360,,,594248,2525313
Shikoku,2007,818068,329939,251669,9433,,,13372,135893,3335,,71424,,,,,1626,,,,,1372,205650,42243,38000,44000,19135,4069,15413,13813,1189,27036,584,,,,,,,,,1023718,332667,145551,35198,35198,,183012,32819,150193,,,45000,,,49000,56193,-31094,8008,6796,1211,,340676,1364394
